用户名,星级,时间,长评论,短评论
一只波宝,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-12-20 13:52                            
                            ","Hey，小伙伴们！你们有没有排队排到怀疑人生的经历呢？我在张家界天门山景区就遇到了这个问题！早晨7点不到，门口已经是人山人海，足足排了5个小时，才坐上索道上山。全程游览其实并不需要那么久?所以，我要告诉你们一个重要的tips：错峰出行很重要哦！【进山线路】?门票分三种：?A线：索道上-汽车下，去索道公司乘坐缆车?B线：汽车上-索道下，去A检票口坐专车线?C线：汽车上-汽车下，去A检票口坐专车线根据自己的情况选择适合自己的线路吧。我个人觉得A线最合理，到了山顶往下玩很节省体力。【山顶游玩2条线路】?东线：索道上站-吊索神峪-北俯视天门-云梦仙顶-灵泉院-醉云亭-快活林-石门锁翠-神仙坐-天门山寺-乘山顶缆车-云梦仙顶?西线：索道上站-凌霄台-倚虹关-鬼谷天堑-鬼谷兵盘-野拂藏宝-小天们-捭阖-观鬼谷洞-求儿洞-樱桃湾-天门山寺-乘山顶缆车-云梦仙顶?必玩景点?玻璃栈道：需要穿鞋套上去（租5/双）。这是一段很短的栈道，在悬崖上用玻璃修建的，可以透过玻璃往下看。本来以为很刺激，结果玻璃反光看不清楚?悬索桥：可以走一下，挺刺激的！?鬼谷天堑：崖上的景色一定不能错过哦！?天门洞 放眼望去，像天被开了一个洞一样，很壮观?天梯 链接天门洞的，999步台阶。据说情侣牵手一起走完，可以天长地久不想走的，旁边有扶梯上下（扶梯：32/人）?tips?个人觉得天门山景点都很小，半天时间就能游玩，景点都很险峻刺激不输华山，所以到了山顶可以环线游览，不要错过每个景点。如果赶时间推荐西线?玻璃栈道鞋套到了在租（5/人），不要自己带，带了也不能用?山顶离天感觉非常近，所以很晒，一定做好防晒?天门山在张家界市区，打车到景区很方便记得根据自己的兴趣和时间合理安排行程，享受张家界的美景吧！???                            		                            收起评价","Hey，小伙伴们！你们有没有排队排到怀疑人生的经历呢？我在张家界天门山景区就遇到了这个问题！早晨7点不到，门口已经是人山人海，足足排了5个小时，才坐上索道上山。全程游览其实并不需要那么久?所以，我要告诉你们一个重要的tips：错峰出行很重要哦！【进山线路】?门票分三种：?A线：索道上-汽车下，去索道公司乘坐缆车?B线：汽车上-索道下，去A检票口坐专车线?C线：汽车上-汽车下，去A检票口坐专车线根据自己的情况选择适合自己的线路吧。我个人觉得A线最合理，到了山顶往下玩很节省体力。【山顶游玩2条线路】?东线：索道上站-吊索神峪-北俯视天门-云梦仙顶-灵泉院-醉云亭-快活林-石门锁翠-神仙坐-天门山寺-乘山顶缆车-云梦仙顶?西线：索道上站-凌霄台-倚虹关-鬼谷天堑-鬼谷兵盘-野拂藏宝-小天们-捭阖-观鬼谷洞-求儿洞-樱桃湾-天门山寺-乘山顶缆车-云梦仙顶?必玩景点?玻璃栈道：需要穿鞋套上去（租5/双）。这是一段很短的栈道，在悬崖上用玻璃修建的，可以透过玻璃往下看。本来以为很刺激，结果玻璃反光看不清楚?悬索桥：可以走一下，挺刺激的！?鬼谷天堑：崖上的景色一定不能错过哦！?天门洞 放眼望去，像天被开了一个洞一样，很壮观?天梯 链接天门洞的，999步台阶。据说情侣牵手一起走完，可以天长地久不想走的，旁边有扶梯上下（扶梯：32/人）?tips?个人觉得天门山景点都很小，半天时间就能游玩，景点都很险峻刺激不输华山，所以到了山顶可以环线游览，不要错过每个景点。如果赶时间推荐西线?玻璃栈道鞋套到了在租（5/人），不要自己带，带了也不能用?山顶离天感觉非常近，所以很晒，一定做好防晒?天门山在张家界市区，打车到景区很方便记得根据自己的兴趣和时间合理安排行程，享受张家界的美景吧！???                            		                            收起评价"
我要吃肉肉,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-12-06 19:40                            
                            ","1、天门山：天门山圣境，玄朗如门，变幻莫测，氤氲蒸腾。洞中尽显造化神奇，时有云雾吐纳翻涌，时有霞光宛如幻境，登临出世界，磴道盘虚空。2、袁家界：穿越浩瀚宇宙，回到遗落地球的异世界，那奇幻的潘多拉星球，演化成为美轮美奂的绿野仙踪，千峰穿云，松杉葱茏，这惊世绝美的自然风貌，静待亿万年后与你的重逢。3、杨家界：人们总惊叹于神奇的自然，它蕴含的沧海桑田改变，当我们缩小时间的单元，它却千年不变，杨家界，远古岁月的变迁，留下成排成片的峰墙奇观,瑰丽夺目，自然面前，被震撼的不仅仅只有感官，还有发自内心的敬畏和对命运的释然。4、黄石寨：悬崖绝壁上葱葱郁郁，是让人迷醉的碧绿风景，它与怪石嶙峋的奇峰，融合成了一幅恢弘的自然壁画，苍茫、古寂、超逸绝伦。5、十里画廊：石峰耸立，层峦叠嶂，锦绣峥嵘，峡谷青幽，野花飘香，彩蝶飞舞，以大地为画卷，山为锋，水为墨，十里画廊绵延展开在绝壁之上，万千怪石，如宇宙万象，巧夺天工，人在画中游，画在景中走，山谷的清风将人的灵性温柔唤醒。6、天子山：诗情画意武陵源,人间仙境天子山，天子山奇峰岩壁,如柱如笋，秀姿万千，天地灵气幻化，婷婷玉立，在悠久的岁月里,不曾改变，安静适闲。7、 金鞭溪：山间溪流，穿密林过石罅，在峡谷之间，流淌千年，那崖壁金光，如仙界倒映人间，猿飞鸟鸣，鱼翔水天，俯拾一丝禅意，刹那一念，猿抱子归青嶂岭,鸟衔花落碧岩泉。絮语：仿佛遗落地球的异世界，演化成为美轮美奂的绿野仙踪，那挺拔险峻又不失秀美的隽永灵气，那映照宇宙巧夺天工的三千奇峰，那绝美的山水自然风貌，都让张家界在世界上大放异彩。除了那人间仙境的自然风貌，她还成为了年轻人探索极限的地方，翼装飞行、蹦迪、跑酷，对生命的释放从未如此酣畅淋漓，三千奇峰，八百秀山终汇成醉美风景，有你，有我，有万千欢笑的身影#天门山#张家界风景区                            		                            收起评价","1、天门山：天门山圣境，玄朗如门，变幻莫测，氤氲蒸腾。洞中尽显造化神奇，时有云雾吐纳翻涌，时有霞光宛如幻境，登临出世界，磴道盘虚空。2、袁家界：穿越浩瀚宇宙，回到遗落地球的异世界，那奇幻的潘多拉星球，演化成为美轮美奂的绿野仙踪，千峰穿云，松杉葱茏，这惊世绝美的自然风貌，静待亿万年后与你的重逢。3、杨家界：人们总惊叹于神奇的自然，它蕴含的沧海桑田改变，当我们缩小时间的单元，它却千年不变，杨家界，远古岁月的变迁，留下成排成片的峰墙奇观,瑰丽夺目，自然面前，被震撼的不仅仅只有感官，还有发自内心的敬畏和对命运的释然。4、黄石寨：悬崖绝壁上葱葱郁郁，是让人迷醉的碧绿风景，它与怪石嶙峋的奇峰，融合成了一幅恢弘的自然壁画，苍茫、古寂、超逸绝伦。5、十里画廊：石峰耸立，层峦叠嶂，锦绣峥嵘，峡谷青幽，野花飘香，彩蝶飞舞，以大地为画卷，山为锋，水为墨，十里画廊绵延展开在绝壁之上，万千怪石，如宇宙万象，巧夺天工，人在画中游，画在景中走，山谷的清风将人的灵性温柔唤醒。6、天子山：诗情画意武陵源,人间仙境天子山，天子山奇峰岩壁,如柱如笋，秀姿万千，天地灵气幻化，婷婷玉立，在悠久的岁月里,不曾改变，安静适闲。7、 金鞭溪：山间溪流，穿密林过石罅，在峡谷之间，流淌千年，那崖壁金光，如仙界倒映人间，猿飞鸟鸣，鱼翔水天，俯拾一丝禅意，刹那一念，猿抱子归青嶂岭,鸟衔花落碧岩泉。絮语：仿佛遗落地球的异世界，演化成为美轮美奂的绿野仙踪，那挺拔险峻又不失秀美的隽永灵气，那映照宇宙巧夺天工的三千奇峰，那绝美的山水自然风貌，都让张家界在世界上大放异彩。除了那人间仙境的自然风貌，她还成为了年轻人探索极限的地方，翼装飞行、蹦迪、跑酷，对生命的释放从未如此酣畅淋漓，三千奇峰，八百秀山终汇成醉美风景，有你，有我，有万千欢笑的身影#天门山#张家界风景区                            		                            收起评价"
aDe游摄天下,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-12-21 21:56                            
                            ","听劝，雾天游张家界天门山，要做好心理准备       重要的事情说三遍，看天气预报、看天气预报、看天气预报。出行记得看天气，如果是阴天，雾天，雨天，山顶基本就什么都看不见了，再决定出游吧。       天门山景区从2023年11月6日起，部分设备需要检修维护。只能走A线路。推荐线路：天门山索道下站乘索道上山--山顶游览--乘索道下行到中站，再换乘游览车参观天门洞--乘快线索道下山--经风雨廊道步行出山门--乘摆渡车回到索道下站。?   我们去的当天大雾阴天，人不多，周围白茫茫一片，如入仙境。山顶风大，冷，比山下低8°左右，最好带个帽子，注意保暖。由于景区修缮，目前只有一条线路可以玩，想走完的至少要有大半天时间，都是全景区精华，就是中转有点复杂。由于大风大雾，我们在山顶没走东西线，天门洞也看不到，主要是全程索道上下山和游览车，全程约3.5小时！?关于东西线TIPS：1、只走东线，行程短，全程3.7公里，只有前面部分比较美，后面一般。而且雪天玻璃栈桥关闭了。2、西线景色超美，但是森林缆车关闭了，路程较长，目前走西线的话就必须走整个东线+西线的环线。#天门山 #张家界 #张家界天门山 #天门山索道 #张家界旅游攻略 #我的徒步日记 #日常生活中的浪漫瞬间                            		                            收起评价","听劝，雾天游张家界天门山，要做好心理准备       重要的事情说三遍，看天气预报、看天气预报、看天气预报。出行记得看天气，如果是阴天，雾天，雨天，山顶基本就什么都看不见了，再决定出游吧。       天门山景区从2023年11月6日起，部分设备需要检修维护。只能走A线路。推荐线路：天门山索道下站乘索道上山--山顶游览--乘索道下行到中站，再换乘游览车参观天门洞--乘快线索道下山--经风雨廊道步行出山门--乘摆渡车回到索道下站。?   我们去的当天大雾阴天，人不多，周围白茫茫一片，如入仙境。山顶风大，冷，比山下低8°左右，最好带个帽子，注意保暖。由于景区修缮，目前只有一条线路可以玩，想走完的至少要有大半天时间，都是全景区精华，就是中转有点复杂。由于大风大雾，我们在山顶没走东西线，天门洞也看不到，主要是全程索道上下山和游览车，全程约3.5小时！?关于东西线TIPS：1、只走东线，行程短，全程3.7公里，只有前面部分比较美，后面一般。而且雪天玻璃栈桥关闭了。2、西线景色超美，但是森林缆车关闭了，路程较长，目前走西线的话就必须走整个东线+西线的环线。#天门山 #张家界 #张家界天门山 #天门山索道 #张家界旅游攻略 #我的徒步日记 #日常生活中的浪漫瞬间                            		                            收起评价"
Mr代,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-11-28 00:16                            
                            ","交通:买了大门票之后，进去之后就有线路车，不用再买票了，但是里面的索道，电梯都需要。小门票当然也不贵了。tips:天气真好，今年夏天的时候去的。这里的山真的和全国各地的山都不一样。非常有特色。一根一根树立特色体验:听说这里下雨之后更有一种美好的景色叫云海翻腾。推荐理由:毕竟是国家级的景区那还是值得来打卡的特别带上自己家人一起。                            		                            收起评价","交通:买了大门票之后，进去之后就有线路车，不用再买票了，但是里面的索道，电梯都需要。小门票当然也不贵了。tips:天气真好，今年夏天的时候去的。这里的山真的和全国各地的山都不一样。非常有特色。一根一根树立特色体验:听说这里下雨之后更有一种美好的景色叫云海翻腾。推荐理由:毕竟是国家级的景区那还是值得来打卡的特别带上自己家人一起。                            		                            收起评价"
LYDcrew,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-11-27 14:35                            
                            ","绝对值得来的地方！张家界的地标！虽然是私人承包的景区！但是就是非常有代表性！他就是张家界！总共有 abc 三种路线，就看你的运气！从城市中央的缆车中心出发，直接到山上！当见到天门山的那一刻！非常的激动！非常的棒！一切都是值得的！当然如果你要挑战999台阶完全可以！很棒的一次旅行出行！                            		                            收起评价","绝对值得来的地方！张家界的地标！虽然是私人承包的景区！但是就是非常有代表性！他就是张家界！总共有 abc 三种路线，就看你的运气！从城市中央的缆车中心出发，直接到山上！当见到天门山的那一刻！非常的激动！非常的棒！一切都是值得的！当然如果你要挑战999台阶完全可以！很棒的一次旅行出行！                            		                            收起评价"
候鸟,<span class="sml-rank-stars sml-str45 star"></span>,"
2023-11-05 18:34                            
                            ","著名的世界级国家森林公园张家界位于湖南省西南部。那里风景秀丽，景色怡人。进入山门，迎面扑来一阵沁人心脾的清香，身体里的细胞好像在这一刻醒了过来。本来是太阳当空的，可走在粗壮的参天大树为你搭成的天然“绿伞”下，却没有一点热的感觉。走过温柔、美丽的金鞭溪步行了四个多小时来到了天子山，站在深圳阁上向东望，在云雾缭绕连绵不断的群山中耸立着一位绝色的少女，她头戴花冠，手捧竹篮，那篮子里还放满了五颜六色的花，她身体微微向前倾像是要把这些花儿撒向大地，这就是令人富有睱想的“仙女散花”。深圳阁的西面是天子山奇景之一“御笔峰”四座细细笔直的石峰耸立在那里，每一座石峰上还长着一棵小松树，就像一支支毛笔一样悬挂在那。红霞满天时只见玉笔生辉，笔尖上好像是还有留有红色的墨汁呢！张家界还有像猪八戒背媳妇、食指峰、采药老人、向王观书、母子峰、三姐妹峰等许许多多美丽的景色，它们都正等着你去观赏呢                            		                            收起评价","著名的世界级国家森林公园张家界位于湖南省西南部。那里风景秀丽，景色怡人。进入山门，迎面扑来一阵沁人心脾的清香，身体里的细胞好像在这一刻醒了过来。本来是太阳当空的，可走在粗壮的参天大树为你搭成的天然“绿伞”下，却没有一点热的感觉。走过温柔、美丽的金鞭溪步行了四个多小时来到了天子山，站在深圳阁上向东望，在云雾缭绕连绵不断的群山中耸立着一位绝色的少女，她头戴花冠，手捧竹篮，那篮子里还放满了五颜六色的花，她身体微微向前倾像是要把这些花儿撒向大地，这就是令人富有睱想的“仙女散花”。深圳阁的西面是天子山奇景之一“御笔峰”四座细细笔直的石峰耸立在那里，每一座石峰上还长着一棵小松树，就像一支支毛笔一样悬挂在那。红霞满天时只见玉笔生辉，笔尖上好像是还有留有红色的墨汁呢！张家界还有像猪八戒背媳妇、食指峰、采药老人、向王观书、母子峰、三姐妹峰等许许多多美丽的景色，它们都正等着你去观赏呢                            		                            收起评价"
黎耀辉,<span class="sml-rank-stars sml-str45 star"></span>,"
                                2023-11-16
??更新于2023-12-15 15:55                            
                            ","? ???? ??? ???? 天门山今天出来见见世面交通:从长沙到张家界的车次很多，订的汉庭酒店?有一次接站服务，所以司机从张家界西站把我们送到酒店大概15-20分钟左右，还挺方便。特色体验:天门山索道，天门山索道就在市区内，我们从酒店走过去4，5分钟然后排队乘坐进山缆车，全程大约有30分钟，每个缆车8人，刚坐上会害怕不敢往下看，缆车上的阿姨很可爱，开始还安慰我们不要怕，后来阿姨自己怕的嗷嗷叫哈哈哈哈哈哈天梯：999级天梯，真的很刺激，腿从山上抖到山下，下了天梯之后有小卖部，烤肠5元一根，尊的很美味，也很划算，凤凰古城高铁站里的烤肠15一根～价格：天门山A线套票门票?上下山索道278元从天门山寺那里还坐了一个缆车?每人25元（最多可乘2人）                            		                            收起评价","? ???? ??? ???? 天门山今天出来见见世面交通:从长沙到张家界的车次很多，订的汉庭酒店?有一次接站服务，所以司机从张家界西站把我们送到酒店大概15-20分钟左右，还挺方便。特色体验:天门山索道，天门山索道就在市区内，我们从酒店走过去4，5分钟然后排队乘坐进山缆车，全程大约有30分钟，每个缆车8人，刚坐上会害怕不敢往下看，缆车上的阿姨很可爱，开始还安慰我们不要怕，后来阿姨自己怕的嗷嗷叫哈哈哈哈哈哈天梯：999级天梯，真的很刺激，腿从山上抖到山下，下了天梯之后有小卖部，烤肠5元一根，尊的很美味，也很划算，凤凰古城高铁站里的烤肠15一根～价格：天门山A线套票门票?上下山索道278元从天门山寺那里还坐了一个缆车?每人25元（最多可乘2人）                            		                            收起评价"
Titi,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-11-17 11:11                            
                            ","张家界旅行，报了本地团，主打一个轻松无脑省心游。?乘坐世界上最长的高山索道上山，从市区直达山顶，全程将近半小时，从城市到田园再到峭壁，随着一步步攀升，饱览美景的同时，也不禁感叹人类的智慧与大自然奇迹的完美融合。?本着景能坐交通工具决不多走一步的原则，下山选择了穿山扶梯，一眼望不到头的电动扶梯，全部在山体内部，一段接一段长到怀疑人生。山上景色其实一般，最壮观的还是标志性景点天门洞。山体中部，天门洞开，像一面明镜嵌在天幕中，又像通往天界的入口，不身临其境真的难以体会这种震撼，不禁感叹大自然的鬼斧神工！                            		                            收起评价","张家界旅行，报了本地团，主打一个轻松无脑省心游。?乘坐世界上最长的高山索道上山，从市区直达山顶，全程将近半小时，从城市到田园再到峭壁，随着一步步攀升，饱览美景的同时，也不禁感叹人类的智慧与大自然奇迹的完美融合。?本着景能坐交通工具决不多走一步的原则，下山选择了穿山扶梯，一眼望不到头的电动扶梯，全部在山体内部，一段接一段长到怀疑人生。山上景色其实一般，最壮观的还是标志性景点天门洞。山体中部，天门洞开，像一面明镜嵌在天幕中，又像通往天界的入口，不身临其境真的难以体会这种震撼，不禁感叹大自然的鬼斧神工！                            		                            收起评价"
李知恩,<span class="sml-rank-stars sml-str35 star"></span>,"
2023-11-08 18:43                            
                            ","曾有一个雕塑家说过:""生活不缺少美，而是缺少发现美的眼睛。""张家界就是一个美丽的地方。暑假里，我和爸爸妈妈到美丽的张家界旅游。来到山脚，就与微风撞了个满怀，动听的鸟鸣，芬芳的花香，美丽的蝴蝶，好像在欢迎我的到来，我的心也热切地和他们打招呼:啊!我终于见到你了--迷人的张家界!景色秀丽的张家界，有高峰，有幽谷，有瀑布，有溪流。烟雾缭绕，让人感到如进仙境一般!那美丽的景色更给增添了几分神秘的色彩。张家界的山峰千姿百态。那些在清澈的小溪间的山，像一块块小巧的窝窝头;在张家界我还看到了传说中沉香为救母亲劈开的山，像一个时尚的"" V""字造型。那些从地面拔地而起的山峰，更像是鳞次栉比的大楼。张家界的景色美不胜收。金鞭溪的溪水在阳光的照射下，就像一条金色的鞭子一样;悬浮山就像断了一节节的山，像是悬在天堂上的山;百龙天梯，它是全亚洲最长的电梯，它一共有326层，像一条长龙一样通向天空，乘坐这样的电梯让我真实地感觉到自己就是生活在美丽的天堂之上!啊，张家界，多么让人难忘的地方                            		                            收起评价","曾有一个雕塑家说过:""生活不缺少美，而是缺少发现美的眼睛。""张家界就是一个美丽的地方。暑假里，我和爸爸妈妈到美丽的张家界旅游。来到山脚，就与微风撞了个满怀，动听的鸟鸣，芬芳的花香，美丽的蝴蝶，好像在欢迎我的到来，我的心也热切地和他们打招呼:啊!我终于见到你了--迷人的张家界!景色秀丽的张家界，有高峰，有幽谷，有瀑布，有溪流。烟雾缭绕，让人感到如进仙境一般!那美丽的景色更给增添了几分神秘的色彩。张家界的山峰千姿百态。那些在清澈的小溪间的山，像一块块小巧的窝窝头;在张家界我还看到了传说中沉香为救母亲劈开的山，像一个时尚的"" V""字造型。那些从地面拔地而起的山峰，更像是鳞次栉比的大楼。张家界的景色美不胜收。金鞭溪的溪水在阳光的照射下，就像一条金色的鞭子一样;悬浮山就像断了一节节的山，像是悬在天堂上的山;百龙天梯，它是全亚洲最长的电梯，它一共有326层，像一条长龙一样通向天空，乘坐这样的电梯让我真实地感觉到自己就是生活在美丽的天堂之上!啊，张家界，多么让人难忘的地方                            		                            收起评价"
Lyra,<span class="sml-rank-stars sml-str50 star"></span>,"
2023-10-28 10:29                            
                            ","?打卡湘西神山——天门山?? 天门山是张家界最高的山峰，乘世界上最zui长（7455米）的索道缆车?上山，体验云??在脚下，奇峰尽览、万象目中的豪迈感觉。观五大奇观，99道盘山公路??尽收眼底。最险峻的栈道悬挂于峭壁悬崖边上，站在玻璃栈道，脚下是万丈深渊，绝对惊心动魄到极致，惊险又刺激?。天门洞是万众瞩目的打卡圣地。下山乘坐12道穿山扶梯，一次令人赞叹的体验。                            		                            收起评价","?打卡湘西神山——天门山?? 天门山是张家界最高的山峰，乘世界上最zui长（7455米）的索道缆车?上山，体验云??在脚下，奇峰尽览、万象目中的豪迈感觉。观五大奇观，99道盘山公路??尽收眼底。最险峻的栈道悬挂于峭壁悬崖边上，站在玻璃栈道，脚下是万丈深渊，绝对惊心动魄到极致，惊险又刺激?。天门洞是万众瞩目的打卡圣地。下山乘坐12道穿山扶梯，一次令人赞叹的体验。                            		                            收起评价"
