用户名,时间,评论
"
                                胖吖吖呢
                                ","
2023-09-06 12:46                            
                            ","
                            非常非常非常非常不值得推荐，非常非常差的一次体验店里边好多小飞虫就是有点类似于果蝇，但是果蝇又没有那么大，一开始我们两个一直在说话都没有怎么看菜的品质的问题，到后来下菜的时候发现，菜都蔫巴了，然后就发现了好多小飞虫最少五只一直在飞，不知道肉的品质怎么样已经吃进去了，后来我们叫了服务员服务员说也不知道怎么回事，这两天就是虫子挺多的，这店里的菜品怎么着也是入口的吧，就这样的品质，你们敢吃吗？后来服务员给我们换了两个蔬菜拼盘也吃不下去了，我们就打包带走了，但是后来一想店里的环境那样一共也就一个人两个人在那坐着吃饭，苍蝇满天飞，打包的菜都扔了，真是恶心坏了，服务员过来的时候就眼睁睁看着，也不对，人家说我拿扇子给你扇扇吧，这还是一个连锁的店，这样的品质，不是砸自己的招牌吗？
                            

		                            收起评价


"
"
                                一路楚垚
                                ","
2023-11-22 21:30                            
                            ","
                            从来没给过0.5星差评，但是这次真的生气了😤很不好吃，小料没有芝麻和花生碎，菜品种类很少，菜和肉都很少，锅底也没有味道，和清水涮的一样，环境也不是很好，最重要的说说服务
[服务铃]服务：
我们问锅怎么还不开（15分钟了）服务员看了一眼很高傲的来一句开着呢，最后还是我们自己调了调才好
后来吃完去洗手间，镜子那里的地方不是很大，我在补口红，服务员直接开水洗手，水溅到我身上了什么都不说直接转头走，我也没说什么。水开小点不行嘛？我吃个饭惹你啦，算了不说了
没打算拍照，这个视频是给朋友分享别的
                            

		                            收起评价


"
"
                                Estrella
                                ","
2023-07-06 20:54                            
                            ","
                            很差劲的一次体验，服务员态度也不好，大喊大叫，自己家办什么活动都不知道，也不好好培训一下再上岗，真是无语，大夏天的点饮品，竟然给去冰，凤梨柠檬茶全糖竟然是苦的，难喝的不行，肉也很散，很柴，以后不会再来吃了，环境一般般，乱糟糟，
[服务铃]服务:
根本没有任何服务态度
                            

		                            收起评价


"
"
                                原野
                                ","
2023-07-06 17:04                            
                            ","
服务很差，主推店里套餐，不点套餐，爱搭不理。
产品不新鲜，拼盘都变质了，有食品安全问题。
体验感与原来心中，天壤之别。失望了。	                        "
"
                                郭瑞
                                ","
2023-06-30 18:53                            
                            ","
服务太差劲了！！！整整一顿饭，没见几次服务员。也没几桌吃饭，不知道这些服务员忙啥！！差劲！！！！服务太差劲！！！干锅了都，不喊人不来加水！！！服了	                        "
"
                                图图
                                ","
2023-05-23 19:59                            
                            ","
                            点餐服务让人很难受  体验过程一点也不好 点餐的阿姨态度真的真的太太太让人难受了 让人瞬间没有想吃的感觉了  而且菜单上的东西也不全  下次不会来了不推荐而去菜品价位还不如去海底捞 吃饭本来一半吃的就是体验感 。这感觉我还不如去吃路边摊 最后没有吃饱 点了一份方便面五块和一点点的拉面3元  家人们不推荐不推荐  不推荐
                            

		                            收起评价


"
"
                                熊三
                                ","
2022-10-30 09:46                            
                            ","
                            [薄荷]环境:
位置在乐汇城四楼吉木烤肉的旁边，就是呷哺呷哺，中午过去的人少的可怜，两个大长牌的桌子只做了我一个人，去完以后我才知道为什么店内生意这么差了。去的时候，有菜单和扫码自行选择就直接放那儿了，点完餐了以后呢也没有人开火，也没有人告诉我餐具在哪，都得自己问，全程落座，基本上没有任何服务。店里面的人员都是阿姨，大叔这种的态度很一般，很冷淡，没有任何热情的感觉，在四楼的其他店铺来讲的话要差很多，所以这也是为什么他们声音这么差的原因。小程序的话点单还有bug，还不能删减物品，还需要店员自己去下单改物品，新人的话还有一个9块钱的一个优惠券可以使用，除了火锅底料价格低一点，其他物价其实跟海底捞差不多，还不如加一点钱去海底捞，他那边选择更多，这边的话只有麻将。香菜，葱还有一些小调料特别特别少，海底捞基本上要比他两倍还要多，而且味道还要好，不知道其他分店做的怎么样，过程中也没有水提供之类的，避雷这家分店！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2022-06-12 14:31                            
                            ","
                            吃过的呷哺里服务最最差的一家店，进去没有服务员接待，自己找位置坐下，点餐让扫码点。刚扫码点完准备付款了又被告知扫码不行，服务员给点又点错套餐，真的是大无语，关键是还不承认，以后再也不会来的一家店了，而且带着小孩子去，连个小勺子都没有，一问就头也不抬，抬手一指让自己去找吧
                            

		                            收起评价


"
"
                                天天天天天
                                ","
2022-01-30 14:38                            
                            ","
服务态度极差，店长推荐套餐更贵更不合适	                        "
"
                                嘟嘟巩
                                ","
2021-10-17 16:45                            
                            ","
                            吃过多次的呷哺，今天真是最差劲的一次。今天本来要去汇华广场用餐，两点多去了被告知闭餐了，这家店之前都不闭餐的，大众点评营业时间也未变更。然后又来到乐汇城四楼的呷哺，没几桌，还在营业。
接待的女服务员态度还不错，点餐的眼镜男服务员态度就很不好，点餐后也不重复，让他重复之后才知道有漏掉的菜品。这个男生应该是中午累了，后续干活都像是带着情绪，收桌也很用力礅放餐具，弄出很大的声音。
蘸料台的XO海鲜酱也没有了，据说都取消了。
点了两份羊肉，有一份非常的肥，基本上没法吃，看到眼镜男的态度，也懒得去沟通了，一份羊肉200克，肥肉占据一半了，这是卖羊尾油吗？之前吃过多次，多家店，没有过这样的。
从未给过呷哺差评，这次乐汇城真的很糟糕。
                            

		                            收起评价


"
