用户名,时间,评论
"
                                大禹小哥
                                ","
2024-01-24 18:14                            
                            ","
                            不错不错，味道不错！味道好极了……位于乐汇城4楼……服务员态度不错……介绍的也比较详细……环境干净卫生……食材选用比较新鲜……
[薄荷]环境：

[服务铃]服务：
朋友聚会还是三五好友聚餐，是个不错的选择……同时也是爱好火锅的吃货适合选择的地方……
                            

		                            收起评价


"
"
                                更精彩的活_4127
                                ","
2024-01-19 22:53                            
                            ","
                            现在呷哺也出鸭血，豆腐免费吃了，还有香喷喷的大米饭都是免费的，就是菜品稍微比以前贵了些，说是肉量大了，但蔬菜大盘子菜量少了不少啊，鸡蛋也没有了，最爱的牛眼也没有套餐了哎真希望呷哺能多出点平价的套餐，从大学吃到现在就呷哺的麻酱没有变


		                            收起评价


"
"
                                堵神123
                                ","
2023-11-22 13:56                            
                            ","
                            中午约着朋友小聚一下，还是蛮方便的。
中午人不多，顺利进去开桌，团购双人餐。
量还可以，俩男生面都没吃，还有两杯奶茶。
自助小料的可选择还是比较多的，尤其是店内秘制挺符合我口味。
服务态度也不错，这次强烈推荐图片这个汤底，好吃。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-01-26 10:27                            
                            ","
                            很棒！就餐体验很好，孩子随身带的玩具忘在店里了，店员也很细心的给保管起来了。但是现在的呷哺比原来贵了不少，他已经不是当年的呷哺了。口味还是熟悉的味道，麻酱也是一如既往的好吃，不过能不能加个花生碎啊，好爱花生。。
                            

		                            收起评价


"
"
                                BELLO
                                ","
2023-11-20 11:43                            
                            ","
                            好久没有来过乐汇城这个呷哺了。呷哺的麻酱那真的味道真的相当不错的，今天来的早没什么顾客但服务是真的很热情，点餐上菜速度都很快。菜量觉得比以前大了不少，但是菜类好像少了很多，建议对上菜菜品。精选肥牛竟然没有货希望快快上有货吧。其他都挺好的吧错八错
                            

		                            收起评价


"
"
                                清风霁月
                                ","
2023-11-10 17:09                            
                            ","
                            天气冷了，吃火锅是不错的选择，一个人就推荐去呷哺呷哺，套餐很合适，有肉有菜有主食，麻酱浓郁，味道正宗，关键价格也合适，五六十就能吃饱，还不用担心食材不安全，连锁店安全放心，人多的时候还需要排队，不错的选择
                            

		                            收起评价


"
"
                                礼谦温柔的小叶
                                ","
2023-12-09 20:31                            
                            ","
                            [薄荷]环境：
环境很不错的
[服务铃]服务：
每次吃呷哺都会选乐汇城这个店，主要也是离的近还有就是服务还很不错，每次都是找那个大姐服务真的不错。今天是一家五口来的给推荐的储值还挺合适🉐储值还送一份双人餐真的挺好的推荐


		                            收起评价


"
"
                                匿名用户
                                ","
2023-11-22 16:12                            
                            ","
                            又到了冬天吃火锅的时候，每年冬天都会在他家消费好多，口感味道没得说，时不时还有优惠活动折扣套餐啥的，完美的选择，很推荐他家的羔羊肉，口感很嫩很鲜「乐汇城」「麻酱」「经典蔬菜拼盘」「草原羔羊肉」「虾滑」「糖蒜」
                            

		                            收起评价


"
"
                                年年有鱼
                                ","
2023-11-27 18:54                            
                            ","
                            吃火锅火锅一般都来呷哺呷哺，食材新鲜且经常充了会员很划算，火锅食材齐全，最重要是麻酱非常nice
门店环境很好，非常干净整洁。来过七八次了，因为这家店离住的地方不远，所以偶尔会过来吃。菜品种类丰富，而且都很新鲜。
                            

		                            收起评价


"
"
                                十月初五的月光
                                ","
2023-11-05 23:18                            
                            ","
                            下雨天吃火锅，和同事一起去乐汇城四楼的呷哺吃火锅，麻酱小料依旧是最爱。只是觉得锅底不太满意，鸳鸯的麻辣锅底有点不浓郁，单独加锅底还得有费用，很多火锅店不是不够麻辣都可以要求加锅底吗？希望呷哺也能改进一下呢！
                            

		                            收起评价


"
"
                                遇见
                                ","
2023-11-24 12:45                            
                            ","
                            作为一个南方人来北方太冷了，吃顿火锅暖和一下，在市中心乐汇城附近出差，在乐汇城四楼转了一圈，果断选择了呷哺呷哺，五个人，大众上有个四人餐，超级实惠，五个人也够吃，优秀，
快来薅羊毛吧，多囤几张券
                            

		                            收起评价


"
"
                                塔
                                ","
2023-11-24 12:54                            
                            ","
                            工作在乐汇城附近，还有半天就可以放假了，伸个懒腰舒服一下吧，同事几个人出去嗨皮一下，冬天最适合的就是火锅，火辣辣的，而是冬天也适合吃羊肉，火锅很多，呷哺呷哺最合适，五个人一个四人餐，量超级大，五个人没吃完，难以想象吧
                            

		                            收起评价


"
"
                                情有独钟
                                ","
2023-11-25 14:07                            
                            ","
                            [薄荷]环境:
店里环境还是可以的，我们背后就是一个生日背景哈哈😃挺好的
[服务铃]服务:
服务还是中规中矩的给我们点菜的姐姐也是特别的好给我推荐了合适的套餐还省了不少钱给我们。满意。呷哺的麻酱那必须的绝绝子啊相当不错
                            

		                            收起评价


"
"
                                在云台山打网球的燕麦粥
                                ","
2023-11-24 12:58                            
                            ","
                            防诈骗都走进呷哺呷哺了，哈哈哈哈哈哈，看来现在防诈骗很重要，建议大家都下载防诈骗app
说正事，今天是来吃火锅的，「经典蔬菜拼盘」「拉面」「精品牛上脑」「茉香奶绿」➕点珍珠，要珍珠奶绿，珍珠Q弹，有嚼劲，每次来必点
                            

		                            收起评价


"
"
                                大美女
                                ","
2023-11-24 12:51                            
                            ","
                            我今天是来推荐菜品的，锅底推荐香辣牛油和菌汤，牛油很正宗，调料是6块钱一位，也不贵，牛肉的话推荐牛眼肉，几乎纯瘦而且还嫩，羊肉的话就30的羊肉就行，肉质比较鲜美，蔬菜拼盘最合适，26块钱一大盘菜，两个人的量
                            

		                            收起评价


"
"
                                桑葚腌柚子
                                ","
2023-11-26 13:16                            
                            ","
                            「麻酱」最喜欢他们家的麻将了，很好吃，种类很多，很齐全，不错，推荐！
[服务铃]服务:
服务很周到，主动给我们介绍合适的套餐，不错！棒棒的！
[薄荷]环境:
环境很好，也有大桌，人多也可以坐下，「脆骨羔羊卷」脆骨很好吃！！推荐！
                            

		                            收起评价


"
"
                                The_littlegirl
                                ","
2023-11-24 12:41                            
                            ","
                            [薄荷]环境：
环境很好，我们到的时候人还不是很多，没一会的功夫坐满了，看来生意非常非常好，而且我们卡的时间点也很好，哈哈哈哈哈

[服务铃]服务：
服务员大姐很热情，我们点多了还提醒我们有点多，很优秀，good，


		                            收起评价


"
"
                                习惯
                                ","
2023-08-19 13:07                            
                            ","
                            呷哺呷哺是一家在火锅界颇具知名度的连锁店。正好会员卡里面还有不少余额，就约朋友来吃涮锅了。他们的「菌汤锅底」是一道不容错过的美味锅底。浓郁的菌香与鲜美的汤底相互融合，给人口感上的双重享受。
「精品肥牛」也是呷哺呷哺的招牌之一。细腻嫩滑的牛肉搭配着调味得恰到好处的蘸料，使得每一口都充满了牛肉的鲜香。肥牛卷的特色在于肥瘦相间的肉质，使得口感更加丰富。
另外，「经典蔬菜拼盘」也值得称赞。多种蔬菜搭配在一起，既美观又健康。同时也为火锅增添了色彩。搭配不同的蘸料，蔬菜拼盘更能提升整体的口味。总之也是很值得用餐的地方。
                            

		                            收起评价


"
"
                                Bone
                                ","
2023-12-02 12:06                            
                            ","
                            [薄荷]环境：
环境还是不错的，店面觉得比以前小了不少
[服务铃]服务：
服务还是比较热情的，给我们点餐这个大姐挺不错的，推荐了很合适的套餐。不错菜量觉得比以前大了还是盘子的过啊，总之满意🈵.呷哺的羔羊推荐还有牛油锅底很棒
                            

		                            收起评价


"
"
                                赚钱买德文
                                ","
2023-08-29 14:36                            
                            ","
                            环境还是一如既往的好，适合拍照，也很放松，羊肉牛肉味道很足，鱼也不过，没啥刺很闷，虾滑也好吃每次必点，最近点了个之前没吃过得鸡肉块，第一次涮鸡肉块，完全出乎意料，入口不斯，很滑很嫩，应该是提前腌制过了，饮品推荐抹茶奶绿，入口绿茶变奶茶很不错店家服务也很好，一直关注着帮忙添水。总之吃呷哺绝对不亏，强烈推荐。
                            

		                            收起评价


"
"
                                Fiona
                                ","
2023-09-22 20:58                            
                            ","
                            吃了好多年的呷哺了，基本各大商场都有，连锁店就是规范，食材新鲜干净，都是称过一份份摆放整齐的，两个人点了双人餐根本没吃完，量大，点的菌汤锅底，蔬菜拼盘种类丰富，特制的麻将百吃不厌，有着独有的味道


		                            收起评价


"
"
                                在布达拉宫念诗的田螺
                                ","
2023-09-12 20:29                            
                            ","
                            今天晚上来呷哺吃晚饭 想吃火锅啦 我就带着男朋友来了
[薄荷]环境：
环境很不错 干净卫生 店里的灯光有一种很足的氛围感 让人感觉食欲大增
[服务铃]服务：
呷哺呷哺的服务的话也不错 给我们点菜的是一个小姑娘 态度特别好 特别有耐心 真的很棒

菜品的话也是很新鲜 很好吃 超级香 尤其是蘸料和锅底 简直是yyds 下次还来吃


		                            收起评价


"
"
                                善良可爱呼啸螺
                                ","
2023-10-03 19:17                            
                            ","
                            今天带一家子来乐汇城吃呷哺呷哺啦 
[薄荷]环境：
环境不错 干净又卫生 暖光灯的设计也有氛围感 而且现在优惠力度也很大 强力推荐来吃
[服务铃]服务：
服务员态度也很好 给我们很耐心的介绍菜品和优惠 我们吃的超级实惠

菜品也很新鲜很好吃 下次还来吃呷哺呷哺
                            

		                            收起评价


"
"
                                香蕉皮10
                                ","
2023-12-13 11:41                            
                            ","
买了双人套餐 物超所值 食材也新鲜 服务好 上菜快 下雪天和火锅很配哦	                        "
"
                                匿名用户
                                ","
2023-12-11 17:21                            
                            ","
呷哺，双人餐单人餐，都很实惠，锅底也不错，一个人去也不尴尬，菜品也新鲜	                        "
"
                                聪明轻盈哇哇蚊
                                ","
2023-11-03 00:17                            
                            ","
                            「经典蔬菜拼盘」必点。「印度风味咖喱锅底」必点「拉面」陪麻将绝了。麻酱。。？「精品肥牛」可以一大盘「大红袍奶茶」喝了睡不着「尊选牛眼肉」套餐内的「午餐肉随心配」加菜首选。。「呷哺草原羔羊肉炸串」可以试试「珍珠奶绿」睡不着喝了
                            

		                            收起评价


"
"
                                Zlws
                                ","
2023-10-28 14:52                            
                            ","
                            火锅经常吃呷哺呷哺，是我感觉庄里火锅店的性价比之王了。价格比较亲民，环境也不错。价格也不贵。他的麻酱调味非常好。我很喜欢吃他们家的麻酱，每次吃呷哺呷哺都能吃两碗麻酱。肉很软。我一般想吃火锅了就会首先想到他们家
                            

		                            收起评价


"
"
                                fangfang15
                                ","
2023-10-27 18:28                            
                            ","
小火锅必须首选呷哺啊
肉好就吃呷哺涮
一个人也能自在火锅～	                        "
"
                                匿名用户
                                ","
2023-10-26 17:25                            
                            ","
                            [薄荷]环境:     
位置很好找，就在乐汇城南门入口右边的大楼梯，做上去往前一走就是。
环境很好，干净整洁。
小料也很醒目很好找。

[服务铃]服务:
点餐不会催，上菜速度很快。有需要也会立刻帮忙，即使一个人在中间吃单锅也不会尴尬。



		                            收起评价


"
"
                                失眠小笼包
                                ","
2023-10-16 19:59                            
                            ","
                            还是第一次来呷哺呷哺乐汇城这家店！呷哺呷哺最早是因为小火锅让大家熟知并喜爱！后来他家有了饮品！他家的珍珠是小颗粒的！茉莉奶绿很好喝！团购优惠力度还挺大的！有时候还有特别实惠的活动！整体来说性价比很高了！
                            

		                            收起评价


"
"
                                诚恳聪慧呼嗷蜂
                                ","
2023-10-11 18:34                            
                            ","
天气转凉吃火锅最爽了带儿子吃呷哺呷哺，很爱他家的麻将和咖喱锅底几天不吃就很想，超级赞赞赞，一直喜欢来乐汇城这边服务贴心东西也很多，菜品很新鲜超级满足	                        "
"
                                优秀清幽呼嘘龙
                                ","
2023-10-08 18:44                            
                            ","
                            真是很久很久没有来吃过呷哺呷哺了今带着老婆跟孩子👶🏻一起来的，真好是逛到南三条这边了这个店还挺方便找的上四楼就看到了，挺显眼的。服务还是中规中矩的，菜量貌似比以前看似少了一点点哈哈不过三人点的双人餐吃的也是饱饱的


		                            收起评价


"
"
                                慧刚开朗的小婉
                                ","
2023-10-07 19:39                            
                            ","
服务非常优秀一直喜欢来乐汇城这边吃呷哺酱料让人欲罢不能.店员非常热情.菜品也非常新鲜，锅底一直喜欢麻辣的非常浓郁，最爱吃这个菜拼盘东西真的很多，羊肉口感也很好很嫩，非常满意	                        "
"
                                A.猫大爷爱看网课
                                ","
2023-09-28 12:40                            
                            ","
                            今天来吃呷哺呷哺啦 呷哺呷哺真的香

[薄荷]环境：
环境比较干净卫生  暖光灯的设计灯光也比较亮 有一种约会的氛围感

[服务铃]服务：
服务员的服务也是很好 很有耐心给我们介绍菜品和优惠 我们吃的很实惠 真的爽
我们吃的牛油锅真的辣 真的爽 菜品也很新鲜 麻酱也很香下次还来 好评
                            

		                            收起评价


"
"
                                钱多多jc
                                ","
2023-09-24 21:30                            
                            ","
                            这家店开了很多年了，位置就在商场的四楼非常的好着，然后那个活动也比较多，可以参加团购什么的是相对合适的，然后这么多年口味基本上保持的还是相对稳定的，蔬菜拼盘一个人吃，基本上正合适吧，然后里面的东西倒也挺丰富的。
                            

		                            收起评价


"
"
                                智慧优雅嘿嘿马
                                ","
2023-09-23 20:12                            
                            ","
                            和妈妈来吃呷哺呷哺咯 呷哺呷哺是真的香

[薄荷]环境：
环境比较不错 干净整洁卫生 确实不错 暖光灯 门口居然还有娃娃机真的是很惊喜

[服务铃]服务：
服务的话也是很不错 很nice 服务员很有耐心的给我们介绍菜品和优惠 我们吃的很实惠

菜品也很新鲜超级好吃 下次吃火锅还来呷哺
                            

		                            收起评价


"
"
                                芋圆小丸子
                                ","
2023-09-21 17:27                            
                            ","
环境很棒，人员热情，菜品新鲜，很好的体验	                        "
"
                                妞妞199112
                                ","
2023-09-20 19:38                            
                            ","
还是一如既往的好吃，
[服务铃]服务:
服务很好，满意。菜品卖相不错，肉质也好
[薄荷]环境:
地方挺大，总体还可以。麻将很经典「麻酱」「暖春番茄锅底」好吃推荐，可以尝尝	                        "
