用户名,时间,评论
"
                                YY.
                                ","
2023-12-31 14:20                            
                            ","
什么服务态度，排了半天队只不给我们饮品尝，问她要当我面吧那个给了别人了跟我说没有 "
"
                                睿慧清秀的小亮
                                ","
2023-12-24 15:52                            
                            ","
服务员什么态度了，点个餐你扫码吧，连个人都不管，怎么了，什么玩意呢	                        "
"
                                看你胖成啥了
                                ","
2022-08-01 12:59                            
                            ","
品类太少，菜单上点的菜好多都没有。给人以呷哺呷哺要倒闭的感觉	                        "
"
                                匿名用户
                                ","
                                2022-07-16
  更新于2022-07-17 22:47                            
                            ","
                            呷哺呷哺是我学生时代的最爱！在北京07年就开始吃，真是目睹了呷哺由盛转衰的全过程…这次想着小半年没有吃了，想回忆曾经的味道就来了万象城的呷哺，首先最招牌的呷哺芝麻酱我觉得要比n1店好吃，起码没有辣么咸，和以前的味道没法比，但也好在不难吃，当今物价真是飞涨得离谱，曾经学生时代二三十就能吃一顿的小火锅如今两个人随便点点也得小二百，而且菜量缩水严重质量也堪忧，真是不复当年排队排死个人的光景了，真是可惜……再说一下万象城呷哺店的相关问题，桌子上贴着点餐码却不能点餐扫不开东西，问服务员点餐得费好大劲才能要到纸质菜单！小料台很多东西没有，芝麻酱不及时补充，纸巾找不到！最关键的是我吃过n家呷哺了，他们家是唯一一个不给消费小票的，吃完了我也没想起来要，点完菜就问你结账，也不知道最后消费的对不对，只是冷漠的告诉你的消费金额，无语透了！再说菜品，量少的可怜就不说了，质量还极差，蔬菜拼盘里一半的食材都不新鲜，菜几乎都扔掉了不能吃！肉非常硬，不管你煮几秒都是硬的没法下嘴，关键我点的还是很贵的牛上脑，一个盘子里六七片不能再多了，简直性价比极低！最关键的是，咱正常用餐用真实体验反映自己的点评，还被商家围追堵截要求删评价，这家呷哺的好评如潮是怎么来的真是令人细思极恐！再也不会踏入他家半步了，太可怕了
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2022-05-21 21:04                            
                            ","
服务态度极差 服务员根本不带搭理人 菜品好多都没有 锅都快煮干了也没有人来加水 机器人送来菜还要自己端 拉黑了这家店 下头	                        "
"
                                起名字好难
                                ","
2022-01-28 16:15                            
                            ","
一般一般，排位服务员根本不会安排，小桌排的多，大桌空下也不给安排，刚开始跟我说十分钟左右，后来的大桌都进去了，我俩硬生生等了半个小时后，太差劲了	                        "
"
                                Asingleperson丶
                                ","
2021-11-21 21:49                            
                            ","
排队取号居然是250，无言以对	                        "
"
                                匿名用户
                                ","
2021-07-29 21:20                            
                            ","
                            差评，严重差评，打着呷哺的口号而已，挂羊头卖狗肉，服务一般，口味一般，关键是味道也一般，就搞个机器人就好像高大上了，两个大人一个孩子200块钱不够吃的，菜量少得可怜，一般的呷哺店两百够四个大人吃了，真的吃得特别不爽，性价比太低了
                            

		                            收起评价


"
"
                                yuanpiggy
                                ","
2021-07-05 00:10                            
                            ","
呷哺呷哺刚开始定位是价格低菜量少可一人吃的火锅，现在价格上去了，菜量却还是那么少，人均110，两个人吃二百多的火锅可以有更好的选择。	                        "
"
                                烨小之白
                                ","
2021-06-02 15:53                            
                            ","
                            [服务铃]服务：
首先吐槽一下他们家的水杯（图6），能不能换一种杯子。用这个杯子倒水好几次都能把盖到出来，把水洒了出来，里面的橡胶圈很松，遇到这种情况真的很影响心情。还有前厅迎宾真的很混乱，号在乱叫，需要排队等位也不给号。前厅接待需要加强培训。服务一般，要了白水，也不给主动拿点杯子，还得问要，小料台那儿也没有杯子。纸巾提供也是一点点🤏。

[薄荷]环境：
环境还可以，就是中午去的时候稍微有点热。
火锅的食材和味道这个完全可以，没有槽点。就是加强服务吧。
                            

		                            收起评价


"
