用户名,时间,评论
"
                                加载中...
                                ","
2024-02-09 21:42                            
                            ","
                            位置在万象城商场里面四楼，很大的logo，四楼N次方成里面门口第一家，我们30几个人，直接包了他家门口一块区域，还挺私密，不会被打扰，也可以做我们的主题装饰。小姐姐早上就给我们准备好，小哥哥还主动帮我贴条幅，我们还吃了好几次芝麻酱，也只收了一份调料费，吃完饭以后还有像刨冰一样的饮料，哇偶，好爽啊，好开心🥳
                            

		                            收起评价


"
"
                                何延东先生
                                ","
2024-01-22 14:20                            
                            ","
                            图片由红餐智库微信公众号提供
不错，年底制作了很多产品，菜品和奶茶。这行业竞争越来越厉害了。希望大家选择自己喜欢的吧！因人而异，呷哺呷哺火锅消费也上人均100左右。在万象城4楼。环境卫生安全等都是合格得。因为万象城员工证要消防考试，不过感谢呷哺呷哺了！！
图片由红餐智库微信公众号提供
                            

		                            收起评价


"
"
                                Mina立夏.
                                ","
2024-02-12 15:00                            
                            ","
                            [薄荷]环境：
位置在万象城的四层，桌数不少，能容纳不少人

[服务铃]服务：
服务挺不错的，还有最喜欢的味增底，还是很不错的。
「老四川风味麻辣锅底」和「什锦鲜蔬大拼盘」每次都必点，拼盘里的种类也不少，双人餐两个人能吃饱。


		                            收起评价


"
"
                                请享受无法回避的痛苦_755
                                ","
2023-11-01 23:05                            
                            ","
                            呷哺呷哺吃了好多年了，麻酱最爱，其他的连锁店正常水准吧，万象城4层，晚上去的不是周末人不多
[薄荷]环境:
环境晚上非常的奈斯，灯光配上不是很冷的天气，非常适合年轻人玩，视野非常的好。
[服务铃]服务:
整体服务还是可以的
                            

		                            收起评价


"
"
                                小美
                                ","
2023-11-26 12:35                            
                            ","
                            呷哺呷哺家经常光顾，昨天团了176套餐，吃的剩下一点还，分量还是够的，他家的芝麻酱味道还是不错的，响铃卷这次吃感觉还可以，点的牛油➕韩式泡菜锅底，每次主食必点粉丝，比较有味！他家服务和环境也是平价版海底捞，就是买了畅想卡感觉也没有特划算，不如之前充值的简单粗暴！
                            

		                            收起评价


"
"
                                木木
                                ","
2023-11-27 16:21                            
                            ","
                            从深圳到太原 吃过很多家呷浦呷浦火锅 但是他们家应该是我见过服务最好的 每个服务员的态度都很亲和 也很有眼力见
食材感觉他们家的也比较新鲜 每次点的都是羊肉和午餐肉以及蔬菜 都不会踩雷 店员还把优惠活动主动告诉我们
他们家的麻酱YYDS 永远吃不腻


		                            收起评价


"
"
                                猫猫花
                                ","
                                2023-12-18
  更新于2023-12-19 10:33                            
                            ","
                            晚上去逛万象城 点了两杯冬瓜柠檬全糖热饮 回到家里来喝 发现两杯口味完全不同 一杯和之前点的一样 是酸甜的 另一杯完全是纯甜 没有一点点柠檬的味道 不知道是制作失误还是品控的问题 我一直喝这一款 口味没变过 不可能是口味的问题 为什么会有这么大的差别呢？ 门店的小姐姐送了试喝的奶茶和葡萄味饮料 都好喝
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-09-30 21:27                            
                            ","
                            一段时间不吃就超级想念的火锅，咖喱锅绝绝子，一家性价比超级高的店铺，菜品都不贵，分量也比较少，很适合一两个人去解馋，也有一个人单独的位置，上班一个人去吃也很棒哦。
牛肉和羊肉都很不错，是现切的，蔬菜拼盘比较大，一个人去还是别点套餐了，完全吃不完，一定要留肚子在咖喱锅煮一份拉面和一个鸡蛋，太美味了奶茶也超级好喝，茉莉奶绿永远的爱
                            

		                            收起评价


"
"
                                能干温柔哇哇蝌
                                ","
2023-11-08 20:24                            
                            ","
                            位于万象城四层N次方里面，地方挺好，的进门就能看见呷哺呷哺，有新上的套餐活动，
菜品比较新鲜，分量也特别足，特别推荐他家的咖喱锅底和麻酱，配拉面相当好吃，
喜欢呷哺好多年了，这家店和其他店装修不一样，店内环境干净整洁，服务也比较不错，
                            

		                            收起评价


"
"
                                A莫诚
                                ","
2023-11-15 23:18                            
                            ","
                            「印度风味咖喱锅」越吃越有味，越吃越香「鲜蔬汇」「原切牛眼肉」「小料」这个小料绝对是秘制，时间长了不吃就想念，第一口就是满足，「呷哺精选肥牛」「拉面」「茉香奶绿」这些都是每次去了必点的菜，拼盘的大白菜梆子太多了
                            

		                            收起评价


"
"
                                慧勇真心的小鲁
                                ","
2024-01-09 12:33                            
                            ","
服务绝对好，而且是宠物友好餐厅，大家都很友善，会帮你安排适合带宠的区域用餐，爱住，还送底料包，大品牌就是有格局	                        "
"
                                薛之谦
                                ","
2024-01-08 20:41                            
                            ","
                            [薄荷]环境:
环境不错，标准化的装修吃的绝对放心，他家火锅底料味道不错，小料给的特别实在特别赞哈哈哈哈哈哈哈哈哈哈哈哈哈以后也会天天去光顾。
[服务铃]服务:
服务也是拉满，每一桌有对应的服务人员，以后也会对他们的服务打call哈哈哈哈哈哈哈哈哈哈哈哈哈
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-18 11:38                            
                            ","
                            今天不是饭点去的，居然来了意外，人少，氛围舒服，环境舒服，吃的舒服
[服务铃]服务：
进来服务人员比较少，有点顾不过来，建议可以增加一些人员，毕竟没闭餐
推荐万象城的店，还是非常nice，舒服舒服
麻酱依旧的好吃，小米辣还是一如既往的辣死
                            

		                            收起评价


"
"
                                小众张公子
                                ","
2023-08-22 11:10                            
                            ","
                            [薄荷]环境：
呷哺的万象城店感觉是很开放式的，就算是过道的座位也一点也不觉得吵、乱，饭桌之间间隔比较大。
[服务铃]服务：
服务真的是超预期有个大眼睛小姐姐服务超级耐心细致，给人十足的亲和感，有求必应。辣锅要微辣的话还会提供额外的底料，最后还会给你打包带走。
🍱菜品：菜品就不一一说了，感觉呷哺偶尔的充值真的是超划算，不光赠券还能当餐抵扣，还有额外积分和菜品券啥的。
                            

		                            收起评价


"
"
                                纯真轻灵嘀嗒蜥
                                ","
2023-12-26 12:35                            
                            ","
菜品新鲜，服务挺好的，店里的活动也挺多的，跟朋友一起来吃饭，体验不错，记录一下，并推荐哦 "
"
                                wll
                                ","
2023-11-08 14:32                            
                            ","
                            [薄荷]环境：
这个位置不好找，好不容易找到，看到别人点的大盘子肉，惊呆了，这肉看着就美，下次再来，一个人太多了吃不了那么多，

[服务铃]服务：
店里的小姐姐，服务真不错，贴心
麻将，超级好吃😋别的地，吃不到


		                            收起评价


"
