用户名,时间,评论
"
                                Z先森的喵
                                ","
2024-02-16 02:25                            
                            ","
                            打卡的第N家呷浦呷浦，这家感觉是店面最大的，整体来说还不错，菜品服务什么的基本没啥雷点，可能服务员对自家优惠啥的还不是很了解，对某些平台上的优惠券的使用不是很熟悉，其他还好
这次点的菌菇锅底，汤底菌子的味道还是挺浓厚的，相比咖喱锅底，吃完至少嘴边不会变黄了
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-18 17:00                            
                            ","
                            前两天刚好去南京东路玩，刚好看到了呷浦呷浦火锅店，一个人的饭当然很好解决啦！就在829号世茂广场东区L5层514号商铺，看着大众点评的地址找过来的，很好找，来的时候刚好饭市人特别多，今天不太想吃太多肉类的东西，火锅🍲以素为主，味道还是喜欢的味道👅，这次点的是麻辣锅底
[服务铃]服务：
服务还可以吧！有机会还会在光顾的！
                            

		                            收起评价


"
"
                                悠然若雪
                                ","
2024-02-13 20:32                            
                            ","
                            前一阵光顾了位于南京东路829号世茂广场东区L5层514号商铺的呷哺呷哺小火锅(世茂广场店)，店里的营业面积大小还可以，环境也还不错，没有火锅店的油腻感，还是蛮干净的，点了几道菜品，还是蛮新鲜的，味道也不错！
                            

		                            收起评价


"
"
                                吃货.一枚.
                                ","
2024-01-23 15:39                            
                            ","
                            一人食火锅的不错选择。
呷哺呷哺有咖喱锅，这个重口味一般火锅店没有。虽然一人食，但我喜欢烧大锅的炉子，这样另外一半放清水方便涮蔬菜，社恐也能避免和别人并排坐很近。
牛肉的分量还算足，肉质还可以吧，对得起价格。
午餐肉一般般，没有那种一丝丝的肉。
今年的午市套餐好像比去年少了一个生鸡蛋。
服务还不错，比较热情。
                            

		                            收起评价


"
"
                                陶勒蛋艾尼问
                                ","
2024-01-29 08:51                            
                            ","
                            哈哈哈第一次吃呷哺呷哺 真不错！好久没有吃过这种小火锅的形式啦！
进来因为坐的类似吧台位置不大 主动帮我们存包和衣服 很贴心！
两个人直接扫一个码了 可以分着吃很方便
隔壁桌是两个人分享一份蔬菜拼盘➕每个人点一份肉 基本上都吃的挺爽的
「呷哺调料」调料很浓稠 不稀很好 就是种类会少一点但足够了
「拉面」煮一点在「田园番茄锅」里很妙 建议最后煮呢个时候汤会比较稠比较入味
「茴香小油条」油条比较像冷冻 很实 哈哈煮很久还是不容易软 所以比较涨肚子 喜欢豆制品的推荐「如意响铃卷」好煮也很吸汤汁
肉就点了最普通的肥牛卷 来这吃其实也不用追求啥肉的质量啦 过个瘾更重要哈哈 喜欢！另外还点了鱼豆腐 鱼籽包 玉米和魔芋丝 都不踩雷好吃的 玉米是甜甜的可以刚开始就放进去 最后吃！
两个人这点菜足够吃饱啦 真没想到呷哺呷哺挺不错 以前是我太装了哈哈 下次试试辣锅


		                            收起评价


"
"
                                最High的放肆Y
                                ","
2023-11-29 13:25                            
                            ","
                            人民广场这家呷哺呷哺小火锅店真的太棒了！我和我的朋友两个人都非常喜欢这里的食物和氛围。

首先，店里的装修非常别致，墙上挂着各种有趣的装饰品，让人感觉非常舒适和温馨。而且，店里的服务员们都非常友好和热情，总是微笑着为我们提供服务。

其次，这里的小火锅好吃。我们选了不同的口味，包括麻辣、清汤和等，每一种味道都非常出色。而且，食材也都很新鲜，让我们吃得非常满意。

最后，价格也还是比较实惠。相比于其他火锅店，这里的价格更加亲民，让我们可以多次来这里享受美食

总之，我非常推荐这家小火锅店。如果你想要享受一顿美味的火锅，这里绝对是一个不错的选择。
                            

		                            收起评价


"
"
                                懒虎
                                ","
2023-12-25 23:21                            
                            ","
                            [薄荷]环境:
人名广场地铁站出来世贸广场5 楼，位置很好找，店铺明亮整洁
[服务铃]服务:
服务还可以，中规中矩
「拉面」我为什么这么喜欢吃火锅里的拉面啊，哈哈，可能是我河南人的胃，就好这口
「珍馔牛上脑」牛肉很嫩，下锅涮个十几秒发卷变色就好了
「果蔬拼盘」种类多，省的纠结
「黑鱼片」「呷哺精选大米龙」「呷哺香辣牛油锅」都挺不错的
                            

		                            收起评价


"
"
                                蓝蓝天空
                                ","
2024-01-25 00:17                            
                            ","
                            作为一家火锅餐厅，呷浦呷浦小火锅为食客提供了一种独特的火锅体验。这家餐厅位于市中心，环境宜人，装饰简洁而现代。

呷浦呷浦小火锅以其丰富的菜品选择而闻名。无论你喜欢吃海鲜、肉类还是素菜，这里都能满足你的口味。新鲜的食材被精心挑选，定期补充，保证了每一道菜品的品质和口感，餐厅提供了多样的食材供你选择。而他们的特色调料更是独具一格，搭配精致的创意火锅底料，为食物增添了丰富的味道。

服务方面，呷浦呷浦小火锅的员工热情友好，专业素养较高。无论是询问菜单还是推荐菜品，他们总是耐心解答，并乐意提供帮助。餐厅服务效率也比较高，确保食客能够及时享用美食。

价格方面，呷浦呷浦小火锅的价格相对适中，性价比较高而受到食客们的喜爱。无论你是和家人、情侣还是朋友一同就餐，这里都能提供一个不错的用餐选择。
                            

		                            收起评价


"
"
                                麦阳廿三
                                ","
2024-02-04 14:43                            
                            ","
                            一个人也可以吃的小火锅，超赞的。人均消费也不是很高，味道也很不错，根据食量点也不会浪费，很好很好很好 
「果蔬拼盘」啥都有，一应俱全
「云朵蜜桃茉莉」蜜桃汁带点茉莉香
「椒香小酥肉」吃火锅怎么能不配小酥肉
「手打芝士虾滑」虾滑不长胖哈哈哈
「田园番茄锅」番茄锅最爱
[薄荷]环境:
清新干净

[服务铃]服务:
周到热情
                            

		                            收起评价


"
"
                                sjy施施
                                ","
2024-02-08 21:13                            
                            ","
                            和家人去城隍庙看灯，先来南京路吃个晚饭，天冷首选当然是火锅，她家一人一锅还是可以的，想吃啥口味就点啥口味，调料也是我比较爱吃的口味，锅底照例点了清汤的，双拼里的豆皮必点两份，会员还送了一张午餐肉的优惠券，满100就能用，刚好也是每次的必点菜，完美
                            

		                            收起评价


"
