用户名,时间,评论
"
                                匿名用户
                                ","
2024-02-18 12:39                            
                            ","
锅底等了15分钟 然后等了三四十分钟不上菜 汤都烧干了 催了三次说已经催了然后还是不上 什么意思？过完年不想上班？	                        "
"
                                撕歪鸦
                                ","
2024-02-14 18:54                            
                            ","
                            这家店是去过所有呷pu里面最差的没有之一
1，店面也没很忙，引导入座座位底下脏的不行，全是垃圾，还有口罩，很倒胃口
2，桌子上写的平台送菜活动，问就是没有，没有那物料不应该及时下架吗
3，有个年纪稍大的女服务员，上来还没点菜就开始推销一个208的什么会员卡，拒绝后直接走了，点菜再叫了才来
4，还是这个服务员，全程扑克脸，问问题没回答的，绝了

以前走的性价比路线，现在人均也要100左右不算性价比餐厅了，其他的方面也请跟上。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-07 22:46                            
                            ","
                            便宜但食材确实不好 吃完还拉肚子了
满满的防腐剂和味精的味道
团购券来回几个人搞不明白 服务员是寒假工吗？
不知道怎么形容糟糕的午餐
没吃完 挺浪费的 儿童套餐的午餐肉和蛋饺看起来就很不行 蛋饺颜色有问题 我一个人吃 点了一份面 服务员也没告知我 其实套餐也有面 重复点了等于是
去吃的朋友点菜控制一下 也许你吃到一半就会被防腐剂撑满 就吃不动了
                            

		                            收起评价


"
"
                                大洌
                                ","
2024-01-21 20:06                            
                            ","
                            一直在推销所谓的畅吃卡，其实就是又付费会员，什么消费积分翻倍，和要分多次才能用的优惠券等。点单也不方便，所谓扫码下单，还必须先结账再确认下单。想用点评的优惠代金券，还必须找服务员来结账。服务员来一次，就又推销一趟那个会员卡。
                            

		                            收起评价


"
"
                                沉浮
                                ","
2024-01-14 19:01                            
                            ","
很难评价呷哺呷哺双人套餐，除了叫双人套餐，就只有锅底和饮料是双人的，一只🦐，一个豆腐，一个鱼豆腐，单人份的蔬菜 "
"
                                小高同学
                                ","
2023-12-17 10:50                            
                            ","
                            总体来说0.5星

口味很好，我点了寿喜锅，朋友点了麻辣锅，有一说一确实挺好的，挺赞的。

可能周六用餐的人比较多沙茶酱没有了也没人加，体验感不好。

[薄荷]环境:
环境一言难尽为啥选择周六拍摄宣传呢？乱糟糟的，很不好，无力吐槽。

[服务铃]服务:
服务没有很热情，门口的小姐姐挺热情的，可能太忙了都忘了叫我们抽奖，当时坐门口是没有位置，有位置了不应该第一时间帮我们换吗？咋还能叫其他人呢？

食材一般般吧，份量少
                            

		                            收起评价


"
"
                                云腿炝拌奶酪
                                ","
2023-12-16 16:41                            
                            ","
上菜速度很慢，下单半个小时见不到菜	                        "
"
                                cuilianglei
                                ","
2023-12-08 12:10                            
                            ","
服务水平真的很差
白眼都要翻上天了	                        "
"
                                匿名用户
                                ","
2023-11-19 13:39                            
                            ","
中午一点多来吃，没有位置，硬加了一个位置，非常挤。然后凳子也没有。前台小姐姐态度倒是蛮好的，就是店真的太拉垮了，位置拥挤，服务基本上没有，前面人吃好了桌子都不擦就让坐。吃都不想吃，直接走了	                        "
"
                                明月清风
                                ","
2023-10-20 15:12                            
                            ","
上来后就推荐办理充值活动，充值完成也未对冻结金额部分做提示！！！充值500，冻结其中的100元。只能等下次消费才能使用的。严重影响消费体验，侵犯消费者的知情权！！！未履行告知义务！！！	                        "
"
                                Chloe0606
                                ","
2023-09-20 19:41                            
                            ","
大概率不会再来了，不好吃，量少且贵完全已经不是面向大众的品牌了用了折扣券基本上也要50+吃啥不好呢，大红袍是真的难喝	                        "
"
                                汉森不吃香菜
                                ","
                                2023-08-18
  更新于2023-12-12 18:25                            
                            ","
拉肚子了 而且不给退款
当天拉肚子到第二天	                        "
"
                                云腿烤雪碧
                                ","
2023-06-14 15:19                            
                            ","
                            和我老公去了3次，这次也是周日去的有点失望🙍‍♂️我们点的明明是大锅，给我们上个小锅还要我们点一个小锅，说门店没有大锅，这是拐着弯让我们去消费呀，后面我和他说我们之前来都有，今天为啥没有服务员又说给你换张桌子，是给我们换了大锅，但是一上来锅里有一个小飞虫，给我们换了还送了2杯奶茶，过一会隔壁桌青菜了也出现了异物，这次吃的真是无语了，不敢再去了
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-05-29 12:19                            
                            ","
                            买了午市单人餐，写着用券时间是10点到16点，中午12点过去，说过了时间不让用，才知道自己偷偷改了用餐时间，改到10年到11点，这还叫午餐吗？呷哺呷哺本来就是路人缘很差了，想着有这种套餐才过去试试看，没想到这么差！
                            

		                            收起评价


"
"
                                十年九夏_2776
                                ","
2023-05-28 19:20                            
                            ","
                            好久没吃呷哺呷哺了，只能说它快开不下去是有原因的。上菜特别慢，店里没多少人也这么慢，比我们后落座得反而先上。菜品品质也很差，手打芝士虾滑我也不懂手打在哪了，都是整虾在里面难吃的不行，鱿鱼须端上来看这个菜色都不想吃了硬着头皮吃完。加汤还加白开水，加一次就很淡了，拉面的量还比之前少，花了人均100也没特别便宜吧，很便宜的话也就算了，总之以后再也不会光顾
                            

		                            收起评价


"
"
                                熊团
                                ","
2023-05-21 01:08                            
                            ","
                            每次都会一个人去吃……每次都会在想一个问题哈：店里的管理人员看到客人入座了，也不会倒一杯水吗？非得问这要！经常去的客人也就不说了，要是是第一次去的客人，人家会不会以为……你们家不提供饮水呢！特别是一个胖胖的管理者
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-05-02 20:21                            
                            ","
                            差！比起别的同价位火锅店差得不是一星半点，给我一种两百块钱吃了路边30元麻辣拌的感觉。虾滑和牛肉都是一口吃出来是冻货，牛肉卷完全没一点水分了，放锅里立刻解体，五秒捞起来吃都感觉很干很干，虾滑吃起来就像麻辣烫里的鱼丸一模一样，别来别来别来别来。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
                                2023-04-22
  更新于2023-04-23 16:33                            
                            ","
                            真的是无语呢，虽然是饭点儿可以理解，但是上餐速度之慢，真的让人费解？主要比我后来的上餐速度也就等了最多六七分钟，我从点餐到上餐等了20分钟？为什么吃呷哺？还不是因为上餐快？结果就这速度！！！真的让人无语…
.
餐品都是现成的，肉也是冷冻的，上餐速度怎么就这么慢？再说说这肉的品质也是一般，蘸料按理说全国的味道不都一样吗？麻酱那个，但就是觉得差点儿意思，还有咖喱过，咖喱味道也不浓郁，反而一股香料味道…
.
就这样吧，太失望了！套餐里含有奶茶，我等了25分钟，我对面的阿姨后来的…然后先上的…
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-03-30 16:13                            
                            ","
                            工作日点了个单人套餐，说几点感受吧。服务这块这是很大的问题，进店缺乏指引沟通，可能因为服务员年龄偏大的原因，响应真的慢。后面陆续观察了其他几桌，顾客都招手半天，喊了半天，没有人过来。还有店里工作人员就餐能不能不要跟顾客抢调料区，明明顾客站在旁边，还要过去抢，从没见过这样的服务意识。还有应该是个东北的阿姨吧，戴眼镜的，工作也没有热情，我想说的是对于我来说只是一顿饭，今天这里吃明天换地方吃，无所谓，但如果我是管理人员，一定会注重这方面的工作。
                            

		                            收起评价


"
"
                                bigcomputer
                                ","
2023-03-27 12:15                            
                            ","
已经落坐开始点单了 服务员过来说你一个人怎么坐了四人桌？ 整个餐厅只有一桌人吃饭 我不吃了可以吧！	                        "
"
                                可爱晗晗
                                ","
2023-03-24 09:25                            
                            ","
叫了半天没有服务员来，服务员不佩戴口罩。	                        "
