用户名,时间,评论
"
                                夜莜静
                                ","
2024-02-16 22:40                            
                            ","
                            每次去西单大悦城，逛到呷哺呷哺店门口都会选择在这里吃饭。这家店总是人很多，买了个套餐，量刚刚好够我吃的。蘸料自助选择，上菜速度很快，麻酱依旧那么好吃。就是环境稍微差一点点，装修风格也是怀旧版本。但我依然爱吃这口！
                            

		                            收起评价


"
"
                                幸福的美格格
                                ","
2024-02-02 18:13                            
                            ","
                            「呷哺呷哺(西单大悦城店)」

没有什么是一顿火锅解决不了的，不行就2⃣️顿 呷哺我推荐麻辣锅➕「甄选牛上脑」「花开富贵虾仁福袋」「超霸鳕鱼棒」「木耳」「藕片」「红薯粉条」「冻豆腐」「缤纷蔬菜拼盘」（蔬菜拼盘赶上新鲜菜还是很值的，但要是赶上大白菜梆子铺满盘配上蔫了吧唧的菜叶子🥬就影响心情了……）
                            

		                            收起评价


"
"
                                元_哈哈
                                ","
2024-02-09 00:03                            
                            ","
                            去西单大悦城给小孙女买礼物走累了，看见这家呷哺呷哺店，果断坐下点餐，咖喱火锅我的最爱，两盘羊肉片，一盘肥牛片，一盘虾滑，一盘蔬菜拼盘，一盘鸡肉荸荠虾饺，一盘面条，很爱吃他家的麻酱调料。很爱吃他家的麻酱调料，很好吃。
                            

		                            收起评价


"
"
                                在逃西州蜜
                                ","
2023-11-23 16:36                            
                            ","
                            我对呷浦呷浦的热爱超出了我的预期!从第一次踏入这家餐厅开始，我就被它的美食和氛围深深吸引。呷浦呷浦是一家非常有特色的火锅餐厅，他们的火锅汤底鲜美浓郁，食材新鲜可口，让我每次用餐都感到满足和愉悦。
除了美食之外，呷浦呷浦的服务也是非常周到的。服务员们热情友好，细心周到，让我在用餐时感到非常舒适。他们总是能够在我需要的时候及时提供帮助，让我享受到了非常贴心的服务
此外，呷浦呷浦的环境也非常优雅舒适。餐厅的装修风格现代时尚，气氛温馨宜人，让我每次去用餐都感到非常愉悦。无论是和朋友聚餐还是和家人共度晚餐，呷浦呷浦都是一个非常不错的选择
总的来说，我对呷浦呷浦的好评如潮。这家餐厅不仅提供了美食和贴心的服务，还拥有舒适的环境和周到的员工。如果你还没有尝试过呷浦呷浦的美食，我强烈推荐你去品尝一下。相信你也会和我样，爱上这个美味的火锅餐厅!


		                            收起评价


"
"
                                琳DAYTOY
                                ","
2024-01-21 20:59                            
                            ","
                            这应该是大悦城唯一一家在B2的餐饮业了，这家呷哺店开了感觉得有十多年了，随着呷哺风格不断升级改造，这家算是为数不多保留着呷哺最原始的装修风格，一坐吧台就餐就梦回呷哺人气巅峰时期的场景，历历在目！与以往不同的是增加了小料自助吧台，就是空间比较小，就餐高峰人堆着比较难走。味道一切都没变，整体还好！当六层以上餐厅人满为患的时候，下来吃顿呷哺未免不是一种选择。
                            

		                            收起评价


"
"
                                xqadh
                                ","
2024-01-08 11:41                            
                            ","
                            北京少有的古早风格的店铺的
会员积分、储值、优惠券通通不能用
但是！感觉菜量比其他的店大，也更加新鲜

仔细看了一下餐具垫纸，呷哺居然是在北京创立的，能在涮羊肉的城市异军突起也是牛哇，哈哈哈到现在能开400多家直营店有我一扣扣扣扣功劳吧，毕竟从初中开始就很爱这个麻酱


		                            收起评价


"
"
                                冥王星
                                ","
2024-01-12 19:21                            
                            ","
                            来吧小伙伴们，我又来，是在没什么吃的了，就选老牌子的火锅，你们说是什么，那当然是呷哺啦，哈哈哈，不卖关子了，说说他家的食材，以及服务的态度吧，来请看评价，
一进门人是人山人海，哈哈哈，
食材还是一路既往的好，也很优惠，点了个人套餐，不会踩雷，不像是某店，
美中不足的就是我想问问，打包带走，芝麻酱小料收费么，请问，在店里面吃就不收费，带走就收费，我已经笑晕了，
不占用你堂食座位，不占用你电，不用你收拾，洗碗，带走小料葱花，香菜就收费，建议大家别打包回去吃了，就在店面吃，
他家使用不了卷，大家知晓，
                            

		                            收起评价


"
"
                                于小鱼
                                ","
2024-01-21 13:52                            
                            ","
                            #呷哺还是好吃滴#
「拉面」「人气呷哺羔羊肉」麻酱依然是原来的味道，只是没有以前袋装的了
来西单买东西等着调货，顺便把晚饭解决了，羊肉和麻酱绝配，双人餐🉐性价比也很高，不过和上学那会儿比价格还是涨了不少，怀念回不去的从前


		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-16 21:52                            
                            ","
                            [薄荷]环境:
位于西单大悦城地下二层，紧邻阿吉豆店铺。
环境好，店铺面积挺大，桌位多。

[服务铃]服务:
服务好，上菜速度快。点餐也很耐心。
调料是根据自身口味自取的。
「人气呷哺羔羊肉」「浓郁番茄玉米锅底」「茼蒿红薯粉拼盘」
                            

		                            收起评价


"
"
                                139奔跑的兔子爱吃草
                                ","
2024-01-14 20:46                            
                            ","
                            西单大悦城的地下二层，挨着好运椰，面积中等，饭点的时候要排队，不过好在翻台比较快，主要是单人座，也有2人和4人座，总体就是呷哺呷哺的连锁水平，菜的味道其实还可以，不过时间久了，油腻感比较重，而且格局还是最早呷哺呷哺的样子。
                            

		                            收起评价


"
