用户名,时间,评论
"
                                晨晨
                                ","
2024-02-12 19:06                            
                            ","
不咋滴，吃了半天，不知道是菜品是酸的，还是芝麻酱，还是锅底，总之大过年的不想骂人	                        "
"
                                百宝箱
                                ","
2024-01-15 12:50                            
                            ","
不能扫码点也没有会员活动，带个3岁小孩坐非要点两个锅底才行，要不就坐上面，什么态度差评！	                        "
"
                                匿名用户
                                ","
2024-01-15 07:48                            
                            ","
平生吃过最难吃的一顿呷哺，点啥啥没有，服务态度也不好，而且食材不新鲜，真的不好吃，这家店避雷吧烙铁们	                        "
"
                                匿名用户
                                ","
2023-12-13 20:07                            
                            ","
                            一开始点菜的时候服务员一直催点什么，一直推荐大份套餐，我们饭量小就说不吃那个，两个人商量了半天才决定点什么，我们说我们先看再点，让服务员先离开了，于是一直到最后服务员就都很没耐心，后来就上了这份羔羊肉，于是就问了一句，这是什么肉，为什么跟旁边的不一样，服务员特别不耐烦的飞快的飘过去说了一句，你那是羔羊肉，吧啦吧啦，后边说的话都因为她移动的太快我都听不清，也再也没有回来，对旁边的桌就笑着服务态度特别好，一点都没有不耐烦，吃过那么多次的呷哺，是最不开心的一次
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-11-18 21:06                            
                            ","
上菜慢，要点什么东西，服务员仿佛是听见了！又好像没听见……食材少，个头小	                        "
"
                                匿名用户
                                ","
2023-11-08 19:29                            
                            ","
                            [薄荷]环境：
一般吧，座椅不是很喜欢，滋哇滋哇的响，
[服务铃]服务：
服务也很差，不能扫码点单就算了，纸质菜单也不给我们一个笔，找服务员要了，翻来翻去也没有，很不喜欢这样，在我们面前等着我们点，别扭死啦，最可笑的是，点完了菜还没上呢，让我们先结账，咋的，怕我们跑啊，真是不来不知道，一来都能吓一跳，叫服务员叫了三声都不带过来的，都不管我们
菜品：更没得说，小酥肉上边都是盐，吃起来花椒粉味儿太重，难以接受，锅底菌汤锅就跟清水锅没区别，番茄锅底也不浓郁，平常爱喝番茄汤的我，这次一口没喝，饮料也只有两种，雪碧可乐，
总而言之，非常不建议过来，体验感特别差
                            

		                            收起评价


"
"
                                吃不够
                                ","
2023-11-08 19:24                            
                            ","
                            体验感差！！！！桌子很小😤

[服务铃]服务：
服务员的态度真的极差，不耐烦三个字都写在脸上啦，坐下点餐，不能扫码，只有纸质的，找服务员要一个笔，服务员看啦一下直接说没有，在桌边等着我们点餐
点完之后直接要求我们结转，我说到时候还要加东西，人家说到时候在算，还有那个凳子一动就有一个刺耳的声音🥲  找服务要头绳，结果拿啦一个这种的🥲  小酥肉上面不知道是什么东西，特别闲，还得涮一下下能吃   没有盘子碗和筷子要自己去拿，总之❗️❗️真的不建议来，体验感很差！！！！
                            

		                            收起评价


"
"
                                小胖纸_4215
                                ","
2023-11-03 09:22                            
                            ","
                            周未和朋友逛大悦城，朋友说想吃呷哺呷哺了，于是我们就下B2,吧台位置比较多，大桌少，我们等了快一个小时吧，等位期间，朋友询问了取口的服务员！套餐是否能用的问题？得到回答是**能用。
好不容易排到了，刚落座。接待我们的服务员态度超级差，语气特差的告知我们不能用。这个也不能用那个也不能用，要不点菜单上的套餐要不就单点有个88的代金券20:00之后能用，让我们等到20:00之后再吃，你家是有多大的魅力？我们在门口等一个小时到里面再等一个小时，这钱就非给你家送？搞笑呢，呷哺呷哺门店多的是，果断换地！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-10-31 23:41                            
                            ","
                            本人是呷哺忠诚粉丝，只要吃火锅就先吃呷哺，吃了这么多家吧，从来没有这么体验差过☹️，下午7点多去的也没啥人，服务人员有七八个吧，我们进门就看到在处在一起聊天根本没有人搭理我们，自己找位置坐下才过来一个点餐，我们想点套餐，里面的羊肉吃不了，想换他说换不了，他们菜单上的套餐可以换，菜品也是非常一般，环境卫生也没说话，避雷！！！下次在也不会去他家
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-10-09 14:33                            
                            ","
184的双人套餐，两盆子蔬菜，两份肉，俩面条俩鸡蛋俩中杯饮料。十个不知道什么的肉串。我妥妥的大冤种。这价格胜利不好吃还是大都不好吃，还是海底捞不好吃。	                        "
"
                                c_x_air
                                ","
2023-09-07 19:20                            
                            ","
菜品一般吧，工作日人不是很多。服务态度很好。但是不能用充值卡不知道什么原因，希望能有所改进。	                        "
"
                                ABXY_AYHN
                                ","
2023-09-01 17:24                            
                            ","
推荐牛上脑 因为买肉送死虫子
没有要求免单或各种现金赔偿
叫服务员之后立刻给拿走了 还好提前拍下来了
不发个大众点评实在是不合适	                        "
"
                                匿名用户
                                ","
2023-08-26 16:19                            
                            ","
服务员态度特别不好，大众点评的卷告诉不能用，只能她们自己收钱，说商场说的，态度特别不好	                        "
"
                                椒盐炝拌牛肉干
                                ","
2023-08-21 21:04                            
                            ","
                            真是无语了我们一来给的菜单我们两个人本来想单点的，服务员说套餐合适我们就点了套餐结果一看那个单子上写的还有小吃雪糕的这些根本不在套餐里也不给退非得上那就上吧，最后吃了上了四个雪糕两个人有多大的肚子先吃一个吧好家伙甜的不行一看配料表上就糖精多，难吃死了中间也不给加汤还得一直姐服务员，这家的服务员也挺厉害的当着顾客的面说别的顾客不好声音还挺大，一直在一旁言论别人真是没素质，还有这个饼硬的不行
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-08-18 13:56                            
                            ","
看完电影在大悦城呷哺里面顺便吃个饭，点的羊肉和牛肉各一盘，牛肉翻开里面有许多的小黑点，服务员说是用刀滑到盘子沾到的，虽然服务员给换了新的，但觉得还是一个不好的体验	                        "
"
                                liou7040
                                ","
2023-08-09 17:25                            
                            ","
                            座位是不是随便坐，那为什么我带孩子就不可以坐高座椅？非要让我们做面对的？
团购出餐顺序是先菜，再饮料，最后肉，这可是涮火锅，你们觉得合适吗？
锅底没汤了叫了半天没人搭理，怎么？不想给？还是装听不见？
小料自取，对于我带着一个六岁的孩子，就不能帮忙给孩子调出来一碗？这服务真是醉了！
想要个漏勺，说了三次才拿过来，最后才知道自取就行，这服务态度也是没谁了！！！
[服务铃]服务:
给差钱一点都不怨


		                            收起评价


"
"
                                匿名用户
                                ","
2023-08-03 20:29                            
                            ","
第一次是周末吃的套餐，感觉味道不错，所以昨天又去吃了，昨天晚上9点多吃完的，点了两份牛上脑，菠菜和土豆，结果今天早上就开始拉，到现在一天拉了7次。。。	                        "
"
                                匿名用户
                                ","
2023-08-02 20:52                            
                            ","
无语死 服务态度极差 上菜就往桌子旁一站也不说话摆着个脸，不知道还以为欠他800万似的，	                        "
"
                                白酒炖黑豆酱
                                ","
2023-07-08 17:27                            
                            ","
下午4点40到店，店员不提示优惠时段截止5点，先让点锅，导致点餐滞后到5点10分，体验感极差	                        "
"
                                鹅肉炒艾草
                                ","
2023-06-25 20:20                            
                            ","
服务态度很差很差 爱答不理的 服务员都在各忙各的 没人招呼	                        "
"
                                楓糖鬆餅
                                ","
2023-06-23 18:31                            
                            ","
服务态度极差，服务员甚至连礼貌用语都没有，还摆脸子。食材也缺，肥牛都没有。很差。	                        "
"
                                匿名用户
                                ","
2023-06-07 18:40                            
                            ","
                            口味：这个肯定是没得说的，而且呢尤其呷哺呷哺的麻酱是公认的好吃！性价比也是最高的
服务：嗯，大姐挺好的，很热情
环境也很好，非常干净卫生，没有油渍异味
总体来说是很棒且特别有特色的餐厅，大众点评给的四个评分选项口味环境服务都没有任何问题
但是！！！后续没吃完打包回家，第二天早上打包的蔬菜散发出一股药味，估计是怕蔬菜容易坏泡类似于防腐剂的水里了，不要回复说蔬菜坏了说什么正常的腐臭，首先就经过一晚上而已，加上去超市买的蔬菜即使腐烂也不是散发药味
不过一码归一码，口味环境服务该五星还是五星，毕竟不能因为食材问题否定了一切
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-05-16 21:28                            
                            ","
还没吃完，就开始滋滋啦啦的拖地，发出的声音很吵就算了还有股84消毒水的味道…很影响人吃饭啊 "
"
                                鹿茸干煸抹茶粉
                                ","
2023-05-04 01:48                            
                            ","
看到这里的大家
可以仔细评估一下
1.是否一进店就推销 优惠套餐 （真的有比较便宜吗 ）
2.餐具是否清洗干净	                        "
"
                                匿名用户
                                ","
2023-05-02 18:36                            
                            ","
位置:
位于西单大悦城B2层，位置很好找。

[薄荷]环境:
根本提不上什么环境，地下2层味道很难散出去，桌子擦的也不是很干净，地上还有很多食物残渣。

[服务铃]服务:
原来都是袋装麻酱，现在也改成小料台了，不够干净，种类也不是很多，不如原来体验好了。

最要吐槽的就是「原切牛眼肉」「人气呷哺羔羊肉」这些涮肉，薄的要命，一看就是合成肉不是整肉片，肉化了以后肉片都变成一条一条的，口感也不好。而且整体上也涨价了，原来一个人30-40，现在60-70也吃不饱，整体上不推荐。


		                            收起评价


"
"
                                【已注销用户】
                                ","
2023-04-12 15:26                            
                            ","
                            特别糟糕！！！服务员什么态度 输入全靠吼 介绍套餐 没如愿她意见 什么语气 什么眼神 点餐特别慢 还等了一会 就不能打个招呼 直接把我心情给整没了  加水全靠吼 我朋友气的就说态度能不能好点 服务员就说我嗓门就是大 下次不会在来了 没有下次 什么态度啊都
                            

		                            收起评价


"
"
                                lollipop_ye
                                ","
2023-04-08 17:05                            
                            ","
这家没儿童座椅，带低龄孩子的别考虑了	                        "
"
                                匿名用户
                                ","
2023-04-05 14:30                            
                            ","
服务超级差 ，吃个饭跟催命似的。觉得耽误下班了可以不接待啊，拉个脸给谁看呢 。服气了 再也不去了	                        "
"
                                匿名用户
                                ","
2023-04-01 19:11                            
                            ","
接待安排座位人员很糟糕，晚餐时间人员多，自己一个人就想等一等，结果接待人员说就算有座位也先安排2个人，这接待态度真是接受不了	                        "
"
                                匿名用户
                                ","
2023-03-09 19:53                            
                            ","
                            从一进门，我们就主动问服务员有位置吗，服务员爱答不理的，我们自己找了个位置，几乎看不到服务人员，根本没人理会，都在大厅，没人招呼里面的顾客，服务极差！从没见过呷哺呷哺服务如此差的！就因为开在在市中心所以不怕没有人流量吧，不会再去！对了，小酥肉都没有炸熟！！
                            

		                            收起评价


"
"
                                果果
                                ","
2023-03-02 13:43                            
                            ","
                            服务员的态度很差，是个胖胖的那个服务员，年龄有点大，本来是请朋友去吃饭的，朋友就问了个洗手间在那，本来他以为厕所里面没有纸，打算从桌上那纸，他跟差的语气说厕所有点纸，眼镜瞪那么大，语气很差，然后把菜单放那就走了，菜也没有给我们点，等了半天又来了一个服务员才把钱点了，本来去吃饭，图吃个开心结果吃了一肚子火，下次再也不去了就算厕所没有纸，拿一张怎么了，至于那样吗，服务员很牛逼，以后不会在去
                            

		                            收起评价


"
"
                                匿名用户
                                ","
                                2023-02-20
  更新于2023-09-26 19:09                            
                            ","
                            [服务铃]服务：
不好 态度敷衍 爱搭不理
双人套餐里的东西 不对版 那就不要写出来令人误会的标注  
里面的饮品部分写了 （15-22）*2  工作人员说没有奶茶类饮品只能选底下的可乐雪碧芬达一类 而这些的价格写的清清楚楚中杯8元大杯10元  我们提出要大杯饮品却又被告知还要加钱？ 提出了疑问 工作人员的态度是 要点就点不点就拉倒就这样 


		                            收起评价


"
"
                                陈冕中Chenny
                                ","
2023-02-18 15:13                            
                            ","
我充了呷哺呷哺的钱，跟我说就这家店不能用？？？你逗我呢？？？差评，LJ	                        "
"
                                匿名用户
                                ","
2023-02-13 19:49                            
                            ","
                            服务员态度很差！！！在正常营业时间，我已经买好了广发银行的券，到了后不给使用。我问老大妈服务员为什么，她竟然说店里没有用过券？？分明就是不想给我用。我吃过那么多家店，只有你这一家不给用？？没搞错吧？我问为什么，就是说不给用。一脸蛮横，老子欠你钱了？？
                            

		                            收起评价


"
"
                                点小评4557821143
                                ","
2023-01-24 14:41                            
                            ","
点菜没人理，点完了十五分钟只有个锅底，催了好几次也不上菜	                        "
"
                                念念
                                ","
2023-01-07 15:01                            
                            ","
                            周六人好多，特别是中午吃饭的时候人超级多
到店一两点吧，人还是很多，等了三四十分钟，可以上桌了，好不容易找到一个服务员下单呢
下单完成之后俩人守着锅都开了好久了，大眼瞪小眼坐着，都很忙也理解吧
过了会儿上了主食面和粉丝和一份午餐肉饿的不行来啥吃啥吧，不敢挑呀
逐渐都上齐了，吃的时候发现两份蔬菜拼盘都不大一样，等着和他们说一下呢，算了算了吃吧就这样吧，他们都忙的焦头烂额……
快吃完时候想再来杯喝的
好不容易有个服务员注意到了
结果下完单人不见了喝的始终没有上
最后还是找服务员告诉他们上杯喝的才上…….
就是也体谅你们人员少的难处但是也不能这样对待顾客呢，你都下完单了你自己去干别的了？这…..我不理解呀理解不了
希望做事情都可以善始善终吧
                            

		                            收起评价


"
