用户名,时间,评论
"
                                Mmmd
                                ","
2024-02-18 15:55                            
                            ","
                            肥美的厚真日式烤肉😋

[薄荷]环境：
城西银泰

[服务铃]服务：
服务员会主动帮忙烤肉 

「温泉蛋沙拉」蟹棒➕沙拉➕溏心蛋 整体感觉一般
「猪五花」肉还是比较鲜美滴
「罐香和牛肋条」厚实 鲜嫩 
「餐后水果」剥好的小橙子 很甜 🍊

大众点评有套餐哦
                            

		                            收起评价


"
"
                                闹腾闹腾就过了
                                ","
2024-02-23 22:25                            
                            ","
                            最近吃到比较爱的烤肉店了！
服务小哥态度很好，会一直帮忙烤，看到你动手还会开玩笑说不需要你动，我来就行了
「厚切牛舌」一整块得牛舌上来，吓我一跳，牛舌好厚好嫩！
「猪颈肉」完全不够吃，烤的微微焦特别香
「紫菜牛肉饭」紫菜和芝麻香香脆脆，拌一起香迷糊，份量也很多
「酱味牛五花」「鸡脆骨」推荐
还有免费得餐后水果
                            

		                            收起评价


"
"
                                小夏
                                ","
2024-02-19 10:28                            
                            ","
                            和朋友一起来吃的点了一个双人套餐 量还是蛮多的 两个人可以吃的很饱 肉品的口感也是很不错的 每个菜品都很好吃 大家喜欢吃烤肉的可以来尝试一下哦！
「黑松露横膈馍」这个还行 烤好以后比较嫩
「酱味牛五花」这个也还不错 

[服务铃]服务：
没有很及时 

[薄荷]环境：
环境很安静 很整洁
                            

		                            收起评价


"
"
                                甜橙绵绵冰
                                ","
2024-02-20 19:22                            
                            ","
                            喜欢这个沙拉 放温泉蛋还蛮新奇的！好吃 沙拉酱蛮特别的酸酸的就是能自己加就好了 这样子可以按照自己的喜好 不然有些地方太多酱了好腻
烤肉蛮好吃的 甜口党爱死 服务员烤肉技术也不错
但是！要注意店里菜单上也有套餐！都没注意后面验券了就懒得退了
                            

		                            收起评价


"
"
                                xmy
                                ","
2024-02-19 19:03                            
                            ","
                            菜品都很新鲜，服务态度也超级好的一家烤肉店
不会烤肉的小姐姐会帮忙烤哦｜满足顾客的所以要求
上菜速度也超快的，总之很赞🏻
「猪颈肉」肉质很嫩，小姐姐考的也不错唇齿留香
「紫菜牛肉饭」特别解腻的一个汤，好喝
「酱汁横隔膜」好吃到没朋友，建议每桌必点
                            

		                            收起评价


"
"
                                忆外11
                                ","
2023-12-23 21:04                            
                            ","
                            📍地址位于城西银泰4楼。
[薄荷]环境：
整体装修的以黑色为主，每个桌子上都有电炉，就在上面操作。座位还挺多的。每张桌子上还有独立的吊灯。
[服务铃]服务：
很好，一看就是专业培训过的。一来会有茶水，没有了也会及时添加。也会温馨的提醒点评有套餐等等。他们还提供帮忙烤的服务，问你是自己烤还是他们烤。不需要你自己主动提。每次烤完一种肉，会及时更换烤盘，吃完会问是否需要发票等等。各种小细节处理的都挺好。
「逸品雪花牛小排v1」这个比较原汁原味一点，配上黑胡椒和盐，还挺好吃的。
「紫菜牛肉饭」里面有紫菜还有肥牛。还行吧。
「酱味牛五花」会稍稍比较油，要趁热吃。
「猪颈肉」肉比较的有劲，配上蘸酱，还行的。
「餐后水果」是个橙子，很甜，很好吃。
「酱味横膈膜」腌制过，所以比较有味道，也挺好吃的。
「蟹柳温泉蛋沙拉.」里面挺多东西的，有蟹柳，鱼籽，黄桃等等，还行。
🗣️整体来说还是挺满意的一次就餐体验，主要是服务真的挺不错的，口味，环境也还行。
                            

		                            收起评价


"
"
                                卜卜_4641
                                ","
2024-02-14 10:34                            
                            ","
                            好久没吃烤肉了，盲选了一家。

「猪颈肉」很脆嫩！比猪五花要好吃！我个人很爱猪颈肉
「酱味牛五花」五花很香，就是有点少
「原创黑松露横膈膜」这个还不错，肉很多汁，隐隐约约有点黑松露的香，但不是很浓郁。
「半米飞龙胸腹肉」配黄油吃的，也很多汁很嫩，还不错～
「蟹柳温泉蛋沙拉.」沙拉还可以 爽口的，没有过甜，调味OK

[服务铃]服务：
备注了所有烤肉少刷酱（因为不爱吃太甜口的），后厨确实有做到。服务生换烤盘也很勤，也有帮忙烤肉的服务，总体还不错的。

[薄荷]环境：
环境如图，偏暗的日式装修。

性价比我觉得还可以，点的套餐，又追加了一份肉，刚好吃饱。
                            

		                            收起评价


"
"
                                田爸吃遍全杭州
                                ","
                                2024-02-03
  更新于2024-02-04 12:58                            
                            ","
今天带女儿来城西银泰上课，中午来这家吃，食材新鲜，酱料入味，饮料好喝

[薄荷]环境：
不错

[服务铃]服务：
挺好的，有些产品员工亲自帮我们烤的刚刚好	                        "
"
                                爱吃的豆
                                ","
2024-01-17 10:21                            
                            ","
                            厚贞每次去都没有失望过
之前都是在奥体那家吃的 就觉得非常不错
城西这家品质也很在线
「特厚黑牛牛舌﹙小份﹚」厚切牛舌真的很绝 口感很Q弹很嫩 食材品质特别好（媲美高端料理店的品质）处理的也很到位 
「黑松露横膈馍」肉质鲜嫩 足量的黑松露酱汁味道很醇厚浓郁
「安格斯松露护心肉」会较横膈膜干柴一些 
「酱味牛五花」「雪花心上肉」肉质也都很鲜嫩 酱汁五花调味恰到好处  
「猪颈肉」品质很不错 烤猪肉必吃猪颈肉 很爱 
整体肉质都非常新鲜非常棒，288的套餐很划算
一如既往的保持了好的肉质
送的橙子也好甜的！
                            

		                            收起评价


"
"
                                一进樱花
                                ","
2024-02-01 23:42                            
                            ","
                            城西银泰五楼，还挺显眼，地方不大，叫桌还挺快。就是桌子之间的间隔太小了，冬天衣服穿的厚容易刮擦。环境略黑暗，明亮些会不会更好？
服务员各个发色都很显眼包。推荐的隔膜挺好吃的。服务员能帮考，也很热情。不过推荐的牛小排就很一般了，不过个人口味不同。送的水果橙子很好吃。酱料也不错。但是没有别的烤肉店会送南瓜粥。总体还是不错，希望开到湖滨银泰一带来
                            

		                            收起评价


"
"
                                奶油五分甜
                                ","
2024-01-30 10:59                            
                            ","
                            「紫菜牛肉饭」白芝麻放的比较多 只尝到芝麻味了
「蟹柳温泉蛋沙拉.」有大块的黄桃肉和蟹棒 很解腻
「厚切牛舌」牛舌比较难掌握火候 很容易就咬不动了
「猪颈肉」「黑松露横膈馍」更喜欢猪颈肉 吃起来会比较嫩
[薄荷]环境：
日式烤肉的氛围
[服务铃]服务：
服务非常好 服务员会很积极帮忙烤肉 需要什么也会及时送过来
                            

		                            收起评价


"
"
                                爱吃上好佳
                                ","
2024-01-31 17:59                            
                            ","
                            双人套餐里面就有五份不同的肉肉
加上温泉蛋＋米饭 胃口小的足矣
不过我们还单点了许多好吃的
味道十分棒 必须给五星 没有踩雷点
服务员 乐乐 小姐姐全程热心微笑服务 非常深得人心
服务态度嘎嘎好 会询问要几份熟 会立即处理空盘 总之很满意 下次还会继续打卡的店
                            

		                            收起评价


"
"
                                cloudair
                                ","
2024-01-30 10:43                            
                            ","
                            在银泰城4楼很好找，里面位置不太多，需要等位，肉质新鲜，选择多样的肉类，包括和牛、猪肚、鸡腿等，餐厅注重用餐体验，提供优质的服务和温馨的环境。服务员热情专业，随时为客人提供帮助，并熟练地协助烤肉过程。餐厅内装修简约现代，给人一种舒适自在的感觉，适合家庭聚餐或朋友聚会。
                            

		                            收起评价


"
"
                                米逗子
                                ","
2024-02-14 19:27                            
                            ","
                            我觉得这家烤肉称得上服务和口味双重顶级享受，就没有不好吃的肉，而且还解放双手，不需要自己动手烤，真的很nice。年初五都这么多人，看来以后吃这家要更早出门了。推荐黑松露横膈膜，牛舌，雪花牛小排。青花鱼也很不错。
                            

		                            收起评价


"
"
                                Daisy_822530
                                ","
2024-02-03 22:02                            
                            ","
                            女儿喜欢的烤肉店不晓得啥时候成了必吃榜了，一定要来打卡的！菜品：点的肉都是腌制的肉，所以烤起来还可以，腥味没有那么重。厚切牛舌，看着端上来感觉还不错，烤完以后完全咬不动，建议商家牛舌解冻恢复常温在烤，热胀冷缩，本来就冷的，一下子放高温烤，肯定咬不动。
排队：排队给了号，一直在关注前面桌数，显示的和实际的不符，以至于去了已经过号了。


		                            收起评价


"
"
                                xxtt520
                                ","
2024-02-07 11:51                            
                            ","
                            吃烤肉是真香
厚贞的品质绝对可以
年前中午去人还挺多
「紫菜牛肉饭」
第一次来吃觉得很好吃
这次感觉就没那么好吃大概米饭底上偏硬的较多
咬的我牙齿有点累
「黑松露横膈馍」
好次
牛肉很嫩
「蟹柳温泉蛋沙拉.」
沙拉还蛮好吃的
「盐烤青花鱼」
青花是真爱呀
                            

		                            收起评价


"
"
                                小咪
                                ","
2024-01-12 21:22                            
                            ","
                            来打卡必吃榜烤肉店～

肉质都很不错
「厚切牛舌」牛舌很嫩！烤得也很好！
「紫菜牛肉饭」完全不腻，米饭是颗粒分明，牛肉份量也足。两个人配着肉吃刚刚好。
还点了一个蛋糕拼盘，有牛五花，猪颈肉，薄切牛舌。牛舌建议还是点厚切的口感更好。
配了一杯银耳梨汤，吃烤肉完全不上火！口感偏浓稠，个人很喜欢。

[服务铃]服务：
全程服务员帮着烤，烤肉技术一流。餐后还送了解腻橙子。

非常满意的一餐


		                            收起评价


"
