用户名,时间,评论
"
                                _
                                ","
2024-01-27 18:58                            
                            ","
这个价格吃到这种品质的肉，真的很不划算，再也不会去吃了，避雷避雷！！！	                        "
"
                                匿名用户
                                ","
2024-01-13 10:53                            
                            ","
冰冻无数天的五花肉居然说是新鲜的，吃完回家就拉了，和店家沟通说他们没问题	                        "
"
                                小小
                                ","
2023-08-19 18:27                            
                            ","
一共五小盆肉，一大半都咬不动，400+，质量大不如前了	                        "
"
                                小祖宗呀
                                ","
2023-07-29 13:58                            
                            ","
我们这桌服务员服务态度巨差。一直很不耐烦的。烤盘掉在桌上了 还给我们用。烤五花肉烤焦，雪花牛排 很油腻…	                        "
"
                                匿名用户
                                ","
2023-06-28 15:06                            
                            ","
那个猪颈肉明显就是太咸了。
拿去给主管吃了我看主管都点头了。
但是回来和我说这个调味本身就是比较重。（当天那个明细就是腌过头，要么就是盐多了）
可能是我团购。我不配 "
"
                                林二
                                ","
2023-06-12 21:12                            
                            ","
食材不太新鲜  肉质吃着真不怎么样	                        "
"
                                淡黄色嘴巴的棕红色老虎
                                ","
2023-05-20 18:59                            
                            ","
                            第一次写差评，烤肉不开心真的还是第一次，520的好心情毁了。1.肉量少得可怜。520套餐每个单品的量都是单品的一半不到，肉的量极少，有的甚至只有2小片，不忍直视。2.欺骗性强。点餐界面故意没标注1份半份等菜品份量或是单品价格，欺骗了顾客、规避了风险。3.噱头大于实质。情侣今天约会可能都会选这个餐，我们两个人都吃不饱不开心的餐，看看旁边四人也点了这个怨种套餐，不知其作何感想。4.感到生气和惋惜。人均170的店，本来菜还挺好吃的、服务也是好的，结果花了人均260，这种垃圾套餐吃了个寂寞。像一些刚约会的情侣可能都没法表现出来，这不是恶心人吗？体验很差，说是套餐里送了几张100的代金券，但被骗一次肯定不会再骗第二次，不会再来了。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-04-19 13:29                            
                            ","
                            第二次去，有比较所以比较失望吧！点了挺多东西的，双人套餐又加了很多，差不多吃了五百多，期间至少提过四次帮忙烤肉的需求，都没人搭理的状态，服务员看起来很忙，但是上次来只有两个人也是全程帮忙烤肉的，中途偶尔去收一下东西。这个是叫到第五次遇到一个服务员比较好，比较有耐心的帮忙烤，但是那个时候都快吃完了。自己烤的有些可能没烤熟，吃完饭一个小时后就肚子疼的很厉害，直接拉肚子了。非常生气，这家店价格也不便宜，肉质中规中矩，但是服务那么差，以后再也不来了！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
                                2023-04-10
  更新于2023-08-08 21:46                            
                            ","
                            喝了一半的柠檬水有虫子，处理方式是退饮料打八折，懒得深究
[薄荷]环境：
周一不用排队，比较热闹，适合聚餐

[服务铃]服务：
服务还算不错的，帮烤肉，也蛮热情，换开盘及时

就是吃到最后有虫实在是倒胃口


		                            收起评价


"
"
                                匿名用户
                                ","
2023-03-30 22:51                            
                            ","
                            跟朋友搬完家为了庆祝去吃烤肉，服务员问我们需不需要帮忙烤的时候因为搬家一天确实太累就说可以，烤了三份我们自己烤了，吃完往前走了一会儿回头路过他家门口听见帮忙烤的男服务员跟门口接待的女生说我们的桌号，听见他说XX桌几个**让我一直烤，后面没听清了，有几次是我付钱的截图都在这，其他时候是朋友付钱我没要截图，以后也不会再去这家了，怕被打。
                            

		                            收起评价


"
"
                                歪歪
                                ","
2023-03-23 22:11                            
                            ","
                            生菜上面鼻涕虫！！！生菜上面鼻涕虫！！！活的！！蠕动 甚至还有不明结块（粘粘的
本来想跟经理好好沟通，但是经理态度恶劣，摇头晃脑嬉皮笑脸说“那你去维权呀！维权是你的权利嘛”全程没有想好好道歉和解决问题！
                            

		                            收起评价


"
"
                                【已注销用户】
                                ","
2023-02-03 23:03                            
                            ","
                            他们家用券太黑了 第一次吃然后点单领了一个两百多满减几十的券我们点好算好了结果结账的时候说用不了 必须是另一天起才能用 太欺骗客户了 第二次来这家吃用积分兑换了墨鱼肠 我擦结果竟然是兑换的东西跟满减券重合了 用券的话墨鱼肠就不能抵扣 真无了个大语 全是套路 以后不会再吃 做店太黑！
                            

		                            收起评价


"
"
                                杰宝
                                ","
2023-01-29 20:48                            
                            ","
                            [服务铃]服务：我从来没有想到一个前台跟客人说话可以这么牛🐮，我家人喜欢吃这家的烤肉，于是我退了半步颠的队来排这家的队，起初号拿了需要等18分钟，我就坐在凳子上等，但是过了一会我发现我被插队了，18分钟变成28分钟了。那我就去问了前台，前台给我的解释是“我也没有办法”，有人过号了，又回来了！那我就提出我的不解了，这时候有个男服务员出来给我解释了，态度很好，这个前台就让他走了，意思是不需要解释这个事情。我头一次见这么没素质的服务员我的天。我排队还排出问题来了，看了一眼工作牌。叫李晓什么，真牛。
                            

		                            收起评价


"
"
                                喝
                                ","
2022-12-09 11:09                            
                            ","
店比较小，在银泰四楼。服务还行，可以帮烤。但食材有点拉，牛舌有股鱼腥味，不知道是不是冻久了，昨天吃的今天就拉肚子了。必吃榜啥的不能信，应该是买的。	                        "
"
                                黑椒汁zz.
                                ","
                                2022-11-30
  更新于2022-12-15 14:32                            
                            ","
                            服务还可以，就是吃完拉肚子了，差评！
后续：加我找我要医院证明报销，请问：
1，谁会因为吃了一顿饭拉了几次肚子就去医院。
2，根据消费者服务法，如果真的是因为食材问题导致腹泻并有相关医疗证明，我会接受你仅仅是赔偿餐费报销医疗费的处理方案？
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2022-11-19 18:43                            
                            ","
                            一分钟叫了几个号，都不给人喘息的时间。就在4楼逛着，看到还有5个号拖着孩子马上坐电梯一路小跑冲到门口，告知已经过号。前后不超2分钟。商家设置在线取号导致很多人取了号不到现场，有严重的漏洞，处理问题也非常不妥。建议商家直接告知客人，务必在门口等着，不然过号概不负责。体验感非常差，不会再想来光顾。
                            

		                            收起评价


"
"
                                TheMagician_1533
                                ","
2022-08-18 08:52                            
                            ","
吃完5分钟就拉肚子
特别差的一次体验	                        "
"
                                匿名用户
                                ","
2022-08-04 23:05                            
                            ","
                            服务并不好，全程没有服务员帮烤，并且没有服务员来问我们是否需要帮烤，别桌倒总是能看见服务员在帮忙。
点的双人套餐，太油腻了，吃没多少就有点恶心了。
排了一个多小时队，该享受到的服务没享受到，食物也并没有很好吃，挺失望，不会再去了。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2022-06-29 20:30                            
                            ","
电烤，甜口，贼腻，饭也很油。
小哥一整盘肉一整盘丢下去，唰唰烤完丢一边。
吃到后面已经想吐了，真是浪费胃浪费时间浪费钱	                        "
"
                                卡布奇诺&#x2F;ty
                                ","
2022-03-20 18:43                            
                            ","
酱料很稀，不好吃，肉口感也很一般跟一百块一斤的牛肉没差，店里6/7百一斤，服务也很差，没提醒顾客优惠券领取后第二天才能使用，多花了不少钱	                        "
"
                                宝宝中的二宝
                                ","
2022-01-18 21:26                            
                            ","
不好吃，没有九田家好吃，下次不在来	                        "
"
                                kate
                                ","
2021-12-22 12:20                            
                            ","
人生中第一次吃到这么难吃的牛舌 腥的 ！难以下咽	                        "
"
                                执念caroline
                                ","
2021-12-17 20:38                            
                            ","
                            以前吃过觉得服务和味道都挺不错的。这次来非常失望，20点过来的，和朋友分开两桌吃。从20:00到20:25分一共上了一个不好吃的芝士蟹煲和生菜就这两份，催过2次服务员，服务员表示都在准备。而同行的伙伴已经吃一半了。如果大家都慢可能是出品有问题，但其他桌都很正常，直到我第三次坚持叫经理过来的时候，经理过来前10秒上了第三样东西墨鱼香肠。我不知道什么样的餐饮店需要叫经理才可以正常上菜，在等待过程中哪怕是把凉菜上了先也可以。
今年吃饭服务体验最差的一次，我不否认这家店有好吃的，但是服务这样，下次不会再来了。叫了经理来，她道歉后说帮烤也没有。其实烤不烤无所谓，但是说了有的服务没有，体验真的不是一版的差。
                            

		                            收起评价


"
"
                                微风卷
                                ","
2021-11-23 19:16                            
                            ","
不会再来第二次
不好吃
性价比也不高
不知道哪里来的好评	                        "
"
                                不羡少年轻薄衬。
                                ","
2021-10-15 22:59                            
                            ","
                            总的来说这顿饭真的很不愉快，能直接气的我在餐厅哭出来也是挺厉害的，菜品大概说一下「生菜」上了第一份生菜吃了两片发现上面有虫卵，因为是用餐高峰期不想影响其他食客没有多说什么悄悄的让小哥喊经理过来，后来换了一份，梅开二度，依旧有生菜有虫卵，真的很生气，整个人非常崩溃，卫生真的很堪忧，经理的态度还不错，一开始没喊经理的时候经常喊不到服务员，后面就会经常关注我们这桌「酱味牛五花」牛五花的味道很不错，最推荐这个「原创半米牛舌」「厚切牛舌」牛舌可以上菜的时候配点柠檬吃，不然会有点腥，之前吃御牛道的牛舌单独吃也没有这么腥「味增鸡腿肉」emmmm味道很一般，总的来说不太适合做烤肉
「牛肉味增汤」不知道是不是用白味增做的，味道特别淡，说是牛肉味增汤就只有一片很小的牛肉。因为吃到了虫卵，评分肯定带了我自己的情绪在，因为御牛道吃了很多次没有一次有问题，我去吃烤牛肉第一选择是御牛道，但是我对象说可以试试别的，看美团评分4.9才来这家吃的，第一次换生菜给我们退了两个菜作为补偿，第二次给我们免单，当场就说了我只是想好好吃个饭，我不在意退不退菜免不免单。我真的就只是想好好吃个饭，真的不需要给我这么大的惊喜，今天也是非常难过的一天，就这样吧，如果我拉肚子了那我一定谢谢你们「厚貞牛舌烧肉(城西银泰店)」「城西银泰城」
                            

		                            收起评价


"
"
                                蓝莓芝士蛋糕
                                ","
2021-10-08 12:43                            
                            ","
真心一般般，也许真的不适合我而已，牛舌烤的技法也不好，外面焦了里面嚼不烂，比较老，不鲜嫩，不太好吃。东西份量也少的可怜，四佰块没吃饱，两个人都一般食量平时。emmmm，没有下次啦。	                        "
"
                                喜洋洋666
                                ","
2021-10-04 21:55                            
                            ","
吃不饱两个人花了四百量少无敌少，肉质很一般啊啊啊啊真的踩雷了和御牛道没法比啊……老公也很无语子还是精选去吃的，结果很失望🙍‍♂️味道差劲啊啊👎	                        "
"
                                zhichufib
                                ","
2021-09-04 12:12                            
                            ","
牛舌还行 牛肉一般般，性价比不高	                        "
"
                                21eqwqdq
                                ","
2021-07-21 20:58                            
                            ","
服务挺好，菜品不敢恭维，还被吃了霸王餐。。。。。。。。。。	                        "
"
                                荼月
                                ","
                                2021-05-05
  更新于2021-05-07 11:36                            
                            ","
太难吃了！！！ 和牛都没有和牛的亚子	                        "
"
                                匿名用户
                                ","
2021-02-10 19:55                            
                            ","
                            [薄荷]环境：
环境还不错，但是整体有些吵
[服务铃]服务：
有些恐怖，点了一杯星空可尔必思，服务员要拿我的吸管给我搅搅，我是真的醉了
帮忙考了牛舌，一直说要烤得嫩一些，都是基本上是嚼不动的，没熟，很硬
「厚切牛舌」全熟一定要全熟，可以的话自己烤，不然第二天你会和卫生纸融为一体
「寿喜锅」要命的难吃，感觉像一杯全糖奶茶一样，甜到齁
「黄油葱味牛小排」基本上是边角料，很一般，肉也非常柴
「香嫩厚裙肉」难以形容，肉质一般
如果说喜欢烤肉，不要想不开，去肉本家排队吧
                            

		                            收起评价


"
"
                                Jamisy
                                ","
2021-02-04 18:40                            
                            ","
口味真的....一般
寿喜锅真的好难吃啊，不知为何汤那么甜。
黄油牛排踩雷，肉很老
牛舌，服务员推荐七成熟，但真的一点也不嫩啊，口感一般。
应该不会再来	                        "
"
                                匿名用户
                                ","
2021-01-30 00:30                            
                            ","
味道其实还不错，但是服务真的不行。烤肉要自己动手，汤也不帮忙打。这个价钱，这种服务配不上。	                        "
"
                                桃小坏
                                ","
2021-01-06 18:11                            
                            ","
炒饭真的差评 一坨………牛舌是主打 也并不好吃 服务和环境不错	                        "
"
                                匿名用户
                                ","
2021-01-06 14:23                            
                            ","
                            好吃？推荐？吃完一次以后都不敢吃的店，以至于到现在都后怕…和朋友一起去厚贞，吃完当晚两个人就开始吐了。服务员的服务意识很好，帮忙烤肉，但是可能人比较多，烤的速度很快，很多肉都没有熟，还带血。期间，我们跟服务员提过想烤熟一点，但服务员说这样味道好…想提醒大家，肉还是烤熟的好吃啊！还有一点，自己动手，丰衣足食
没有推荐菜，看到就想吐了…
                            

		                            收起评价


"
