用户名,时间,评论
"
                                黑蜜腊灯笼椒
                                ","
2024-02-03 23:43                            
                            ","
吃着吃着，生菜里夹着苍蝇，一天的好心情瞬间没有了。店里有关负责人给出的结果是，过年了，人手不够！不先承认自己店家的卫生问题，而是首先找理由，真是开眼了🏻	                        "
"
                                匿名用户
                                ","
2023-12-29 13:35                            
                            ","
                            吃完没有愉悦的感觉，服务员主动问整体怎么样，我说实话感觉一般，服务员说申请一张50优惠券，我说大悦城店我会去，但是你们这家店可能不会再来，优惠券可能也没用，服务员说其他店也都可以用的，结果还是只能用你们这里店，很失望，也不需要你们补偿，但是你们规则得说说清楚
                            

		                            收起评价


"
"
                                俊智聪慧的小安
                                ","
2023-09-15 12:14                            
                            ","
贵的要死，虽然有人帮忙烤，但是分量很少，1500多5个人都吃不饱，味道也就一般烤肉味，有的还没烤熟，咬不动。座位还很小，空间非常拥挤。不知道怎么好意思卖的人均200的餐。	                        "
"
                                匿名用户
                                ","
2023-06-19 23:16                            
                            ","
说实话肉的品质真的一般般 自己烤的肉都碎了 并且烤肉味道太甜 喜欢甜口的可以试一试 我有点接受不来  腻得很 不出意外应该不会再来	                        "
"
                                匿名用户
                                ","
2023-04-24 13:52                            
                            ","
生菜没洗干净 上面绿色黑色小点很多	                        "
"
                                苏
                                ","
2023-02-23 20:05                            
                            ","
肉质一般 除了牛舌和他们的那个牛肉饭 其他的说实话都不满意 我一个人吃了340 这个价格同等价位比这个好吃的烤肉肉质好的有很多 不会再来	                        "
"
                                匿名用户
                                ","
2023-02-23 18:45                            
                            ","
服务态度超级差，不知道在拽着什么！再也不来了！	                        "
"
                                九十
                                ","
2023-02-05 22:59                            
                            ","
带冰的海草，生菜免费续？所以第一次的生菜催了三次，过了半个小时再上？肉都吃完了是不是不用续了？帮烤？全程都没来过一次，别说我没消费，乱黑	                        "
"
                                happyconniezhang
                                ","
2022-08-27 20:04                            
                            ","
感觉肉的品质没以前好了，不像之前那么好吃了。	                        "
"
                                uhvff
                                ","
2022-08-14 20:13                            
                            ","
                            询问门口取号的小哥要等多久，答“20分钟左右”，等了40多分钟后，发现他对每位来询问都是告知20分钟，无论人多少，最后一句送你份生菜想解决问题，我想说：
想招揽生意没错，毫无底线的忽悠客人20分钟这种话说了，长期来看，只会失去信誉。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2022-07-25 18:50                            
                            ","
注册会员送60元券就是误导别人，当天不能用，必须第二天才能用，为什么在注册的时候不提醒客人？？	                        "
"
                                浩然正气的小王
                                ","
2022-07-08 15:34                            
                            ","
厚贞吃了那么多次，第一次遇到生菜都没洗干净，里面有苍蝇	                        "
"
                                思堇然
                                ","
2022-06-22 20:29                            
                            ","
胃口很不好，这里除了烤肉，其他的都挺好吃的，大家细品，实名评价！！！！！	                        "
"
                                lakeineyes
                                ","
2022-04-17 19:29                            
                            ","
没有惊艳的口感，非常普通，不明白为什么那么多好评。 
都是烤肉，建议做一款 火烧和牛 
拌饭也很普通，可以放点干鲣鱼花。
水果也太酸了	                        "
"
                                李红升
                                ","
2022-03-29 20:10                            
                            ","
味道还可以，服务真的是太差了，服务员根本不管你，都吃完了饭还没上	                        "
"
                                小菜ni
                                ","
2022-02-16 14:43                            
                            ","
看了170左右的人均，4.8的评分应该不错吧，实际让人失望，食材挺一般，只能当快餐类日料，不会吃第二次的那种。	                        "
"
                                Vivian
                                ","
2022-02-04 22:05                            
                            ","
                            先说服务：真的很无语，明明有位置，然后说没有位置，你们是想干嘛？开门不做生意可以关门，还是想让别人觉得你家生意特别好，一堆排队的？
再说菜品，价格配不上，你家真的太贵，价格配不上时如果服务配得上，那也行，服务也配不上！ 
区别对待挺严重，我看了下，基本上每桌都有水果，一人一个橙子，就我们桌没有，橙子我不是非吃不可，但你们的区别对待就值得这个差评！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2021-12-29 17:03                            
                            ","
                            [薄荷]环境:
环境真的不是一般的差，新商场为什么有环境这么差的店，地上有水也不知道去拖干，客人非常容易滑到的，而且地上脏东西也不知道扫了，黏糊糊的东西，真恶心，很多地方都有灰尘，环境是真的差啊。

[服务铃]服务:
服务就更不用说了，这家店长就不培训的吗？哪还用店长干嘛，服务员站那边都不知道干嘛，全程都没有服务，全程和自助餐没有什么区别，还不如去楼上吃什么记呢，同样是烤肉。服务都比他家好。体验感真的非常差，不差钱，就是第一次想来尝尝她家烤肉，第一次的体验感是真的差，以后不会在去第二次了，不介意来他家吃，希望点评好友们都不要去她家，相信我。
口味也非常的一般，没有什么特色，口味没有，服务没有，环境卫生也非常的一般，希望他家店长可以多抓抓这些，不然在奥体印象城里面开店迟早会被这样的店长干黄了。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2021-11-02 09:55                            
                            ","
食材不新鲜，和女朋友吃完回家都拉肚子;真后悔，不如吃初，至少还便宜	                        "
"
                                boomshakalaka_5326
                                ","
2021-10-06 22:00                            
                            ","
不太好吃。虽然服务很好，但是菜品不太好吃，性价比不高。招牌牛舌，也不太好吃。	                        "
"
                                徐钧炜
                                ","
2021-10-03 21:06                            
                            ","
量太少了，吃了将近400多，没有一个人吃饱。	                        "
