用户名,时间,评论
"
                                cookie丹
                                ","
2024-02-17 22:09                            
                            ","
                            厚贞必须要给五星好评的一家店！！！
今天妹妹过生日，一家人来吃烤肉，爸爸在吃饭的时候随口跟帮忙烤肉的小姐姐提了一句，我跟妹妹都还很不好意思，跟爸爸说“你以为是海底捞么”，没想到吃完饭快要走的时候，居然送来了烤肉蛋糕，还放了生日快乐歌，被这家店狠狠戳到了，下次必须来！！！另外表扬一下给我们烤肉的小姐姐，服务非常好，长得也很漂亮，拍照的时候还会给我们打光，哈哈哈哈哈，五星好评


		                            收起评价


"
"
                                七七
                                ","
2024-02-24 11:04                            
                            ","
                            「酱汁横膈膜120g」很不错喔～
很久没有吃烤肉，这次突然想吃，选了这家店，地方也很好找，肉质非常的鲜嫩，让人吃过之后就很难忘记
[薄荷]环境:很好，还有很多漂亮的小姐姐
[服务铃]服务:服务员非常有礼貌，还给我们烤肉「安格斯精选眼肉排」肉质非常的鲜美😸
下次还会再去的！

「印力汇德隆奥体印象城」
                            

		                            收起评价


"
"
                                山山而川
                                ","
2024-02-19 22:00                            
                            ","
                            带孩子逛奥体随便走进的一家店
[薄荷]环境：
没有烟味
[服务铃]服务：
小姐姐服务很好，帮忙烤肉，调料没了会及时续上
「紫菜牛肉饭」好吃
「罐香牛肋条」好吃不腻
肉类基本都还不错，比肉本家的好吃多了，基本全部光盘「罐香牛肋条」
                            

		                            收起评价


"
"
                                刘好忙
                                ","
2024-02-07 22:51                            
                            ","
                            杭州｜适合懒人的烤肉🥩店！安利给every one的好店🙋🏻‍♂️
🌟点单攻略
可以跟我们一样先购买套餐 看哪样好吃 没吃爽再单点～
🥩肉肉类感觉可以盲点
✔️「罐香牛肋条」尊嘟很香 奶香奶香的牛肉味 腌制的不咸但也入味 不蘸料也好吃的存在
✔️「盐葱牛肋条」「盐味猪颈部肉」不想吃腌制类的 可以点这种嗷
✔️沙拉🥗还是很有必要的 补充蛋白质的同时 吃点维生素（缓解下肥胖的不安hhh）
·
（可以不点）「紫菜牛肉饭」
一致觉得一般 有点咸
·
小年夜提前过来取了号 乌泱泱四个人去购入了奶茶/冰淇淋/泡芙 现在想起来店家还挺好也让我们带进去
真的看到商场里的甜品们欲罢不能啊啊啊
～
‼️
[服务铃]服务：
换烤盘感觉过于勤快hhh我们都觉得还能再烤会儿
烤呀✂️剪肉 都是服务员小哥积极弄好的嗷
我们就边聊天边炫
·
还有第一次看到纯肉的生日蛋糕hhh 看来下次得挑生日的时候来 感受一波～
                            

		                            收起评价


"
"
                                荒岛
                                ","
2024-02-14 20:35                            
                            ","
                            很早以前就被种草了但一直没机会吃 今天特别想吃烤肉就立马想到厚贞！
双人套餐298五份肉完全可以吃的很饱
牛肉全都是后厨现切的肉品质真的很好
紫菜牛肉饭嘎嘎好吃！！虽然吃到后面有一点点咸但是我吃了两碗！！配烤肉绝了
最重要的一点！！服务员们真的很贴心很好！！可以帮忙烤肉 烤盘也换的很勤快 而且会时刻关注你的需求 不需要说就会默默帮你剪肉倒水添调料 就服务的恰到好处真的太让人舒服了 点的外卖奶茶到了也是小姐姐主动提出让我坐着她去帮我拿进来 走之前还贴心的给了口香糖
餐后水果也很贴心 橙子切的又好看又好吃 安利给我每一个朋友哈哈哈
                            

		                            收起评价


"
"
                                凹妮酱
                                ","
2024-02-12 17:24                            
                            ","
                            [薄荷]环境：
在印象城里面很容易找到，氛围也很好
年前去的人不多，错峰吃个烤肉

[服务铃]服务：
店员小哥哥头发亚麻色服务特别好，我们的调料快没有了，就马上给我们续上了，感觉很认真负责。会主动帮忙烤肉，都很nice。
「罐香牛肋条」牛肋条特别鲜，搭配蘸酱很好吃，肉质很嫩滑。
「酱汁横膈膜120g」隔膜我感觉是我最喜欢的口感，而且分量挺大的，有厚度～～
他们的橙子🍊也很好吃
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-13 22:03                            
                            ","
                            双人烤肉套餐在印象城这边的日式烤肉店里算是比较便宜的了，并且份量足够，肉质也不错，真的把人吃到撑。最喜欢的是牛五花和紫菜牛肉饭，五花滋滋作响，有股甜味，沾酱后更是别有一番风味，紫菜牛肉饭也超级好吃。不过最后店员有点忙不过来，有份肉一直没帮忙烤，还是自己上手了
                            

		                            收起评价


"
"
                                在珍峰岛写作业的火锅
                                ","
2024-01-10 17:47                            
                            ","
                            [薄荷]环境：
确实是日式风格 灯光比较昏暗 蛮适合约会
[服务铃]服务：
可以叫服务员帮忙烤 烤一种肉就换一次烤盘 这是我第一次见哈哈哈 好讲究
第一片烤的肉好好吃 但是我忘记叫啥了！ 会有股奶香味
「紫菜牛肉饭」感觉忘记撒盐啦！味道太淡 最后自己撒了点玫瑰海盐 好吃多了
「蟹柳温泉蛋沙拉.」它的酱不是普通的沙拉酱或者千岛酱 比较奇特好吃好吃 蟹柳能吃出一丝一丝的 品质不错
                            

		                            收起评价


"
"
                                Jessica_
                                ","
2024-02-05 00:34                            
                            ","
                            第一次去杭州中心，感觉很不错，带着妈妈和宝宝来吃了烤肉，体验感很不错，工作日的中午也不用排队，味道和服务都很棒，给我们烤肉的小姐姐人美声甜，笑容很治愈，肉烤的很嫩，全程服务都很到位，肉的品质都还不错，我和老公一边吃一边看电视，完全解放双手还送了餐后水果，给续了泡菜，可以二刷


		                            收起评价


"
"
                                木木是mumu啊
                                ","
2024-01-15 17:36                            
                            ","
                            我觉得这是除了御牛道最好吃的烤肉店了！
[圆图钉]地理位置： 奥体印象城4楼
[薄荷]环境： 里面位置很多，而且很宽敞。
[服务铃]服务： 服务员的服务也可圈可点，会主动问需不需要帮忙烤肉，是喜欢吃嫩的还是熟的。真的很细心，而且烤的肉也刚刚好。太棒了~
 「紫菜牛肉饭」好吃，不油腻~
「罐香牛肋条」好吃，而且汁水很多，很嫩
「特厚黑毛猪五花」这个肉也很嫩，推荐
「蟹柳温泉蛋沙拉.」这个也很好吃，我直接光盘
「原创黑松露横膈膜」这个也很好吃。
双人套餐里的都很好吃，我真的超级推荐~
                            

		                            收起评价


"
