用户名,时间,评论
"
                                美莓媚妹
                                ","
2024-02-26 16:09                            
                            ","
                            首先有两个不足：1纸巾直接在烤肉上面，倒着抽，这个常规韩国烤肉就是这样，但是好歹你纸巾质量好一点，一抽烤肉厘米都🈶️纸屑，水杯里也有，哎……
2.我们刚去服务小哥应该是学生兼职把水倒在我们裤子上了，可以理解但是全城没有人道歉，学生逛了能理解，但是作为店长我看到他和你说了情况，你和他也没有来道歉真无语
就是很失望，网上图片文字说的很诱人，实际体验感很差「墨鱼芝士饭团」这个最想吐槽，只能拍照，不好吃，而且吃一颗保管你啥都吃不下了
                            

		                            收起评价


"
"
                                海虾烫鹅肉
                                ","
2024-02-25 15:31                            
                            ","
                            菜品整体偏甜，有点腻，买了278的双人套餐，有服务员帮你烤，但是我这个服务员烤肉跟炒肉一样，或者说跟拿肉洗锅一样，（请问你换托盘侧边的围栏有换吗）整的真的很没食欲，一种对待完全没有一丝感情（这个词用的不是很正确，大概就这个意思）
而且服务员把菜品里的小蘑菇扔掉了，不管你是用来给菜做搭配还是怎么样，是不是应该问一下客户，即使我没那么想吃，问都不问一句就给我扔了，真的很无语，毕竟是我花的钱，
其次服务员两盘肉放一起炒，请问你装菜怎么不所有菜一个盘子给我装上来，
而且服务员说话不清楚完全不知道她在说什么，要问好几遍才知道，有问题也不解释清楚,问肉上为什么有那么多圆管，是什么肉，说实话一个字没听见，
有人在真的不想发火，下次不会再来了，被服务员整的没有推荐的菜，所有菜一个味道
                            

		                            收起评价


"
"
                                随便叫些什么
                                ","
2024-01-20 18:52                            
                            ","
服务不太行，估计是刷上去的分数	                        "
"
                                荦荦子
                                ","
2024-01-20 18:48                            
                            ","
                            想给负分的其实。服务态度极差！！！就是20号晚上18:30门口取号的那个女服务员！！

手机公众号显示还有3桌的时候，从3楼坐扶挮上来，就过号了，整个过程不到两分钟。

跟她商量解决办法的时候，态度恶劣，“谁让你们不在门口等，你们想进去，我怎么跟A09交待”。首先，谁规定排队一定要在门口等、门口也没有位置可以坐、让人在门口干坐30多分钟？？其次，过号是线上系统和现场叫号之间信息不对等的问题，跟我们也没有关系，凭什么要我们承担后果。

拉黑了！！这辈子都不会去！连着朋友圈也一起拉黑了


		                            收起评价


"
"
                                优雅甜美呱呱狮
                                ","
2024-01-11 20:43                            
                            ","
                            烤肉味道很一般，不值人均一百多，服务态度恶劣，不怕受气的可以尝试!
1、跨年夜9点多入场开始吃，一会再要生菜的时候说已经没有了，服务员称我们来的太晚了，好好好，且不说那会店里还每桌都有人吃饭，外面还有人在排队，你家营业时间写着营业到24点，9点说我们来的太晚了？？
2、剩下最后一盘肉的时候，我要求换个烤盘，服务员问还吃吗，我们一桌表示？？不然呢为什么不吃？回答说没有烤盘换了，要不不吃了要不就用那个糊烤盘烤，好好好，我大跌眼镜，说叫经理吧，然后拿了个不干不净的烤盘，吃完四个人狂拉肚
咱说，在外面吃那么多顿饭从来没写过差评，但这次体验真值得个800字差评！套餐一般，服务让人憋气，没那么本事就别标注营业时间那么久哈，营销的不错，好好干吧
                            

		                            收起评价


"
"
                                今天吃蛋包饭了吗
                                ","
2023-12-17 02:58                            
                            ","
猪五花难吃有腥味  鱼饼炒年糕难吃  牛舌真的很像口香糖嚼不动（真离谱） 秘制牛排和特色肥瘦好吃  别来	                        "
"
                                匿名用户
                                ","
2023-12-15 13:35                            
                            ","
                            刷到推广吹上天了，慌慌张张跑来吃的我真是寒心。
环境一般，桌子之间间隔很小，拥挤。
菜品太难吃了，没有一个烤肉好吃，鸡肉腌制得肉质诡异，猪肉猪腥味重，牛排稍微好一点勉强能吃，真的汗流浃背了。最好吃的是海灵菇饭，可以试试。烤肉还是拉倒吧。
                            

		                            收起评价


"
"
                                乱了夏天蓝了海。_2155
                                ","
2023-12-11 22:12                            
                            ","
这俩星是给服务的 菜的味道真的一般 就服务好了	                        "
"
                                小甜瓜妹妹
                                ","
2023-12-10 16:19                            
                            ","
整体很失望，很多宣传都是滤镜严重
整体口味就是非常一般	                        "
"
                                草丛的雨露
                                ","
2023-12-05 09:43                            
                            ","
回到家才发现服务员没有上这份菜品	                        "
