用户名,时间,评论
"
                                Yukiho
                                ","
2024-02-17 00:39                            
                            ","
                            -20240130-
在上海吃过安三胖后烤肉我都首选安三胖 不管是请远道而来的朋友 还是请家人吃饭 我都选ta！
年前的周六傍晚去的 五点零一些到店人还不多

当然我承认吸引我的是他家的无限续的免费南瓜汤和土豆沙拉点了一个牛肉拼盘 烤的还有牛排、猪五花  肉类看喜好随便点就好 蘸了酱料裹在生菜里咋么样都好吃 小吃点了「墨鱼芝士饭团」卖相不错很有食欲 吃起来也很nice  内陷饱满 要趁热吃！ 「韩式火辣鸡爪」服务员说很多人觉得很辣 作为平常家里吃的菜里都会放点辣椒的杭州人觉得这个一点都不辣 就是有辣味但不觉得有多辣 味道是不错的 「妈妈的辣年糕条」相比之下还是年糕条里的汤儿更辣一些 一串鱼饼和年糕 服务员在剪之前还问了我要不要拍照哈哈  「炸鸡拼盘」三个口味一应俱全 还配了一点薯角 这个比较常规 没有很出彩也不雷

这样子点四个人吃超级饱哦 饭量小的四人的话建议可以再去掉炸鸡，年糕条/饭团选1

[薄荷]环境：
超好 吃完头上都没有浓厚的烤肉味 吸油烟的机子太猛了 赞！

[服务铃]服务：
其他都挺好 服务员很友善 换烤盘很频繁 也帮忙烤得很好 唯一有一点就是不够热情主动 当然这也不是硬性要求 只是之前我在别家的时候 人家看到我kuakua炫土豆泥和南瓜汤会很主动问我要不要再给我来几份 这家的服务员属于我必须主动问能不能再给份 问多了我有点不好意思..

总之推荐大家去吃！
                            

		                            收起评价


"
"
                                川
                                ","
2024-02-24 18:54                            
                            ","
                            今天和朋友一起来打卡了滨江天街这家安三胖烤肉
[薄荷]环境：
一进门店就被惊讶住了生意非常非常好门口好多在排队等号的不过排的很快里面服务员很多收桌比较快
[服务铃]服务：
烤肉有帮烤服务 服务员烤肉非常娴熟 坐等吃就好啦 生菜南瓜粥小菜无限续 那个南瓜粥真的巨好喝烤肉的味道也很好非常满意的一餐


		                            收起评价


"
"
                                夏頻頻
                                ","
2024-02-19 23:37                            
                            ","
                            一如既往地量大管饱又好吃😋
实在不知道吃啥的时候随时可以无脑入
最近竟然还有冻梨 切开版哈哈哈
南方人属实不太会吃 只觉得应景搞笑
服务员们会随时帮烤帮切 主打一个不用自己动手 送的泡菜和小鱼干都很不错
工作日七点到稍微排了20分钟就进去了 还可以
                            

		                            收起评价


"
"
                                苏锦_7250
                                ","
2024-02-24 13:43                            
                            ","
                            又一次来打卡安三胖啦
[薄荷]环境：
位置在滨江天街六楼 里面装修很韩系 卫生做的很好 
[服务铃]服务：
店内服务员很多 很热情 有什么需要招手就来 不会烤肉店可以让他们帮烤 小姐姐服务很好「妈妈的秘制牛排（谷饲安格斯）」「厚切黑猪五花（原味）」「秘制牛五花」肉的品质都很不错味道很好 小菜南瓜粥生菜无限续


		                            收起评价


"
"
                                晓忆
                                ","
2024-02-05 16:12                            
                            ","
                            年末请朋友吃个烤肉，就选择了这家店。在龙湖滨江天街6楼，位置挺好找。

「妈妈的秘制牛排（谷饲安格斯）」这个有点费牙齿，不太好咀嚼，和其本身的肉质有关系。和服务员沟通后，老板补了一份肥瘦相间的「特色牛肥瘦」，口感就好多啦！这服务还是很不错的！

「厚切黑猪五花（原味）」「秘制牛五花」「秘制吾桑格」这些肉都是比较嫩的，配上的甜甜的酱汁，裹上生菜，味道很棒！

南瓜汤、土豆泥等都是无限供应的，这两样还是挺好吃的。4人吃了双人套餐都很饱，分量还是比较足的！

全程也都是小哥哥小姐姐为我们服务烤肉的，只需要埋头吃就行。快过年了人手稍微有点紧张，需要等候一会儿。
                            

		                            收起评价


"
"
                                *_夏尐西、
                                ","
2023-12-26 22:52                            
                            ","
                            老公说他家比老太太家的好吃、我是很怀疑滴、毕竟人家老太太肉肉自由了嘛、然后老公给我看了下团购我发现哦吼、这也全是肉肉啊作为一个食肉动物的我瞬间就很期待了！因为是圣诞节🎄这天去的然后我们下班比较晚到那已经八点了、我们在地铁上就排队了、上面显示三十分钟、我们到那就两站所以不急、但是下地铁就过号了？？？什么情况？又排了一遍、原来前面排三十多分钟的全走了。进去之后等餐时间有点长、最遗憾的是我只喝到半碗粥底、没有了、他家那个粥真好喝、好可惜哦。土豆泥也可以。肉肉就更不用说了！然后我就认同了我老公说的他家确实更好吃一点！就是粥太少了好郁闷！下次高低我要早点来和这个南瓜粥。又是一家肉肉自由的烤肉、最主要他家的粥啊土豆泥啊真好吃！架子底下的肉都没照、太饿了拍两张得了哈哈，俩人肉肉自由再加一份主食300左右，人均一百五、但是我俩比较能吃哦！其他饭量小的可以三个人300吧
                            

		                            收起评价


"
"
                                在银滩翱翔的鸭蛋
                                ","
2024-01-30 13:50                            
                            ","
                            •环境:店铺韩式风格很足也很复古就连卫生间都是韩式的。空间很大，有包厢适合6人以上聚餐。高峰期需要排
队等位。
◎服务：服务员都还是比较客气有礼貌，会及时更换餐
碟和烤盘。服务员也会帮忙烤肉。
•味道:烤肉分量还是挺足的，团购了这么2-3人餐，
三个人都没吃完。烤肉肉质也很新鲜。三胖小菜，黑松露牛排非常赞
土豆泥还有生菜可以免费续。
三胖吾桑格用水果汁
腌制过的，吃起来口感很棒推荐一下。主食选择了比较
经典的石锅拌饭。总体来说感觉很棒，推荐大家去体验
- 下吧。
I龙湖滨江天街．安三胖韩国烤肉
#杭州必吃的烤肉店
#烤肉 #韩式烤肉 #杭州
                            

		                            收起评价


"
"
                                餐馋
                                ","
                                2023-12-23
  更新于2023-12-24 15:57                            
                            ","
                            偶然发现的一家烤肉店，店内设计很韩风，灯光明亮用餐愉快，工作人员热情上菜，并帮忙烤制好，很贴心。还有很多小菜，像土豆泥，辣白菜等都可以免费续加。还有南瓜粥熬制的很香甜。特别是肉肉真的很好吃，蘸料也很丰富。
原本很开心的，但是说好写点评送两个甜品结果默不作声变成了一个甜品和两杯柠檬茶，虽然确实赠送了但就是心里不舒服。另外在南瓜粥里吃出来了钢球丝，当时还喂小宝宝吃了，幸亏这口是大人吃的，店员说不好意思团的套餐不能减免，说出来也不是为了减免什么，就是希望避免一下，疏忽谁都有，但是食品安全才是食客最关注的，并不是为了获得什么。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-12-18 16:07                            
                            ","
                            [薄荷]环境：生意还是很好的，去的时候排队，取号等了一会儿，进店满满的韩国风呢

「厚切黑猪五花（原味）」这个猪的真的是不好吃，浅尝了下啊啊啊啊啊，救命🆘真心不咋滴，其他几个🥩都是好吃😋的，光光，生菜🥬免费续，和烤肉是绝配的，调料🧂也是可以一直续哦，「南瓜粥」感觉有点不甜，个人口味喜欢再甜一点，小菜口感一般，不是我的口味，总体还是不错的，肉很容易飽，撑的慌，嗝儿

[服务铃]服务：
肉上来后，小哥第一时间就问我们要帮忙烤吗，前半段一直帮烤，动作娴熟，还问烤老点儿嫩点儿，当然是嫩点儿好吃呀，反正他们是有空就会帮忙来烤肉，一会儿就都烤完了，中途叫帮忙拿🥬调料都是第一时间去拿效率杠杠滴，就是有围裙提供就更好了，一个🍄掉衣服上了，呜呜🥹 可以的，一次把烤肉吃过瘾了
                            

		                            收起评价


"
"
                                精致的猪猪女孩
                                ","
2024-01-21 20:49                            
                            ","
                            地铁直达，坐电梯6楼～装修布局都比较韩系～
服务员服务很周到，帮你烧烤，很是方便，他家食材都很新鲜～蘸料小碟味道配烤肉和生菜很是一绝～外酥里嫩，一口下去满嘴都是幸福感～溢于言表～土豆泥很细腻～绵绵的口感
                            

		                            收起评价


"
"
                                陌小九
                                ","
2024-02-01 12:52                            
                            ","
                            [薄荷]环境:很好找就在天街六楼 坐电梯上去走两步就到了 装潢很韩式 都没看出来是烤肉haha
[服务铃]服务:小姐姐们态度都很好 还可以帮忙烤  肉很新鲜 口味每一个都一样 本来以为都是肉会腻但是实际完全不会 真的很好吃！
菜品！秘制吾桑格  妈妈的果味猪排  特色牛肥瘦
厚切黑猪五花(原味)  雪花黑猪松坂肉还有南瓜粥粉 给搭配了八种小🧙‍♀️菜 都是不限量供应 还有生菜也是不限量的  后面还要和朋友来！
土豆泥很精致
 明太鱼丝豆干味道有点像辣条 
腌制白萝卜 大蒜青椒圈
韩式辣白菜 韩式豆芽生菜
                            

		                            收起评价


"
"
                                妥_708
                                ","
                                2024-01-16
  更新于2024-01-21 11:14                            
                            ","
                            [薄荷]环境:
环境特别好，整体就是一个金属烤肉风，餐桌什么的不像一些店很油腻，装修很好看，还是有做出特色店铺的感觉。
[服务铃]服务:
店里服务员比客人都要多了，服务也很好，都很热情，特别礼貌，随叫随到，只要抬手人就过来了，全程有人帮忙烤肉，我都不太好意思刚要起身去补点小料，就被按住服务员把小料台的小料拿过来给我加，兄弟姐妹们就这服务，绝对ok。
「秘制牛五花」肉质特别嫩，特别好吃，整个招牌就是这个了我觉得。
「招牌果味牛肉」好吃好吃😋属于偏厚具有口感的内一类，有点像日式的那种感觉。
其他几个菜品试了，不踩雷，哪怕没有特别棒的，也都是谈的上中规中矩。再提一嘴，店长一整个负责且变通，让人很亲切，我是18号当天要飞三亚，我16号去的，然后他这个券18号才能核销，我提前打电话沟通了下，然后那边一整个服务系统沟通了下这个问题，告知我可以过去先用券，然后到店店长接待上菜啦，真的再次给服务上点个赞，所以伙伴们，在这里吃饭遇到问题，大胆去提自己的需求，人都很nice
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-12 18:59                            
                            ","
                            今天带着儿子 女儿过来吃烤肉，心心念念了好久，大年初三商场人不是很多，进来就有位置，不用排队，点完菜，上菜也很快，哈哈，给你避坑别周六 周日过来，一定要过春节，或者是工作日过来，到哪里吃都不用排队，也不挤

上菜速度快 烤肉的小哥哥烤肉技术也熟练，烤的很不错，女儿 儿子都很爱吃，就没有停下来过，去其他地方自己烤 烤不好 这里有人帮忙烤肉 真享受 真舒服 真幸福

下次带着儿子 女儿爸爸 还有一家人过来吃
                            

		                            收起评价


"
"
                                傅尔摩斯
                                ","
2024-01-17 20:11                            
                            ","
                            南瓜粥太好喝了哈哈哈，全部喝光光

[薄荷]环境：
环境太好了，不会很热，也没有什么油烟。

[服务铃]服务：
服务非常好，感觉每个人都很热情，有疑问都会解答
「厚切黑猪五花（原味）」五花肉超级超级好吃😋，吃烤肉不吃五花香味少一半，每次必点
「秘制牛五花」太好吃了，喜欢这个口感
                            

		                            收起评价


"
"
                                好想吃早饭
                                ","
2024-02-02 18:57                            
                            ","
                            韩国烤肉的制作包括多种肉类和面食，以及各种调味料，每一种都能体现出韩国的风味。它的历史可以追溯到古代，并且已经成为了韩国文化的一个重要组成部分。无论是单独食用还是与朋友分享，韩国烤肉都能够提供一次难忘的美食体验。

不同的韩国烤肉餐厅可能会提供不同种类的肉品，如牛五花、雪花肉、牛舌等，这些都是烤肉的经典部位。有些餐厅甚至提供了自助服务，允许顾客根据自己的喜好选择不同的肉类和配菜。
                            

		                            收起评价


"
"
                                鹿酱
                                ","
                                2024-01-22
  更新于2024-01-23 11:35                            
                            ","
                            感谢平台，又中啦
[薄荷]环境：
位置在龙湖天街，还是比较好找的，店面装修比较简单朴素
[服务铃]服务：
服务挺给力的，时不时有人会路过问下要不要帮忙烤肉，好评
「妈妈的秘制牛排（谷饲安格斯）」「秘制牛五花」肉质还是可以的，牛排可能没那么新鲜，但总体吃下来口感还可以，其他肉质也不错。餐后我另点了一个提拉米苏，好吃，加分！
套餐里面全是肉，其实两个人吃是超标了，有点多，然后没有其他米饭或者其他菜品，不好做评价。不过总体还是满意哒
生意兴隆呀


		                            收起评价


"
"
                                我有三个宝盖头
                                ","
2024-02-09 10:26                            
                            ","
                            安三胖来滨江了，门店蛮大的，装修也很有特色
上菜速度还是蛮快的，份量也很不错
「厚切黑猪五花（原味）」五花肉很香但是得配上酱料和生菜，不然就容易腻了
「辣炒海灵菇饭」这次的饭感觉酱料微微少了些，拌开后感觉不够，不够也不至于会太咸
「秘制牛五花」牛五花的味道也是不错的
「韩牛横膈膜」韩牛的味道还行，不算特别惊艳
两人套餐有四五份肉还是很不错的
                            

		                            收起评价


"
"
                                葫芦小金x
                                ","
2024-02-01 23:24                            
                            ","
                            还不错的一次烤肉体验，中的免费试双人餐，带上朋友又加了两个菜，三个人完全够吃。肉的品质还算不错，腌制的口味不会很重。五花肉吃多了还是有点腻，但这个也都是看个人喜好。鱼饼炒年糕是咸甜口的，朋友比较喜欢。菜的成分主要还是白菜，鱼饼和年糕量比较少。免费的小食比较一般，南瓜粥也有点稀。店里的烤肉服务都是一对一的，还是蛮不错的。最后一点对服务的个人建议，空餐盘可以换大一点的或者多放两个。服务员烤熟的肉夹出来都放不下，有一些掉到了桌子上，看着都尴尬。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-04 20:32                            
                            ","
                            落座满目漫画风食物图片，配上韩语，装修就很有韩国烤肉的感觉了。店里有烤肉的香味但是不烟，胃口大开。每份烤肉的份量也很足，烤肉口感鲜嫩多汁，十分入味。服务员态度很好，有需要呼唤就会马上过来。除了生菜，这里还提供了各种独特的调料，搭配烤肉一起吃，满足。除了这些，店里的南瓜糊也刚刚好，不腻。总体来说，是一家会再来的店铺。
                            

		                            收起评价


"
"
                                阿不思
                                ","
2024-02-13 20:44                            
                            ","
                            生意非常好的烤肉店，刚好有位子，顺利打卡

[薄荷]环境：
装修带点漫画风的韩系，桌子间比较紧凑

[服务铃]服务：
店员全程帮烤，服务很好
「厚切黑猪五花（原味）」烤肉必点！肥滋滋又香又满足，强烈推荐大家配点蒜片，增香n倍
「原味梅花肉」这个单烤有点点偏干，还是五花肉更香
「秘制新西兰牛肋条」点的时候没注意是调味牛肋，调味过之后偏甜，和队友都不喜欢吃甜口，喜欢甜口的小伙伴可以试试
「国民拌饭」分量超级足！！也是偏甜口的
                            

		                            收起评价


"
"
                                青釉.
                                ","
2024-02-01 14:16                            
                            ","
                            路过天街 和女朋友打卡了一家烤肉店 整体感觉非常不错的 女朋友不吃猪肉的所以点了几个特色菜「秘制新西兰牛肋条」牛肉肋条 层次分明 纹理感特别强「秘制牛五花」五花牛肉 很漂亮的味道很香烤出来 肉质细嫩鲜美可口
「牛舌」牛舌很爱吃这个不仅切的漂亮吃起来非常香 入口浑厚「三胖巨人鱿鱼」对于一个爱吃鱿鱼的人来说 绝赞的分量很足好吃
[薄荷]环境：
环境特别可以的 流行音乐听着舒服
[服务铃]服务：
服务特别不错的 细心而且服务员烤肉也是一流的想吃烤肉来这里就对了
                            

		                            收起评价


"
"
                                LUHAN_3171
                                ","
2024-01-12 18:15                            
                            ","
                            安三胖是一家以韩式烤肉为主的餐厅，其环境氛围深受顾客喜爱，能够让人感受到八十年代的怀旧风情。菜品方面，招牌吾桑格和厚切五花肉广受好评，前者肉质鲜嫩，后者则烤至外脆内软，搭配辣酱食用更是美味无比。此外，店内的服务也得到了顾客的好评，服务员会帮忙将肉片放置在烤盘上进行翻烤，确保每一口都能享受到最佳的味道。总的来说，安三胖提供的不仅仅是美味的烤肉，更是一种独特的餐饮体验。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-01-24 22:34                            
                            ","
                            「厚切黑猪五花（原味）」猪肉很香。店里的小哥哥会帮忙切成小块
「秘制吾桑格」肉分量还是不错的。很嫩。配蘸料味道可以，应该是招牌菜
「妈妈的果味猪排」很大一块，厚实的很。肉质和牛排一样紧实，还不错，就是有点干
「特色牛肥瘦」偏甜，口感和吾桑格差不多，比那个甜一些
猪颈肉：肉质紧实，口感神奇，是没吃过的口感，大家可以点，个人感觉很不错
安三胖的分量很足，两个女孩子吃，这五份肉吃不完。南瓜汤很好喝，喝了两碗。生菜包肉很爽口，店里服务很周到，会帮忙烤，唯一不足的就是，生菜上出现了苍蝇，还是需要注意下的
                            

		                            收起评价


"
"
                                每天换名字
                                ","
2024-01-21 20:39                            
                            ","
                            [薄荷]环境:
这家店必须要推荐！
很不错的一家宝藏门店，位置也很好找。外面很冷，里面环境很温暖，烟火气足。

[服务铃]服务:
服务很棒，小哥哥服务很周到，帮忙烤肉，随叫随到。
这个服务比很多大牌烤肉店都要好。
而且，食材非常非常新鲜。放心点，放心吃。

「厚切黑猪五花（原味）」
好吃，需要多烤一会儿，卷起来吃，不油腻。
「秘制牛五花」
推荐！沾着酱汁吃，还不错。
「小菜」
味道中规中矩。
「韩式墨鱼肠」
不能烤太久，会发干。
「国民拌饭」
还不错
「韩牛横膈膜」
推荐，一定要小块小块地烤。

总的来说，很满意，就冲着这服务周到，食材新鲜。今天肉吃太多了，这几天要有负罪感了


		                            收起评价


"
"
                                空心菜油泼奶粉
                                ","
2024-02-26 19:33                            
                            ","
                            [薄荷]环境：
这家烤肉店装修好特别  目光所及处氛围感都很足
[服务铃]服务：
服务员全程服务，会帮忙烤肉 也会及时更换烤盘「妈妈的秘制牛排（谷饲安格斯）」「厚切黑猪五花（原味）」菜品分量很足味道很好
                            

		                            收起评价


"
"
                                火山
                                ","
2024-02-26 18:55                            
                            ","
                            好久没吃烤肉了～这次来打卡这家安三胖～下午1点多到店的～里面人还不少～装修简单敞亮～四个人点了双人餐再加了蔬菜拼盘和主食～后面吃太撑了～主要双人餐里烤肉量比较足～服务也很好～一直帮忙烤肉～小香菇烤出了汤汁非常好吃～
                            

		                            收起评价


"
"
                                sxxxxxm
                                ","
2024-02-26 18:41                            
                            ","
今天约会来安三胖吃烤肉啦 店内小哥哥小姐姐非常热情 说话很温柔 有什么需求都可以满足 服务非常好 店内装修很好看拍照光线非常好烤肉甜品饮料小菜味道也都很好 "
"
                                dusperrrr
                                ","
2024-02-26 18:12                            
                            ","
服务态度非常非常赞，有问题及时给解决了
鸡爪和南瓜粥依旧非常好吃
这次尝试了五花肉，跟生菜在一起绝配
冷面稍微有点酸，喜酸口的应该会挺喜欢的	                        "
