用户名,时间,评论
用户名,时间,评论
"
                                匿名用户
                                ","
2024-02-22 16:19                            
                            ","
                            [薄荷]环境:
万象城地下二层，超市对面，扶梯下来就看到的好位置，很好找。来这里很多次了。环境装修很有品，特别喜欢长卷的水墨画的字
每次去都要排队，后来听说可以手机上预约，预约的时候：不小心点了2人，实际3人，排号是不一样的哦，和进场速度有关，2人的快。
[服务铃]服务:
一个服务员服务多个桌子，有的愿意自己弄就自己烤，有的不会的可以让服务员帮忙。
点餐：
牛肉可以随便点，没有差的东西。每一样都很好吃哦。
辣油鸡蛋饭：看点评是颗颗分明，很好吃。实际就是辣油+一个温泉蛋，拌拌饭，有一丢丢辣。个人觉得一般般。
300元感觉没怎么吃饱感觉500元差不多。
                            

		                            收起评价


"
"
                                爱吃抹茶拿铁的脆皮榴莲
                                ","
2024-02-24 22:32                            
                            ","
                            快过年啦，年前当然得吃顿好的烤肉🍖啦！毫无疑问，那就御牛道吧！
说实话，御牛道可是我心目中杭城烤肉number1的存在！不容反驳！不容反驳！

[薄荷]环境：
这环境让我略感希望，竟然在负2楼

[服务铃]服务：
可以让服务员帮我代烤，解放双手，解放焦虑，非常棒
每个肉都考得恰到好处沙拉有点拉胯整体的口味，尤其这个酱，第一口感觉味道奇奇怪怪
                            

		                            收起评价


"
"
                                Bean？Bean
                                ","
2024-02-17 15:38                            
                            ","
                            终于吃上御牛道了 之前是排队王  
他家烤肉还是有两把刷子的 酱料也不同于别家
小菜需要单点 吃了菠菜有点老 另三款都不错吃
招牌牛小排很嫩 配上蒜瓣儿味道一绝
石锅拌饭有点小辣  上面会有一个温泉蛋 拌匀后米饭湿润润的
炸虾排很出色 蛋黄酱锦上添花
                            

		                            收起评价


"
"
                                小彭友
                                ","
2024-02-22 08:38                            
                            ","
                            新年第一餐，来御牛道打卡，万象城家的还没吃过，牛肉很鲜，应该是腌制过的，其实我觉得他家的服务不用全程陪烤，自己烤感觉更好，他家的份量是有点少的，走的是少而精的路线吧，还是挺贵的，我们在其他店点的他家没有，比如刺身之类的，他家服务员说，他家专做烧烤的，总体还好吧，肉质口感还是很不错的


		                            收起评价


"
"
                                一只毛昱
                                ","
2024-02-22 15:31                            
                            ","
                            不会踩雷的烤肉店，环境很棒，服务在线，帮忙烤肉的小哥很赞
「传统雪花西冷」肉质口感不错，不会太肥
「澳和横隔膜」比较嫩一点，口感也不错
「牛五花」有点肥，一般，还点了猪五花，感觉味道好一些
各种小食每次来都换着点，基本都不错，推荐


		                            收起评价


"
"
                                PYYlovesummer
                                ","
2024-01-20 15:15                            
                            ","
                            好几年没吃御牛道了 之前去的国大店居多

他家永恒排队 今儿周六中午 等了30-40mins 1:20左右落座

「澳和小排」后面为我又加了份 今儿吃的当中最佳 适当的油脂 

「秘制鸡中翅」有点甜口 不是最爱

「牛肉石锅拌饭」也甜口 吃了俩口没吃了 下次非必要不要点 肥牛那种

「炸虾天妇罗」和牛肉比起来普通了 不dai劲儿

「澳和横隔膜」俩个横膈膜之类的 后天人造的调料太多 也是甜口 不好

「法式鹅肝手握寿司」他的菜

「土豆片」好吃

最优秀的牛肉售罄咯 总之澳和小排还可以 土豆片可以 这俩个打天下 俩人690

今儿解了我馋了好久的烤肉 他家品质反正这些年一直在线
                            

		                            收起评价


"
"
                                小丸子
                                ","
2024-02-13 13:46                            
                            ","
                            「牛五花」肉质不错，很嫩「特上牛小排」和牛肥而不腻，沾海盐味道不错，原汁原味
[薄荷]环境：
日式风格，很清晰
[服务铃]服务：
初二去的人比较少，比之前去的时候人少了很多 这次没有排队 很快就有位置了总体来说 还是想相当不错的吧
                            

		                            收起评价


"
"
                                羅米子
                                ","
2024-01-17 20:19                            
                            ","
                            御牛道杭州万象城店
老牌日式烤肉在杭15年，当之无愧的人气王！不夸张的说，朋友在旁边炫肉却不说一句话，这大概就是网上说的那种：好吃到无语吧…它家的肉肉有用澳洲和牛也有美国安格斯牛等定价合理，从高品质到高性价比都有。
因为怀孕🤰还贴心的热了牛奶🥛
推荐⭐️⭐️⭐️⭐️⭐️
逸品厚切牛舌
澳和横膈膜雪花中落小排
特上牛小排
牛五花
雪花中落小排
口菇
法式鹅肝手握寿司
牛肉石锅拌饭
柚子酱海鲜沙拉
                            

		                            收起评价


"
"
                                一勾游江南
                                ","
                                2024-01-22
  更新于2024-01-23 00:15                            
                            ","
                            [薄荷]环境：
在万象城负二楼的扶梯旁，位置比较好找。工作日中午午饭时间去的，人不是很多，有位置。
服务员服务不错，帮忙烤肉，分石锅拌饭等。

[服务铃]菜品：
整体来说肉质不错，味道也都在线，不过没有特别惊喜的地方。
「澳和横隔膜」口感不错，肉质弹弹。比较推荐。
「爱死烤面包」有点一般，面包和冰淇淋很分离……面包片可以单独加，建议直接写到菜单里。我们还是问的服务员。
「豚骨汤拉面」比较一般……感觉不够入味。
其他的就中规中矩吧。

总之整体还是在线的，肉质有保障，性价比也还行，推荐尝试。
                            

		                            收起评价


"
