用户名,时间,评论
"
                                富婆Stella
                                ","
2024-02-23 17:49                            
                            ","
[服务铃]服务：
高峰时间取号等待，门口贴着过号作废，前台喊着过号重新排队，实际还是过号插队，老实的顾客干等着看店家随心所欲。受欢迎的店是不是更应该守规矩！	                        "
"
                                难吃餐馆踩雷高手
                                ","
2024-02-03 12:22                            
                            ","
这家不好 不是炭火的 是电烤
之前吃的滨江店比较好吃 这家服务食材环境都一般
还有这个泡菜锅啊是个什么东西 一点泡菜味都没有还上了半天 泡菜简直就是白菜丢进去煮的 一点酸辣味都没好难吃	                        "
"
                                我懒得取
                                ","
2024-02-02 00:56                            
                            ","
                            吃了很多次了！在这家店起码消费了3k多。这次吃的最糟心！8点多来吃的，本来就也已经蛮饿的了，他的烤肉等凑一端菜盘再给我上，等了10来分钟。哪怕先给我上一个也行啊，上了烤肉，生菜不上，肉烤熟都没生菜配！叫服务员给我送生菜叫了2次。这个生菜我真的得说，软趴趴的叶子，没有根就是干巴巴的叶子有什么好吃的，5块钱一份就几片我也不说了，说的好听可能是有机的，因为有机的都这样软软的。这个给我包烤肉我就觉得难吃，干巴巴的苦叶子。湿巾也换成很薄的那种，叫人拿打包盒叫了2遍。肉都要烤焦了。服务员那个穿蓝衬衫的男的经理吧还是谁，感觉这个人一点服务态度都没有，我跟前台说话，他来插话，不知道来干嘛的，也没有主动服务的意识。一张臭脸摆给谁看。在忙也要服务好顾客吧，快九点了都没人了还要人叫2遍真的离谱！！
                            

		                            收起评价


"
"
                                瑤瑤
                                ","
2024-01-23 21:16                            
                            ","
                            从第一家开业吃到现在，没想到现在是这种品质和服务。1⃣️烤盘和锅圈里夹着上一桌用过的牙签和食物残渣，告诉服务员以后第一时间回答我，这个没关系的，烤肉烤烤盘中间，不会碰到边上的。然后他就走了，我们第二次要求清理的时候拿个纸巾来擦了一下，依旧强调了一句这个不要紧的，这边是不会碰到的。然后就是烤口蘑的时候贴在刚才说不会碰到的地方摆了一圈。按照这个逻辑是不是碗只要洗里面不用洗外面了？这是一个餐饮服务员说出来的话真离谱。2⃣️现在都是电炉，都开最大，点了六盘肉，都是服务员全程烤的，每一盘都烤焦，前面的都剪掉烤焦的部分也就算了。烤横膈膜两边都烤焦了，碳化的那种，这个时候服务员说，烤焦的都是油脂没关系的，和着以后吃烤牛油要吃全黑碳化的吗？烤鸡翅，里面肉还是红的，服务员说这个没关系的，再烤就糊了。不就是火开最大，外面都焦了里面还没熟吗。烤盘也只换了一次，后面烤盘全是黑的。其他烤肉店已经能做到不同的肉类用不一样密度和材质的烤盘，甚至烤一份肉换一个烤盘。十几年的品牌现在连最基本的餐饮卫生意识和烤肉水准都顾不上了，不会再吃了。
                            

		                            收起评价


"
"
                                玉檀.
                                ","
2024-01-21 15:29                            
                            ","
御牛道怎么能这么难吃了？品控行不行？
实在没吃到满意的，问肉为什么这么老这么柴，服务员说这肉就是这样的，可我不是来嚼牛肉干吃的…	                        "
"
                                马鲛鱼烩山楂条
                                ","
2024-01-16 07:23                            
                            ","
                            经常去吃的一家烤肉店，环境是我喜欢的，但是这次体验非常糟糕，我们周围一圈的客人都伴有一个服务员帮忙烤肉或者服务，只有我们这桌，点单、要湿巾、加菜、换盘子每一次叫服务员我都要找半天，然后喊五六遍（真的搞的心情很差），硬着头皮吃完这一餐。

御牛道一直是我支持，喜爱的烤肉店，希望这家店的服务可以有所改进。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-12-27 22:59                            
                            ","
                            以前在别的门店吃过感觉还可以、冲着品质去的、结果万象城这家分店太让人失望、服务员个个眼睛长头顶、经理服务也好不到哪去、只会死板的说一些官方客诉的话术、竞争这么大的环境下不应该用更优质的服务抓住客源吗？到底再牛什么！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-12-27 19:53                            
                            ","
随便点一点600多，菜品也没有多好吃，性价比超低，下次再来就是gou	                        "
"
                                暴龙叔叔_6712
                                ","
2023-11-26 20:43                            
                            ","
菜好吃 烤肉师傅帅气 个别女服务员态度很差	                        "
"
                                匿名用户
                                ","
2023-11-01 18:17                            
                            ","
价格和口味不成正比 真的搞不懂这种水准放在杭州还能排队	                        "
"
                                匿名用户
                                ","
2023-10-17 23:15                            
                            ","
                            蛮糟糕的一次体验，是御牛道的忠实粉丝，但是就凭这次就餐下来情况很糟糕。首先公众号上取号排队，手机上已经显示还有两桌到我时，门口的店员还在播报前四桌，和手机上显示的报告系统并不相符。其次，在等待过程中，有一组男生先去找了店员沟通，当时我手机上的取号码已经显示排到我了，他们却先进去了，在这前后店员并没有报排队桌号。我看到这个门口的喊号店员还需要负责点餐，既然负责在门口叫号，为什么还让她去点餐，我对这家店的安排表示不理解。在门口等候的时候，发现很多顾客吃完走出来，但是并没有叫号，轮到我们桌进去时，我发现里面有大量空位，这是御牛道的什么新安排吗？？？和叫号的店员说了一声，她说是因为没有收拾完毕，但是旁边的桌子新餐具都摆放好了这叫没有收拾完毕吗？？？最后我们把点好的菜给这位店员，她点单完毕后把小票给我们，并没有告知我们牛小排售罄了，外面的菜单上也没有盖售罄的章，我们以为她漏点了，随即找了别的店员帮我们下单牛小排，但别的店员查询后却说了牛小排售罄了，我觉得告知一下顾客餐品售罄了这句话很难吗？？？？
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-10-17 20:10                            
                            ","
                            两个人花了500块，我俩纯纯两个250

[薄荷]环境：
餐厅的整体环境还可以，毕竟开在万象城里，很难得做到烤肉店里没有烟、甚至连烤肉的烟香味都没有，出来身上完全没味道
但是！！！前期的火力是不是太小了？？？牛舌烤了15分钟才烤熟，黄油芦笋翻来覆去也不冒泡

[服务铃]服务：
每个服务员都好像是带着苦大仇深来上班，甚至连要不要帮忙烤肉都来来回回确认了4次。最后帮我们烤肉的小哥同时负责旁边的几桌。牛舌前前后后烤了15分钟，口感极差！！烤好的肉全都堆在一起，甚至都不会帮忙剪开。最后是我要求把剪子留下给我们自己剪一下，他才勉强剪了一下！真的就是一下！

「黄油芦笋」火力小到20分钟差不多才把黄油烤化
「御牛道豪华五点拼盘」肉质很好、汁水丰富，量不多，一共250g
「居酒屋炸鸡」炸鸡的表面泛着一层油花，改个名字别叫炸鸡了，叫油泡鸡好了
「牛骨白汤冷面」非常精致，从来没吃过这么小碗的冷面
「柚子雪葩」柚子的清香是完全没有的，苦涩感倒是全保留下来了，还额外添加了甜和腻，雪葩能做到糊嘴的感觉也真的是很绝

很少写这种全是负面的评价，但这次真的过于失望，以后绝对不会再来了
                            

		                            收起评价


"
"
                                xx溪
                                ","
2023-09-20 16:23                            
                            ","
                            和中山中路店比起来真的就是吃到想哭的感觉
牛肉没有那种新鲜牛肉的鲜度和嚼劲，放的软啪啪的而且有一种排酸没做好的感觉牛的膻味很重；
奶油还是黄油芦笋，咱也不知道放黄油的意义在哪啥也没尝出来；
鹅肝手握好腥
牛肉饼酱汁太多，但是也没有盖掉牛肉那个边角料很重的味道
就是离谱，要吃还是去中山中路吃吧
                            

		                            收起评价


"
"
                                端末
                                ","
2023-05-07 12:07                            
                            ","
烧肉一定要碳烤才好吃，以前是炭烤，价格感觉也贵了很多	                        "
"
                                musemusem
                                ","
2023-04-27 18:08                            
                            ","
                            太拉胯了 牛肉又老又腥都是筋 188的雪花和纸片一样 一烤就碎 味道也很离谱 感觉就是挂个牌 和之前西湖边的老店完全不是一回事……吃的好煎熬 好难吃 环境好吵好嘈杂 服务员动不动来一句欢迎光临就被吓一跳……感觉这种方式好反感 被打扰的感觉 总之很难吃 钱真的太好赚了
                            

		                            收起评价


"
"
                                陈坤小吃客
                                ","
2023-04-20 14:41                            
                            ","
我承认食材不错，装修还不错，但是服务真的太差了！太差了！太差了！不是告诉你停止发等位号，就是告诉你马上一点半了，所以不愿意给你点单，拒客于千里！差评，差评	                        "
"
                                Queen_585640
                                ","
2023-04-18 13:58                            
                            ","
U1S1，味道出乎意料的差 "
"
                                Joker
                                ","
2023-03-11 18:33                            
                            ","
吃过最难吃的一家店，这里的服务员浪费食材，不会烤肉，能把肉烤30秒翻一下的肉烤的特别老，味同嚼蜡，m8到m10的肉能给你烤几分钟，难吃的要死，真的是最难吃的一家	                        "
"
                                Hanna吃出来的小胖子
                                ","
2023-02-28 12:03                            
                            ","
非常非常非常一般的烤肉，肉质和价格不成正比，性价比比较低。口味也不好，吃完觉得还不如不吃饭的一顿体验。说日式也不够日式，说不日式其他烤肉也靠不到边。不知道分数怎么刷的这么高，完全不可信。	                        "
