用户名,时间,评论
"
                                闲置演员
                                ","
2024-02-22 02:23                            
                            ","
                            想吃肉就会来的店，肉质都很不错新鲜，中午来也不需要等太久，环境还行，没太多花样
一个人吃点一个套餐足够，还可以吃到不同肉的口感，雪花中落牛小排是强烈推荐
鹅肝寿司很香，唯一的缺点是上了之后凉太快了，很容易腥
                            

		                            收起评价


"
"
                                幸福就是陪伴
                                ","
2024-02-17 13:34                            
                            ","
                            这家店装修的非常不错，非常的精致，然后服务员也做的特别好，在门口站着一直做好迎宾的准备，挺好的一家店铺，然后这也是非常不错，能够给我们带来很多的一些感觉啊，高端大气上档次啊，等等都非常的到位，然后特别特别的不错吧，给我的感觉能跟得上服务，然后做的比较精致，比较细节比较好，都挺好的
                            

		                            收起评价


"
"
                                hllcrystal
                                ","
2024-02-02 08:13                            
                            ","
                            又又又又又一次来吃御牛道。自从天街的山葵家、浅草屋、子竹都跑路之后，御牛道这种平时至少两人来烤肉的日料店，也成为了一人食必选餐厅了。尤其是他家的会员积分兑换制度很好。越吃越积累积分，积分可以换菜品或者换优惠券。一顿饭点一个招牌石锅牛肉拌饭、一个鸡软骨、一个季节限定沙拉，刚好101元。兑换一个100元代金券，这顿饭只花了1元钱，吃了两顿。非常划算了。而且会员的湿纸巾是免费的。
                            

		                            收起评价


"
"
                                谜底
                                ","
2024-01-31 12:01                            
                            ","
                            [薄荷]环境：
在龙湖天街 店里位置不是很多 给我们安排的包间就靠近厨房 比较吵闹 油烟味有点重 不太喜欢
「逸品厚切牛舌」御牛道的厚切牛舌一直是最爱 Q弹肥美 但是吃几块就会觉得腻啦
「法式鹅肝手握寿司」鹅肝寿司也还不错 鹅肝也是只能吃一块
「御牛道豪华五点拼盘」拼盘的肉类种类还是比较丰富的 也不会敷衍 三个人吃可以点一份 牛肉口感都很好
「酱香琵琶肉」琵琶肉有点筋膜 嚼起来口感还不错
                            

		                            收起评价


"
"
                                朱大脸脸
                                ","
2024-02-01 11:01                            
                            ","
                            作为他们家的会员，每次去吃的时候都觉得很不错的。
会有专门的服务员帮忙烤肉～看到我怀孕了会主动给鲜牛奶和靠垫
「雪花中落小排」牛小排的肉质很嫩，多汁，独特的梅拉德反应～
「雪花猪颈肉」猪颈肉也比较嫩滑还不错，他们家的肉质都比较细腻，品质还是很有保障的，不过分量算不上很多
这次比较惊艳的是甜品哈哈，吐司烤了之后配上冰淇淋和花生酱，真的太好吃了～这个强烈推荐～
                            

		                            收起评价


"
"
                                Zoey_4396
                                ","
2024-02-06 22:55                            
                            ","
                            烤肉的肉质味道都不错，除了炸鸡慎点哦，味道很咸，不知道是厨师发挥的问题还是就是腌制需要那么咸。三个人吃了六百多，量还是蛮大份的，吃的很撑，石锅拌饭非常好吃😋，有锅巴的那种，我超爱。生菜很新鲜，口感和市面上的确实很不一样，但是敲重点五块钱六片，确实不便宜，最后说下服务，因为中午的关系人手紧张，后面自己动手烤了几次，但是没掌握好火候焦了


		                            收起评价


"
"
                                令风踏月
                                ","
2023-12-09 17:59                            
                            ","
                            一个人的周末，想着犒劳一下努力的自己，于是来御牛道吃烤肉，这是一家开在黄龙时我就粉上的烤肉店，肉品质不错，调味也挺不错的
主要尝试的是两个新菜：升龙横膈膜和5秒寿喜烤肉，横膈膜意外的不老而多汁，最喜欢的就是这种表面焦香而内在富有肉汁的肉肉，5秒寿喜烤肉的吃法就和寿喜锅一样，烤5-7分熟再蘸着蛋液吃，我可喜欢这种吃法了，鲜美柔嫩（就是鸡蛋敲出来之后暴露在空气中的时间有点太久了，以至于蛋黄都有点硬了，希望店家下次注意哈，很影响口感的❗️）
[服务铃]服务：
服务员还会主动询问是否要帮忙烤肉以及喜欢什么熟度的肉，服务还算是贴心的
下次有空还会光顾的哈


		                            收起评价


"
"
                                喜君
                                ","
2023-12-28 21:57                            
                            ","
                            非常精致的烤肉～食材绝美～
「逸品牛小排」绝了
「牛肉石锅拌饭」干饭人总要点一个
「秋刀鱼」日式烧烤必点
「关西蒲烧鳗鱼饭」口感很好，酱料刚刚好
「菠萝安格斯肋条」连烤菠萝我都吃了 混合着牛肉  非常适合我吃
「三文鱼牛油果沙拉」慢慢的sanmon口感 搭配牛油果 很绝妙
「烤面包」烤面包搭配冰激凌的组合，是孩子们爱吃的
「御牛道澳和四点拼盘」真不知道大家怎么点的，反正最贵的也是最好的
「柠檬气泡酒嗨」不知道点的是不是这个，里面还有荔枝，真的很香甜

[服务铃]服务:
都还不错 反应挺快的

[薄荷]环境:
包厢拼桌比较不均匀  不过还好有包厢
                            

		                            收起评价


"
"
                                穿白拖鞋的小女孩
                                ","
2024-01-27 22:27                            
                            ","
                            日式烤肉还是最爱御牛道！吃了很多肉肉，超级满足！
工作日晚上和同事一起来的，需要小排队。我们点了个肉肉大拼盘，很合适都很好吃！另外还推荐下面这些
「腹芯肉」
「逸品牛小排」
「鹅肝酱烤年糕」
「辣油鸡蛋饭」

[薄荷]环境：
店里的环境还不错，服务员会帮忙烤，还是比较贴心
                            

		                            收起评价


"
"
                                薅羊毛精
                                ","
2023-12-30 18:59                            
                            ","
                            冬天除了火锅就是烤肉最能撩拨心弦
「法式鹅肝手握寿司」
一口一个鹅肝的油脂在嘴里爆炸开来，每次必点
「白桃微醺米酒」
上面桃子罐头很甜，搭配没什么度数的小甜酒，非甜食爱好者请撤离
「传统冷面」
冷面挺一般，真心不建议御牛道点冷面，吃点儿肉它不香嘛
「辣油鸡蛋饭」
强推强推！虽然没拍但是能接受生鸡蛋都可以尝试一番！
然后就是各式各样的肉了，品质都不错，虽然我叫不上名字但是都好吃！
                            

		                            收起评价


"
