用户名,时间,评论
"
                                长欢
                                ","
2024-01-04 22:45                            
                            ","
                            千万不要来龙湖天街的御牛道，否则会变得十分不幸。你将不知道，为了赶人走会使出什么招式。比如一桌人在开开心心的在聊天，为了赶你走会直接把灯关了真的没有见过这么垃圾的服务。本来是自己最爱的餐厅推荐给同事们，真是打脸这种服务水平趁早886吧！！
                            

		                            收起评价


"
"
                                一颗大大大苹果
                                ","
2023-11-25 19:14                            
                            ","
                            牛儿你变了！！！！
失望的一次记录，这次点的大众经典套餐
四个肉类，除了五花，剩下的横膈膜、西冷、小牛排，不管是时间长还是短烤出来都很老，请服务员专门烤了也都是非常非常非常难嚼！！！这次真的差评！！！！！


		                            收起评价


"
"
                                匿名用户
                                ","
2023-09-25 20:13                            
                            ","
                            以前一直还蛮喜欢御牛道的，菜品品质好，服务也主动，虽然价格不低但是是挺不错的日式烤肉。
      结果天街的这家分店第一次去就踩雷
      没有在线点单，要菜单手划，4点多去吃的饭说是横膈膜没有了，也不知道怎么售罄得这么快，很扫兴。
      看菜单图片觉得法式塔塔炸虾饼应该不错，结果上菜发现只有图片一半分量，堪称诈骗。
      点了18元的黑松露温泉鸡蛋饭嘛结账看单子的时候才发现被“升级”48元的黑松露奶油蘑菇烩饭，还好反应之后给退了。
      其他肉类都合格没什么好说的
      反正一顿饭吃下来是越吃越不开心。御牛道我是高攀不起了
                            

		                            收起评价


"
"
                                holyXNL
                                ","
2023-07-31 21:46                            
                            ","
                            首先，店里超级热，一家烤肉店这么热也是牛的，其次帮忙烤肉的那个女孩子，我只是说了一句肉有点老（这也不是什么过分的话吧）直接撂挑子啥话不说，烤具一甩就走了，什么玻璃心啊，留我一脸懵逼，有些肉也是根本嚼不动，只能吐掉，最后收炭火的时候，架子收掉了，火留在那边没人收，我惊呆了，店里那时候也不是很忙，这还是原来的御牛道吗？…….
                            

		                            收起评价


"
"
                                茜C.c.
                                ","
2023-07-28 23:38                            
                            ","
没有以前好吃 价格还那么贵 下次不来了	                        "
"
                                青木
                                ","
2023-06-28 21:03                            
                            ","
去过各种分店，这家店的服务态度真的不可恭维	                        "
"
                                景123456
                                ","
                                2023-06-28
  更新于2023-06-29 00:56                            
                            ","
                            [薄荷]环境：非常好的，单独一个包厢里「法式鹅肝手握寿司」这个实在太好吃了吧，入口及化的，必点必点，「辣油鸡蛋饭」这个也是，必点必点，超级好吃好吃，太好吃了，
[服务铃]服务：门口虽然写了过号作废，但是碰到一个过号了，跟服务员说过号了，不重新取，直接插队，如果都这样的话，何必要写过号作废的牌子哦
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-06-20 21:31                            
                            ","
                            很少写评论，御牛道中山中路开业的时候就在吃了，整个集团的御牛道 酉串 东京烧肉 大力士基本上都是当食堂在吃，可以去查我的消费记录的。原来觉得其中大力士做的相对差一点，但也还能吃
今天真的开了眼了，要从头开始说，点菜来的时候菜单是别人用过的都打过勾了，想想也算了就把之前的勾划了，结果反面还是有勾没看到多点了几个菜。
这也就算了炉子都是歪的放都放不平，蔬菜第一次见到这样的西葫芦，又小又厚，等中间烤熟了外面都焦了。鸡腿肉是鸡腿肉和鸡胸肉混着来的（不用杠鸡腿肉根本不会有那种长条的白肉，日常经常吃鸡胸肉和鸡腿肉的很好区分），虾也不是很新鲜，有史以来第一次没吃完剩了一半。鹅肝手握比万象城的小了一整圈，油倒是加倍的加上了，给每次必吃鹅肝手握的小伙伴都吃出阴影了。
环境热的满头都是汗，怪不得看了万象城排队40桌这边都不用排队，真的大家的选择都是有原因的。一样的价格差太多了，直接影响对整个公司的体验感


		                            收起评价


"
"
                                是傅满意呐
                                ","
2023-06-12 09:39                            
                            ","
                            六一节来的
这家店在滨江天街，挺热闹的人也很多 需要排队

[服务铃]服务：
服务还可以 服务员也热情 就是太忙了
「御牛道和牛四点拼盘」感觉肉质不新鲜，是冰箱里拿出来且冰了蛮久的
「天妇罗炸虾」味道中规中矩 无功无过
「炭烤银鳕鱼西京味增」比较贵 吃多了就有点太油了
感觉不会再来了，本来蛮喜欢吃御牛道的，有点对不起这价位
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-06-01 19:12                            
                            ","
真是越来越不行了
[服务铃]服务：	                        "
