用户名,时间,评论
"
                                paww
                                ","
2024-02-25 00:31                            
                            ","
在饭里居然吃出了头发！
烤肉，就一般吧，有时候还烤焦了
还有哦，那个胖经理，态度恶劣得很，真的很损店里的形象，不配当经理	                        "
"
                                1不是2
                                ","
2024-01-25 06:00                            
                            ","
                            [薄荷]环境：
还可以。

[服务铃]服务：
非常不满的一次。
1 儿童座椅大缺陷！最开始给的木制的，夹了小朋友的手。小朋友大哭，服务员也不知道来解释。我问有没有别的儿童座椅，才给换了白色的这种。也没有什么补救。当没事儿发生一样。
2 要点小菜磨磨唧唧的，要两遍，送隔壁桌去了。
真服了。

「蜂蜜奶酪味炸鸡」整体菜口味还可以。
                            

		                            收起评价


"
"
                                野生媛媛
                                ","
                                2024-01-13
  更新于2024-01-15 08:33                            
                            ","
这辈子吃过的第二难吃的烤肉，服务员烤完的牛肉，想象一下十分熟的牛排再烤五分钟的口感
家属拿我手机一字一句敲的看来真的是被难吃到了，俺觉得一般吧，烤肉水平确实有待提升，肉烤得太老了！	                        "
"
                                马子涵Zhoumei
                                ","
2024-01-03 22:20                            
                            ","
                            这家店位置很好，在浙江大学附近。
服务：
服务不太行，要调料要了四次，就是没给加上，一会说调料没了 ，一会说忘了，真的很无语。和她说我们要了三次调料了，还很不耐烦的态度。都没有要帮烤服务了，而且鸡蛋液也没有给我上。
第二天吃完一家人四个齐刷刷拉肚子，当时吃五花肉的时候就觉得有点怪味，当时没想那么多，后来发现。感觉食材也不新鲜。
                            

		                            收起评价


"
"
                                宋算算
                                ","
2024-01-01 19:28                            
                            ","
吃个饭，放衣服的凳子被服务员搬到其他地方了，找了半个小时才找到，体验极差，衣服里面有重要东西的千万注意，这样很不安全	                        "
"
                                蛋卷055
                                ","
2023-12-28 17:59                            
                            ","
                            态度极差，极其嚣张的一家店，五点半过来吃饭，有空位不让入座，说是要就餐人数过半才可入座，只能坐在外面吹冷风！店内并没有放任何指示牌提示说有就餐人数过半才可入座的说明！大众上也没有任何说明！开门不做生意，这种店预祝早日倒闭！
                            

		                            收起评价


"
"
                                毅贤谦虚的小顾
                                ","
2023-12-19 17:49                            
                            ","
                            额。说实话这个东西啊，我很难评价，吃起来感觉也就那样啊。。。为什么那么多人？真的很无语，排队那么久真的很失望，家人们谁懂啊，真的很无语哎
[薄荷]环境:还可以的，一般水平吧，能接受

[服务铃]服务:是比较好的，但是还是觉得性价比太低了，其他没人的店也差不多吧。。。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-11-18 11:49                            
                            ","
锅包肉真的很难吃，很硬，糖很多，其他的都很好吃，只有锅包肉差差差差差差差差评	                        "
"
                                匿名用户
                                ","
2023-10-08 03:51                            
                            ","
                            真的无语了巨难吃 特别是那个芝士玉米搞不懂怎么会有那么难吃的东西 
[服务铃]服务：
服务也差 烤盘黑了叫服务员都叫不到 叫服务员帮忙拿勺子 也是好久才拿过来 叫帮忙烤肉 就说没时间烤不了 烤不了就别说有帮忙烤肉的服务啊无语
[薄荷]环境：
环境可以吧看的过去
「醇香芝士蛋卷」这个也难吃 说不出来的味道反正不喜欢
「奶油蒜香炸鸡」也就炸鸡好吃了
「芝士玉米」特别难吃不推荐
真的是搞不懂这种餐厅怎么上的必吃榜 以后不会再来了 无语
                            

		                            收起评价


"
"
                                暴躁大王
                                ","
2023-10-06 13:43                            
                            ","
                            必吃榜第一名 就这？
感觉好多好多踩雷的！
我们都觉得除了烤肉 没一个好吃的
「醇香芝士蛋卷」感觉都是蛋卷 挺干巴的不咋好吃  最后七个人多了一大半没吃
「辣炒鸡爪」根本不辣！！！鸡爪bang硬！这个是真的难吃 韩料店吃过最难吃的一家
「打糕」超级油腻 粉末一点点味道也没有 起码有点甜味或者豆乳味儿吧 没有！这个也是大部分没吃 大家都不要吃
「校村原味炸鸡」炸鸡点了两个半份 都一般 特别是那个写着很辣的 不辣然后酱汁好腻
「韩式广藏糯米肠」还行 酱汁有点奇怪 不搭
烤肉还行 ，其他是真的拉垮 的一家店
                            

		                            收起评价


"
"
                                snow
                                ","
2023-09-27 19:45                            
                            ","
有些服务员拿个火折子走的很急，很容易烫到人，我是被烫到了 "
