用户名,时间,评论
"
                                SPIDER_彭
                                ","
2024-02-24 21:23                            
                            ","
                            跟朋友一起来的，真的很火爆啊，4点30就到了取号，等到6点才有座。叫到号了可以转个转盘会送一份食材。
[薄荷]环境:
外面看以为店不大，实际里面空间很多，有很多桌，大部分是四人桌
[服务铃]服务:
服务员很好，在需要的时候可以主动提供帮助，例如帮忙剪肉，问我们还需不需要南瓜汤之类的，也不会很打扰
「南瓜粥」很喜欢，喝了两碗
「济州岛黑猪五花肉（厚切）」必点，配上蘸酱和生菜绝了，很喜欢
「辣炒鸡爪」这个超级辣，不能吃辣的慎点，喜欢辣的冲
「Cheecos奇多粉香味炸鸡」有一点点辣，但是很酥脆
                            

		                            收起评价


"
"
                                氧气
                                ","
2024-02-22 16:26                            
                            ","
                            不愧是必吃榜单上的店！！我要安利给每个人，必须吃一次他家的烤肉。

[薄荷]环境:
真的非常非常大，中午下着雨去的，我还以为生意不好，没过多久就差不多坐满了。

[服务铃]服务:
小哥哥服务态度很好，都是俊男靓女，动作麻利，有眼力见。
「南瓜粥」免费续的南瓜粥，好香醇，南瓜香味扑鼻。喝它三大碗！「济州岛黑猪五花肉（厚切）」肉肉品质很好，每一份都不踩雷，搭配蘸料太绝了！
                            

		                            收起评价


"
"
                                长崎山下_610
                                ","
2024-02-21 14:26                            
                            ","
                            三刷肉本家！！
最最最喜欢的是免费的南瓜汤，我可以一口气喝3碗！
「海苔金枪鱼拌饭」还可以，无功无过，个人感觉还是夏星的金枪鱼拌饭更好吃
「友利双拼炸鸡酱」两个口味都喜欢，不辣很脆
冠军肉类组合对我来说还是太肥了点，更喜欢瘦肉。
「德善锅包肉」和东北的做法不太一样，更加甜一些。
「韩式广藏糯米肠」我爱这口
                            

		                            收起评价


"
"
                                阿瑶嘎嘎猛
                                ","
2024-02-23 15:52                            
                            ","
                            [服务铃]服务：
服务很好，会帮烤肉，等号时间就还可以抽奖
不愧是烤肉天花板，点什么菜品都不会踩雷，都好好吃
海带汤很不错，烤肉也无敌，那个抹茶大福也好好吃 一口一个哈哈哈哈哈哈哈
土豆丝海鲜饼也好好吃 特别爱 每次必点
                            

		                            收起评价


"
"
                                乱打卡_8571
                                ","
2024-02-23 23:13                            
                            ","
                            周五不能去啊，晚上七点半取号，等位两百位，从没见过如此火爆的店。
「功夫冷面」面很q弹，小盆友就冲这来的，一大盆了三分之二
「薄片五花肉」很香，好吃
「深海大虾」真是大海虾，一烤不会变很红，肉质肥美
菜量都很大，吃到十点多，撑了。第二天不吃饭了


		                            收起评价


"
"
                                大师的小样
                                ","
2024-01-24 19:15                            
                            ","
                            经常路过 每次外面坐满了人排位
奈何耐不住等待 从未踏店
今日附近办事 下午两点多发现不用排队 
位置非常多 即使这个点里面的上座率还是很高
刚坐下便上了南瓜粥 泡菜 土豆泥 腌萝卜 现在很多店免费送南瓜粥但是品质真的很差 这家店真心ok 南瓜粥很纯很新鲜 娃炫了两碗
点了肉拼盘和一份五花肉 肉是厚切的 真材实料 很容易飽 我们吃不完
大酱汤里面聊很足 微辣 咸淡合适
炸鸡微辣 偶尔吃吃这种高碳水真的很爽
寿司也被娃炫完 肉更是吃个不停
三大两小根本吃不完  这个价格真的实惠 
会二刷
                            

		                            收起评价


"
"
                                Rebecca.
                                ","
2024-01-21 21:19                            
                            ","
                            毫不夸张的说问了好几个在杭州生活的人烤肉哪家好吃 
答案特别统一都是肉本家 工作日刚开店的时间就去了所以不用排队位置也特别的多 
烤肉盲点不踩雷 味道都还不错 最主要的各种小吃炸鸡
炸酱面完全是我馋的时候心中想象的炸酱面味道 炸鸡看着有点平平无奇但是鸡肉真的很嫩 配上白色酱汁简直不要太香 鸡爪是我喜欢的味道但是个人感觉再软烂点会更好 泡菜饼一般
服务特别好 烤肉届的海底捞
                            

		                            收起评价


"
"
                                老和山车神
                                ","
2023-12-17 14:18                            
                            ","
                            早就听很多人提过肉本家，一直没来吃，这次一群朋友过来体验一下。
肉本家在杭州有很多分店，周末人很多，基本要排队，建议早点去。
一个小问题是排队等的地方冷风呼呼的吹，基本坐不住，这个可以优化一下。
店里的风格声称是完全按照80年代韩国的烤肉店风格装修的，不过感觉看起来还挺现代化的。
服务人员非常多，一直来回走动，服务比较好，响应也很快。
肉的质量对得起这个价位，整体来说质量不错，不是那种吃完会拉肚子的肉，价格也比较亲民，怪不得人这么多。
总的来说爱吃烤肉的可以来打卡尝尝。
                            

		                            收起评价


"
"
                                念念的向往
                                ","
2024-02-09 16:23                            
                            ","
                            这个店铺浙大对面开了很多年了「安格斯牛肋条」很受欢迎哪怕是疫情😷也是生意很好，
[薄荷]环境：服务态度很好，喜欢不一样的
几个实惠学生团建公司团建都可以来人均消费不高
东西还是很新鲜的毕竟是学生啦
开学以后又可以热热闹闹的
                            

		                            收起评价


"
"
                                你看我干嘛
                                ","
2023-12-10 11:02                            
                            ","
                            ⛺位置 在浙大紫金港旁边，这条路走的比较少，旁边还开了好几家同类型的店，冷冷清清，就他家人满为患的在排号。
同事说吃过一次，味道挺好，排队很夸张。

[薄荷]环境：虽然是烤肉，店里味道不大，而且羽绒服回去挂一晚上基本也没味道了。唯一不足就是大衣都是自己放椅背，没有小箱子之类，这样烤肉的油很容易溅到

[服务铃]服务：不得不说，服务很热情，店里服务员都是30+的大姐，没有特别年轻的。基本上脸上都挂着微笑，看来企业文化挺好

吃的就不多推荐了，和三个小伙伴各自点了自己想吃的。也是每个类别浅尝一下。味道都不错
最喜欢「肥牛嫩豆腐汤」「芝士年糕拉面」「无骨鸡爪」
炸鸡想吃雪花炸鸡到没看到，无限续的小菜都是喜欢的，泡菜味道很好
                            

		                            收起评价


"
