用户名,时间,评论
"
                                心碎小狗
                                ","
2024-02-21 08:27                            
                            ","
                            时隔两年，
我终于又来了城西银泰的西塔老太太烤肉啦！
之前有两次想过来，都被门口排队的人劝退了。可见其火爆程度。
这次和两个小姐妹约好时间，意外的是居然不需要等位。冲就完了！
入座后，工作人员会询问调料有没有忌口，三个女生没有点套餐，主食点了年糕和冷面，年糕口味很鲜，小姐妹含泪吃了一大碗。
我个人比较钟爱冷面，冰冰凉凉，配菜有鸡蛋和牛肉。三个人一人一小份冷面刚刚好。
不得不说，肥牛和生菜真的是绝配，肥牛在烤盘上滋滋冒油真的是太治愈了。
还有一个叫不上名字肉类，沾点麻酱，也是绝了。果然唯有烤肉不可辜负。
另外还赠送了蔬菜沙拉和泡菜辣白菜一类的东西，
服务也特别好，有个戴眼镜的姐姐看我们在这，主动过来帮我们烤，自己烤的时候焦了很多，小姐姐烤的肉质嫩的刚刚好。
买单还可以团购代金券，可以比原价优惠一点点。
胜在服务好。
城西银泰附近的家人们有福了，西塔老太太，滋滋滋，冒香味的快乐。
                            

		                            收起评价


"
"
                                麻里子
                                ","
2024-02-21 12:11                            
                            ","
                            工作日的中午来吃，还要人不多，早就听闻西塔老太太大名～烤肉的排烟设备很给力，没有油烟味
每一份肉肉都很好吃，西塔小姐姐的服务也很好，一直在帮忙烤肉，有求必应，细心周到！
酱料跟烤肉很配味道很棒，下次会再来哒
                            

		                            收起评价


"
"
                                二硕老婆
                                ","
2024-02-22 17:04                            
                            ","
                            怕排队，11点不到就到了，在门口等了一会儿，工作人员还开玩笑说：你们是早饭还是中饭啊？

         一定要工作人员帮忙烤，不然油滴到碳上很容易着火🔥，工作人员经验比较多，肉不会烤焦。

        厚五花：问过我们要烤焦点吗？我们说要，结果感觉有点老，就吃得很慢，结果…集美们一定要冷的时候吃，焦脆感就出来了！

      蘸料有花生酱，爱哦💕
                            

		                            收起评价


"
"
                                连连
                                ","
2024-02-24 21:31                            
                            ","
                            昨天大概6点在城西银泰，不用等位，点了298的双人套餐，我和我老公两个人真的是吃不下了，感觉四个女孩吃这个套餐都能吃饱。
土豆泥好评，爱土豆星人吃了四份，这次全程都是自己烤的、记得以前是有服务员小姐姐帮忙烤的呢！
                            

		                            收起评价


"
"
                                吉祥
                                ","
2024-02-01 15:49                            
                            ","
                            一到饭点排起长队，等号叫号这人气相档火爆，来烤肉必点的五花肉，由沈阳空运过来的黑猪肉，落座后店员会先送上南瓜粥及不同的小菜，还有在明档厨房有现切的羊肉卷，还有高颜值的小吃，闭眼都不踩雷，座在舒适的座位上，感受轻松的氛围感，喜福掂数直线拉升。
                            

		                            收起评价


"
"
                                吃饭带上我
                                ","
2024-01-15 15:43                            
                            ","
                            杭州探店｜ “油滋滋香喷喷ing∽” 🥩

[薄荷]环境：商场店，抽烟机很给力，油烟味不重，卫生情况挺好的，缺点是桌子小了点，各种盘子碗碟的放不下。

[服务铃]服务：扫码点餐，出餐很快，服务员会帮忙烤，换炭换网都很及时。

「老太太肥瘦」个人觉得肥牛比瘦牛更好吃，绵软的口感，一点也不腻；
「雪花牛大力」特大片雪花牛肉，入口即化，；
「浇汁横膈膜」套餐里的，很有嚼劲；
「秘制猪排」还不错；
「檀香小肋条」点了两份这款，带一点点焦褐感的时候是最好吃的，配生菜也很棒；
「荞麦冷面」很大一碗，适合分食，冰爽的口感，汤底略酸；
「秘制牛五花」最适合包生菜吃的款，肥瘦均匀，；
「甜蜜小团团」炸汤圆，配的红糖汁和黄豆粉，味道很好；
「海带汤」略咸，但味道挺好的；
「南瓜粥」赠品，很浓，好喝；
「生菜」和小菜可以免费续，泡菜、醋萝卜都很好吃；
「调料」最推荐辣汁，甜甜的。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-11 17:50                            
                            ","
                            转眼间西塔烤肉在杭城迅速开了这么多店，选中城西银泰店是因为熟悉、方便、好停车，店的位置也好找！点了两人套餐，肉类丰富，品质好，分量足够，我们三个人足够吃，自己又点了特色冷面、打糕、牛肋排，吃不完根本吃不完各种调料和开胃小菜也都蛮好吃，总体上是比较地道的北方烤肉！穿蓝色西服戴条纹领带、头发高高束起的主管服务特别好，热情且尺度刚好 是一家可以再来的店
                            

		                            收起评价


"
"
                                筷子君谋杀了馒头君
                                ","
2024-02-01 02:45                            
                            ","
                            [薄荷]环境：热气腾腾的，很有冬天的氛围，桌子稍微小了点，点菜多了位置有点捉襟见肘。

[服务铃]服务：等待时间依然那么长，人多的时候需要东西稍微有点难叫到人。

口味：还是很好吃的，每一道都不错。大肠处理得尤其干净，牛肉太好了，吃得过瘾。
                            

		                            收起评价


"
"
                                小奶盖永远吃不饱
                                ","
2024-01-17 21:16                            
                            ","
                            第二次来了！口感还是一如既往地在线

工作日中午来的不用排队
直接就可以吃

[服务铃]服务：
服务员会全程帮忙烤
真的很贴心
烤的又快又好
客人美美享受就好了
石锅拌饭也会帮忙盛好给每一个人

口味和菜品都不太会踩雷
且菜品也很丰富选择很多
所以团建经常会来
「辣鸡爪」
鸡爪很耙 但是不太辣

肉肉都非常新鲜
打卡赠送的「南瓜粥」也是浓醇顺滑
还带着一股奶香味
赠送的「小菜」泡菜和辣白菜也很好吃😋
                            

		                            收起评价


"
"
                                小蛋糕Gloria
                                ","
2024-01-28 16:56                            
                            ","
                            这家之前风很大的店，这次周六中午去没有排队，四人桌前面没人等，稍微等会儿就轮到了。
偏甜口的调味酱，这家的东北大酱还挺好吃的。
海鲜饼挺与众不同的，表面有很多油炸粉丝还是土豆丝。
有个年轻女服务员感觉干啥都带着点情绪，每次让拿东西或者烤肉虽然都给你拿了烤了吧但感觉很不情愿的样子。
口味上感觉有点像闻老头烤肉。
                            

		                            收起评价


"
