用户名,时间,评论
"
                                浅浅繇
                                ","
2024-02-19 14:02                            
                            ","
味道很一般 也没有人帮忙烤肉 那些熟食一个都不好吃 真的不值得这个价格	                        "
"
                                Flora.
                                ","
2024-02-18 20:02                            
                            ","
肉腌的太甜太齁了 不是很好吃 其他服务这些都很好	                        "
"
                                不拿拿_835
                                ","
2024-02-15 20:16                            
                            ","
没有服务：店员说有好几桌等着他，自己烤肉
拿筷子自助 换盘子自助 总之自己动手
吃了好几次西塔老太太从未吃到过土豆泥这么难吃 海带汤齁咸完全无法下咽
298就吃了个自助烤肉真棒 "
"
                                匿名用户
                                ","
2024-02-13 17:24                            
                            ","
之前其他家吃过不错，今天来这家，没啥服务可言，问了几次土豆泥和南瓜粥一直不上，南瓜粥要打卡才有，芝麻酱不说也没有，反正有点乱，可能生意太好了	                        "
"
                                与
                                ","
2024-02-02 08:12                            
                            ","
                            首先味道一般 服务也很一般 进来的时候跟我们讲不能帮烤 能理解 过年都回家了嘛 如果不怎么会烤肉的朋友 就不建议过来吃了  体验感真的很差 
虽然没有帮烤 但是基本的服务都没有了嘛？ 我也吃过其他家的西塔 但是这一家是我吃过最差的一家 吃了半天连那个麻酱都没有给我们 还是自己去要的 
[薄荷]环境：略显昏暗 感觉有点沉闷 最主要吵的要死 讲话都听不清 
还有那个肉的味道也很一般 跟放了很久的一样 吃起来没那么嫩 后面反正也不会来这家了
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-01-24 21:51                            
                            ","
                            吃过很多家西塔老太太了，这家服务态度不太好，有需求叫不到一个店员，要等蛮久才能有回应。菜品口味很一般，分量较小。
关键是前面和店员确认了有一个79的代金券可不可以用，确认是可以用的结果买单又说不行，对此前台就说用不了也没有道歉和相应的补偿措施，体验感差。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-01-14 21:13                            
                            ","
排队一小时，然后被告知要自己动手烤，几乎没人服务，纯纯大大冤种，最糟糕的一次西塔体验…	                        "
"
                                匿名用户
                                ","
2024-01-08 18:11                            
                            ","
第一次来这家店，油烟机坏的 烟一直往外漂  桌子上放的小菜生菜都是蔫的，海带汤上来几乎是凉的了，服务员态度也一般  土豆泥水踏踏的。体验感很差。不会再来….	                        "
"
                                匿名用户
                                ","
2024-01-01 22:54                            
                            ","
吃过西塔服务最差的一家店，没想到还是杭州首店
碳都上了，小菜还没上，要叫三四次服务员才有人应，整个店里人都没坐满，服务员都不应，此店避雷谢谢	                        "
"
                                匿名用户
                                ","
2023-12-31 18:06                            
                            ","
所谓的牛油果虾仁沙拉居然是旺旺雪饼，受不了了！	                        "
