用户名,时间,评论
"
                                看见你就烦
                                ","
2024-02-20 20:27                            
                            ","
                            好久没有吃烤肉了，老太太家早有耳闻都说还可以的之前也有在其它城市品尝过 ，可能是由于过年的原因这家店挺忙的，服务员也没几个 餐前就告知肉需要自己考着吃，哎我们烤肉技术确实不咋地 烤时间短了怕不熟结果好多都焦了，不过也还好勉强能吃

[薄荷]环境:
整体环境吗一般般无功无过吧，下次去在自己烤那我就真不能烤了
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-24 04:29                            
                            ","
                            [薄荷]环境：
出差在外难得在杭州美食荒漠中还能看到福建同有的店铺，因为去的比较迟自己动手丰衣足食！！！！

[服务铃]服务：
确定比较迟，烤肉靠自己！

「老太太肥瘦」
「重磅横膈膜」
「秘制卷牛肋排」
「特味牛五花」
「土豆泥」
「冰糖草莓」
「极品雪花肉」
整体口味都不错，宵夜烤肉好去处。
                            

		                            收起评价


"
"
                                EricYang
                                ","
2024-02-20 14:01                            
                            ","
                            [薄荷]环境:
整体还是挺大的，但是感觉座位有点狭小
「秘制牛五花」肉质挺嫩的，也很新鲜
「蘸料」有特制的调料，都给放好了给过来
「辣鸡爪」辣鸡爪全场最佳，软糯易脱骨，虽然看起来很多辣椒，但是吃起来一点也不辣，好吃的
                            

		                            收起评价


"
"
                                360_hhr12321
                                ","
2024-02-18 17:12                            
                            ","
                            孩子们说这家的烤肉很好吃。晚上7:30到那里还排了四五桌。这家店的菜量比较大。土豆泥沙拉和生菜无限量供应，肉腌的比较入味。就是过年时节没有服务人员自己帮忙烤肉。自已烤有点老了，平时的话是有人帮你烤肉的。下次趁人少的时候再去吃一次。
                            

		                            收起评价


"
"
                                徐小乖22
                                ","
2024-02-12 16:18                            
                            ","
                            🌲环境：
整体装修风格以红色和橙色为主色调，
给人一种温馨的家庭👪感。
备餐间是敞开式的，让人看着放心。
娃目不转睛地盯👀着切肉机来来回回地运作，
一条条、一片片，很是新鲜。

雪花牛大力
优秀的雪花❄️纹理，血色鲜红。
大片薄切，烤后更加细嫩有嚼劲。
蘸取韩式烤肉汁后，浓郁的肉香瞬间扑鼻👃。
因为薄，所以对于小娃娃来说也更容易吞咽。

特味牛五花
调制过的五花肉，看着就很入味。
码好肉肉淋的汁，底味不会那么重。
一开始我放在炉子中心烤，很快就冒出火焰了🔥。
店员赶紧叮嘱我，稍稍挪远一些。
肥瘦相间，外皮烤得焦脆更好吃😋。

檀香小肋条
一小条一小条的肉肉被搁在木质小架子上，
看似随意，但不经意间透着一股子精致。
在烤炉的加热下，表面的油脂开始滋滋作响。
即便不蘸酱，咬起来也非常可口多汁。
吃完留香，还有一丝淡淡的黑胡椒味儿～

🥩秘制猪排
这块肉肉确实有点肥，有点厚啊🤔。
本来还怕会不会有点烤不透？
事实证明是我多虑了，炭火的威力十足。
油香伴着紧实的口感，绝对扛饿。

🥩老太太特色瘦牛
纹理清晰可见，透着粉嫩新鲜的光泽感✨。
瘦牛瘦而不柴，有韧性。
火候刚刚好，娃说想试试自己烤，那来吧。
观察肉的颜色形态变化，判断生熟，也很有趣。
肉肉吃起来甜津津的，心里也像抹上了蜜糖🍬呢。

🥔土豆泥
土豆泥是甜口的，打得很均匀细腻。
其中零星有几颗玉米🌽粒、胡萝卜🥕粒、洋葱🧅粒，非常有层次感。
烤肉后来几口，很清爽解腻，回味无穷∞

🍭tips：
周六中午一点到店，等了半小时才吃上，排队确实有点久。
店门口特地搭了透明雨棚，挡风遮雨不含糊。
等位时有跳跳糖吃，哈哈😄，真的深得人心。
收藏+打卡可免费🆓得南瓜🎃羹，娃恨不得把碗也一起吃下去。
                            

		                            收起评价


"
"
                                痴吃的于美玉
                                ","
2023-12-28 11:35                            
                            ","
                            超级满意！
-他家肉腌的不蘸料也好吃 是甜口的 但也有吃肉的满足感 ；蘸料分两种 一种是传统韩式蘸料；一种是他家独有的麻将调和聊 很好吃！有种烤肉火锅双吃的感觉
-这家店比较宽敞、不拥挤，我看还有包间 适合团建聚会
-服务很周到，专区等位、专人为你烤肉🍖服务及时、上菜很快 ；送的小菜很丰富 冬至搞定了小炸汤圆
-团了双人套餐、我觉得女孩子3个人都够了，俩个人都吃撑了！价格也比较公道了 

值得反复打卡的一家烤肉店！


		                            收起评价


"
"
                                一猛逛世界
                                ","
2023-12-23 11:12                            
                            ","
                            真不是托，昨天的烤肉体验真的很好，很久没在杭州吃质量这么高的烤肉咯…餐厅的一些举动让人暖心…

环境：西塔老太太烤肉的环境给人留下深刻印象。传统而温馨的装饰风格，营造了一个舒适而亲切的就餐氛围。这样的环境非常适合家庭聚餐或朋友小聚。

作为品牌在杭州的第一家门店，它可能承载了更多的传统元素和品牌历史，为顾客提供了不仅仅是餐饮服务，更是一种文化体验。

服务员的烤肉服务很好，服务员亲切细腻，帮你把每片肉都烤的恰到好处，服务员提供的细致烤肉服务是餐厅的一大亮点。他们不仅在烤肉技巧上专业，还能根据顾客的口味偏好适时调整，这样的个性化服务增加了用餐的舒适度，还会对吃的方式做出合适推荐，真的棒；

烤肉丰富多样：菜品的多样性是西塔老太太烤肉的另一个优势，五种烤肉，哪种都很好吃，各有特色，最喜欢五花肉，很香还不腻，从传统的中式烤肉到地道的搭配小料、种类丰富，满足不同顾客的口味需求。

餐品质量：餐厅在食材的选择和菜品的制作上显然非常注重质量。每道菜品不仅味道出众，其摆盘和色泽也让人赏心悦目，突显出厨师的精细工艺。

冬至特色茶店赠送：冬至赠送汤圆这样的举措体现了餐厅对中国传统文化的尊重和融入，让我们心里很温暖，汤圆也很好吃……

综上所述，杭州西塔老太太烤肉提供了高质量的菜品和服务，加上其具有文化特色的环境和节日活动，使其成为一个值得推荐的就餐地点。杭州相当不错的烤肉选择
                            

		                            收起评价


"
"
                                陈CC
                                ","
2024-02-05 18:54                            
                            ","
                            西塔老太太烤肉是一家源自沈阳的烤肉品牌，以其正宗的韩式烤肉和独特的秘制酱料而著名。这家餐厅的特色在于选材上乘，服务周到，环境雅致。在品尝烤肉的同时，顾客也能感受到浓浓的韩式风情。
首先，西塔老太太烤肉的食材非常新鲜，选用上等的牛肉、羊肉和鸡肉等，保证了烤肉口感的鲜嫩多汁。此外，餐厅还提供了各种蔬菜和配菜，丰富了烤肉的口感和营养价值。
其次，服务方面也十分到位。餐厅的服务员非常热情周到，能够及时为顾客提供所需的服务，如换烤盘、加酱料等。此外，餐厅还提供了各种酒水和小食，满足了顾客的不同需求。
最后，西塔老太太烤肉的环境也非常雅致。餐厅的装修风格充满韩式风情，配以柔和的灯光和舒缓的音乐，营造出一种舒适、温馨的氛围。适合家庭聚餐、朋友聚会等多种场合。
                            

		                            收起评价


"
"
                                therealme
                                ","
2023-12-31 09:13                            
                            ","
                            天冷就想吃吃烤肉 火锅什么的
和同事挑了半天 决定来吃西塔

该说不说 贵有贵的好 虽然他家性价比不是最优
人均消费相对高一点点 但东西是绝对的值得！
作为烤肉店而言 肉好吃就是最重要的！！！

「香翁凤梨牛排」这个真的香甜多汁 肉的口感非常好 烤的火候也合适 配上凤梨 真的很不错比较推荐
「老太太肥瘦」特色菜品就不用多说了 必点！
「特味牛五花」和「五花肉」也是吃烤肉都会必点的的品类 他家的比起常规烤肉店 更胜一筹
然后就是「老太太猪脆肠」这个真的很好吃😋强烈推荐
它应该是先卤然后再炸了下 外皮是那种脆脆的
吃很多也不腻 
「特色炸鸡」也很不错 还有他家「土豆泥」也好吃 还续乐一次
总之吃的超满足


		                            收起评价


"
"
                                不知名大牛人
                                ","
2024-01-31 13:37                            
                            ","
                            被公主姐妹带来吃人生第一次西塔老太太啦！老早就听说他们家麻酱特别好吃，昆山的门店一直要排队就一直没吃上工作日来杭州首店吃刚刚好不用排队，点了个双人套餐，一开始以为还要加菜，结果两个根本吃不完，肋条特别香还会爆汁，夹上蒜片，生菜一包，我的天，香迷糊了。一开始，上的调味碟里只有几片蒜片，我让小姐姐给我上一点蒜，直接给我上了一碗，哈哈哈哈给我管上。吃到最后来一碗海带汤解腻，满足的离开


		                            收起评价


"
"
                                好妮儿_122
                                ","
2024-01-13 15:46                            
                            ","
                            烤肉手忙脚乱都忘记拍肉的照片了，388套餐四个人吃撑，无脑选择还是满意，肥牛、隔膜、煮五花。套餐里的肥肠也很让人满意，脆皮香香。
关于西塔发源沈阳，我第一次听说，口味很多都很沈阳—偏甜！比如泡菜甜、凉面甜、炸鸡酱油味也甜、芝麻酱蘸料甜（吃完芝麻酱蘸料，可乐都觉得是气泡水）。喜欢的爱死，不喜欢的还是吃普通蘸料…个人招架不了太甜。
强烈建议出原味鸡块，让俺们自己调味吧，求求
                            

		                            收起评价


"
"
                                潘薯条啊
                                ","
2024-01-03 17:55                            
                            ","
                            杭州的烤肉店，西塔老太吃过好多次啦～
除了每次都要排一小会儿队！不过这次悄咪出新菜被我逮住了叭！哈哈哈
	
「牛油果鲜虾沙拉 」真的很特别！口感跟它的外形一样层层叠叠，味道层次老丰富了！可以点！
	
「火山排骨」喜欢辣的可以冲！一定要趁热吃！
	
「甜麻麻香芋片」也太像贵州的土豆片了，偏甜一点，吃不完带回家当零食！
	
烤肉就不多说了，食材真的很新鲜！店员帮忙烤，我们就负责吃就行！刚烤好的肉🥩裹上芝麻酱真的香迷糊了！
                            

		                            收起评价


"
"
                                狂吃不胖
                                ","
2024-01-26 13:04                            
                            ","
                            [薄荷]环境：
环境很不错，整体店面很大，有很多桌，就是多人餐桌不够大，整体都比较干净卫生！！

[服务铃]服务：
服务挺好的，有需要都能及时提供帮助！结算时也有耐心帮忙操作，今天店里系统出现问题，店员也有积极处理，虽然还没解决！

「秘制卷牛肋排」非常好吃的肉🥩肉质很鲜美「浇汁横膈膜」很想很嫩，配上店里的酱料更绝了！！「辣鸡爪」稍微有点辣也有点咸，整日还不错比较嫩的鸡爪！！「特色凉拌鸡架」鸡架酸酸甜甜的口感，非常解腻，肉也很多！！很鲜美！！海带汤，味道淡了点！整体菜品都比较满意！！
                            

		                            收起评价


"
"
                                忘睡
                                ","
2024-02-01 15:35                            
                            ","
                            [薄荷]环境：
环境不错，吃过一次朋友约我正好那天生日吃了一次，很满足了 在杭州首店吃的 然后这次又来请我朋友来吃一下 这家也不错 但是看服务员不多给其他桌烤去了我们这桌就没人管了就烤不好但是口味都不错
[服务铃]服务：
服务不错会有服务员专门给你烤肉🥩很不错
吃的很饱下次在来
                            

		                            收起评价


"
"
                                小狗生煎包
                                ","
2024-01-10 15:06                            
                            ","
                            配完眼镜来尝试一下听说了好久的西塔，听说排队特别厉害，但我们是周末去的，居然没有等位，体验感很好哈哈，建议大家不想等的可以来这家，感觉会比附近的另一家人少一些
点了双人套餐，肉肉脑袋一定会超级满足，小姐姐会帮忙烤肉，是我喜欢的软软的感觉！就是小菜分量有点少，老是要加感觉有点麻烦，打卡的话会送汤还是粥，味道还可以，当然肉还是最好吃哒
「特味牛五花」「秘制卷牛肋排」并不记得也无法分辨吃了啥肉辣，随便tag两个，还是推荐大家尝试一下的


		                            收起评价


"
"
                                奔奔是笨笨
                                ","
2024-02-05 08:19                            
                            ","
                            又打卡一家好吃的烤肉
这家的芝麻调的蘸酱真的很不错肉肉也新鲜，泡菜也很美味油烟机怼着烤盘吸，吃完以后完全不会一身烧烤味儿～
临近过年的工作日去的，不用排队了，但是人手也不太够所以只能自己烤了，但是服务态度都很不错～还会再去！
                            

		                            收起评价


"
"
                                Lik
                                ","
2024-01-19 23:21                            
                            ","
                            [薄荷]环境：
环境还不错，干净整洁的，位置也宽敞

[服务铃]服务：
服务态度挺好的，帮忙烤制得也不错，基本都是小女孩，就是我们人多有点儿忙不过来，这不影响
「秘制卷牛肋排」「重磅横膈膜」「冰糖草莓」「雪花肋条」感觉都挺新鲜的，还不错，就是店里面主打的麻酱蘸料，个人还是吃不习惯，还是蘸辣的好吃哈哈哈哈
                            

		                            收起评价


"
"
                                瘦到A减都无畏
                                ","
2024-02-03 16:41                            
                            ","
                            两个人点一个套餐挺够了，正好不需要排队，肉品也很新鲜，一开始自己烤，瘦牛类的还比较好掌控，后面的秘制猪五花是怎么也得专业小姐姐出手了，太容易烤焦了，整场烤到手发抖，小菜很好吃海带汤也很入味，没有点主食，炸鸡，专注吃肉肉
                            

		                            收起评价


"
"
                                我会是你的十四行诗吗
                                ","
2024-01-20 00:12                            
                            ","
                            [薄荷]环境：
环境不错位置也很好找，肉都是现切的，属于明厨亮灶了，但是配料的蒜片青椒一看就是放了好久都干了。
「老太太肥瘦」很好吃每次来必点，一点都不腻
「风干肠」味道很正宗，和小时候吃的味道一点都不差
「香烤鱿鱼」感觉是鱿鱼太大的原因，很厚比较柴吃的不是很香，不如小吃街的铁板鱿鱼好吃
「特色凉拌鸡架」和沈阳的鸡架还是有点区别的不过也是很好吃的

[服务铃]服务：
可能是因为年底都回家的原因，服务员很少，不过也很好啦 有求必应 服务点赞


		                            收起评价


"
"
                                超喜欢喝橙汁C
                                ","
2024-01-10 17:47                            
                            ","
                            [薄荷]环境：
在工联cc，周末人很多，排队至少半小时
[服务铃]服务：
会帮忙烤肉，拌饭也可以，服务不错
菜品：
点了招牌菜「老太太肥瘦」「重磅横膈膜」「秘制卷牛肋排」，不愧是招牌，牛肉很嫩，还有「鲜豆腐汤」味道也很不错。
唯一有点踩雷的是「石锅拌饭」，emmm基本没吃几口，米饭和料都不好吃。
总体肉的味道不错，但是性价比一般，生菜一般都是送的，这边要自己买，南瓜粥也不送
风很大的西塔老太太👵
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-01-13 21:57                            
                            ","
                            西塔老太太泥炉烤肉（杭州首店）是一家正宗的韩式烤肉店，位于杭州市中心。店内环境干净整洁，服务态度热情周到，烤肉技术娴熟，味道鲜美。特别推荐他们的招牌菜泥炉烤肉，选用上等食材，搭配秘制酱料，让人回味无穷。此外，店内还有各种小菜、冷面、拌饭等美味佳肴，满足不同口味的需求。如果你想品尝正宗的韩式烤肉，不妨来这里一试。
                            

		                            收起评价


"
"
                                懒骨头爱可乐
                                ","
2024-01-31 09:40                            
                            ","
                            很久没吃西塔了
印象中小菜的土豆泥很好吃
今天倒是觉得一般般
小菜的沙拉忘记给我们上了
酸萝卜酸黄瓜超解腻 爱了
肉类都还不错
我还是最喜欢用深色那款肉酱汁作为蘸料
芝士鸡蛋卷让我想起来小时候🍔的味道
吃了肉肉下去
身体立马复活了
元气满满！
                            

		                            收起评价


"
"
                                圆嘟嘟的小小白
                                ","
2024-02-10 08:23                            
                            ","
                            跟妈妈还有阿姨一块去吃的，她们说还没吃过烤肉，所以带她们来尝一下西塔老太太烤肉，我们去的比较早，还没排队，等我们吃的时候就开始排队了，买的大众团购的两人套餐，份量挺足的，特制的酱料也好吃，牛肉很新鲜，但是给我们烤肉的那个服务员感觉态度一般，明明我们先来的，一直在给旁边那桌烤，说会顾到我们这桌，但是有块肉都有地方烤焦了她还在给旁边烤，还是另外一个小姐姐过来帮忙的
                            

		                            收起评价


"
"
                                0_0
                                ","
2024-02-26 15:29                            
                            ","
                            这家餐馆的美食真是一绝，让人回味无穷，忍不住想再来一次。无论口味还是环境，这家餐厅都无可挑剔。绝对是与家人、朋友共享美食的理想去处。「小菜」土豆泥全场最佳！量很足，「重磅横膈膜」还是凤梨牛肋骨也很不错，凤梨烤过以后很甜！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-25 18:03                            
                            ","
                            [薄荷]环境:
来的早，不用排队。后面人还是多的，翻桌率很高。
[服务铃]服务:
年前去的，入座时服务员提前说了人手可能不够，帮忙烤什么的可能会有偏差，先告知就没关系。「芝麻酱」还是要吃这个特色的芝麻酱，东北烤肉的灵魂。肉都很不错，套餐也很划算。鸡架略微差了一点
                            

		                            收起评价


"
"
                                浪淘沙15
                                ","
2024-02-24 19:03                            
                            ","
第二次光临了，口味、服务都很不错	                        "
"
                                《LinNN》
                                ","
2024-02-23 18:48                            
                            ","
                            春节期间到店的！高峰期需要等位置～排位期间服务员也主动告知春节期间没有帮烤服务！
在烤肉的过程中，小料经常容易消耗光！但是可以喊服务员帮你加，速度还是比较快的。
大众点评打卡送南瓜粥的速度很慢，催了几次才上来！自己烤不好把握熟度，还是有服务员帮忙会比较好。
                            

		                            收起评价


"
"
                                璀璨温柔咔嗒牛
                                ","
2024-02-23 12:47                            
                            ","
环境挺好的，干净明亮，装修高大上，我喜欢它抽油烟那个机器，抽的很干净，吃完身上也不会有味道，推荐！	                        "
"
                                匿名用户
                                ","
2024-02-21 21:53                            
                            ","
                            [薄荷]环境：
去的时候有些晚了 不用排队就可以直接用餐了 店内氛围也很棒
「冷面」好喜欢西塔的冷面 和我之前在延吉吃过的冷面味道差不多 冷面的汤的酸甜度正好 搭配上苹果片、水煮蛋和牛肉片很不错 同时荞麦面很有嚼劲很劲道 配上烤肉也很解腻呢
「重磅横膈膜」牛肉都很嫩 很好吃

[服务铃]服务：
服务员小哥哥小姐姐都很热心且很有耐心
                            

		                            收起评价


"
