用户名,时间,评论
"
                                oneday
                                ","
2024-02-17 15:29                            
                            ","
千万别来，长这么大第一次吃烤肉吃沉默了，看看这颜色都对不上的拼接假梅花肉，没有一点雪花的松板肉，人均一百也不算太便宜吧就这么糊弄我🦐也是死得很透肉很散的那种。	                        "
"
                                我叫周秋秋
                                ","
2024-01-26 19:31                            
                            ","
体验非常差！从刚进门服务员的服务就很有问题，之前吃过别的地方的闻老头感觉都不错，来这家真是令人非常无语。店内非常空，硬是让人坐很挤的位置。麻烦培训一些灵活变通的服务员吧	                        "
"
                                笑笑鲍
                                ","
2024-01-12 19:25                            
                            ","
超级差！什么烤肉，就是在火上炒肉。服务员烤肉油到处溅，溅到衣服上各种地方！	                        "
"
                                爆浆青团
                                ","
2024-01-01 20:09                            
                            ","
                            这个店位置很好，来吃三四次了，东西还可以，服务是这个品牌连锁里最差的，卫生也不是很好吧，算一般吧，见过小张，餐具也不是很清爽，每次都是懒得走，在这里吃，就是位置好不用排队。买了套餐，来核销，半天没上，朋友问了下，忘了没核销上，重来核销的，这里服务员都跟游离状态似的，基本不会主动服务。
                            

		                            收起评价


"
"
                                airtrust
                                ","
2023-12-12 13:20                            
                            ","
在大众点评上买的套餐，商家不给开发票，加了微信不回复，打电话没人接电话，无良商家！！！	                        "
"
                                匿名用户
                                ","
2023-12-05 21:09                            
                            ","
真是很垃圾，说好的有烤肉服务，然后就说没有服务员，就不给烤，服务员也是有气没力的，不热情	                        "
"
                                吃喝玩乐的帽子
                                ","
2023-10-31 19:21                            
                            ","
服务差劲，女服务员还不错，男服务员**。肉烤一会就糊，面是坨的，吃一桌子糊肉坨面，一点胃口都没有	                        "
"
                                菜菜
                                ","
2023-10-21 19:01                            
                            ","
上菜很慢，味道一般，扫码点餐一直不送来，可以把扫码点餐取消了，隔壁点了一瓶雪碧都对讲机叫吧台了，我们点的东西影子都没有，真的多余。服务态度不行	                        "
"
                                清新有才咕咚鹿
                                ","
2023-10-04 18:25                            
                            ","
                            服务态度特别不好，很差劲，刚坐下送过来的炭盆就没什么炭火都是白灰，然后烤到后面我要求给我换炭就上来个女的服务员在哪里说火没问题，在换一盆也是一样的，而且有块肥油掉进炭盆里了，火苗都往外喘都不管，烤盘没有一次是他们自己过来换的，一直喊人，服务人员是挺多，但是喊人没人动，套餐里面送的萝卜像别人吃过一样，小碗碗延都是油，总之总体感觉都不是很好，因为哪个火没给我换我烤不了肉了直接走了，剩下的肉都没烤，大家去之前好好看看差评吧
                            

		                            收起评价


"
"
                                点小评7187246240
                                ","
2023-09-28 09:19                            
                            ","
点了菠萝牛肋条 没有🈚️，点了菊花茶，没有🈚️，说打卡送石蛋，没有🈚️，肉的味道还不错，但是这个备货量 "
"
                                蜜枣干卤柚子
                                ","
2023-09-18 12:14                            
                            ","
口味一般般，环境一般般，不值这个价格，就那样吧	                        "
"
                                毅刚甜美的小杨
                                ","
2023-09-17 20:08                            
                            ","
菜品一般般，我一号桌一直等到二号三号全部菜上好了才给我们上菜，全程没有服务员，叫了几声不理，快吃好了套餐里面的饮料还没上，真当晕倒了，差评！！！！！！	                        "
"
                                油炸棉花糖
                                ","
2023-09-14 03:31                            
                            ","
9月11日吃的晚餐，12日凌晨就送医院了，肠胃炎，吃完晚饭没有吃任何东西……我怀疑服务员烤的肉到底有没有熟	                        "
"
                                荔枝焖荔枝
                                ","
2023-09-13 18:38                            
                            ","
菜不上，空碗不收，翻烤肉的夹子都要催了才有，不知道是杭州人好糊弄还是专坑我这种外地游客	                        "
