用户名,时间,评论
"
                                迪士尼在逃保安
                                ","
2024-02-21 21:30                            
                            ","
从美团直播间里买的代金券，终于有时间可以来跟同事一起开造啦！

[薄荷]环境：
门店环境装修还是挺不错的，暖色系很适合吃烤肉，感觉跟西塔的风格差不多。

[服务铃]服务：
服务员会帮你烤肉，收藏打卡赠送东西也不错，中间加了几次小菜也挺积极的。

菜品:
「浇汁横膈馍」必点烤肉，肉质紧实汁水丰富，配上麻酱真不错。「炭黑牛五花」油脂很丰富，吃烤肉吃的就是这股肉香味。「南瓜汤」饭前来两碗，真的很好喝。

整体他家烤肉品质和价格比较对等，菜品基本不踩坑，还会再来！


		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-18 14:30                            
                            ","
                            老婆来杭州找闺蜜聚餐
无非火锅、烧烤
逛完西湖发现周围有一家不错的

圆铁板的烤肉方式
肉基本都是没腌制过的
搭配各类酱料就些吃或者吃原味也不错
冻梨饮品很清爽解腻，南方""大""土豆挺喜欢

服务挺热情周到，也会帮着烤帮着分
整体不错，挺适合聚餐唠嗑

By the way，你们和西塔老太太啥关系


		                            收起评价


"
"
                                zhh
                                ","
2024-02-23 11:35                            
                            ","
                            环境和地理位置都很好，步行可到西湖，在武林夜市很方便。有套餐也很划算，两个人吃得很饱，还会加小菜和还烤盘，南瓜粥也很好喝，吃烤肉真的很快乐。「炭黑牛五花」「石锅拌饭」「浇汁横膈馍」「冰点双莓」「闻老头特色香米爱扇贝」
                            

		                            收起评价


"
"
                                不再见_8515
                                ","
2024-02-24 10:18                            
                            ","
                            过年的时候老婆说想吃烤肉了，我就毫不犹豫的带老婆和小孩去吃西湖边的这家闻老头烤肉，他们家的食材非常的新鲜和好吃，味道非常的不错，推荐大家可以去试试。
[薄荷]环境：
非常的舒服和好
[服务铃]服务：
服务员小哥哥小姐姐服务态度也很好
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-07 17:16                            
                            ","
                            闻老头是我在杭州吃过的最好吃的烤肉没有之一，位置很好找就在武林夜市边上，一进来就有服务员热情招待，啥也不用说，座位上就已经提前摆好了生菜小菜和酱料，而且还可以无限续，最爱他家的海带好好吃，酱料也有好几种，甜的辣的都有还有麻酱，炭火烧的很旺，肉质很棒，新鲜而且还是原切的，还有服务员帮忙烤肉，你只要负责吃就行了哈哈。
                            

		                            收起评价


"
"
                                点.
                                ","
2024-01-06 16:55                            
                            ","
                            东北烤肉的吃法多种多样，可以搭配生菜、米饭、馒头等食用，也可以就着啤酒、饮料等饮品。在东北地区，烤肉不仅是美食，更是一种文化。在节日庆典、亲朋聚会等场合，烤肉成为了不可或缺的一道美食。它代表着热情好客、团圆和睦，传递着浓浓的人情味和家乡情。如今，东北烤肉已经成为了东北地区的一张美食名片，吸引了越来越多的食客前来品尝。然而，随着时代的发展和人们口味的不断变化，东北烤肉也在不断创新和改进。许多餐厅和烧烤店开始尝试推出各种创新口味的烤肉，如黑猪肉烤肉、海鲜烤肉等，以满足不同食客的需求。同时，一些餐厅也开始注重环保和健康，采用无烟烧烤设备，减少对环境的污染。
                            

		                            收起评价


"
"
                                還是想念
                                ","
2024-01-25 18:05                            
                            ","
                            一直光顾的一家烤肉店，之前的服务特别好，服务员热情，主动帮你烤肉。这次是在直播里买了四人套餐，聚划算。店铺还有充值500送双人套餐的活动。「田园大拌菜」YYDS皮鹌鹑蛋一口一个太好吃了，微辣，特别开胃。「秘制卷牛肋排」大大两卷，非常厚实，口感十分有嚼劲。多推活动哦～
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2023-12-25 11:05                            
                            ","
                            老大，你知道叫什么名字吗🥲闻老头的菊花😨
哈哈
论断句的重要性！ ！

排队的人太多了。我觉得味道不错！ 😋
前提是大家都和我一样买了开业优惠套餐~
原价为诺诺诺
服务态度也很好，还帮忙烘焙。
烤一块肉换盘🏻

我还是第一次吃冷冻食品🍐em...
我还是比较喜欢新鲜的哈哈
有点软，没有我想象的那么甜

至于肉，虽然很好吃，但并不令人惊叹。
肥牛饭也不错~
金枪鱼饭太腥了
幸运的是，这个小碗是一份礼物。
                            

		                            收起评价


"
"
                                苏子米*
                                ","
2024-01-11 09:27                            
                            ","
                            很好吃 配菜的山葱和新鲜芥末也是记忆犹新，得人均几百才有的配料没想到那么便宜就吃到了，很开心

它的独特风味和口感让我深深地被吸引。烤制后的肉类外焦里嫩，咬一口下去，肉汁四溢，让人忍不住一口接一口。而那种独特的调味，使得每一口都充满了浓郁的韩式风味。在烤制过程中，烤肉的香气弥漫在空气中，让人闻起来就食欲大增。无论是与蔬菜一同烤制，还是单独品尝，都能感受到其美味。在享用这道美食时，我仿佛沉浸在了一个美食的盛宴中，尽情地享受着烤肉
                            

		                            收起评价


"
"
                                板栗栗子酱
                                ","
2023-12-30 21:38                            
                            ","
                            主要是被名字吸引来的，如果叫闻老头也就罢了，叫这个我就得偏要来看看是怎么个一回事！！和西塔老太太是同一种类型的东北烤肉，这家冷面更好吃，酸甜口绝了！牛肉品质不错，我最爱吃瘦牛，肥牛和牛五花油有点大，🔥超大的。泡菜豆腐汤好好和，酸辣可口，烤芝士挺好吃的，但是好粘锅啊，发现一个神仙吃法，就是把芝士叠加在杏鲍菇上一起烤，既不粘锅，又好吃
                            

		                            收起评价


"
"
                                小希里里
                                ","
2024-02-01 20:31                            
                            ","
                            之前来吃过好几次了。店里服务很不错，可以帮忙烤，不用自己动手很方便！这次点的炸鸡还有烤肠都深得我心！炸鸡性价比还是很高的，这么一大份，里面还有海苔卷粉丝，吃起来挺不错～肉肉的品质也很棒，店里人不多，下次还会继续来光顾。
                            

		                            收起评价


"
"
                                八剑客
                                ","
2023-11-27 14:37                            
                            ","
                            肥美的江鳗在菊花炭的炙烤下，逐渐收缩成雪白的肉块，进而增添了微黄的焦痕，再被服务员殷勤地裹上酸萝卜等各种时蔬，并加上芥末，让烤鳗鱼吃起来一点不油腻，且充满了有趣的仪式感「炭烤七品鳗鱼」

就烤肉的炭火而言，菊花炭的优点胜在火力更加稳定，不会因火力过猛而时常把肉烤焦，自己入手烤肉更显方便——如果实在懒得动手，武林路夜市街附近的这家闻老头·菊花炭烤肉，同样能靠着无微不至的服务，把你哄得眉开眼笑~

除了新品炭烤鳗鱼外，招牌的各种牛肉味道同样不错，走得是性价比极高的亲民路线，最近上架的套餐和代金券都很值得买。腌制过的牛五花尤其美味「炭黑牛五花」，口感有点像韩式吾桑格，但酱料没有那么重也没那么甜，烤的时候勤翻面，烤到有血水渗出就可以开吃~四种不同的酱料可以挨个儿试试，选择自己喜欢的口味（个人最喜欢调味牛肉配柠檬醋酱、原味牛肉蘸麻酱）
                            

		                            收起评价


"
"
                                兔兔蕾的老公
                                ","
2023-12-23 12:57                            
                            ","
                            [服务铃]服务：服务挺好的，小姑娘一直默默边上给手生的我们烤肉，还得承受我和老婆的大把狗粮他们的经理也是很热情，一直问我们需不需要额外的小菜和生菜。总之，就一句话，我很满意
「闻老头鲜切瘦牛」「秘制卷牛肋排」「浇汁横膈馍」我也忘记看套餐里面有几种肉，但是都很入味，腌的不错
「招牌肥牛饭」其实点的是鸡腿饭，照烧汁浇的不怎么少，偏甜，不过和我的口味！
                            

		                            收起评价


"
