用户名,时间,评论
"
                                张有为
                                ","
2024-02-18 13:23                            
                            ","
                            体验感最差的一次烤肉店！！！
首先选在一个收工第一天中午没人的时间段来吃，也不说需要怎么被服务吧，但两人餐277在杭州也不算低端烤肉店了吧，上菜等半天不言不语，服务员小姐姐挺漂亮的，但没有一点服务意识，吃个饭还要看她们摆个脸，让帮忙烤肉说没有这个服务，看到有给别桌烤才不情不愿烤了几盘，歪歪扭扭站着一脸不服气。想写点什么又想大过年的小姑娘出来也不容易！但是！要了空碗直接就给我摔在桌上（很大声响）不吭不气。我惊呆了！！！我这是来吃饭的？？？277元去哪吃不香吗？希望领导们还是做好培训，提高一下服务质量吧！
哦对了！味道正常水平，会有炭火的香味。但也没到非得来吃谢谢！
                            

		                            收起评价


"
"
                                糖浆烤红薯
                                ","
2024-02-25 22:32                            
                            ","
                            刚开业的时候来吃过两次，印象很好，这次一去发现退步太太太太太大了，食材不好服务很差拿！体验也很差！！！
1.晚上七点多到店，没有南瓜粥。催促两次后都说一会儿会上，然后接待的黄发男服务生就走了。过了很久没人理后才有另一个服务生说太忙了没人做南瓜粥，让我们谅解。谅解什么呢？正是吃饭的时间烧烤店没南瓜粥？如果早知道没有的话为什么不在前两次询问的时候就告知呢？
2.店内环境乌烟瘴气，看图就知道排烟效果并不好。我们坐得靠门稍微好些，中途隔壁一桌烟囱还坏了。
3.全程没人帮忙烤，以前来都是有服务生主动帮烤的。负责门口两排的男服务生，染一头黄色头发戴帽子，闲得满地转圈也不知道来帮忙看一眼。看我拿了夹子就只给另一桌烤了？肋排实在不太会烤，找了另一个服务员，结果另一个人忙得脚不沾地，烤到一半把我们扔下了（只把肉放到了烤架上，让我们自己翻）。这个服务太差了吧，该忙的人闲着没事干，其他人一人打好几份工？
4.八点左右人少了很多了，黄发男服务生依然闲得转圈，到处聊天。让他帮忙换烤网，随便找了一个换上来了（之前其他的服务生会根据桌上的肉选择网状的和铁盘状的），烤得噌噌冒火。让拿点蒜片，转了一圈又忘了……完全单线程行动。服务生里也有关系户吗？
5.食材不行，肉又肥又散，五花肉很薄很薄一层，豆腐汤里全是碎豆腐（看图就知道了）。之前来过这家的，也知道一开始绝对不是这样。

体验很糟糕，避雷吧，268吃点啥不好，还买他们家套餐……以后不会再来了。
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-12 23:00                            
                            ","
难吃到吐，这是我人生第一次写差评，各种难吃，真的太难吃了，真的，我发誓，我发毒誓，冷面就像白水煮面 猪皮跟本咬不动	                        "
"
                                青豆干煸艾草
                                ","
2024-01-26 17:10                            
                            ","
服务人员爱答不理 菜品一般 店里一股碳味 通风不行 再也不会去下次	                        "
"
                                A
                                ","
2024-01-23 18:52                            
                            ","
自己看吧 淋巴肉 第一次上的有两块 第二次又上了一盘 竟然还有 好好好 想吐了我已经 我真的很少给差评 但真的 别太离谱了	                        "
"
                                匿名用户
                                ","
2024-01-21 15:57                            
                            ","
服务员帮烤会烤焦，烤焦了吃啥烤肉。。。。	                        "
"
                                匿名用户
                                ","
2024-01-15 10:44                            
                            ","
服务差 完全没有人帮忙烤肉 排烟的开关也没开 我们吃了一半才提醒我们 再也不会来了 "
"
                                绿茶腌青柠檬
                                ","
2024-01-14 18:04                            
                            ","
                            我基本不会给店家差评的，但这家真的忍不了…
肉很筋，有些咬不动
厕所一股香烟味，卫生很差
服务员水平明显不够，不能帮忙烤，碳还堆得老高，火都烧到网上了。
一问就说服务员都是兼职，烤不来，没有入职培训的吗？？
听朋友说来福士的那家就可以帮忙烤，所以明明是同一家店但是都没有统一的服务标准是吧？
整体体验太差了，下次不会推荐朋友过来
                            

		                            收起评价


"
"
                                loki217
                                ","
2024-01-14 17:51                            
                            ","
其他店都可以帮忙烤，这里的员工先说自己是兼职不会烤，又换了一位说忙不过来，最后干脆说就是不会帮忙烤的……服务也太差了吧，不会再来了。买的饮料核销了也不上的。
这个碳放得那么高，肉都糊了……	                        "
"
                                匿名用户
                                ","
2024-01-10 19:58                            
                            ","
个人觉得口味太一般了，服务也不好，早点葱花要了三遍，要点青椒，没人理的。我们又不是不给钱，这个服务态度差	                        "
