用户名,时间,评论
"
                                Apei
                                ","
2024-02-21 18:28                            
                            ","
                            最喜欢他们家一点，就是他会帮你烤肉！
位置就在湖滨，那边人流量还挺大的，估计去晚了，可能需要排队吧
「闻老头鲜切瘦牛」「浇汁横膈馍」「秘制五花肉」烤肉都还行，都是有腌制过的，还蛮入味好吃！
「冻梨菊花茶」这个饮料还挺好吃的，里面居然能吃到冻梨，不错不错
                            

		                            收起评价


"
"
                                福澜客
                                ","
2024-02-07 18:58                            
                            ","
                            杭州·烤肉·百闻不如一尝 | 福澜客饮食563

好几次从这家店门口路过
店名总会引发我的好奇心
终于有了机会来搭搭味道

[薄荷]环境:🍭🍭🍭
店面比想象中要大两层楼
座位间距不小还比较合理
通风设备不错油烟味不大

[服务铃]服务:🍭🍭🍭🍭
服务员挺多的态度也不多
上菜的速度还比都算较快

🍗菜品:🍭🍭🍭🍭
「秘制卷牛肋排」🉑🉑🉑🉑🉑
看起来不大展开还挺长的 烤出来味道也好
「重磅牛贝肉」🉑🉑🉑🉑
「浇汁牛五花」🉑🉑🉑
「闻老头鲜切肥瘦」🉑🉑🉑
「凉面」🉑🉑🉑🉑
凉面味道醋味重 还挺解腻

菊花碳原来是用天然栎木
连续七十二小时烧制而成
因其切面形似菊花而得名
不仅无烟活力足还能提香
实际体验这顿以后感觉吧
关键还是要食材的品质好
                            

		                            收起评价


"
"
                                好方
                                ","
2024-01-30 08:05                            
                            ","
                            [薄荷]环境：在龙翔桥这边那一家烤肉店还蛮出名的来尝试了一下，真的很不错，他们家有时会的套餐性价比很低，很适合情侣约会学生党来试试
烤肉都很好吃，非常入味，搭配他们家的蘸料一口下去真的超满足

[服务铃]服务：不得不说他们家服务真的特别好帅气的小哥哥一直在帮我们烤肉，工作人员都很热情，贴心很不错的一次体验
                            

		                            收起评价


"
"
                                西橘酱
                                ","
2024-02-14 19:47                            
                            ","
                            来自一年半前的评价哈哈
应该是杭州首店第一次吃到闻老头菊花烤肉
之前某次节日想吃 队却没排上….

感觉炭烤的肉很nice 工作人员帮烤也很不错
肉肉肉肉肉！！好吃！
还有冻梨汁儿呢～（封面视频还挺生动的）
                            

		                            收起评价


"
"
                                一口大黑狗九号
                                ","
2024-01-27 17:17                            
                            ","
                            总共拿了六盘生菜差不多
三盘叶子上都有很多小黑黑的脏东西
还看到一个小飞虫
希望店里洗菜能再认真一点 
不然会影响吃饭体验

重磅横膈膜和浇汁横膈膜一样好吃 必点
浇汁牛五花也来了两盘 必点
调味猪五花一盘 必点

其他都可以不点

锡纸酸菜有点太油了
新品 和牛卡卢比没有什么口感
肥很多 肉比较紧实但不太香 下次可以不点了
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-01 10:22                            
                            ","
                            [薄荷]环境:
干净卫生，灯光打的很好看很温馨

[服务铃]服务:
服务员超级热情且细心，也可能是因为来得早，人少
「浇汁横膈馍」好吃好吃，除了贵没毛病
「闻老头鲜切肥牛」还行吧
「炭黑牛五花」还行吧
「冻梨菊花酒酿」冬天吃好冰牙齿
性价比很高，位置也好，前提是囤了券
                            

		                            收起评价


"
"
                                再吃一颗苹果
                                ","
2024-02-15 15:00                            
                            ","
                            [薄荷]位置：在湖滨那边，位置很好找，当时去的比较迟了人就比较少

[服务铃]服务：服务还是挺不错的，加菜烤肉都还挺及时的

口味:口味有些像西塔，但是好像酱汁比西塔少一点？（上个月去的有些忘了）肉类也很不错，横膈膜鲜嫩多汁，肥瘦烤完都挺好吃的，但是他家性价比高，还有代金券~划算的可以冲！
                            

		                            收起评价


"
"
                                匿名用户
                                ","
2024-02-16 08:23                            
                            ","
                            这家烤肉店在大众点评上口碑极佳，深受食客喜爱。店内环境雅致舒适，服务热情周到。精选优质肉类食材，新鲜丰富，口感鲜嫩多汁，搭配店内秘制酱料，味道醇厚独特。烧烤技艺娴熟，火候恰到好处，每一道菜品都令人回味无穷。性价比高，无论是朋友聚餐还是家庭聚会都是绝佳之选。特别推荐其招牌五花肉和羊排，是肉食爱好者的天堂，让人一试难忘。整体评价五星，实属烤肉界的翘楚。
                            

		                            收起评价


"
"
                                vivi
                                ","
2024-02-01 08:45                            
                            ","
                            工作日去团的券，价格非常划算。

[服务铃]服务：
有工作人员专门为你帮忙烤，可以提自己的要求，要烤的焦一点或者嫩一点，工作日一切都会帮忙满足。
[薄荷]环境：
杭州首店，坐落在西湖边，吃完可以顺便逛逛西湖消消食，感受一下西湖美景。
口味：还不错，调味比较符合我的味觉。
                            

		                            收起评价


"
"
                                学不会
                                ","
2024-01-03 20:17                            
                            ","
                            🍖🔥闻老头·菊花炭烤肉(杭州首店)真的太火啦！上次和朋友们去尝试了一下，简直被它的味道和服务惊艳到了！
🍖首先，推荐大家一定要尝尝他们家的招牌秘制五花肉。那肉质，一看就知道是上等货色，肥瘦相间，烤得恰到好处。蘸上他们特制的酱料，口感丰富，让人回味无穷。😋
🔥其次，不得不提的是他们家的菊花炭烤牛排。牛排烤得嫩滑多汁，咬一口就能感受到肉质的鲜美。而且，搭配上他们家的秘制辣酱，真的是太绝了！🌶️
🍻最后，当然还要推荐他们家的特色饮品啦！特别是那款闻老头秘制米酒，口感醇厚，甜而不腻，一口下去，整个人都清爽了。还有那款解渴的西瓜汁，也是夏日必备哦！🍉
🌲店内环境挺不错的，宽敞明亮，装修简约而不失格调。服务员态度也很好，全程帮忙烤肉，让我们只管享受美食。👏
                            

		                            收起评价


"
