标题,价格,评论,店名,详情页
【新品】学而思学习机二代中学生小学生学生平板 xPad2 Pro Max 14寸,8599.00,0,学而思电子教育旗舰店,https://item.jd.com/10094032919742.html
爱心东东HUWIMA PadPro 2023新款骁龙888平板电脑16G+512G超高清4K全面屏二合一 陶瓷白（七仓速发+双频5G全网通+强劲十核） 16+128G（分期免息+定制皮套键盘套装）,880.00,2万+,移晟电脑整机专营店,https://item.jd.com/10075331837102.html
爱心东东2023新款12+512G超薄十核安卓超清4K全面屏5G全网通娱乐办公二合一游戏网课第三星种电脑 流光银丨12+128G丨12英寸+定制原装鼠标键盘,399.00,10万+,超时空电脑办公专营店,https://item.jd.com/10058741790192.html
荣耀显通平板电脑通5GWiFi十核超清贴合屏网课学习游戏二合一教育Pad 曜石灰 新pad旗舰版16G+256G原装蓝牙键盘鼠标,1488.00,2万+,荣耀显通平板电脑官方旗舰店,https://item.jd.com/10071397976735.html
小米涂乐2023款平板电脑12英寸全网通5GWiFi十核超清全面屏网课学习游戏二合一教育Pad 冰霜银 新Pro旗舰16G+128G原装键盘鼠标,1088.00,1万+,小米涂乐平板电脑旗舰店,https://item.jd.com/10073602080383.html
荣耀平板V7 Pro 11英寸 128GB WIFI版 曙光蓝 2.5K 120Hz护眼全面屏 多屏协同 商务办公影音娱乐网课电脑,1099.00,10万+,荣耀京东自营旗舰店,https://item.jd.com/100025691592.html
学而思平板学习机点读机中学生小学生 2k高清10层类纸11英寸 6G+128G 128G,4599.00,1万+,学而思电子教育旗舰店,https://item.jd.com/10067575657125.html
HUAV平板电脑超清全面屏十核全网通5GWiFi商务办公影音游戏娱乐学习上网课二合一 星河蓝 新Pro旗舰12G+256G原装键盘鼠标,1188.00,2万+,HUAV平板电脑旗舰店,https://item.jd.com/10068135208242.html
Apple iPad（第 9 代）10.2英寸平板电脑 2021年款（64GB WLAN版/学习办公娱乐游戏/MK2K3CH/A）深空灰色,2599.00,200万+,Apple产品京东自营旗舰店,https://item.jd.com/100014352499.html
HUWIMA MatePad平板电脑二合一16+1TB骁龙888超清4K全面屏全网通5G办公游戏网课 白沙银【碎屏险/+免费试用+全网通5G】 旗舰版丨16+128G丨大礼包+键盘+分期免息,1120.00,2万+,简易生活数码时代电脑办公专营店,https://item.jd.com/10078433660741.html
