名称,介绍,详情
程力 解放J6前四后八铝合金 油罐车,程力 解放J6前四后八铝合金 油罐车是程力生产制造的油罐车。,"
品牌:
程力
类别:
油罐车
型号:
解放J6前四后八铝合金
报价:
暂无
"
程力 箱长9.4米~9.6米 东风天龙前四后八冷藏车,东风天龙豪华驾驶室，康明斯发动机三款动力选择，陕齿12档变速箱。,"
动力方式:

品牌:
程力
类别:
冷藏车
型号:
箱长9.4米~9.6米
"
东风 斯太尔前四后八 化工液体运输车,斯太尔前四后八化工液体运输车产品说明化工车：专用性能特点：塑料（聚丙烯）罐体，可盛装有一定腐蚀性的化工液体。,"
品牌:
东风
类别:
化工液体运输车
型号:
斯太尔前四后八
报价:
暂无
"
达刚控股 半挂式 液体沥青运输车,达刚控股 半挂式 液体沥青运输车是达刚控股生产制造的液体沥青运输车。,"
品牌:
达刚控股
类别:
液化气运输车
型号:
半挂式
报价:
暂无
"
中通汽车 ZTQ5140ZBGE 背罐车,中通汽车 ZTQ5140ZBGE 背罐车是中通汽车生产制造的背罐车。,"
品牌:
中通汽车
类别:
背罐车
型号:
ZTQ5140ZBGE
报价:
暂无
"
徐工 XGH5180GSS 运水车,该车型功能丰富，运行可靠，作业效率高，具有注水、泄水、压力输送等功能。,"
品牌:
徐工
类别:
罐式车
型号:
XGH5180GSS
报价:
暂无
"
雷萨重机 BJ5048XXY-F3 瓦楞板厢式车,BJ5048XXY-F3瓦楞板厢式车货厢框架为高强板型材，使用热板600XT-2.0材料，强度高，抗扭性强，底板纵梁材料为热板3.0/C700L高强钢，确保货厢底架刚性好，装载不变形。,"
动力方式:

品牌:
雷萨重机
类别:
运输车
型号:
BJ5048XXY-F3
"
宜迅 YX-JBS 扫路车垃圾综合处理回收利用设备,采用干式或湿式分离处理型式，干式采用双级筒套筒圆滚筒筛分，将大块垃圾如破布和石子、砂子分别筛分分离出来，砂子可用作预制件或铺筑边沟用,"
品牌:
宜迅
类别:
扫路车
型号:
YX-JBS
报价:
暂无
"
楚胜 天龙前四后八铝合金26方 油罐车,我公司提供整车发票，整车合格证，底盘合格证，罐检报告，罐体密封性证书，探伤报告（X光透视），产品质量证书，海底阀和欧标罐口安装证明，底盘保修手册，随车工具。,"
品牌:
楚胜
类别:
油罐车
型号:
天龙前四后八铝合金26方
报价:
暂无
"
楚胜 重汽浩瀚单桥6.8米 冷藏车,重汽浩瀚单桥6.8米冷藏车箱体结构紧凑、牢固可靠、绝热性好，保温性能达到国家A级标准，符合食品运输卫生要求及药品GPS认证。车箱温度监视仪、温度调控器。,"
动力方式:

品牌:
楚胜
类别:
冷藏车
型号:
重汽浩瀚单桥6.8米
"
凌宇汽车 液罐半挂车 化工液体运输车,凌宇汽车 液罐半挂车 化工液体运输车是凌宇汽车生产制造的化工液体运输车。,"
品牌:
凌宇汽车
类别:
化工液体运输车
型号:
液罐半挂车
报价:
暂无
"
东风 解放前四后八 液化气体运输车,东风 解放前四后八 液化气体运输车是东风生产制造的液化气体运输车。,"
品牌:
东风
类别:
液化气运输车
型号:
解放前四后八
报价:
暂无
"
徐工 干混砂浆背罐车 ,徐工 干混砂浆背罐车 是徐工生产制造的。,"
品牌:
徐工
类别:
背罐车
型号:
干混砂浆背罐车
报价:
暂无
"
骏强 JQ9400GXH 下灰半挂车,JQ9400GXH下灰半挂车罐体有效容积264立方米罐体外形尺寸:罐体总长含封头9250mm两端封头直径1900mm罐体总高2700mm运输介质:固井水泥密度:1200千克/立方米此车型可使用外接气源不装空压机及柴油机时对应整车长度为9600mm、整备质量8200kg;该车应在侧面和后部安装车身反光标识选装空气悬架选装挡泥板样式。,"
品牌:
骏强
类别:
罐式车
型号:
JQ9400GXH
报价:
暂无
"
