名称,介绍,详情
宜迅 YX-950(10m³) 护栏打桩机,宜迅YX-950(10m³)护栏打桩机具有88KW大功率发动机，合金锤头，耐磨耐用，适用性强，定为准，打桩快，机身紧凑，动力提升50%等特点。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-950(10m³)
报价:
暂无
"
宜迅 YX-940（5m³） 护栏打桩机,宜迅YX-940（5m³）护栏打桩机具有360#合金锤头，四缸增压发动机，四轮驱动，，断气刹车，开山5m³螺旋空压机，拔桩稳定支点，舒适座驾等特点。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-940（5m³）
报价:
暂无
"
路霸 LB-940（3.5m³） 护栏打桩机,"高速公路打桩专用  打桩 钻孔 拔桩一体机
适用范围广 动力强劲 持续打桩
效率提升30%","
品牌:
路霸
类别:
护栏打桩机
型号:
LB-940（3.5m³）
报价:
暂无
"
恒旺 20 装载式打钻一体机,20装载式打钻一体机装载机式护栏打桩机是恒旺集团根据市场需求和自身技术成熟的情况下面向客户需求而研发的一款产品，是集装载、打桩、钻孔等功能为一体的新型产品。采用全新设计理念、精心研制整体功能，结构模块化兼顾的设计思想，全封闭各木式安装结构，更利于产品快速安装和转场，可广泛运用于公路、高速等路面护栏的桩孔钻进工作。,"
品牌:
恒旺
类别:
护栏打桩机
型号:
20
报价:
暂无
"
昌晟机械 CSDBZ260 护栏打拔钻一体机,CSDBZ260护栏打拔钻一体机CSDBZ260护栏打拔钻一体机波形护栏打拔钻一体机是一种公路护栏钢管打桩设备，该机采用柴油动力，全液压机械传动，具有效率高、移位方便、精确度高、经久耐用、省时省工等特点，特别适用于公路野外工程施工。CSDBZ260护栏打拔钻一体机波形护栏打拔钻一体机适用于各类复杂地层的公路护栏安装工作。1）打拔钻一体，一机多用；打桩锤头与钻孔机使用折页式切换，方便快捷。,"
品牌:
昌晟机械
类别:
护栏打桩机
型号:
CSDBZ260
报价:
暂无
"
宜迅 YX-940（3.5m³） 护栏打桩机,"高速公路专用护栏打桩机
平稳打桩 随意摆动 
一天可打桩400+","
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-940（3.5m³）
报价:
暂无
"
路霸 LB-940(5m³) 护栏打桩机,护栏打桩机采用76KW（104马力）、360#合金锤头、180#合金钻头，适用15种不同路面地质工况，机身紧凑、随意摆动，一天打桩400+,"
品牌:
路霸
类别:
护栏打桩机
型号:
LB-940(5m³)
报价:
暂无
"
恒旺 HZH-260 方桩护栏打桩机,HZH-260方桩护栏打桩机基于成熟的的液压系统开发，直接打桩定位。机动灵活、作业效率高。⑵全功率控制变量系统充分利用发动机功率，节能高效。⑶采用国内最好的柴油机，保证动力强劲可靠。⑷关键液压元件均采用知名品牌产品，稳定可靠。,"
品牌:
恒旺
类别:
护栏打桩机
型号:
HZH-260
报价:
暂无
"
宜迅 920 装载护栏打桩机,宜迅 920 装载护栏打桩机是宜迅生产制造的装载护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
920
报价:
暂无
"
路霸 LB-950（10m³） 护栏打桩机,路霸 LB-950（10m³） 护栏打桩机是路霸生产制造的护栏打桩机。,"
品牌:
路霸
类别:
护栏打桩机
型号:
LB-950（10m³）
报价:
暂无
"
恒旺 39 护栏打桩机（加强款）,恒旺 39 护栏打桩机（加强款）是恒旺生产制造的护栏打桩机（加强款）。,"
品牌:
恒旺
类别:
护栏打桩机
型号:
39
报价:
暂无
"
宜迅 YX-1200 护栏打桩机,宜迅 YX-1200 护栏打桩机是宜迅生产制造的护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-1200
报价:
暂无
"
路霸 LB-930 护栏打桩机,"公路压桩专用 护栏打桩机 
合金锤头  高效省时 
随意摆动 平稳打桩
一天可打桩400+","
品牌:
路霸
类别:
护栏打桩机
型号:
LB-930
报价:
暂无
"
恒旺 39 护栏打桩机,39护栏打桩机基于成熟的的液压系统开发，直接打桩定位。机动灵活、作业效率高。⑵全功率控制变量系统充分利用发动机功率，节能高效。⑶采用国内最好的柴油机，保证动力强劲可靠。⑷关键液压元件均采用知名品牌产品，稳定可靠。,"
品牌:
恒旺
类别:
护栏打桩机
型号:
39
报价:
暂无
"
宜迅 YX-930 护栏打桩机,"公路打桩专用 宜迅护栏打桩机 
合金锤头 功率提升30%
适用于各种不同路面和山路状况","
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-930
报价:
暂无
"
路霸 LB-940 护栏打桩机,"品牌动力 持续输出 
道路压桩 平稳高效","
品牌:
路霸
类别:
护栏打桩机
型号:
LB-940
报价:
暂无
"
宜迅 920 小型装载护栏打桩机,护栏打桩机是一种公路护栏钢管桩打压设备，该机采用柴油动力，全液压机械传动，具有行驶轻便、打桩精度高、经久耐用、节能环保等特点，特别适用于公路护栏安装、维修和抢修的野外工程施工。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
920
报价:
暂无
"
路霸 260ZQ 护栏打桩机,路霸 260ZQ 护栏打桩机是路霸生产制造的护栏打桩机。,"
品牌:
路霸
类别:
护栏打桩机
型号:
260ZQ
报价:
暂无
"
宜迅 930 装载护栏打桩机,宜迅 930 装载护栏打桩机是宜迅生产制造的装载护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
930
报价:
暂无
"
路霸 LB-926 护栏打桩机,路霸 LB-926 护栏打桩机是路霸生产制造的护栏打桩机。,"
品牌:
路霸
类别:
护栏打桩机
型号:
LB-926
报价:
暂无
"
宜迅 HWH260 小型装载护栏打桩机,宜迅 HWH260 小型装载护栏打桩机是宜迅生产制造的小型装载护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
HWH260
报价:
暂无
"
路霸 LB-940 护栏打桩机,"打拔钻一体机是一种将液压能转化为机械冲击能的打桩机。
它是导杆式柴油机打桩机的替代产品，适用于公路护栏、水利、邮电和建筑工程中的打桩机。
该机具有结构合理、噪音低、无污染、操作灵活、运行效率高、使用维护方便等特点。
配备专用拔桩机，可实现大规模打桩和拔桩。","
品牌:
路霸
类别:
护栏打桩机
型号:
LB-940
报价:
暂无
"
宜迅 HWH260 小型装载护栏打桩机,宜迅 HWH260 小型装载护栏打桩机是宜迅生产制造的小型装载护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
HWH260
报价:
暂无
"
路霸 HWH260 护栏打桩机,"用于高速公路护栏、水利、邮电和建筑工程沉桩设备。该机具有结构合理、噪音低、无污染、操作灵活、作业。
效率高、使用维修方便等特点。配备专用拔桩机，可以实现大批量打、拔钻桩！","
品牌:
路霸
类别:
护栏打桩机
型号:
HWH260
报价:
暂无
"
宜迅 YX-001 装载护栏打桩机,YX-001装载护栏打桩机1．采用国内知名柴油机作为动力。2．传动机构采用全液压机械传动。3．打桩钻孔效率高。4．装载式底盘，移位更方便。5．作业时移机定位精确度高。6．钻机全身采用精钢焊接，经久耐用。7．大大节约工作时限，更加省时省工等特点。8．可适用全天候施工，拖带空压机方便。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-001
报价:
暂无
"
路霸 LB-936 护栏打桩机,路霸 LB-936 护栏打桩机是路霸生产制造的护栏打桩机。,"
品牌:
路霸
类别:
护栏打桩机
型号:
LB-936
报价:
暂无
"
宜迅 YX-460 小四轮护栏打桩机,宜迅 YX-460 小四轮护栏打桩机是宜迅生产制造的小四轮护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-460
报价:
暂无
"
宜迅 HWH260ZQ 小四轮护栏打桩一体机机,宜迅 HWH260ZQ 小四轮护栏打桩一体机机是宜迅生产制造的小四轮护栏打桩一体机机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
HWH260ZQ
报价:
暂无
"
宜迅 YX-936 护栏打桩机,宜迅 YX-936 护栏打桩机是宜迅生产制造的护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-936
报价:
暂无
"
宜迅 YX-420 全液压护栏打桩机,宜迅 YX-420 全液压护栏打桩机是宜迅生产制造的全液压护栏打桩机。,"
品牌:
宜迅
类别:
护栏打桩机
型号:
YX-420
报价:
暂无
"
