名称,介绍,详情
达刚控股 DGL5093GLQ-045 沥青洒布车,DGL5093GLQ-045沥青洒布车每个沥青喷嘴可单独控制，洒布宽度自由调节，起步收尾整齐；Each of the sprayingnozzles can be controlled individually. The spraying width can be adjusted freely and with a sharpstart and stop。,"
品牌:
达刚控股
类别:
沥青洒布车
型号:
DGL5093GLQ-045
报价:
暂无
"
三一重工 SCM2000C-8S 2米铣刨机,SCM2000C-8S铣刨机采常用于高等级公路、城市道路、机场、货场和停车场等铣刨，尤其适用于硬路面铣刨、大型路面翻新和大厚度铣刨。,"
作业宽度:
（2000mm以上）大型
用途:
通用
凿毛机:

驱动方式:
燃油
"
达刚控股 DGL5310TFC-X105 微表处稀浆封层车,我公司自主研发的微表处/稀浆封层车，是继沥青脱桶设备之后又一款拥有世界独创技术无辅助发动机、无需重新标定、计算准确、摊铺质量好的高智能、高品质、节能环保型产品。整车采用了11项技术，产品技术成熟，性能稳定、可靠，曾荣获国家重点新产品、中国工程机械年度产品TOP50应用贡献金奖等荣誉。该设备可做稀浆封层及微表处路面养护工程，亦可用于高等级路面施工中的下封层及桥面处治作业，被广泛应用于全国21个省、132条高速公路、361个施工项目和众多国家重点工程中，高品质的施工质量体现出设备极高的可靠性和稳定性，获得了用户的一致好评。,"
品牌:
达刚控股
类别:
稀浆封层车
型号:
DGL5310TFC-X105
报价:
暂无
"
达刚控股 DGL5310TFC-T426 沥青碎石同步封层车,我公司研制的沥青碎石同步封层车采用了十几项公司独有技术（十三项申请了保护，其中两项国际），产品性能先进，质量可靠。可用于路面的下封层、上封层施工；新旧路面加铺磨耗层施工；沥青路面的层铺法施工；沥青、碎石特殊情况下的分别洒（撒）布。,"
品牌:
达刚控股
类别:
同步封层车
型号:
DGL5310TFC-T426
报价:
暂无
"
英达 PM500 热再生养护车,PM500热再生养护车采用间歇式热辐射加热技术，保证加热温度和深度符合施工要求，并可很大限度地避免因加热引起的沥青老化现象。,"
品牌:
英达
类别:
养护车/抢修车
型号:
PM500
报价:
暂无
"
美通筑机 LMT5046GLQZ 【国六】智能型沥青洒布车,浙江美通筑路机械股份有限公司开发研制的智能型沥青洒布车，可用于公路施工过程中的沥青粘结层洒布作业，可洒布热沥青和乳化沥青。,"
品牌:
美通筑机
类别:
沥青洒布车
型号:
LMT5046GLQZ
报价:
暂无
"
维特根 W 50 HRi 国四冷铣刨机,维特根新一代智能高效半米档铣刨机，满足国四排放，在行业同类产品中设定生产率、精准度、操控性的新标杆。智能、高效、经济，是坑槽铣刨维修，过渡面铣刨，绕井盖铣刨，贴边铣刨等小规模铣刨作业或者狭窄空间铣刨任务的理想选择。,"
作业宽度:
（300-800mm）小型 
用途:
通用
凿毛机:

驱动方式:
燃油
"
美通筑机 LMT5316TFCX-H 【国六】微表处稀浆封层车,浙江美通筑路机械股份有限公司研制的(微表处)稀浆封层车可拌和摊铺普通稀浆封层材料，也可拌和摊铺改性乳化沥青稀浆封层材料(微表处Micro Surfacing)。,"
品牌:
美通筑机
类别:
稀浆封层车
型号:
LMT5316TFCX-H
报价:
暂无
"
美通筑机 LMT5316TFCTP-S 【国六】沥青碎石同步封层车,"沥青碎石同步封层车系列是浙江美通筑路机械股份有限公司推出的、具有国际先进技术水平的沥青路面施工设备,广泛用于公路的沥青碎石同步封层作业。可实现在同一时间同步洒(撒)布沥青和骨料,也可分别洒(撒)布，适合不同等级的公路施工。该车施工效率高，洒(撒)布计量精准。同步封层施工后路面形成耐磨耗的粗糙纹理，可大大提高通行路面的抗滑性能,提高行车安全性。经过同步封层施工的路面耐磨性、防滑性、防水性更好，施工后能快速恢复交通。","
品牌:
美通筑机
类别:
同步封层车
型号:
LMT5316TFCTP-S
报价:
暂无
"
达刚控股 DGL5163TYH-054（国IV） 沥青路面养护车,DGL5163TYH系列沥青路面养护车是我公司为了满足公路养护需求而研发的新一代多功能沥青路面养护设备。该设备由汽车底盘、液压系统、沥青混合料料箱、燃烧系统、沥青喷洒系统、控制系统和压路机提升结构等部分组成，主要用来完成普通级公路及高等级公路路面坑槽修补等作业。 该设备可对沥青混合料实现保温运输，并能将冷态散装沥青混合料料块加热到145~160 ℃并保温，满足各种长距离施工时对混合料的技术要求。设备带有加热功能的沥青喷洒装置，加热装置独立控制，可随时根据施工要求进行单独加热。料仓采用混合加热方式，加热均匀、无死角。设备施工时可对坑槽底部喷洒热沥青或乳化沥青以提高粘结强度，振动压路机对修补后的路面进行充分压实。,"
品牌:
达刚控股
类别:
养护车/抢修车
型号:
DGL5163TYH-054（国IV）
报价:
暂无
"
