名称,介绍,详情
爱科 麦赛福格森“全球系列”S1204-C(G4)/MF1204-B 拖拉机尊享版,爱科动力发动机，涡轮增压、中冷、高压共轨、柴油散热器等配置，保证发动机大扭 矩、低油耗，稳定可靠。,"
马力:
100-160马力拖拉机
驱动方式:
四轮驱动
品牌:
爱科
类别:
拖拉机
"
劲工 4GL-1智能整杆式甘蔗 收割机,4GL-1智能整杆式甘蔗收割机4GL-1有如下特点：配备国内品牌发动机，保证动力甘蔗根部切口好，保证来年发芽率机身轻，不到6吨，不会对土壤造成碾压伤害，行动灵活全液压操控系统，收割快速稳定，操作简单方便整杆式收割，甘蔗损失率小，含杂率小，储存时间长。,"
收割产品:

品牌:
劲工
类别:
收割机
型号:
4GL-1智能整杆式甘蔗
"
爱科 麦赛福格MF T7 联合收割机,MFT7“自然流”作物从割台到脱粒分离滚筒输送过程中，不强行改变其运动方向，动力消耗更少。"Tritura"横轴流脱粒分离滚筒横轴流脱粒分离滚筒，360°脱粒分离，分离性能大幅提高，减少已分离籽粒在滚筒中的停留时间，保证量佳谷物质量。两级清选系统独有的加速辊设计，使籽粒加速下降，保证清选更充分，谷物更干净。重心更低，通过稳定性更好。,"
品牌:
爱科
类别:
联合收割机
型号:
麦赛福格MF T7
报价:
暂无
"
神耕机械 2BFG-4（4） 种植施肥机械,2BFG-4种植施肥机械产品特点：勺式精量播种机带有转动勺式圆盘，变速装置可调节圆盘转数，调节下种量和株距，可实现一勺一种，单粒精播，节省种子，提高播种精密度，降低漏种率和重播率。,"
播种行数:
4-5行
品牌:
神耕机械
类别:
播种机
型号:
2BFG-4（4）
"
东方红（一拖） 5H-15 烘干机,5H-15烘干机5H-15烘干机/5H-15烘干机A循环式谷物干燥机适用于水稻、小麦、玉米等谷物的烘干，尤其适用于种子的烘干，烘干的谷物品相更好，价值更高。烘干机热源可根据用户自身条件和要求，自由选择柴油、天然气、电加热，也可采用煤炭、木柴、谷壳、秸秆以及生物质压缩燃料，安全环保，使用成本更低。主要适用于农业合作社、种粮大户、家庭农场、种子公司、粮库、米厂、面粉厂及其它粮食收购及加工企业。,"
品牌:
东方红（一拖）
类别:
烘干机
型号:
5H-15
报价:
暂无
"
东方红（一拖） 1GQN-200ZG/230ZG/250ZG 旋耕机,"产品特点：东方红1GQN-200ZG/230ZG/250ZG型旋耕机是与功率为55kW～80.9kW70马力～110马力拖拉机配套的耕整作业机具。它利用刀轴旋转运动和机具前进直线运动的复合运动，对未耕地或已耕地实施碎土作业。它广泛用于农田的旱耕，亦可用于中耕灭茬，盐碱地浅耕覆盖,除草压肥,平整土地等农田作业。其性能特点是碎土能力强，一次旋耕能达到一般耙类多次作业的碎土效果。","
耕幅:
2000-2500mm
刀轴数量:
双轴
品牌:
东方红（一拖）
类别:
旋耕机
"
爱科 麦赛福格森MF 1800系列MF 1840 小方捆打捆机,无论是针对牧草，还是小麦、玉米、水稻等作物秸秆，MF 1800中置式小方 捆系列产品都能提供高效的优化解决方案，该系列产品包括：不同捡拾宽度的两道绳MF 1840/1840S，以及单双轴破 碎型MF 1840F/1840P。都具有喂入量大、捡拾干净，作业效率高、草捆紧 实方正等优点，深受各地广大用户的青睐。,"
捡拾宽度:
1.7m-2.2m
品牌:
爱科
类别:
打捆机
型号:
麦赛福格森MF 1800系列MF 1840
"
乐星 4LZ-3.5 收获机械,"4LZ-5收获机械产品特点：外观设计新概念外观设计应用整备性/耐久性向上发动机室/粮仓快速打开主行,过桥等最高配置，进口皮带使用车体水平控制装置在任何作业条件下车体常常保持水平完美的作业车体水平控制装置在同级中最高离地间隙270mm，水田性卓越最长卸粮筒最长的卸粮筒3,750mm及270度旋转功能追加。","
行走方式:
自走履带式
喂入方式:
全喂入
喂入量:
8kg/s及以上
收获幅宽:
1.6m-2.2m
"
久保田农机 4YZB-3(PRO1408Y)(G4) 玉米收获机,久保田农机 4YZB-3(PRO1408Y)(G4) 玉米收获机是久保田农机生产制造的收获行数为三行玉米收获机。,"
收获行数:
三行
收获方式:
自走式
收获幅宽:
1.6m-2.2m
品牌:
久保田农机
"
沃得农机 9GX系列 割草机,产品特点：沃得牌9GX系列旋转割草机，具有较高的工作效率，比往复式割草机更适合于切割较高大的作物，特别适宜收割高产、茂密趋于倒伏的种植牧草。割草机主要由切割装置、传动装置、悬挂机架、液压装置及安全保护装置组成。机架上装有液压旋转装置，方便作业操作和运输。,"
收割方式:

割幅宽度:

品牌:
沃得农机
类别:
割草机
"
爱科 麦赛福格森MF RK802 转子式搂草机,MF RK802是一款机架中置，双转子对置的专业化搂草机。能满足大面积 牧草或秸秆的高效率作业要求，为后续的打捆作业提供理想的作物条铺。,"
搂幅宽度:
6m及以上
搂幅方向:

搂幅方式:
旋转式
品牌:
爱科
"
美诺 9800 青贮饲料收获机,9800青贮饲料收获机产品特点：圆盘割刀，不对行喂入☆强劲动力260马力，作业效率高☆视野开阔，驾驶舒适☆先进的喂入装置设计，集喂入、压扁于一体，使饲料适口性好☆操作灵活方便割台特点刀片喷涂硬质合金：刀片刃口经过特殊处理，提高耐磨度，延长刀片使用寿命，降低能耗☆异形刮刀：锋利的刮刀能够将割茬刮碎，加速割茬腐烂，更好的保护轮胎。,"
行走方式:

收割幅度:

品牌:
美诺
类别:
青贮饲料收获机
"
井关 EKDC20 微耕机,井关 EKDC20 微耕机是井关生产制造的微耕机。,"
品牌:
井关
类别:
微耕机
型号:
EKDC20
报价:
暂无
"
博远 1SZL-300 深松机,1SZL-300深松机产品特点：能打破长期旋耕或浅耕形成的犁底层，改善土壤的透水、透气性和土壤的团粒结构，有利于蓄水保墒和作物根系的发育，增强作物的抗旱排涝能力，提高作物产量。不打乱耕作层，保持土壤上下土层不乱，对地表覆盖破坏小，降低农机作业强度，减少作业成本。整机结构设计合理，用料考究厚实，制作精良，质量可靠，作业效果好，是深松作业首选的优质产品。,"
工作铲数:

品牌:
博远
类别:
深松机
型号:
1SZL-300
"
爱科 MF4412 整地机,MF4412整地机产品特点：爱科集团的整地设备专为打破土壤压实和板结层而设计；有效调整耙地的深度范围，以增加土壤的可耕性；一次完成耙地、作物残茬切碎掩埋、深松、平整土地等作业。对作物残茬进行切碎和掩埋，可有效地提高土壤机质;土壤和残茬更好的混合，可使雨水更快地下渗到土壤的底层;改善土壤的透气性和排涝能力，减少对土壤的侵蚀。,"
耕幅:

刀轴数量:

品牌:
爱科
类别:
整地机
"
库恩 Axis30.1 施肥机,Axis30.1施肥机产品特点：无与伦比的撒肥灵活性改变肥料种类，调节撒肥量，改变作业宽度……撒肥机必须能够根据不同的要求轻松进行相应的调整。CDA系统作为整个AXIS系列撒肥机的一个部件，在满足这些目标的同时，还能够使用户轻松方便地对机器进行调节。均匀撒肥不再是问题。,"
品牌:
库恩
类别:
施肥机
型号:
Axis30.1
报价:
暂无
"
久保田农机 2ZGQ-6H(NSPV-6CMD)(G4) 水稻插秧机,久保田农机 2ZGQ-6H(NSPV-6CMD)(G4) 水稻插秧机是久保田农机生产制造的插秧方式为四轮乘坐式水稻插秧机。,"
插秧方式:
四轮乘坐式
插秧行数:
4-6行
品牌:
久保田农机
类别:
水稻插秧机
"
五征 3PT-2 田间管理机械,3PT-2田间管理机械产品特点:机架采用龙门架式结构，坚固耐用；采用双侧单排链条传动，两侧链条采用独立式链轮箱密封，密封效果好。工作部分增加调节弹簧，可在工作过程中起缓冲作用，减少对培土刀的损伤。工作刀固定于旋转刀盘，每个培土刀盘安装6个培土刀均匀分布，保证工作稳定性。,"
品牌:
五征
类别:
培土机
型号:
3PT-2
报价:
暂无
"
五征 3ZM-4 中耕机,3ZM-4中耕机产品特点:引进国外技术，结构新颖、功能实用；与拖拉机连接方式采用三点悬挂连接，整体提升；主要应用于薯类作物较松土地上的起垄工作和高培土作业；采用牵引式功率消耗低，整机采用框架结构，可靠性高。一次作业即可完成松土、碎土、起垄等工作，作业质量好，效率高；。,"
品牌:
五征
类别:
中耕机
型号:
3ZM-4
报价:
暂无
"
