名称,介绍,详情
徐工 P5系列 6×2国六燃油载货车,徐工 P5系列 6×2国六燃油载货车是徐工生产制造的最大马力为6×2国六燃油载货车，P5系列的排量(L)为。,"
排量(L):

发动机型号:
YCS06270-60
整车重量(t):

最大输出功率(kw):

"
三一重工 HQC42513SWK15F 新朱宏旗舰版牵引车,HQC42513SWK15F新朱宏旗舰版牵引车采用康明斯M15发动机，低速大扭矩，宽经济转速区间，路况适应性更强，高爆压、高轨压，较同类产品省油超6%，安全可靠，智能舒适。,"
牵引总质量(kg):
49000
发动机:

动力方式:

品牌:
三一重工
"
东风 东风P68-MC11K 2.2L汽油 两驱 双排皮卡 ,东风 东风P68-MC11K 2.2L汽油 两驱 双排皮卡 是东风生产制造的换挡形式为手动，东风P68-MC11K 2.2L汽油 两驱 双排皮卡的最大马力为103。,"
最大马力:
103
排量(L):
2.237
整车重量(t):
1.5
发动机型号:
新晨动力JM491Q-ME
"
东风 东风小康 K01H 1.21L 87马力 排半微卡 ,东风 东风小康 K01H 1.21L 87马力 排半微卡 是东风生产制造的排放标准为国四/欧四，东风小康 K01H 1.21L 87马力 排半微卡的整车重量(t)为0.91。,"
整车重量(t):
0.91
最大马力:
87
最大总质量(t):
1.92
发动机型号:
DK-12-01
"
东风 东风小康 C37 创业II型 100马力 1.4L微面 ,东风 东风小康 C37 创业II型 100马力 1.4L微面 是东风生产制造的排放标准为国四/欧四，东风小康 C37 创业II型 100马力 1.4L微面的整车重量(t)为1.29。,"
整车重量(t):
1.29
最大总质量(t):
1.97
发动机型号:
DK13-06
最大输出功率(kw):
74
"
徐工 XGA5040XXYBEVEA 轻卡,徐工 XGA5040XXYBEVEA 轻卡是徐工生产制造的轻卡。,"
品牌:
徐工
类别:
轻卡
型号:
XGA5040XXYBEVEA
报价:
暂无
"
三一重工 HQC13105S1S13F(底盘) 新英杰485畅行版载货车,"HQC13105S1S13F(底盘)新英杰485畅行版载货车采用铝合金前轮辋,轻量化钢质后轮辋，具有轻盈、节油、舒适、安全、大容量的特点。","
排量(L):
12.94
发动机型号:
三一道依茨D13C6-480E0
整车重量(t):
9.65
最大输出功率(kw):
353
"
徐工 XGA4250D6WC P9系列6×4国六燃油牵引车,徐工 XGA4250D6WC P9系列6×4国六燃油牵引车是徐工生产制造的动力方式为P9系列6×4国六燃油牵引车，XGA4250D6WC的牵引总质量(kg)为。,"
牵引总质量(kg):

发动机:
WP13.580E62
动力方式:

品牌:
徐工
"
北京牌 越铃 皮卡,北京牌 越铃 皮卡是北京牌生产制造的换挡形式为皮卡，越铃的最大马力为。,"
最大马力:

排量(L):

整车重量(t):

发动机型号:

"
奥驰汽车 奥驰V3 中高端轻卡,奥驰V3中高端轻卡产品亮点拉得多双层大梁：双层汽车专用大梁钢全铆接车架，主副纵梁点焊、冲压成型，承载能力提高；槽钢货箱：槽钢底梁车箱承载强度提高；加强板簧：板簧承载能力提升；加厚轮辋：轮辋加厚；跑得快采用大扭矩变速箱，运载能力更强，满足重载高速需求；质量好整车一次性通过10万公里可靠性试验及“三高”试验验证；。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:

"
东风 东风小康 C35 100马力 1.3L微面 ,东风 东风小康 C35 100马力 1.3L微面 是东风生产制造的排放标准为，东风小康 C35 100马力 1.3L微面的整车重量(t)为1.265。,"
整车重量(t):
1.265
最大总质量(t):
1.875
发动机型号:
DK13-06
最大输出功率(kw):
74
"
沃尔沃 FE重卡 280马力 4X2 载货车(底盘) ,沃尔沃 FE重卡 280马力 4X2 载货车(底盘) 是沃尔沃生产制造的最大马力为240-290马力，FE重卡 280马力 4X2 载货车(底盘)的排量(L)为7.2。,"
排量(L):
7.2
发动机型号:
沃尔沃D7E280-EC06
整车重量(t):
6.4
最大输出功率(kw):
205
"
华菱汽车 HN4250B36C6BEV 282kWh换电版M5新能源华菱牵引车,华菱汽车 HN4250B36C6BEV 282kWh换电版M5新能源华菱牵引车是华菱汽车生产制造的动力方式为电动282kWh换电版M5新能源华菱牵引车，HN4250B36C6BEV的牵引总质量(kg)为10800。,"
牵引总质量(kg):
10800
发动机:

动力方式:
电动
品牌:
华菱汽车
"
江淮汽车 帅铃T6皮卡 ,帅铃T6皮卡外观之美新世代典范创意立足高端商务市场，演绎铁汉柔情之美超乎寻常的设计理念；力与美完美融合，光与影和谐运用细微之处见功夫；外造型粗犷霸气，内饰精致淡雅；轿车化设计，尽显豪华风尚；人性化设计，实现的科技与人性完美结合；以颠覆性科技、时尚、品质，首创高端皮卡旗舰标杆，形成独一无的市场占位。,"
最大马力:

排量(L):
2.8
整车重量(t):
1.815
发动机型号:
4DA1-2C
"
江淮汽车 好运V系S系列 载货车,好运V系S系列载货车更多产品4款车身：微卡、大微卡、小微卡、高端微卡；载重：0.5T-2吨；轴距：2400-3300；燃料：柴油、汽油、油气两用。更优性能动力性：发动机相比竞品功率提升、扭矩提升；承载性：贯通式大梁、加强车架、整体冲焊后桥；安全性：车顶一次成型、车身整体加强筋，装配感载制动阀。更专业设计动力传动系统匹配优化，传动效率高。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:
4A1-68C40/LJ465-2AE/油气两用
"
陕汽 德龙F2000 载货车,陕汽 德龙F2000 载货车是陕汽生产制造的最大马力为载货车，德龙F2000的排量(L)为。,"
排量(L):

发动机型号:
潍柴
整车重量(t):
11880/14600
最大输出功率(kw):

"
三一重工 HQC42503S1Y11F 新英才黄金版牵引车,"HQC42503S1Y11F新英才黄金版牵引车纯平地板超大空间，舒适气囊座椅，全车轻量化设计，自重低至8吨，减重不减配，高性价比，低购车成本,回本周期，更短。","
牵引总质量(kg):
49000
发动机:

动力方式:

品牌:
三一重工
"
东风 东风P66-231 2.4L柴油 两驱 双排皮卡 ,东风 东风P66-231 2.4L柴油 两驱 双排皮卡 是东风生产制造的换挡形式为手动，东风P66-231 2.4L柴油 两驱 双排皮卡的最大马力为82。,"
最大马力:
82
排量(L):
2.433
整车重量(t):
1.67
发动机型号:
四达4D25U
"
东风 东风 小卡王 1.2L 汽油 85马力 双排微卡 ,东风 东风 小卡王 1.2L 汽油 85马力 双排微卡 是东风生产制造的排放标准为国四/欧四，东风 小卡王 1.2L 汽油 85马力 双排微卡的整车重量(t)为1.47。,"
整车重量(t):
1.47
最大马力:
85
最大总质量(t):
3.23
发动机型号:
YF4G12
"
中国重汽 HOWO轻卡小将 载货车,"全新一代HOWO智相产品，传承HOWO轻卡收益最大化的设计理念,打造适用于城市配送、快递快运、微商物流等多场景、多领域覆盖，依靠超颜值、超盈利、更智能、更舒适的产品优势,依托国内外顶级供应链企业，打造全新一代高端小轻卡产品。","
排量(L):

发动机型号:

整车重量(t):

最大输出功率(kw):

"
徐工 XGA4250D6WC P7系列6×4国六燃油牵引车,徐工 XGA4250D6WC P7系列6×4国六燃油牵引车是徐工生产制造的动力方式为P7系列6×4国六燃油牵引车，XGA4250D6WC的牵引总质量(kg)为。,"
牵引总质量(kg):

发动机:
WP10.5H430E62
动力方式:

品牌:
徐工
"
北京牌 锐铃 皮卡,北京牌 锐铃 皮卡是北京牌生产制造的换挡形式为皮卡，锐铃的最大马力为。,"
最大马力:

排量(L):

整车重量(t):

发动机型号:

"
奥驰汽车 奥驰D6 微卡车,奥驰D6微卡车产品亮点新工艺采用日系精益设计生产线，使产品装配工艺更有保障。强动力玉柴动力和康明斯动力，欧美技术；系统集成控制，提升燃烧效率，经济性好；动力性好、低油耗、低排放、低噪音超舒适宽适卧铺，液压座椅2200mm宽体驾驶室，最新欧洲风格内饰，引领时尚潮流；舒适液压座椅，长途驾驶不疲劳，拥有轿车搬感受；。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:

"
黑豹汽车 1035系列 仓栅式运输车,1035系列仓栅式运输车仓栅式专用运输车，是装备有仓笼式或栅栏式结构车厢，仓笼或栅栏内按一定的距离安装有格栅，用于运输物品的仓栅式汽车。我公司仓栅式运输车车型丰富，大小吨位搭配合理，车厢在外型设计上，力求造型美观、内部结构合理、工艺先进，仓栅栏杆方便实用、安全可靠等特点，适合广大用户的中短途。,"
排量(L):

发动机型号:
4L18CF 4A1-68C43
整车重量(t):

最大输出功率(kw):

"
华菱汽车 HN4251H36C8BEV 350kWh充电版 H7新能源牵引车,华菱汽车 HN4251H36C8BEV 350kWh充电版 H7新能源牵引车是华菱汽车生产制造的动力方式为350kWh充电版 H7新能源牵引车，HN4251H36C8BEV的牵引总质量(kg)为11800/11300/12800。,"
牵引总质量(kg):
11800/11300/12800
发动机:

动力方式:

品牌:
华菱汽车
"
奥驰汽车 奥驰D5 微卡车,奥驰D5微卡车产品亮点重载双层大梁：双层汽车专用大梁钢全铆接车架，主副纵梁点焊、冲压成型，承载能力提高；槽钢货箱：槽钢底梁车箱承载强度提高；加强板簧：板簧承载能力提升；加厚轮辋：轮辋加厚；加强型纵置半椭圆钢板弹簧，后钢板弹簧可达16mm厚。副速气控高低速和取力型变速箱，操作简便，质量可靠。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:

"
广汽日野 FY2PYUA-CUW 货箱车,FY2PYUA-CUW货箱车人性化驾驶室驾驶室大部分使用防锈钢板，防锈效果好，保险杠、高顶等部位使用耐久性材料，驾驶室外部美观。圆弧形前卫中控台，开关集中化设计，便于操控。人性设计空间，空间宽阔、舒适。贴心设计工具箱，容纳行车随性物品，媲美轿车的驾乘感受。缓冲式方向盘为驾驶员缓冲碰撞的冲击力，最大限度地保证驾驶员安全。减速齿总成耐磨，加工精度高，高效保证各齿轮吻合。,"
排量(L):
10.520
发动机型号:
P11C-UJ
整车重量(t):
11.2
最大输出功率(kw):

"
中国重汽 豪沃TX纯 电动牵引车(中央驱动),"豪沃TX纯电动牵引|车是中国重汽完全自主开发的一款新能源牵引车。中国重汽新能源平台已掌握新能源汽车电控系统全部开发与测试核心技术，以自主软硬件研发为基础，四大板块协同开发,处于国内靠前水平。","
牵引总质量(kg):

发动机:

动力方式:
电动
品牌:
中国重汽
"
奥驰汽车 奥驰D3 中端轻卡,奥驰D3中端轻卡产品亮点重载双层大梁：双层汽车专用大梁钢全铆接车架，主副纵梁点焊、冲压成型，承载能力提高；槽钢货箱：槽钢底梁车箱承载强度提高；加强板簧：板簧承载能力提升；加厚轮辋：轮辋加厚；加强型纵置半椭圆钢板弹簧，后钢板弹簧可达16mm厚。副速气控高低速和取力型变速箱，操作简便，质量可靠。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:

"
北京牌 旗铃 仓栅车,北京牌 旗铃 仓栅车是北京牌生产制造的最大马力为仓栅车，旗铃的排量(L)为。,"
排量(L):

发动机型号:

整车重量(t):

最大输出功率(kw):

"
济南重汽 HOWO 4×4全驱 牵引车,HOWO4×4全驱HOWO/4×4全驱系列越野车是中国重汽综合运用当前世界先进的汽车技术，选用成熟可靠的总成零部件研制开发的系列产品。HOWO4×4全驱车可做为运输车、各类运、加油车、各类装备运输底盘，适合物资运输、油田、矿山、林业、消防作业的运输作业和改装需要。,"
牵引总质量(kg):

发动机:

动力方式:

品牌:
济南重汽
"
奥驰汽车 奥驰D2 中端轻卡,奥驰D2中端轻卡产品亮点重载双层大梁：双层汽车专用大梁钢全铆接车架，主副纵梁点焊、冲压成型，承载能力提高；槽钢货箱：槽钢底梁车箱承载强度提高；加强板簧：板簧承载能力提升；加厚轮辋：轮辋加厚；加强型纵置半椭圆钢板弹簧，后钢板弹簧可达16mm厚。副速气控高低速和取力型变速箱，操作简便，质量可靠。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:

"
大运 风景CGC1254D4SBD（6x2） 运输车,风景CGC1254D4SBD（6x2）运输车大空间豪华驾驶室，欧式环形仪表台，操作触手可及。驾驶室采用四点悬浮技术，驾乘更舒适。大梁孔位标准化，且上翼面无铆钉方便改装。一流液压举升系统，质量更佳，举升更有力。装备玉柴集团六缸发动机，可靠性高，排放低，省油，经济，噪声低，动力强劲。动力转向，排气制动，四回路保护阀，断气刹，操纵舒适，驾乘安全。,"
排量(L):

发动机型号:
YC6J200-46/ YC6J220-46
整车重量(t):

最大输出功率(kw):

"
山河智能 QDD 电动牵引车,QDD电动牵引车外形小巧，转向灵活，适合在狭小的空间内工作；动力强劲，低重心，驾驶安全、可靠、高效；主机与拖挂匹配设计，使车辆工况更理想、更适用。,"
牵引总质量(kg):

发动机:

动力方式:

品牌:
山河智能
"
奥驰汽车 奥驰A3 中高端物流轻卡,奥驰A3中高端物流轻卡产品亮点驾驶室一次性通过正面碰撞和压顶试验，达到欧洲ECE法规要求；选装盘式制动与ABS，行使安全，标配感载比例阀，刹车不甩尾；采用博世电控高压共轨、四气门技术精确控制燃油喷射，选用EGR或SCR后处理路线轻松达到国四排放要求；轿车化内饰双色设计，倍感温馨，一体式双曲面仪表台，中控台触手可及；。,"
整车重量(t):

最大马力:

最大总质量(t):

发动机型号:

"
