名称,介绍,详情
三一重工 STR130C-10C 13吨C10国四双钢轮压路机,全“芯”一代C10双钢轮压路机适用高速、机场、薄层、桥梁等省道、市政、小区、工业园等全方位施工环境.,"
工作质量（kg）:
13500
振动频率（Hz）:
51/67
发动机型号:
康明斯F4.5
额定功率（KW）:
125
"
徐工 XS143 全液压单钢轮压路机,XS143全液压单钢轮压路机配备东风康明斯发动机，水冷、涡轮增压，功率储备大，油耗低、噪音小，采用进口品牌闭式液压驱动系统，传动效率高，性能稳定可靠。配合徐工重载湿式驱动桥，确保压路机具有良好的驱动性能和较高的爬坡能力。,"
工作质量（kg）:
14000
振动频率（Hz）:
30
发动机型号:

额定功率（KW）:
125
"
柳工 6526EG4 国四轮胎压路机,6526EG4轮胎压路机标配后视影像和旋转报警灯，便于观察后退情况，安全可靠，后摄像头可以看到贴近后轮站立的0.6m高度的物体选配360°全景摄像显示功能。,"
工作质量（kg）:
26000
发动机型号:

额定功率（kw）:
140
压实宽度（mm）:
2750
"
柳工 6212EG4 国四双钢轮压路机,6212EG4国四双钢轮压路机振动轮不会产生瞬间冲击力，避免沥青面起凹坑，同时保护振动轴承等元件，延长使用寿命，振动轮两边的振幅可保持一致，提高了沥青表面的压实均匀性；,"
工作质量（kg）:
12500
振动频率（Hz）:
50/67
发动机型号:

额定功率（KW）:
125
"
柳工 6626E-单驱 全液压单钢轮压路机,CLG6626E全液压单驱单钢轮压路机具有液压驱动，无级变速，免去频繁离合换挡，操纵舒适高效，起停无压痕，压实效果好。,"
工作质量（kg）:
26000
振动频率（Hz）:
28\32
发动机型号:

额定功率（KW）:
140
"
徐工 XP265S 轮胎压路机,XP265S型大吨位轮胎压路机适用于沥青、水泥稳定土等材料的压实作业，是建设高等级公路、机场、港口及工业建筑工地的理想压实设备。,"
工作质量（kg）:
26300
发动机型号:

额定功率（kw）:
132
压实宽度（mm）:
2360
"
悍马 HD 138i VV 国四双钢轮压路机,悍马新一代重型双钢轮压路机HD系列，满足国四排放标准，搭载HAMMTRONIC 智能压实操控系统，具有优异的压实品质、高压实效率、低油耗和维护保养成本、轻松胜任各等级公路常规沥青材料，高速公路桥面等新型改性沥青材料、水稳层等不同材料、不同工艺的压实施工。,"
工作质量（kg）:
14270
振动频率（Hz）:
43/60
发动机型号:
康明斯 F4.5CS4168
额定功率（KW）:

"
悍马 HC 268i P 国四单钢轮压路机,悍马全液压单钢轮HC系列， 装备了强劲的 154 kW 国四排放发动机以及 HAMMTRONIC 智能压实控制系统，可广泛应用于土壤稳定、土方工程以及 CTB 大厚度水稳层等不同材料的压实施工。多种配置可选，因其优异的压实质量、直观安全的操作以及简单的维护保养备受机手喜爱。超高的性价比、更低的油耗和维护保养成本使得用户收益颇多。,"
工作质量（kg）:
26180
振动频率（Hz）:
27/30
发动机型号:
康明斯 B5.9CS4 210C
额定功率（KW）:
154
"
山推 SRT30H-GF 国四轮胎压路机,SRT30H-GF液压型胶轮压路机主要用于沥青层、稳定土层、二灰土层压实作业，配套东康国Ⅳ电控发动机，重载液压系统；液压驱动，无级变速，压实性能优异；模具成型操控台美观大方，开关按键、手柄操控舒适便捷；前四后五轮胎布置，接地比压大，压实力强；滚塑水箱，清洁、续航能力强。适用于高速公路及机场、省道、国道、市政道路等多等级道路压实。,"
工作质量（kg）:
30000
发动机型号:
东康B5.9
额定功率（kw）:
129
压实宽度（mm）:
2355
"
宝马格 BW 120 AD-5 CC 国四双钢轮压路机,宝马格 BW 120 AD-5 CC 国四双钢轮压路机是宝马格生产制造的驱动方式为液压式国四双钢轮压路机，BW 120 AD-5 CC的工作质量（kg）为2700。,"
工作质量（kg）:
2700
振动频率（Hz）:
63/67
发动机型号:
Kubota 久保田 D 1803
额定功率（KW）:
229
"
三一重工 SSR260C-10H 26吨C10国四全液压双驱单钢轮压路机,全“芯”一代C10全液压 双驱单钢轮，加大加厚型振动轮，特别适合大坝，高铁路基等大深度大填方压实作业。,"
工作质量（kg）:
26000
振动频率（Hz）:
27/32
发动机型号:
上柴SC7HG4
额定功率（KW）:
177
"
三一重工 SPR300C-10H 30吨C10国四轮胎压路机,三一重工 SPR300C-10H 30吨C10国四轮胎压路机是三一重工生产制造的吨位(t)为30吨及以上30吨C10国四轮胎压路机，SPR300C-10H的工作质量（kg）为30000。,"
工作质量（kg）:
30000
发动机型号:

额定功率（kw）:
140
压实宽度（mm）:

"
徐工 XD83VT 双钢轮压路机,XD83VT双钢轮压路机前钢轮利用自身产生的激振力，使沥青材料与其他骨料充分渗透，路面耐磨性好，后胶轮利用充气轮胎揉搓碾压，增加密水性，路面的表面颗粒外观均匀，使用寿命更长。,"
工作质量（kg）:
8300
振动频率（Hz）:
55/45
发动机型号:

额定功率（KW）:
74.6
"
宝马格 BW 226-5 CL 国四单钢轮压路机,BW 226-5 CL国四单钢轮压路机具有高效散热系统，集成的散热器竖直布置，清洁空气从顶部进入，废气从尾部水平两侧及顶部排出，避免卷起尘土，同时具有高的散热效率。,"
工作质量（kg）:
26000
振动频率（Hz）:
28/33
发动机型号:
上柴 SDEC SC7H200G4
额定功率（KW）:
147
"
