名称,介绍,详情
三一重工 SY60C （国四） 小型挖掘机,"全新SY60国四机提供久保田和五十铃两种动力选择，久保田发动机额定功率36kW/2000rpm，五十铃发动机额定功率36kW/2100rpm,精准燃油喷射技术，保证优良的动力性和经济性。","
整机工作质量(kg):
6000
额定斗容(m3):
0.25
额定功率(KW/rpm):
36/2000
发动机型号:
久保田V2607
"
新源重工 C80G4 国四轮式挖掘机,C80G4系列是新源重工自主研发制造的新一代轮胎式液压挖掘机，针对林业作业工况进行了全面升级，是一款极具性价比的林业作业设备。,"
整机工作质量(kg):
6650
铲斗容量(m3):
0.2
额定功率(Kw/rpm):
48/2200
发动机型号:
新柴4E30Y41/玉柴F3065-T480
"
山工机械 636F（非道路国四） 装载机,636F（非道路国四）装载机为（非道路国四）全新打造的新一代家族式外观，厚重、硬朗、视觉冲击强，优质碳素板整体模具成形发动机罩、可靠耐用。,"
整机工作质量(kg):
9700
额定斗容(m3):
1.4-3.6
额定载重量(kg):
3000
发动机型号:
WP4.6NG125E473（国四）
"
柳工 F260 叉装车,柳工叉装车，F260叉装车是一种大型的以装卸块状物料为主的工程机械。适用于矿场、港口码头、基建、道路修建以及钢铁企业等进行装卸、起重、牵引作业，是一种多用途高效率的工程机械。,"
整机工作质量(kg):
32500
额定载重量(kg):
26000
发动机型号:

额定功率(Kw/rpm):
180
"
山猫 S70 滑移装载机,山猫迷你滑移装载机S70小巧灵活，专为极狭小空间设计，可轻松通过各种走廊、过道、小巷和低矮的空间，并可轻松进入1米宽的电梯。性能卓越，可配备多种属具，实现铲运、清扫、破碎等多种功能，是建筑、园林等领域的新强者！,"
行走方式:
轮胎式
额定载重量:
0.8吨以下
动力方式:

品牌:
山猫
"
徐工 GD220J 高机动挖掘装载机,车身强度远高于普通设备，配备防滚翻和落物驾驶室，人机工程设计，作业舒适性高；标配应急转向功能，装载、挖掘、推土、夹抓、牵引等多功能作业，装载（四合一铲斗）、挖掘系统与专业装载机、挖掘机统型化设计，作业效率高；,"
额定功率:

操作重量:

品牌:
徐工
类别:
挖掘装载机
"
山推 DE26-X2 CH 电动推土机,DE26-X2纯电推土机，采用纯电驱动，节能环保，动力强劲、具有生产效率高、可靠性高、使用成本低等特点。该设备工作装置操纵灵活，驾驶室视野宽阔，舒适性好，能适应环保要求高的作业环境，维保便利，主要用于电厂、煤矿、钢厂等作业工况，适用松散物料的推运、堆积、回填等作业。,"
功率:
220-320
行走:
履带式
用途:
标准型
动力方式:
电动
"
恒特 DMA-1挖树机 移树机 ,DMA-1挖树机移树机帝盟挖树机，挖树效率比人工高20-30倍，平均3-5分钟能完成一棵8-15公分树木的移动；研制的铲刀锋利耐损，可对树根进行最小创面切割，避免了因人工刀砍、斧剁，而造成的伤根多、苗木成活率低等现象。公司独家研制的土球专用包装袋保湿透气性好，而且成活率比人工提高了25%以上。DM-A挖树机凭借较高的机械灵活性，能在33米的树林中自由穿梭，工作十分方便。,"
行走:
拖式
卸土:
半强制卸土
斗容:
30立方以上
动力方式:

"
三一重工 SYM3311ZZX1BEV 411充电版自卸车,"SYM3311ZZX1BEV411充电版自卸车零排放更环保，绿色“芯”动力，无排放升级顾虑,无强制报废风险真正零排放,无污染。","
行走方式:
轮胎式
动力方式:
电动
品牌:
三一重工
类别:
自卸车
"
同力重工 TL891 非公路宽体自卸车,TL891非公路宽体自卸车搭载行业优质大马力发动机+八档单箱双中间轴专用变速箱，动力更强、可靠性更高，燃油经济性更好。,"
行走方式:
轮胎
车架形式:
刚性
动力方式:

品牌:
同力重工
"
徐工 ET100D 模块化步履式挖掘机,徐工 ET100D 模块化步履式挖掘机是徐工生产制造的动力方式为模块化步履式挖掘机。,"
动力方式:

品牌:
徐工
类别:
多用途挖掘机
型号:
ET100D
"
