名称,介绍,详情
杭叉 A系列5.0吨 蓄电池叉车,沿用A系列整体外观造型，车身侧面具有清晰的线条，光滑过渡至配重，线条之间一气呵成，具有强大的视觉张力。,"
品牌:
杭叉
类别:
电动叉车
型号:
A系列5.0吨
报价:
暂无
"
杭叉 CPCD250 25吨大吨位内燃叉车,20.0-25.0吨叉车，主要关键件均选用国际知名厂家配套产品，整车性能优良、可靠耐用，安全性高、产品外观大气沉稳、简洁明快。产品用途广泛，适用于港口、铁路、钢铁等繁重工况的工作环境。,"
品牌:
杭叉
类别:
内燃叉车
型号:
CPCD250
报价:
暂无
"
杭叉 CPD35-Ex-C1 J系列1-3.5吨电动防爆叉车,CPD35-Ex-C1J系列1-5吨电动防爆叉车首家完全采用气体和粉尘的防爆国家标准，防爆等级达到ExsdembibIIBT4/DlPA21TA，T4，能够应用在1区，2区的气体环境和21区，22区的粉尘环境单独或并存的危险场所。采用多重防爆措施，整机防爆处理更加安全可靠，操作更加舒适，方便。增加了独立的智能自控系统，对各电机温度，制动器温度和整机绝缘实时监控保护，进一步提高了整机的防爆性能。,"
品牌:
杭叉
类别:
其它种类叉车
型号:
CPD35-Ex-C1
报价:
暂无
"
林德 T20AP04 站驾式电动托盘搬运车,T20AP04站驾式电动托盘搬运车-集中式的操作舵柄，所有的控制按钮都集中在舵柄头部，单手即可操作，提高工作效率-带比例控制功能的电子转向，操作轻便-转弯自动减速功能，保证行车安全-实用的工作台有效提高了辅助工作的效率。-工程师可以通过叉车上的诊断接口读取运行数据。使得调整叉车性能参数、预见性的维护及快速修理变得十分方便。-叉车所需维护间隔达1000小时。,"
动力方式:
电动
品牌:
林德
类别:
搬运车
型号:
T20AP04
"
合力叉车 1.6吨 三级门架宽腿电动堆垛车,合力叉车 1.6吨 三级门架宽腿电动堆垛车是合力叉车生产制造的三级门架宽腿电动堆垛车。,"
品牌:
合力叉车
类别:
堆垛机
型号:
1.6吨
报价:
暂无
"
唐鸿重工 XT9***系列 半挂车,唐鸿重工 XT9***系列 半挂车是唐鸿重工生产制造的半挂车。,"
品牌:
唐鸿重工
类别:
半挂车
型号:
XT9***系列
报价:
暂无
"
比亚迪 CPD20 2.0吨平衡重式叉车,CPD20 2.0吨平衡重式叉车采用家族式外型设计，沿袭其简约造型，紧凑而有力，流畅线条的勾勒，打造了一个自然之感，给人以清爽利落，而又动感十足。锂电池经过高强度、高/低温严格测试，可在-40°低温至60°高温情况下保持良好性能，车辆可适应不同温度的作业工况。,"
品牌:
比亚迪
类别:
电动叉车
型号:
CPD20
报价:
暂无
"
合力叉车 特种车辆系列 K2系列3-3.5吨 高压锂电池叉车,"特种车辆系列 K2系列3-3.5吨高压锂电池叉车绿色环保，零排放,低噪音。","
品牌:
合力叉车
类别:
内燃叉车
型号:
特种车辆系列 K2系列3-3.5吨
报价:
暂无
"
龙工 LG750DTG 石材专用叉车,LG750DTG石材专用叉车整车外形沿用龙工叉车统一的脸谱造型，外观新颖、整车线型简洁流畅、赏心悦目；采用国际领先人机工程和CAE技术，加大了操作空间，驾驶员更加舒适，有效提高作业效率和安全；机罩开启角度加大到80°，维修更方便；机罩锁开启轻便灵活，气弹簧自锁功能，保证维护的安全性；水箱盖板气弹簧开启，能保证机罩和水箱盖板同时打开，车体空间一目了然；。,"
品牌:
龙工
类别:
其它种类叉车
型号:
LG750DTG
报价:
暂无
"
杭叉 CBD30-AC1(Z3)S-SU 3吨大包围仓储搬运车,A系列大包围托盘搬运车是杭叉针对仓储物流应用全新开发的新一代产品，采用交流驱动控制技术， 性能先进，操作舒适，安全可靠，使用维护成本低，是仓库、超市、车间内装卸和搬运托盘化货物的理想工具。,"
动力方式:

品牌:
杭叉
类别:
搬运车
型号:
CBD30-AC1(Z3)S-SU
"
杭叉 CDD16-AC1S-J 剪叉式前移式堆垛车,CDD16-AC1S-J剪叉式前移式堆垛车采用交流驱动系统，提供强劲动力；控制更精确，运行更平稳。,"
品牌:
杭叉
类别:
堆垛机
型号:
CDD16-AC1S-J
报价:
暂无
"
东风 车辆运输 半挂车,"车辆运输半挂车产品说明专用车型介绍半挂车：挂车、半挂运输车我公司专业生产工程机械运输半挂车,10米双桥半挂车,12米双桥半挂车,14米高栏板半挂车，并且提供半挂车图片、半挂车价格、半挂车技术参数等。","
品牌:
东风
类别:
半挂车
型号:
车辆运输
报价:
暂无
"
合力叉车 G系列2-3.2吨 小轴距交流蓄电池平衡重式叉车,G系列2-3.2吨小轴距交流蓄电池平衡重式叉车采用三段式驱动桥，整机纵向稳定性提升，转弯半径小，转向方便，机动灵活，起升速度快，爬坡能力强，作业效率高。,"
品牌:
合力叉车
类别:
电动叉车
型号:
G系列2-3.2吨
报价:
暂无
"
柳工 CPC(D)30-38E（NEW） 内燃平衡重式叉车,E系列叉车产品是柳工根据市场的需要，全新研发的新一代内燃平衡重式叉车产品，采用全新的工业设计造型和先进的技术，具有绿色节能、可靠稳定、操控舒适、工况适应性强等特点，是您理想的选择。,"
品牌:
柳工
类别:
内燃叉车
型号:
CPC(D)30-38E（NEW）
报价:
暂无
"
三一重工 SCP130A 叉车,SCP130A叉车智能化程度高，确保安全作业，操作无忧，结合动力匹配和控制技术，动力性能得到极大的优化，选用 VOLVO 、CUMMINS 等世界品牌发动机，质量可靠，动力强劲。,"
品牌:
三一重工
类别:
其它种类叉车
型号:
SCP130A
报价:
暂无
"
合力叉车 2吨 步行式电动搬运车,合力叉车 2吨 步行式电动搬运车是合力叉车生产制造的动力方式为电动步行式电动搬运车。,"
动力方式:
电动
品牌:
合力叉车
类别:
搬运车
型号:
2吨
"
比亚迪 S20 2.0T步行式/站驾式托盘堆垛车,S20 2.0T步行式/站驾式托盘堆垛车维护方便，采用CAN-BUS技术，方便查找并排除故障，多功能仪表可显示电量、小时数、故障维护等，直观方便。,"
品牌:
比亚迪
类别:
堆垛机
型号:
S20
报价:
暂无
"
粤工 SGG9381TJZ集装箱 运输半挂车,粤工 SGG9381TJZ集装箱 运输半挂车是粤工生产制造的运输半挂车。,"
品牌:
粤工
类别:
半挂车
型号:
SGG9381TJZ集装箱
报价:
暂无
"
林德 E16C/E16P/E20P 电动叉车,E16C/E16P/E20P电动叉车创新的林德指尖控制手柄（LLC），控制精确、运作高效。-独特的倾翻式驾驶室设计，方便电瓶更换和叉车保养。-林德数字控制结合48伏双电机驱动，操作灵活性更好，加速性能更高。-独有的门架设计使操作者视野更开阔。-三套独立制动系统与液压转向相结合，使叉车控制更精确。-遍布全国的销售服务网络提供给客户更快捷，迅速的服务。,"
品牌:
林德
类别:
电动叉车
型号:
E16C/E16P/E20P
报价:
暂无
"
龙工 LG15D 内燃叉车,LG15D内燃叉车整车采用先进的人机工程技术设计；以电脑模拟出合理平稳的低重心；起升系统采用宽视野门架；采用大容量水箱。,"
品牌:
龙工
类别:
内燃叉车
型号:
LG15D
报价:
暂无
"
林德 K(1.0-1.5t) 人上行三向窄通道叉车,K0-5t人上行三向窄通道叉车应用工况:-该系列叉车可用于完成高层窄通道立体仓库中的存储，堆码和拣选等工作。,"
品牌:
林德
类别:
其它种类叉车
型号:
K(1.0-1.5t)
报价:
暂无
"
柳工 CLG2S015-WF3 托盘堆垛车,CLG2S015-WF3托盘堆垛车适用超小作业空间的电动堆高车，采用低耗、高可靠的创新设计，长手柄、偏置操作，方便安全。,"
动力方式:

品牌:
柳工
类别:
搬运车
型号:
CLG2S015-WF3
"
龙工 SDD堆垛车 ,SDD堆垛车宽敞的操作平台；防滑版面；良好的稳定性，保障了高空安全操作。,"
品牌:
龙工
类别:
堆垛机
型号:
SDD堆垛车
报价:
暂无
"
湖北合力 运油半挂车30000kg ,湖北合力 运油半挂车30000kg 是湖北合力生产制造的。,"
品牌:
湖北合力
类别:
半挂车
型号:
运油半挂车30000kg
报价:
暂无
"
