名称,介绍,详情
三一重工 SY215E 中型电动挖掘机,SY215E中型电动挖掘机配置国际知名品牌永磁同步电机，低速大扭矩、免维护，具有功率密度高、扭矩密度高、效率高、安全可靠、能耗低等优点。,"
整机工作质量(kg):
22000
额定斗容(m³):
1.1
额定功率(KW/rpm):
150/1800
发动机型号:

"
徐工 XE215E 纯电动液压挖掘机,国际知名品牌电机，汽车级关键电子配件，专家级制造工艺，IP67级电气防护标准，防尘又防水，30余项安全保护措施，关键元件冗余设计，电磁兼容性强，故障率低，安全性高。,"
整机工作质量(kg):
23500
额定斗容(m³):
1.1
额定功率(KW/rpm):
140/2200
发动机型号:

"
山东临工 ER619H EV 电动 挖掘机,E619HEV是山东临工开发的一款纯电动挖掘机，采用锂电池做动力，是一款零污染、零排放的环保型挖掘机。,"
整机工作质量(kg):
2180
额定斗容(m³):
0.04 （0.03-0.06）
额定功率(KW/rpm):
9.2
发动机型号:

"
柳工 9027FE 电动挖掘机,柳工9027FE电动挖掘机，是在柳工全新F系列开发平台基础之上，推出的新一代纯电动挖掘机，整机采用的是负载敏感液压系统，三电系统全新定制开发，整车48V低压系统平台，更安全，在保持卓越操作性、多样化功能的前提下，效率更高、匹配性更强，节能环保性更优、安静舒适、为客户降低运营成本和提升驾驶操作性。,"
整机工作质量(kg):
2750/2680kg（封闭/敞篷）
额定斗容(m³):
0.08
额定功率(KW/rpm):
16.5
发动机型号:

"
力士德 SC210EV 纯电动液压挖掘机,"SC210EV主电机的输出效率高达92.1%以上,满足IE3 (超高效)标准,较传统燃油机的不足40%提高一倍多;电力驱动、液压系统的协同控制,动作更快、力量更强,高效节能;","
整机工作质量(kg):
21500
额定斗容(m³):
0.9
额定功率(KW/rpm):
110/1480
发动机型号:
YVF2-250M-4  /YVF2-315S-4
"
三一重工 SY19E 微型电动挖掘机,"SY19E微型电动挖掘机配置定制的永磁同步电机,具有功率密度高、扭矩密度高、效率高、安全可靠、能能耗底等优点。","
整机工作质量(kg):
1950
额定斗容(m³):
0.04
额定功率(KW/rpm):
10/2000
发动机型号:

"
徐工 XE1350E 液压挖掘机,电动机驱动，比柴油发动机更加低碳节能，无废气排放，零污染，能满足各个国家和地区的环保要求；,"
整机工作质量(kg):
123000
额定斗容(m³):
7-8
额定功率(KW/rpm):
560/1482
发动机型号:

"
山东临工 E660H EV 电动挖掘机,E660HEV是山东临工开发的一款纯电动挖掘机，采用锂电池做动力，是一款零污染、零排放的环保型挖掘机。,"
整机工作质量(kg):
6150
额定斗容(m³):
0.2（0.10-0.3）
额定功率(KW/rpm):
34
发动机型号:

"
沃尔沃 EC55 Electric 电动挖掘机,"沃尔沃很荣幸能通过一系列全电动零排放设备持续为未来绿色生活做出贡献,依托20年深厚的行业积淀，我们推出的电动解决方案将是我们可持续发展之旅中坚实的一步,这些解决方案更符合新排放标准，旨在构筑一个让更多人受益的碳中和未来。","
整机工作质量(kg):
5800
额定斗容(m³):

额定功率(KW/rpm):
42 kW
发动机型号:

"
柳工 9017FE 电动挖掘机,柳工9017FE电动挖掘机，是在柳工新F系列开发平台基础之上，推出的全新一代纯电动挖掘机，整机采用负载敏感液压系统，三电系统全新定制开发在保持卓越操控性、多样化功能设置的前提下，效率更高、匹配性更强，更加的节能环保、安静舒适，为客户降低运营成本和提升驾驶操作性。,"
整机工作质量(kg):
1780
额定斗容(m³):
0.045
额定功率(KW/rpm):
10
发动机型号:

"
雷沃重工 FR215F-E 电动挖掘机,雷沃重工 FR215F-E 电动挖掘机是雷沃重工生产制造的吨位(t)为中挖(13-30吨)中型电动挖掘机，FR215F-E的整机工作质量(kg)为24500。,"
整机工作质量(kg):
24500
额定斗容(m³):
1.1
额定功率(KW/rpm):
150
发动机型号:

"
国机重工常林 323Ev 电动挖掘机,323Ev电动挖掘机采用性能卓越的高可靠驱动电机，提供强大的源动力，通用式液压系统，配件无须等待，维护保养便捷，智能化冷却系统设计，按需提供冷却，节能降噪，彰显人性化，高等级防护，多重安全设计，全面确保人员作业安全。,"
整机工作质量(kg):
23700
额定斗容(m³):
0.9（岩石斗）
额定功率(KW/rpm):
140/1800
发动机型号:

"
力士德 SC485EV 电动挖掘机,SC485EV动挖掘机能效高一倍，排放低至0，无需维护，一机多用，可适用不同工况。,"
整机工作质量(kg):
45800
额定斗容(m³):
2.8
额定功率(KW/rpm):
200/1800
发动机型号:
YVF315L2-4
"
