名称,介绍,详情
徐工 TJ60GⅢ 架桥机,徐工 TJ60GⅢ 架桥机是徐工生产制造的架桥机。,"
品牌:
徐工
类别:
架桥机
型号:
TJ60GⅢ
报价:
暂无
"
大方 DZ42/1000T型 上行式造桥机,大方 DZ42/1000T型 上行式造桥机是大方生产制造的上行式造桥机。,"
品牌:
大方
类别:
造桥机
型号:
DZ42/1000T型
报价:
暂无
"
徐工 TT900轮胎式提梁机 ,TT900轮胎式提梁机TT900轮胎式提梁机将轮胎式液压悬挂驱动技术、大吨位液压起升控制技术及先导比例多路控制技术相结合，采用机电液一体化控制技术。柔性悬挂系统实现了在不同工况下提梁机行走系统自动找平的功能。提梁机共有64个轮胎，悬挂数量为32个，驱动轴/从动轴为8/24，可实现直行、斜行、原地转向等功能。采用四点起吊、三点平衡的作业方式，拥有全景驾驶室。,"
品牌:
徐工
类别:
提梁机
型号:
TT900轮胎式提梁机
报价:
暂无
"
徐工 TY900S(过隧型) 运梁车,TY900S过隧型运梁车“机-电-液-气”相结合的高技术产品。采用静液压闭环驱动、全液压悬挂系统、全液压独立转向以及整车液压升降自动调平。采用工业级微机来控制驱动、转向、升降和调平，同时能够实现直行、斜行、八字转向、半八字转向等多种运行模式。整机运行非常灵活，可实现无滑移或少滑移行驶，可以在较小的场地完成工作任务。,"
品牌:
徐工
类别:
运梁车
型号:
TY900S(过隧型)
报价:
暂无
"
徐工 XZJ5320JQJF4(22米) 桁架式桥梁检测车,XZJ5320JQJF422米桁架式桥梁检测车液压系统：全部采用原装进口国际知名品牌，液压系统效率高，发热低，可在-10℃～40℃环境下正常工作；电气系统：采用整套原装进口智能总线控制系统，实时显示整车各项参数；电气系统故障诊断功能；位置分析和危险操作提示；安全限位与安全互锁；控制系统：每个动作均可在手动及电控间自由切换；上下车互锁功能，绝对保障人员及设备安全；。,"
品牌:
徐工
类别:
检测车
型号:
XZJ5320JQJF4(22米)
报价:
暂无
"
盛华源 铺轨机 ,盛华源 铺轨机 是盛华源生产制造的。,"
品牌:
盛华源
类别:
铺轨机
型号:
铺轨机
报价:
暂无
"
盛华源 移动模架 ,盛华源 移动模架 是盛华源生产制造的。,"
品牌:
盛华源
类别:
移动模架
型号:
移动模架
报价:
暂无
"
盛华源 门式起重机 ,盛华源 门式起重机 是盛华源生产制造的。,"
品牌:
盛华源
类别:
桥梁式门式起重机
型号:
门式起重机
报价:
暂无
"
中交西筑 JL900 架桥机,JL900架桥机JL900架桥机架桥机概述JL900架桥机架桥机是满足高速铁路专线，大吨位预应力混凝土箱梁的施工特点要求而设计制造的，采用前导梁式机型，实现铁路桥梁梁体架设的一种专用设备。主要组成主要由前后吊梁台车、吊梁起升机构、架桥机行走机构。变跨驱动装置、辅助台车、金属结构、前导梁、电气控制系统、液压系统和动力系统等组成。特点。,"
品牌:
中交西筑
类别:
架桥机
型号:
JL900
报价:
暂无
"
华中建机 MZS系列 上行式移动模架造桥机,MZS系列上行式移动模架造桥机MZS系列上行式移动模架造桥机上行式移动模架造桥机主要用于高速铁路、高速公路及城市高架的箱形梁现浇工程，该设备质量好，安全性高，施工方便，与中铁，中水，中建，中交等公司都有合作项目。采用上形式移动模架造桥机能自行完成支腿过孔移位，无须地面其它辅助吊机设备机械化程度高，安全可靠！主梁两侧挑梁顶部设置防雨、防晒顶棚，能保证移动模架造桥机全天侯工作，以提高造桥机总体工作效率，确保总工期的要求。,"
品牌:
华中建机
类别:
造桥机
型号:
MZS系列
报价:
暂无
"
中交西筑 TL900吨 轮胎式提梁机,TL900吨轮胎式提梁机TL900吨轮胎式提梁机轮胎式提梁机概述TL900吨轮胎式提梁机轮胎式提梁机是用于预制梁厂生产区至存梁区、存梁区至提梁上桥区之间预应力混合土箱梁的转运及装车的专用设备。可运送高速铁路客运专线32M、24M、20M混凝土箱梁。行走机构行走机构集行走、悬挂和转向功能于体，共64个轮胎，可实现纵向、横向及斜向行走，也可原地转向。,"
品牌:
中交西筑
类别:
提梁机
型号:
TL900吨
报价:
暂无
"
中交西筑 YL900型 运梁车,YL900型运梁车YL900型运梁车运梁机概述YL900型运梁车运梁车适用于时速350km/h、250km/h客运专线32m、24m、20m混凝土箱梁的转场运输工作，实现从预制混凝土梁场到架梁工地的运输。主要组成主要由驾驶室、动力系统、车架、悬挂、车桥、转向系统、电控系统和移动小车等组成。,"
品牌:
中交西筑
类别:
运梁车
型号:
YL900型
报价:
暂无
"
宇通重装 ZYM5310JQJ40D622HZ 全能款4桥24米检测车,宇通桥梁检测车具备安全、可靠、轻量化等主要特点，致力于成为中国路、桥、隧检测、养护一揽子方案专业供应商。,"
品牌:
宇通重装
类别:
检测车
型号:
ZYM5310JQJ40D622HZ
报价:
暂无
"
盛华源 铺轨道板起重机 ,盛华源 铺轨道板起重机 是盛华源生产制造的。,"
品牌:
盛华源
类别:
铺轨机
型号:
铺轨道板起重机
报价:
暂无
"
华中建机 轮胎式集装箱龙门吊 ,轮胎式集装箱龙门吊轮胎式集装箱龙门吊是大型专业化集装箱堆场的专用机械，装卸标准集装箱。它不仅适用于集装箱码头的堆场，同样也适用于集装箱专用堆场。该机由横梁、门架支腿、小车、大车和起升等部件组成，其中小车运行采用钢丝绳牵引式方式，大车采用驱动桥连接，转向采用电动推杆，转向方便快捷可靠，门架采用A字型门架，支撑稳定可靠，可以承受很大载荷。,"
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
轮胎式集装箱龙门吊
报价:
暂无
"
大方 DF30/70型 架桥机,大方 DF30/70型 架桥机是大方生产制造的架桥机。,"
品牌:
大方
类别:
架桥机
型号:
DF30/70型
报价:
暂无
"
大方 DZ500型 大型薄腹梁渡槽造桥机,DZ500型大型薄腹梁渡槽造桥机采用内、外主梁结构。造桥机内、外模系统分别悬挂在内、外主梁上，结构合理，受力明确。从24m跨渡槽向2×12m跨渡槽施工变换时，只需更换跨中段模板，变换方便。模板的开启与闭合采用全液压系统控制。造桥机外梁采用箱形截面，刚度大，混凝土荷载对外梁所产生的挠跨比≤1／1500。造桥机顶部可设雨棚，可全天候进行现浇施工作业。,"
品牌:
大方
类别:
造桥机
型号:
DZ500型
报价:
暂无
"
盛华源 提梁门机 ,盛华源 提梁门机 是盛华源生产制造的。,"
品牌:
盛华源
类别:
提梁机
型号:
提梁门机
报价:
暂无
"
大方 DJY200型 轮胎式架运梁机,DJY200型轮胎式架运梁机郑州大方桥梁机械有限公司承担了磁悬浮快速列车工程大部分运、架设备的研制工作，相继开发出拥有自主知识产权的200t轮胎式门式起重机，300t轮胎式运梁车和300t运价一体化机等产品。其中第一台200t轮胎式门式起重机于2001年9月27日在郑州完成了多项性能测试，一次试车成功。各项性能指标达到了设计要求。,"
品牌:
大方
类别:
运梁车
型号:
DJY200型
报价:
暂无
"
亚特重工 TZ5317JQJZZF 桥梁检测车,"TZ5317JQJZZF桥梁检测车是采用中国重汽集团济南卡车股份有限公司生产的ZZ1317N466GF1型二类底盘车，对其进行上装改装，整车配有护栏、平台、回转、变幅、伸缩机构和控制系统的专用装置,用于桥梁的检测和维修。","
品牌:
亚特重工
类别:
检测车
型号:
TZ5317JQJZZF
报价:
暂无
"
泰沃 双梁半龙门起重机 ,双梁半龙门起重机双梁半门式起重机与葫芦小车配套使用，是一种有轨运行的小型起重机。适用起重量10-40吨，适用跨度为10-20米。工作环境-20C-+40C内。本产品为一般用途起重机，多用于露天场所及仓库的装卸。本产品有地面操控和室内操纵两种型式，用户可根据需要自由选择。,"
品牌:
泰沃
类别:
桥梁式门式起重机
型号:
双梁半龙门起重机
报价:
暂无
"
盛华源 公铁两用架桥机 ,盛华源 公铁两用架桥机 是盛华源生产制造的。,"
品牌:
盛华源
类别:
架桥机
型号:
公铁两用架桥机
报价:
暂无
"
华中建机 MSS650 下行式移动模架造桥机,MSS650下行式移动模架造桥机MSS下行式移动模架造桥机为满足30m连续箱梁施工而研制，使用在原位现浇的逐孔施工工法而设计制造的桥梁施工设备。该机的特点是主梁刚度大，支撑架安装方便，能适应于各种墩宽及墩厚的墩身。本机采用桥面下支承，利用两组钢箱梁支承模板，通过主梁携带模架及模板整体横移、纵移过孔。,"
品牌:
华中建机
类别:
造桥机
型号:
MSS650
报价:
暂无
"
华中建机 MGhz900t轮胎式提梁机 ,"MGhz900t轮胎式提梁机MGhz900t轮胎式提梁机用于高速铁路、客运专线和城际铁路32m、24m、20m双线单箱单室、单箱双室预应力混凝土箱梁在预制场内的提升、转移以及为运梁车装梁等工作。满足以下使用要求：将20m、24m和32m三种混凝土预制箱梁从预制模板生产台座中吊出,倒运在存梁台座上；。","
品牌:
华中建机
类别:
提梁机
型号:
MGhz900t轮胎式提梁机
报价:
暂无
"
中昇 NICOLA-915T 运梁车,中昇 NICOLA-915T 运梁车是中昇生产制造的运梁车。,"
品牌:
中昇
类别:
运梁车
型号:
NICOLA-915T
报价:
暂无
"
徐工 8米臂架式 桥梁检测车,8米臂架式桥梁检测车双动力系统液压系统部分进口进口原装遥控器比例式操作工作平台液压伺服调平桥下检修状态全程监控工作平台负载实时监控臂架式桥梁检测作业车特点控制阀进口电液比例控制阀，抗污染能力强，反应灵敏，比例性能卓越。,"
品牌:
徐工
类别:
检测车
型号:
8米臂架式
报价:
暂无
"
华中建机 L型龙门吊 ,L型龙门吊MDG系列门式起重机是我公司新设计的产品。在产品设计中，针对工程建设具有作业批量小、单体重量大、电源紧张，场地移动频繁等特点，在设计上力求达到结构简单，拆装方便，操作容易，节能省电之目的。螺栓连接机构，不但牢固可靠，拼装尤为快捷。最小的装机容量，解决了野外施工用电的困难。,"
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
L型龙门吊
报价:
暂无
"
华中建机 HZP系列 节段拼装架桥机,HZP系列节段拼装架桥机HZP系列节段拼装架桥机节段拼装架桥机是由我公司和中铁大桥局集团合作，根据桃花峪黄河大桥预应力混凝土简支梁的特点，研发的整孔箱梁节段架设施工专用设备。该机型结构简单，使用方便，可大幅度提高施工效率。此架桥机主梁采用叠加箱梁结构，刚度大、挠度小。设计合理，主结构采用对称设计原理。此架桥机可以进行双向施工，并可适应桥下喂梁和尾部喂梁两种工况，适应性较强。,"
品牌:
华中建机
类别:
架桥机
型号:
HZP系列
报价:
暂无
"
徐工 TT200轮胎式 提梁机,TT200轮胎式提梁机TT200轮胎式提梁机提梁机将轮胎式液压悬挂驱动技术、大吨位液压起升控制技术及先导比例多路控制技术相结合，采用机电液一体化控制技术。柔性悬挂系统实现了在不同工况下提梁机行走系统自动找平的功能。提梁机共有64个轮胎，悬挂数量为32个，驱动轴/从动轴为8/24，可实现直行、斜行、原地转向等功能。采用四点起吊、三点平衡的作业方式，拥有全景驾驶室。,"
品牌:
徐工
类别:
提梁机
型号:
TT200轮胎式
报价:
暂无
"
同力重工 TLQ102 桥梁运输车,TLQ系列桥梁运输车是一款适用于公路、铁路、城际轻轨等桥梁架设和运输的专用工程设备，采用成熟的非公路用车制造技术，对桥梁运输施工工艺充分研究，在满足承载量的前提下，保证装卸便利、通用性强、驾驶方便安全。,"
品牌:
同力重工
类别:
运梁车
型号:
TLQ102
报价:
暂无
"
泰沃 BMH半龙门 ,BMH半龙门BMH电动葫芦半门式起重机与CD、MD、HC等型号的电动葫芦配套使用，是一种有轨运行的小型起重机。适用起重量2-10吨，适用跨度为10-20米。工作环境-20C-+40C内。本产品为一般用途起重机，多用于露天场所及仓库的装卸。本产品有地面操控和室内操纵两种型式，用户可根据需要自由选择。,"
品牌:
泰沃
类别:
桥梁式门式起重机
型号:
BMH半龙门
报价:
暂无
"
徐工 TJ160G 架桥机,徐工 TJ160G 架桥机是徐工生产制造的架桥机。,"
品牌:
徐工
类别:
架桥机
型号:
TJ160G
报价:
暂无
"
中交西筑 TL450吨 轮轨式提梁机,TL450吨轮轨式提梁机450吨轮轨式提梁机概述450吨提梁机门式起重机两台A型+B型组成一套，主要用于铁路客运专线施工中跨线吊装32米双线箱梁，将900吨运梁车吊装至已架设好的桥面，给已位于桥面的运梁车装梁，在已有桥面拼装架桥机等工作。主要由金属结构、大车行走机构、起重小车、起升机构、电气控制系统等组成。金属结构。,"
品牌:
中交西筑
类别:
提梁机
型号:
TL450吨
报价:
暂无
"
盛华源 运梁车 ,盛华源 运梁车 是盛华源生产制造的。,"
品牌:
盛华源
类别:
运梁车
型号:
运梁车
报价:
暂无
"
恒润高科 HHR5250JQJ08 （16m）型桥梁检测作业车,HHR5250JQJ08（16m）型桥梁检测作业车HHR5250JQJ08（16m）型桥梁检测作业车（16m）型桥梁检测作业车技术特点：HHR5250JQJ08（16m）型桥梁检测作业车桥梁检测车底盘采用国内知名品牌解放CA1253P7K1L7T1E（国III）型号货车底盘。,"
品牌:
恒润高科
类别:
检测车
型号:
HHR5250JQJ08
报价:
暂无
"
华中建机 MH系列电动单梁葫芦龙门吊 ,MH系列电动单梁葫芦龙门吊MH系列电动葫芦单梁龙门吊采用华中建机具有自主的等腰三角形蜂窝梁作为主梁，所用电动葫芦均采用国内优质品牌，电器元件全部进口，兼顾了安全性和使用效率，尤其适合小吨位频繁作业。在设计上力求达到结构简单，拆装方便，操作容易，节能省电的目的。首创蜂窝梁设计，具有自重轻，载荷大，抗风能力强等特点。独特的钢销联接，不但牢固可靠，而且拼装时间短。,"
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
MH系列电动单梁葫芦龙门吊
报价:
暂无
"
大方 DF35/80型 架桥机,大方 DF35/80型 架桥机是大方生产制造的架桥机。,"
品牌:
大方
类别:
架桥机
型号:
DF35/80型
报价:
暂无
"
华中建机 MEhz(450+450)t提梁机 ,MEhz450+450t提梁机MEhz450+450t提梁机用于200～350km/h铁路客运专线制梁厂，24m、32m双线整孔箱梁的提梁、移梁、装车及其它辅助工作。一台门机上布置两台起重小车双起重小车，定点抬吊，单台门吊完成移梁。两台起重小车完全能够满足四点起吊三点平衡的要求，落梁时能够准确定位，可防止梁体抬吊过程中扭曲变形。,"
品牌:
华中建机
类别:
提梁机
型号:
MEhz(450+450)t提梁机
报价:
暂无
"
华中建机 HZY900 运梁车,HZY900运梁车HZY系列运梁车是HZQ系列高速铁路架桥机的配套设备，主要用于将预制梁从梁场运送到架桥现场，并配合架桥机进行架桥作业，也可用于架桥机的托运。该系列运梁车采用液压驱动，操作方便，性能稳定，安全可靠。该运梁车是我公司独立设计制造的，它具有以下特点和优点：。,"
品牌:
华中建机
类别:
运梁车
型号:
HZY900
报价:
暂无
"
石煤机 SMJ5310JQJ18型 检测车,SMJ5310JQJ18型检测车SMJ5310JQJ18桥梁检测车，是一种适用于大、中型桥梁的病害维修和预防性检查作业的专用车辆，主要功能为对桥梁下面各结构进行全面的检查、修理、油漆、喷砂、安装、拆卸，包括对桥梁主梁梁底裂纹检测和全桥支座检查养护，也可以维护和安装桥下管道和电缆。,"
品牌:
石煤机
类别:
检测车
型号:
SMJ5310JQJ18型
报价:
暂无
"
泰沃 MHH杹架单梁龙门 ,MHH杹架单梁龙门MHh型电动葫芦门式起重机与CDMD等型号的电动葫芦配套使用。是一种有轨运行的中小型起重机，其适用起重量3-16吨，适用跨度12-30米，工作环境-20度-+40度内。本产品为一般用途起重机，多用于露天场所及仓库的装卸或抓取物料，本产品有地面操纵和室内操纵两种型式。,"
品牌:
泰沃
类别:
桥梁式门式起重机
型号:
MHH杹架单梁龙门
报价:
暂无
"
