名称,介绍,详情
徐工 XSC1300 车载式深井钻机,多桥转向智能控制、多种转向模式，转动灵活、转弯直径小，油气悬挂，行驶平顺性好、通过能力强，适应泥冲、沙地、雪地、山地等恶劣路况行驶。,"
品牌:
徐工
类别:
冲孔钻机
型号:
XSC1300
报价:
暂无
"
三一重工 SR315-S 旋挖钻机,SR315-S适用于房建、桥梁、市政及场馆等中型桩基础工程，用于土层、卵石、岩石层等多种地质，施工稳定、高效，可选配高甩动力头和低净空模式。,"
最大钻孔直径(m):
2.5
最大钻孔深度(m):
61/95
设备总重量(kg):
112000
发动机额定功率(kW):
310
"
徐工 XZ450F 水平定向钻,一键增力技术，可精准、快捷提升回拖力20%，实现管道起步、意外工况下的超负载施工作业，发动机功率自适应、增加极载控制，油耗节省10%。,"
品牌:
徐工
类别:
水平定向钻
型号:
XZ450F
报价:
暂无
"
上工机械 ZLD330/85-5-M3-S 五轴式连续墙钻孔机,"ZLD系列五轴式连续墙钻孔机是上海工程机械厂有限公司新研制开发的SMW工法施工设备，相较传统的三轴式连续墙钻孔机大大提高了施工效率，具有对周围地层影响小、抗渗性好、施工噪音小、无振动、废土产生量少、无泥浆污染、大壁厚、大深度、适用土质范围广、技术经济指标好等优点。
ZLD系列五轴式连续墙钻孔机钻杆轴设计为五根，较常规三轴工法机，其理论施工效率可提高100%；同样时间内，同样搅拌桩的深度，水泥的用量却仅为三轴的四分之三。","
品牌:
上工机械
类别:
连续墙钻机
型号:
ZLD330/85-5-M3-S
报价:
暂无
"
滨州钻机 BZCDF200DF 车载式反循环动力头钻机,产品主要特点及用途：◎BZCDF200DF车载式反循环动力头钻机是我厂自主创新产品，是一种车载式动力头回转钻机；钻机选用6X4专用钻井车底盘，配置玉柴YC6J180-33水冷四冲程增压中冷柴油发动机，排放标准国四；柴油发电机组、液压系统、电控系统、真空泵、钻塔等均安装在汽车底盘上；。,"
品牌:
滨州钻机
类别:
反循环钻机
型号:
BZCDF200DF
报价:
暂无
"
德国宝峨 GB 50 地下连续墙液压抓斗,德国宝峨 GB 50 地下连续墙液压抓斗是德国宝峨生产制造的地下连续墙液压抓斗。,"
品牌:
德国宝峨
类别:
连续墙抓斗
型号:
GB 50
报价:
暂无
"
上工机械 SMJ-120 履带式钻机,"SMJ-120履带式钻机可适用于MJS工法施工，MJS工法（Metro Jet System），即全方位高压喷射工 法，其原理是利用高压水、高压空气和高压水泥浆三种介质，通过独特的多孔管和前端造成装置,以高压射流切割破 坏周围土体，将硬化材料浆液加压输送、喷射、切削地层、混合、排泥、泥浆收集、泥浆运送一系列工序作为监控对 象，是一种能进行水平、垂直及倾斜和360°全方位地基加固的施工工法。该工法最大特征实现了孔内强制排泥，并 通过调整排泥量来控制地内压力，有效地抑制随喷射搅拌而产生的地基隆起或沉降，大幅度减少对环境的影响。","
品牌:
上工机械
类别:
旋喷钻机
型号:
SMJ-120
报价:
暂无
"
徐工 XMZ90 锚杆钻机,XMZ90锚杆钻机可实现隧道注浆、管棚、径向与侧向锚杆、地表加固等施工。,"
品牌:
徐工
类别:
锚杆钻机
型号:
XMZ90
报价:
暂无
"
上工机械 H1000M 液压打桩锤,"HMT系列液压打桩锤是上海工程机械厂有限公司设计制造的高性能液压打桩锤，主
要性能达到国际先进水平。与筒式柴油打桩锤相比，液压打桩锤具有噪声低、无油
烟、能量传递效率高、每一个工作循环沉桩力持续时间长、打击能量易于控制等特
点。该系列产品用途广泛、可控性高、施工效率高、环保节能和可靠性高，兼具斜
桩等作业方式。","
动力方式:
液压锤
品牌:
上工机械
类别:
打桩锤
型号:
H1000M
"
山河智能 ZYJ860BK 引孔式静力压桩机,ZYJ860BK 引孔式静力压桩机 节能环保设备施工过程简单，成桩质量好，效率高，施工工地环保，成本低。,"
动力方式:

品牌:
山河智能
类别:
压桩机
型号:
ZYJ860BK
"
山河智能 SWDR138 切削钻机,SWDR138切削钻机突破传统纯冲击凿岩的钻孔方式，针对软岩采用高速切削、硬岩采用潜孔冲击的作业方式，提高了设备的地层适应性。该设备上车平台具有回转功能，钻孔速度快，能耗低，尤其适用于煤矿、砂岩等软地质岩层。,"
动力方式:

品牌:
山河智能
类别:
潜孔钻机
型号:
SWDR138
"
上工机械 JB180 全液压步履式打桩架,"JB系列全液压步履式打桩架是公司自主研发的集机、电、液一体化步履式打 桩架，具有完全自主知识产权，并获2009年度上海市高新技术成果转化项目 荣誉证书。
本产品适应各种桩基施工需求，尤其能满足深基础施工中广泛采用的地下 连续墙施工工艺（即SMW工法），亦可悬挂柴油打桩锤、静钻根植工法钻 机等各种基础施工设备，是高架道路、高速公路、桥梁、港口、码头、地 铁车站和高层建筑中桩基础施工的多功能、高稳定性施工设备。","
动力方式:

品牌:
上工机械
类别:
长螺旋钻孔机
型号:
JB180
"
德国宝峨 MC 76 重载循环工程吊车,德国宝峨 MC 76 重载循环工程吊车是德国宝峨生产制造的重载循环工程吊车。,"
品牌:
德国宝峨
类别:
吊机
型号:
MC 76
报价:
暂无
"
德国宝峨 BCS 125 铣槽机系统,德国宝峨 BCS 125 铣槽机系统是德国宝峨生产制造的铣槽机系统。,"
品牌:
德国宝峨
类别:
双轮铣
型号:
BCS 125
报价:
暂无
"
泰信机械 KP500S 液压截桩机,KP500S液压截桩机领先的全液压式截桩设备，填补国内空白，实现高效的桩头破除施工；可与多种工程机械自由联接，真正实现产品的通用性和经济性。简单的操作系统，较少的人员配备，降低施工成本；整体桩头破碎施工，解决粉碎性施工能耗高的问题；全液压式驱动实现桩头施工的低噪音作业；整体设计，实现便捷的运输和施工，提高施工效率；新材料新工艺的应用，提高设备可靠性，降低维护成本。,"
形状:
方桩
品牌:
泰信机械
类别:
截桩机
型号:
KP500S
"
