名称,介绍,详情
达刚控股 液态沥青 运输车,液态沥青运输车沥青罐设有加热系统，配备进口自动点火柴油燃烧器，燃烧质量好、加热速度快、保温效果好，并且无污染；具有沥青自流卸出、泵压卸出、泵吸装罐、原地输送等功能，可满足沥青运输中各种需要；采用独特的导热油系统对沥青泵、阀加热保温；采用液压系统驱动沥青泵和导热油泵，传动可靠，操作方便具有液位全程显示及满位报警系统，便于罐内沥青液面高度的控制。,"
品牌:
达刚控股
类别:
沥青运输设备
型号:
液态沥青
报价:
暂无
"
江苏路通 全套 沥青储罐,江苏路通 全套 沥青储罐是江苏路通生产制造的沥青储罐。,"
品牌:
江苏路通
类别:
沥青储存罐
型号:
全套
报价:
暂无
"
无锡华通 HRS6 系列沥青乳化设备,HRS6系列沥青乳化设备HRS6系列沥青乳化设备型沥青乳化设备，是我公司最新研制的成套沥青乳化生产设备。设备中对乳液和沥青的配比，采用调速泵、流量器、阀门等控制器件，是目前最可靠的配比方法。HRS6系列沥青乳化设备型沥青乳化设备，由乳液掺配及供给系统、沥青贮槽及供给系统、热水供给系统、乳化机、电气控制系统等组成。,"
品牌:
无锡华通
类别:
沥青乳化设备
型号:
HRS6
报价:
暂无
"
达刚控股 AR15型连续式 橡胶沥青改性设备,AR15型连续式橡胶沥青改性设备橡胶沥青改性设备有固定式和移动式两种规格。ARGS15为移动式橡胶沥青改性设备，是为了满足需要经常在不同项目上使用的客户专门设计。是高速公路、桥面、机场及城市主干道建设的理想设备。,"
品牌:
达刚控股
类别:
沥青改性设备
型号:
AR15型连续式
报价:
暂无
"
飞腾 KLR-10 块状沥青融化设备、袋装沥青融化设备,KLR-10块状沥青融化设备、袋装沥青融化设备设备以导热油为载体，通过加热盘管对沥青块进行加热、熔化、升温。该设备具有热效率高、沥青融化速度快、不老化、降低劳动强度、减少污染等特点。设备分为上、下两个箱室。上室为沥青块加热切割室，布置架托沥青块的棱锥型加热管，将沥青大块迅速切割成为小块，落入下室；下室为融化室，布满多层加热盘管，散热面积大，快速将小块沥青加温融化为液态。多个融化室均可独立工作，满足不同生产量需求。,"
品牌:
飞腾
类别:
沥青加热设备
型号:
KLR-10
报价:
暂无
"
达刚控股 LT系列 沥青脱桶设备,"LT系列沥青脱桶设备环保性好：封闭式结构，无污染；节约能源：利用导热油炉排放的废气余热加热脱桶，且全封闭式脱桶，较连续式（开式）节能50%；沥青不挂桶：本设备利用废气直接加热桶壁，沥青脱得十分干净,不会造成沥青挂桶浪费；自动清渣：本设备结构先进，具有内部自动排渣、外部清渣功能，解决了世界技术难题；适应性强：适用进口、国产各种桶型，且沥青桶变形也不会影响生产；。","
品牌:
达刚控股
类别:
沥青脱桶设备
型号:
LT系列
报价:
暂无
"
沧田重工 经济型热煤气 沥青导热油设备,沧田重工 经济型热煤气 沥青导热油设备是沧田重工生产制造的沥青导热油设备。,"
品牌:
沧田重工
类别:
沥青导热油设备
型号:
经济型热煤气
报价:
暂无
"
浙江筑马机械 ZM9400GHY/ZM9300GHY 沥青运输罐,ZM9400GHY/ZM9300GHY沥青运输罐30、45M3保温沥青运输车，保温性能好，承载能力强，经济实用。为防止在特殊的情况下罐内沥青温度下降太多无法放出，在罐体内装有两根L型加温管道，用外部燃烧器给予加温。便于加温和泵送，本车可另外配套独立的燃烧装置和电动沥青泵机组。,"
品牌:
浙江筑马机械
类别:
沥青运输罐
型号:
ZM9400GHY/ZM9300GHY
报价:
暂无
"
飞腾 YSXL-45 燃油、导热油双加温橡胶沥青储存罐,YSXL-45燃油、导热油双加温橡胶沥青储存罐设备相当于将导热油锅炉与生产设备完美的结合为一体。不仅节约了导热油炉运输成本，还节省导热油炉占用场地。设备以两台柴油燃烧器为热源，内置式的燃烧炉体热传递更直接，高温尾气再次利用，大幅减少热损失，通过多排烟管及导热油加热盘管使物料快速升温，热利用率非常高。横向鼠笼式搅拌器设计，搅拌强力无死角，使物料充分均混，提高互溶反应速率，即转动平稳，又拆装维修方便，变频调节搅拌转速。,"
品牌:
飞腾
类别:
沥青生产设备
型号:
YSXL-45
报价:
暂无
"
林泰阁 卧式 浇注式沥青混凝土搅拌保温运输车,采用卧式液压搅拌方式，配备燃油或燃气燃烧器，以保证浇注式沥青混凝土的温度。,"
品牌:
林泰阁
类别:
沥青运输设备
型号:
卧式
报价:
暂无
"
欣融 XLG-4000 沥青储存罐,XLG-4000沥青储存罐功能配置：带燃烧器加热，温度自由掌握；带搅拌器，可根据需要随时进行搅拌；配置发电机，保证电力供应；液压系统驱动搅拌器，保证搅拌动力。可放置在货车上，运输方便可靠。,"
品牌:
欣融
类别:
沥青储存罐
型号:
XLG-4000
报价:
暂无
"
高远圣工 RY06F 乳化沥青生产车间,GYRY06F沥青乳化车间是我公司研制的新一代沥青乳化设备，该设备生产的乳化沥青的沥青含量范围广，质量稳定，能够满足各种施工工艺的要求，已广泛应用在高速公路建设和公路养护工程中。,"
品牌:
高远圣工
类别:
沥青乳化设备
型号:
RY06F
报价:
暂无
"
飞腾 SBS改性沥青设备 ,SBS改性沥青设备1采用整体便移动式结构，具备汽车整体运输条件的优越性2自主研发的加热器和强力搅拌装置，可对沥青和改性剂加热的同时进行搅动、均混，3剪切机采用国际最先进的工艺技术将高速剪切和研磨合为一体，一次剪切和研磨之后物料最小粒度可达2-5μm，选用高强度为材质的定子、转子，具有良好的耐磨性、耐腐性，可保持极小的稳定间隙，确保了稳定性和耐用性。,"
品牌:
飞腾
类别:
沥青改性设备
型号:
SBS改性沥青设备
报价:
暂无
"
无锡华通 QX 系列沥青加热设备,无锡华通 QX 系列沥青加热设备是无锡华通生产制造的系列沥青加热设备。,"
品牌:
无锡华通
类别:
沥青加热设备
型号:
QX
报价:
暂无
"
飞腾 YDST-10 沥青脱桶设备,YDST-10沥青脱桶设备本设备采用自动弹簧门密闭箱体结构，装桶方式为航吊吊装上桶，液压推进器顶推滑动进桶，以设备自带柴油燃烧器为供热源。,"
品牌:
飞腾
类别:
沥青脱桶设备
型号:
YDST-10
报价:
暂无
"
无锡泰特 导热油加热沥青设备 ,无锡泰特 导热油加热沥青设备 是无锡泰特生产制造的。,"
品牌:
无锡泰特
类别:
沥青导热油设备
型号:
导热油加热沥青设备
报价:
暂无
"
飞腾 CYZL-10 车载型沥青罐,CYZL-10车载型沥青罐本产品针对沥青撒布车和碎石同步封层车远离沥青库施工时，因自身沥青载量小，频繁远距离往返沥青库而耽误施工进度的情况设计的沥青供给车。沥青泵吞吐速度快加温能力强（可在运输途中加热），温度自动控制。强力搅拌机组，有效防止改性剂离析。,"
品牌:
飞腾
类别:
沥青运输罐
型号:
CYZL-10
报价:
暂无
"
宜迅 YX-5T 双滚筒沥青搅拌设备,"1、 将间歇式烘干滚筒和搅拌滚筒整体设计在一移动底盘上，便于整体移场，安装快捷、方便，节约成本。

　　2、正转烘干或搅拌，反转出料，中部引风除尘，结构简单紧凑，易于生产操作。

　　3、采用PLC可编程集中控制，触摸屏操作，自动手动切换自如。

　　4、沥青采用容积式计量，由沥青齿轮泵强力喷洒进行混合搅拌，拌合料均匀性好。

　　5、燃煤燃油两用型燃烧炉，可根据用户需要选择。","
品牌:
宜迅
类别:
沥青生产设备
型号:
YX-5T
报价:
暂无
"
美通筑机 LMT9450GLB 沥青运输罐,LMT9450GLB沥青运输罐LMT9450GLB沥青运输罐系列沥青保温运输车是我公司根据公路施工中沥青运输量大的要求，并借鉴同类产品的基础上自行研制开发的高新产品。采用独特的保温结构和高效保温材料的沥青运输罐，并配有双大功率燃烧器，能对各种沥青进行长距离，大容量的运输工作；整机全部工作装置如沥青泵，完全采用液压系统驱动，性能安全，可靠。整车操作方便，作业速度快，科技含量高，是理想的沥青运输工具。,"
品牌:
美通筑机
类别:
沥青运输设备
型号:
LMT9450GLB
报价:
暂无
"
无锡泰特 乳化沥青设备 ,无锡泰特 乳化沥青设备 是无锡泰特生产制造的。,"
品牌:
无锡泰特
类别:
沥青储存罐
型号:
乳化沥青设备
报价:
暂无
"
达刚控股 橡胶 沥青改性设备,橡胶沥青改性设备结构简单，操作方便，运行可靠；计量准确：选用TOLEDO称重传感器对基质沥青精确计量，系统精度可达0.5％以上；工艺先进：首先对基质沥青和改性剂进行强制混合、搅拌，同时加入添加剂以加速反应，最后使用高速剪切机进行剪切，既保证了产品质量又提高了生产率；字典-查看字典详细内容形容词stationary。,"
品牌:
达刚控股
类别:
沥青乳化设备
型号:
橡胶
报价:
暂无
"
无锡华通 GLS-6T-8T GLS-（6T-8T）沥青改性设备,无锡华通 GLS-6T-8T GLS-（6T-8T）沥青改性设备是无锡华通生产制造的GLS-（6T-8T）沥青改性设备。,"
品牌:
无锡华通
类别:
沥青改性设备
型号:
GLS-6T-8T
报价:
暂无
"
无锡雪桃 QX 系列热油加热沥青设备,导热油加热沥青设备简介QX载热体加热系统是一种新颖的沥青加热设备，适用于公路、港口、码头、机场跑道、沥青厂、沥青中转站等单位加热沥青使用。,"
品牌:
无锡雪桃
类别:
沥青加热设备
型号:
QX
报价:
暂无
"
无锡华通 DLT-5000 沥青脱筒设备,无锡华通 DLT-5000 沥青脱筒设备是无锡华通生产制造的沥青脱筒设备。,"
品牌:
无锡华通
类别:
沥青脱桶设备
型号:
DLT-5000
报价:
暂无
"
恒云科技 DJY-15 移动式导热油加热沥青设备,DJY-15移动式导热油加热沥青设备DJY系列移动式导热油加热沥青设备主要适用于公路和城市道路的路面养护，满足流动性工程单位的需要，该设备的配套部件全部集于底盘或大梁上，结构紧凑、移动方便，具有沥青加热脱水及掺配功能，可选用燃油或燃煤炉。,"
品牌:
恒云科技
类别:
沥青导热油设备
型号:
DJY-15
报价:
暂无
"
飞腾 CYZL-20 车载型沥青罐,CYZL-20车载型沥青罐本产品针对沥青撒布车和碎石同步封层车远离沥青库施工时，因自身沥青载量小，频繁远距离往返沥青库而耽误施工进度的情况设计的沥青供给车。沥青泵吞吐速度快加温能力强（可在运输途中加热），温度自动控制。强力搅拌机组，有效防止改性剂离析。,"
品牌:
飞腾
类别:
沥青运输罐
型号:
CYZL-20
报价:
暂无
"
鑫衢 XQCS型 彩色沥青生产机组,XQCS型彩色沥青生产机组XQCS型彩色沥青生产机组彩色沥青生产机组是本厂与大学合作的技术、研制开发的一种全新概念的多功能改性沥青的装置，该装置借助一种特殊的添加剂使彩色沥青生产工艺流程大大减化。新型改性沥青设备具有造价低廉、运输安装方便、操作维修简单、生产成本降低，产品质量优良的特点。用户只用常规设备20%左右的投资就可以拥有同等规模产量的新型设备，其简单的操作程序，使具有初中以上文化程度的人员，通过简单的培训就可以熟练操作。,"
品牌:
鑫衢
类别:
沥青生产设备
型号:
XQCS型
报价:
暂无
"
达刚控股 DGL9350GLY25 半挂式液态沥青运输车,DGL9350GLY25半挂式液态沥青运输车沥青罐设有加热系统，配备进口自动点火柴油燃烧器，燃烧质量好、加热速度快、保温效果好，并且无污染；。,"
品牌:
达刚控股
类别:
沥青运输设备
型号:
DGL9350GLY25
报价:
暂无
"
飞腾 燃油自动双加温橡胶沥青、改性沥青储存罐 ,燃油自动双加温橡胶沥青、改性沥青储存罐YSZL系列燃油自动双加温橡胶沥青储存罐是我公司为适应国家对环保要求越来越高的现状及为降低劳动强度和提高文明生产程度，结合多年来在沥青加温领域积累的丰富经验，精心设计的一款节能环保的高自动性能产品。产品特点：。,"
品牌:
飞腾
类别:
沥青储存罐
型号:
燃油自动双加温橡胶沥青、改性沥青储存罐
报价:
暂无
"
江苏路通 LR-6 乳化沥青设备,LR-6乳化沥青设备HRS系列沥青乳化设备、具有设计先进、结构合理、占地小，油水控制精度高，工艺先进，成品乳液均匀稳定等特点，目前，该产品广泛应用于公路、市政工程建设中。,"
品牌:
江苏路通
类别:
沥青乳化设备
型号:
LR-6
报价:
暂无
"
达刚控股 AR-12型 橡胶沥青改性设备,AR-12型橡胶沥青改性设备橡胶沥青改性设备有固定式和移动式两种规格。AR-12为固定式橡胶沥青改性设备，适合用于市政道路及相对固定不需要经常更换的项目。,"
品牌:
达刚控股
类别:
沥青改性设备
型号:
AR-12型
报价:
暂无
"
辽筑 沥青 保温旋塞阀,系列沥青保温旋塞阀1．结构与用途本沥青保温阀采用锥度为1：8的旋塞式阀芯结构。锥形轴孔配合严密，加之使用间隙调整装置，阀的开通和截止果断灵活。出入通道法兰连接式结构，克服了螺纹联接因高温变形沥青泄漏的弊端。阀体侧边设置夹层，导热油在此停留和通过，保证了阀内及附近沥青的流动性。,"
品牌:
辽筑
类别:
沥青加热设备
型号:
沥青
报价:
暂无
"
无锡雪桃 桶装 沥青脱桶熔化设备,无锡雪桃 桶装 沥青脱桶熔化设备是无锡雪桃生产制造的沥青脱桶熔化设备。,"
品牌:
无锡雪桃
类别:
沥青脱桶设备
型号:
桶装
报价:
暂无
"
鑫衢 沥青导热油设备 ,沥青导热油设备导热油强制循环加热方式，低压高温，安全卫生。采用技术“局部取出沥青装置”，能从大型油罐中快速取出高温沥青，无需对储存罐整体加热。配置产品“立式沥青加温装置”，可连续生产高温沥青，班产量400吨以上。采取“超低液位取油”技术，可取尽罐底沥青。全方位保温，保证降温小于1℃/小时外界温度大于20℃。微机管理系统，实现了仓储，计量，设备监控自动化。,"
品牌:
鑫衢
类别:
沥青导热油设备
型号:
沥青导热油设备
报价:
暂无
"
徐工 XFP30 温拌泡沫沥青生产设备,　　XFP30型温拌泡沫沥青生产设备是徐工在充分研究国外同行业先进技术的基础上，结合间歇式沥青拌和站的结构和性能特点，与国内知名高校联合研发的具有自主知识产权的国产化设备，该设备具有卓越的环保、节能效果，如减少有害气体排放约40%、减少沥青烟排放约90%、节约能源约30%等，在城市道路、长大隧道、低温季节及薄层罩面等施工工程中具有显著优势。,"
品牌:
徐工
类别:
沥青生产设备
型号:
XFP30
报价:
暂无
"
林泰阁 直立式 浇注式沥青混凝土搅拌保温运输车,采用直立式搅拌方式，具有燃油或燃气燃烧器，以保持浇注式沥青混凝土的温度。,"
品牌:
林泰阁
类别:
沥青运输设备
型号:
直立式
报价:
暂无
"
玛连尼 EMULPACK 集装箱式存储罐,当要求更好的施工工艺时，生产乳化沥青能科学地满足。通过特殊的集装箱式设计和即插即用的功能，乳化沥青设备EMULPACK能够应对对高质量的混合料要求，对最佳生产成本的要求，对环保的要求。根据要求也能提供其他解决方案。,"
品牌:
玛连尼
类别:
沥青储存罐
型号:
EMULPACK
报价:
暂无
"
新友 XYRH2/6型 乳化沥青生产车间,XYRH2/6型乳化沥青生产车间该设备设计方案合理可靠，设备运行稳定，具有技术独创性；集装箱式结构，可方便转场移动。该设备采用自动控制，双乳水罐自动供水，自动交替供料、配料，实现连续生产。节省人力，降低工人劳动强度，具有节约能源，减少环境污染，使用方便等优越性能。,"
品牌:
新友
类别:
沥青乳化设备
型号:
XYRH2/6型
报价:
暂无
"
美通筑机 ARG20 橡胶改性二合一沥青设备,ARG20橡胶改性二合一沥青设备采用先进的计量控制系统：沥青计量采用流量计计量，变频泵速控制；橡胶屑/改性剂添加采用失重秤计量，螺旋变调速供料。,"
品牌:
美通筑机
类别:
沥青改性设备
型号:
ARG20
报价:
暂无
"
飞腾 KLR-8 块状沥青融化设备、袋装沥青融化设备,KLR-8块状沥青融化设备、袋装沥青融化设备设备以导热油为载体，通过加热盘管对沥青块进行加热、熔化、升温。该设备具有热效率高、沥青融化速度快、不老化、降低劳动强度、减少污染等特点。设备分为上、下两个箱室。上室为沥青块加热切割室，布置架托沥青块的棱锥型加热管，将沥青大块迅速切割成为小块，落入下室；下室为融化室，布满多层加热盘管，散热面积大，快速将小块沥青加温融化为液态。多个融化室均可独立工作，满足不同生产量需求。,"
品牌:
飞腾
类别:
沥青加热设备
型号:
KLR-8
报价:
暂无
"
江苏路通 DTL系列 沥青脱筒设备,江苏路通 DTL系列 沥青脱筒设备是江苏路通生产制造的沥青脱筒设备。,"
品牌:
江苏路通
类别:
沥青脱桶设备
型号:
DTL系列
报价:
暂无
"
路虹 成套 导热油加热沥青设备,路虹 成套 导热油加热沥青设备是路虹生产制造的导热油加热沥青设备。,"
品牌:
路虹
类别:
沥青导热油设备
型号:
成套
报价:
暂无
"
