名称,介绍,详情
徐工 DG34G1 登高平台消防车,徐工 DG34G1 登高平台消防车是徐工生产制造的登高平台消防车。,"
品牌:
徐工
类别:
消防车
型号:
DG34G1
报价:
暂无
"
中联重科 ZLJ5291JXFJP16 举高喷射消防车,ZLJ5291JXFJP16举高喷射消防车ZLJ5291JXFJP16举高喷射消防车型举高喷射消防车是我公司利用自身技术优势，综合应用新技术、新工艺、新材料自主研发的新型主战消防车。该车选用中国重汽斯达-斯太尔ZZ1256M4646C型类底盘，装备美国大力公司生产的PSP1500型车用消防泵，整车外形美观、设计科学、匹配合理。,"
品牌:
中联重科
类别:
消防车
型号:
ZLJ5291JXFJP16
报价:
暂无
"
三一重工 SYM5341JXFDG55 55米登高平台消防车,登高平台消防车分为多功能类，常规类、紧凑类。产品广泛适用于城镇、矿山、油田及工厂等中高层建筑灭火和救援，是扑灭中高层建筑火灾，救援遇险人员，抢救财产的首选装备。,"
品牌:
三一重工
类别:
消防车
型号:
SYM5341JXFDG55
报价:
暂无
"
江麓 SXD13 履带式森林消防车,SXD13履带式森林消防车是一种新型森林消防车，可运载5.3吨水，具有车体窄、越障能力强和远程输水等特点，能够在树木丛生的高山和丘陵地区实施森林灭火。其中车载远程输水系统，最大输水距离3000米，最大扬程200米，可实现接力式远距离输水，为火场源源不断的提供水源。该车辆技术填补了国内空白。,"
品牌:
江麓
类别:
消防车
型号:
SXD13
报价:
暂无
"
宜迅 电动小四轮 消防车,宜迅 电动小四轮 消防车是宜迅生产制造的消防车。,"
品牌:
宜迅
类别:
消防车
型号:
电动小四轮
报价:
暂无
"
中联重科 ZLJ5190JXFJP25 举高喷射消防车,ZLJ5190JXFJP25举高喷射消防车ZLJ5190JXFJP25举高喷射消防车举高喷射消防车是扑救各类火灾，尤其是高层建筑火灾的重要消防装备。它具有强大的灭火能力，车辆配置有出口压力25Mpa、每分钟3600升的流量的水泵和每分钟3600升的水炮，可以向外提供压力水，也可以接受其他消防车提供的压力水进行高喷作业。该车带有独立的水路系统，包括水罐、泡沫罐、水泵、水炮、水罐、阀件、仪表及控制电路。消防车特点：。,"
品牌:
中联重科
类别:
消防车
型号:
ZLJ5190JXFJP25
报价:
暂无
"
徐工 DG88C1 登高平台消防车,DG88C1登高平台消防车的开发目标即定位于集高空救人、消防灭火、抢险救援，它集高空灭火、救人、抢险功能于一身，其技术安全性高、机动性良好、安全作业范围大、消防、越障救援能力及综合救援能力强大，是大、中城市保证高层居住人群生命安全、减少灾难损失的必要装备。,"
品牌:
徐工
类别:
消防车
型号:
DG88C1
报价:
暂无
"
三一重工 SYM5410JXFJP48 48米举高喷射消防车,"48m大跨度举高喷射消防车，与北京消防总队联合开发，填补了行业空白，可有效用于大跨空间建筑（如大型城市综合体、机场高铁候机(车)厅、仓库厂房、文体场馆及石化储罐等）火灾事故处置。

整车具备水平跨度大，跨障能力强，精准灭火；任意支撑技术，支腿支撑占地小；臂架水炮联动操作；实时火场视频监控；50米有线遥控及150米无线遥控；180千克负重救援；高层供水等功能。","
品牌:
三一重工
类别:
消防车
型号:
SYM5410JXFJP48
报价:
暂无
"
江麓 CF-16 履带式草原消防车,CF-16履带式草原消防车是根据草原火灾特点开发的特种消防车辆，水箱载水3.1吨。该车采用机械碾压和拖扫方式扑灭草原火灾，前置液压挡火机构，车体底面安装浮动压火装置，车辆后方安装柔性钢丝灭火拖把，整车还配置了高压细水雾降温装置，经挡火、压火、拖碾能一次性彻底扑灭草原明火，具有速度快，效果好，不污染草原，不破坏牧草根系等优点。,"
品牌:
江麓
类别:
消防车
型号:
CF-16
报价:
暂无
"
宜迅 电动四轮 消防车,宜迅 电动四轮 消防车是宜迅生产制造的消防车。,"
品牌:
宜迅
类别:
消防车
型号:
电动四轮
报价:
暂无
"
