名称,介绍,详情
泉工 ZN900C 建筑垃圾尾矿钢渣制砖机移动式,ZN900C建筑垃圾尾矿钢渣制砖机移动式卓越的转场性能该机型结构紧凑，占地面积小，安装快捷简便；依照工程机械轮式设计，可直接连接置于卡车上，普通公路移动速度可达40km/h。快速投产，经济效益高不用考虑传统制砖基础建设、厂房建设；极大的缩短了前期规划时间，可直接根据城市固废工地进行转场，放置在工地即可，经济效益高。,"
品牌:
泉工
类别:
砖机
型号:
ZN900C
报价:
暂无
"
泉工 ZN1000C 全自动路面彩色透水砖制砖机设备,ZN1000C全自动路面彩色透水砖制砖机设备高效振动:改良结合德国透水砖设备先进的振动技术。强制布料:采用德国SEW布料电机控制搅拌轴和布料框。变频控制:采用德国先进变频技术及变频控制系统。全自动控制：采用德国先进自动化的控制技术和智能交互系统可视化操作系统。高效液压：液压泵和液压阀采用国际品牌。,"
品牌:
泉工
类别:
砖机
型号:
ZN1000C
报价:
暂无
"
中材建科 QTY3000型 多功能彩色液压彩砖机,QTY3000型多功能彩色液压彩砖机实现数块制品一次成型，降低电力和人工费用;送料器自动送料，实现送料、压制自动化;整体出模，实现集中搬运码垛，提高生产效率;任意更换模具，实现一机多样化;四柱导向，加长型导向套，结构坚固耐用;该机升级为可压制大型路沿石、空心砌块;强制式模具同步机构，脱模平稳，成品率高。,"
品牌:
中材建科
类别:
砖机
型号:
QTY3000型
报价:
暂无
"
国发 JKB JKR全钢系列节能紧凑型真空挤出机 ,JKBJKR全钢系列节能紧凑型真空挤出机本系列节能真空挤砖机是生产实心砖时主要的成型设备。主机变速箱齿轮特别采用合金耐磨材料一次成型铸造，有效延长使用寿命。它把上下两部分密封地串联在一起，被第一次上级搅拌挤出碎的泥料，进入真空室并在真空室中被抽取泥料中的空气后再次被下级螺旋挤出而成为表面光滑且密实的泥条。,"
品牌:
国发
类别:
砖机
型号:
JKB JKR全钢系列节能紧凑型真空挤出机
报价:
暂无
"
群峰机械 移动式建筑垃圾制砖生产线 ,移动式建筑垃圾制砖生产线移动式建筑垃圾制砖生产线移动式建筑垃圾制砖生产线能满足大规模建筑垃圾资源化处理和利用的需要，让建筑垃圾变废为宝，它减少了运输成本，减少了对天然砂石的开采，减少了对环境的次污染，保护了自然资源及人类的生存环境。实现了建筑垃圾资源化、减量化、无害化的处理。产品。,"
品牌:
群峰机械
类别:
砖机
型号:
移动式建筑垃圾制砖生产线
报价:
暂无
"
协兴 XQY2000液压机 ,XQY2000液压机XQY2000_液压机产品技术特点：在广泛征询国内用户需求、吸收国内外同类机型优点的基础上，针对中国国情特别开发的机型。设备以人工操作为主，价格便宜，占地面积小、投资少，见效快。采用4柱4工位、大工作台面设计方案，结构简练可靠，使用维护简便，生产效率高，劳动强度低，工人当天接受培训即可投入生产。,"
品牌:
协兴
类别:
砖机
型号:
XQY2000液压机
报价:
暂无
"
恒兴机械 HZY-1500混凝土液压成型机 砖机,HZY-1500混凝土液压成型机砖机HZY-1500混凝土液压成型机砖机产品说明：HZY-1500液压砖机该机以液压为主，成型快，耗电省，制品结构均匀强度好，无污染，噪声小，无需浇灌地基，投资少，见效快，适合生产彩色路面砖，路侧砖等最大成型规格500x500mm。是一套利国利民的环保经济型液压制砖机。,"
品牌:
恒兴机械
类别:
砖机
型号:
HZY-1500混凝土液压成型机
报价:
暂无
"
益鑫 QT12-15全自动混凝土砌块成型机 砖机,"QT12-15全自动混凝土砌块成型机砖机采用德国砌块机先进技术，厚重沉稳，重量超出国内同产量机型重量的30%,吸震效果显著。采用电脑控制系统，液晶触摸屏调整参数，配备数据输入、输出装置，实现人机对话。电脑控制系统具备自锁功能，上一个动作不到位，下一个动作无法执行，避免了误动作的产生，以免对机台造成损害。并可通过电话线实现远程故障诊断。机体采用厚壁方管，超长导套，保证机体牢固耐震，压头运动精确。","
品牌:
益鑫
类别:
砖机
型号:
QT12-15全自动混凝土砌块成型机
报价:
暂无
"
贝赛尔 Servolong1500 混凝土混凝土制品及固废处置全自动生产线,贝赛尔SERVOLONG1000移动式全自动生产线，具有投资小、安装便捷易转场、自动化程度高等特点，极其适合固体废弃物处理、建筑垃圾资源化现场处理、大型水利工程现场产品制造等行业。该设备所生产的制品品质高、种类齐全、可完全满足施工现场及固定现场的制品需求。,"
品牌:
贝赛尔
类别:
砖机
型号:
Servolong1500
报价:
暂无
"
宏盛 HS6-20型全自动心砌块成型机 砖机,宏盛 HS6-20型全自动心砌块成型机 砖机是宏盛生产制造的砖机。,"
品牌:
宏盛
类别:
砖机
型号:
HS6-20型全自动心砌块成型机
报价:
暂无
"
