名称,介绍,详情
三一重工 SY5190THB 25E 混凝输送土泵车,SY5190THB25E1．四节M型臂架，展开速度快，灵巧便捷2．H型支腿，适合狭窄工作场地施工3．三一自制底盘，高性价比，低维护成本4．泵送排量达100m3/h，无级调节，满足各种工况需求5．计算机节能控制，自动实现功率匹配，平均节能20%6．泵送系统柔性安装，减少对底架的冲击和砼活塞的磨损7．新型控制系统，足不出户，程序远程自动免费升级。,"
臂架长度:
36米以下
汽车底盘:
其他
驱动方式:

品牌:
三一重工
"
徐工 HBT60 型系列拖式混凝土泵,徐工 HBT60 型系列拖式混凝土泵是徐工生产制造的动力形式为电动泵型系列拖式混凝土泵。,"
动力形式:
电动泵
分配阀:
S阀
最大输送量:
60
品牌:
徐工
"
中联重科 ZLJ5162THB（双动力） 混凝土车载泵,ZLJ5162THB（双动力）混凝土车载泵可以灵活选择柴油或者电力作为能源，既可以连接外接电源采用上装电机进行泵送作业，又可以使用底盘柴油机进行泵送作业，最大限度的降低能耗和使用成本。双动力车载泵技术为中联独创，并在获得授权。,"
产量（方/小时）:
90方/小时
压力（Mpa）:
14Mpa
动力方式:

品牌:
中联重科
"
三一重工 HZS90 混凝土搅拌站,HZS90混凝土搅拌站系统智能化，操作简单化，界面人性化；结构模块化，设计个性化；运输方便、安装快捷；搅拌主机性能卓越、低耗高效、清洗彻底；独创故障自诊断和GPRS远程专家诊断功能；整体包装、绿色环保、美观大方、隔音隔热效果显著；技术精湛、工艺考究、制作精良、安装专业；率先将最新的CAN总线技术应用于混凝土搅拌行业，系统可靠性大幅提高；。,"
站形式:
商混站
产量(方/小时):
100-150
品牌:
三一重工
类别:
混凝土搅拌站
"
中联重科 KMA1000 轻型干混砂浆生产线,全面采用德国m-tec技术和产品，可根据客户既有厂房设计。主材筒仓数量可多达12个，添加剂筒仓数量可达16个，单主机或多主机设计。满足多品种砂浆的高效生产要求。配置全自动包装和码垛系统。,"
品牌:
中联重科
类别:
干混砂浆搅拌站
型号:
KMA1000
报价:
暂无
"
三一重工 SY5250GJB3A 10方/欧Ⅲ(日野或康明斯发动机)搅拌车,三一重工 SY5250GJB3A 10方/欧Ⅲ(日野或康明斯发动机)搅拌车是三一重工生产制造的装载容量为10方/欧Ⅲ(日野或康明斯发动机)搅拌车。,"
装载容量:

底盘:
其他
驱动方式:

品牌:
三一重工
"
中联重科 ZLJ5253GFLEE 干混砂浆运输车,干混砂浆运输车主要用于散装砂浆的运输，全封闭运输，整个物流过程清洁、环保、高效。,"
品牌:
中联重科
类别:
干混砂浆运输车
型号:
ZLJ5253GFLEE
报价:
暂无
"
宜迅 S840 混凝土激光整平机,宜迅 S840 混凝土激光整平机是宜迅生产制造的动力方式为混凝土激光整平机。,"
动力方式:

品牌:
宜迅
类别:
混凝土激光整平机
型号:
S840
"
中联重科 HGS42A-5RZ 船用布料机,HGS42A-5RZ船用布料机高可靠性臂架布料杆臂架利用中联于CIFA成熟的泵车臂架设计制造平台，通过有限元分析，模态分析、动力学仿真分析计算和样机疲劳试验，以精准的数据支持为基础，优化臂架结构；通过强大的试验及工业考核手段，保证和验证了设计和计算的精准到位。材料选用优质高强度钢板，与泵车臂架生产采用了同等等级的焊接制造工艺，质量优异可靠。,"
回转方式:
电动
臂架长度:
21-30米
品牌:
中联重科
类别:
布料杆
"
建研 LXH5240THB 布料车,LXH5240THB布料车LXH5240THB布料车混凝土布料车是我公司在多年来专业生产布料杆的基础上，根据众多施工单位反馈的布料杆使用需求，近年来推出的一种新型的布料设备。,"
品牌:
建研
类别:
布料车
型号:
LXH5240THB
报价:
暂无
"
