名称,图片链接,超链接
达刚控股 DGL5093GLQ-045 沥青洒布车,https://img.lmjx.net/zjupload/201705/29/20170523101016_68996.jpg!605x375.jpg,https://zj.lmjx.net/liqingsabuche/dagang/dgl5093glq045.2/
三一重工 SCM2000C-8S 2米铣刨机,https://zj-static.lmjx.net/upload/202108/24/1200w800h1629775933832231.jpg!605x375.jpg,https://zj.lmjx.net/xibaoji/sany/scm2000c8s/
达刚控股 DGL5310TFC-X105 微表处稀浆封层车,https://img.lmjx.net/zjupload/201812/67/20181224173509_54884.png!605x375.jpg,https://zj.lmjx.net/xijiangfengcengche/dagang/dgl5310tfcx105/
达刚控股 DGL5310TFC-T426 沥青碎石同步封层车,https://zj-static.lmjx.net/upload/202008/05/1200w800h1596623489307158.jpg!605x375.jpg,https://zj.lmjx.net/tongbufengcengche/dagang/dgl5310tfct426/
英达 PM500 热再生养护车,https://zj-static.lmjx.net/upload/202002/17/1200w800h1581908704150921.jpg!605x375.jpg,https://zj.lmjx.net/yanghucheqiangxiuche/freetech/pm500/
美通筑机 LMT5046GLQZ 【国六】智能型沥青洒布车,https://zj-static.lmjx.net/upload/202108/19/1080w720h1629360509950635.jpg!605x375.jpg,https://zj.lmjx.net/liqingsabuche/metong/lmt5046glqz/
维特根 W 50 HRi 国四冷铣刨机,https://zj-static.lmjx.net/upload/202212/05/1200w800h1670237997700630.jpg!605x375.jpg,https://zj.lmjx.net/xibaoji/wirtgen/w50hri/
美通筑机 LMT5316TFCX-H 【国六】微表处稀浆封层车,https://zj-static.lmjx.net/upload/202301/07/1023w681h1673087492360588.jpg!605x375.jpg,https://zj.lmjx.net/xijiangfengcengche/metong/lmt5316tfcxh/
美通筑机 LMT5316TFCTP-S 【国六】沥青碎石同步封层车,https://zj-static.lmjx.net/upload/202201/07/1200w900h1641554016557639.jpg!605x375.jpg,https://zj.lmjx.net/tongbufengcengche/metong/lmt5316tfctph1/
达刚控股 DGL5163TYH-054（国IV） 沥青路面养护车,https://img.lmjx.net/zjupload/201812/28/20181224173953_26353.png!605x375.jpg,https://zj.lmjx.net/yanghucheqiangxiuche/dagang/dgl5163tyh054iv/
高远圣工 HGY5111GLQD6 沥青洒布车,https://zj-static.lmjx.net/upload/202301/30/615w384h1675047782590350.png!605x375.jpg,https://zj.lmjx.net/liqingsabuche/gaoyuan/hgy5111glqd6/
卡特彼勒 PM102 轮式冷铣刨机,https://img.lmjx.net/zjupload/201612/88/20161202105019_84017.jpg!605x375.jpg,https://zj.lmjx.net/xibaoji/caterpillar/pm102.1/
高远圣工 HGY5313TFCST 智能加粘加纤稀浆封层车,https://zj-static.lmjx.net/upload/202301/30/1012w675h1675046516975358.jpg!605x375.jpg,https://zj.lmjx.net/xijiangfengcengche/gaoyuan/hgy5313tfcst/
高远圣工 HGY5317TFCS6 黄金甲纤维同步碎石封层车,https://zj-static.lmjx.net/upload/202301/30/1012w675h1675043775565179.jpg!605x375.jpg,https://zj.lmjx.net/tongbufengcengche/gaoyuan/hgy5317tfcst.5/
高远圣工 HGY5130TYH 路面养护车,https://zj-static.lmjx.net/upload/202301/30/1200w675h1675050198691114.jpg!605x375.jpg,https://zj.lmjx.net/yanghucheqiangxiuche/gaoyuan/hgy5130tyh1/
徐工 XLS1205 沥青洒布车,https://zj-static.lmjx.net/upload/202303/06/1000w667h1678092751459541.jpg!605x375.jpg,https://zj.lmjx.net/liqingsabuche/xcmg/xls1205/
高远圣工 手扶式铣刨机 ,https://zj-static.lmjx.net/upload/201906/26/300w201h1561544302867437.jpg!605x375.jpg,https://zj.lmjx.net/xibaoji/gaoyuan/sfsxbj/
徐工 XF1005 稀浆封层车,https://zj-static.lmjx.net/upload/202303/06/720w480h1678090635769703.jpg!605x375.jpg,https://zj.lmjx.net/xijiangfengcengche/xcmg/xf1005/
