名称,图片链接,超链接
三一重工 SLB5000C8 5000型沥青搅拌站,https://zj-static.lmjx.net/upload/202108/25/1200w800h1629871735647666.jpg!605x375.jpg,https://zj.lmjx.net/liqingjiaobanzhan/sany/slb5000c8/
三一重工 SSP90C-8 9米多功能摊铺机,https://zj-static.lmjx.net/upload/202205/30/1200w800h1653906215226768.jpg!605x375.jpg,https://zj.lmjx.net/tanpuji/sany/ssp90c81/
天顺长城 RP800 路肩土摊铺机,https://zj-static.lmjx.net/upload/202007/29/1200w800h1596012499509991.jpg!605x375.jpg,https://zj.lmjx.net/wendingtutanpuji/tianshunchangcheng/rp800/
阿伦 AHT6000 滑模水泥混凝土摊铺机,https://zj-static.lmjx.net/upload/202103/04/557w371h1614848185725918.jpg!605x375.jpg,https://zj.lmjx.net/shuinitanpuji/alun/aht60001/
徐工 GR3005 平地机,https://zj-static.lmjx.net/upload/202102/02/1200w800h1612245747143687.jpg!605x375.jpg,https://zj.lmjx.net/pingdiji/xcmg/gr3005/
徐工 XL2503 稳定土拌和机,https://zj-static.lmjx.net/upload/201904/19/1000w695h1555664355436062.jpg!605x375.jpg,https://zj.lmjx.net/wendingtubanheji/xcmg/xl2503/
徐工 XC300 稳定土厂拌设备,https://zj-static.lmjx.net/upload/202303/03/1000w667h1677837327876189.jpg!605x375.jpg,https://zj.lmjx.net/wendingtubanhezhan/xcmg/xc300/
徐工 XZJ5250TWXZ6 挖掘抽吸车,https://zj-static.lmjx.net/upload/202307/12/800w534h1689132298626355.jpg!605x375.jpg,https://zj.lmjx.net/feipohuaiwajuechouxiche/xcmg/xzj5250twxz6/
徐工 XAP405H 环保型沥青混合料搅拌设备,https://zj-static.lmjx.net/upload/202203/14/1491w834h1647229885343334.jpg!605x375.jpg,https://zj.lmjx.net/liqingjiaobanzhan/xcmg/xap405h/
柳工 509EG4 沥青摊铺机,https://zj-static.lmjx.net/upload/202106/16/1200w800h1623829128995027.jpg!605x375.jpg,https://zj.lmjx.net/tanpuji/liugong/509e/
阿伦 ASPW90系列 稳定土摊铺机,https://img.lmjx.net/zjupload/201712/48/20171229151217_23405.png!605x375.jpg,https://zj.lmjx.net/wendingtutanpuji/alun/aspw90/
镇江路机 CP8000 滑模式水泥摊铺机,https://zj-static.lmjx.net/upload/202102/23/1200w900h1614067141814845.jpg!605x375.jpg,https://zj.lmjx.net/shuinitanpuji/luji/cp8000/
