名称,图片链接,超链接
鼎力 BT30ERT 自行走直臂式高空作业平台（电池驱动）,https://zj-static.lmjx.net/upload/202004/17/1000w800h1587102771381297.jpg!605x375.jpg,https://zj.lmjx.net/zhibishigaokongzuoyepingtai/dingli/bt30ert/
鼎力 BA28ERT 自行走曲臂式高空作业平台（电池驱动）,https://zj-static.lmjx.net/upload/202004/17/500w500h1587106938666190.png!605x375.jpg,https://zj.lmjx.net/qubishigaokongzuoyepingtai/dingli/ba28ert/
鼎力 JCPT2223DC 自行走越野剪叉式高空作业平台（电池驱动）,https://zj-static.lmjx.net/upload/202004/17/1200w800h1587111812357794.jpg!605x375.jpg,https://zj.lmjx.net/jianchashigaokongzuoyepingtai/dingli/jcpt2223dc/
星邦智能 10米套筒—ML10EJ 套筒式高空作业平台,https://zj-static.lmjx.net/upload/202301/12/1200w800h1673512866414296.jpg!605x375.jpg,https://zj.lmjx.net/weizhushigaokongzuoyepingtai/xingbang/ml10ej/
鼎力 DYT2-2.7S 自行走高空取料平台,https://img.lmjx.net/zjupload/201805/83/20180503160204_28951.jpg!605x375.jpg,https://zj.lmjx.net/gaokongquliaopingtai/dingli/dyt227s/
鼎力 MCWP2700T 导架爬升式高空作业平台（双桅）,https://img.lmjx.net/zjupload/201805/18/20180503160453_60056.jpg!605x375.jpg,https://zj.lmjx.net/daojiapashengshigaokongzuoyepingtai/dingli/mcwp2700t/
海伦哲 XHZ5040JGKQ6 庆铃9.6m折叠臂高空作业车,https://zj-static.lmjx.net/upload/202107/07/800w600h1625626511893886.jpg!605x375.jpg,https://zj.lmjx.net/gaokongzuoyeche/handler/xhz5040jgkq6/
星邦智能 TB18EJ PLUS 直臂式高空作业平台,https://zj-static.lmjx.net/upload/202207/15/800w600h1657874501892348.jpg!605x375.jpg,https://zj.lmjx.net/zhibishigaokongzuoyepingtai/xingbang/tb18ejplus/
中联重科 ZA34J-V 自行走曲臂式高空作业平台,https://zj-static.lmjx.net/upload/202208/11/1200w800h1660214228452894.jpg!605x375.jpg,https://zj.lmjx.net/qubishigaokongzuoyepingtai/zoomlion/za34jv/
中联重科 ZS0407DC 迷你系列自行走剪叉式高空作业平台,https://zj-static.lmjx.net/upload/202103/08/1200w800h1615190609034707.jpg!605x375.jpg,https://zj.lmjx.net/jianchashigaokongzuoyepingtai/zoomlion/zs0407dc/
美国JLG Toucan 800桅柱式 升降平台,https://img.lmjx.net/zjupload/201301/92/20130111104533_48666.jpg!605x375.jpg,https://zj.lmjx.net/weizhushigaokongzuoyepingtai/jlg/toucan800/
鼎力 DYT2-3.7SW 自行走高空取料平台,https://img.lmjx.net/zjupload/201805/83/20180503160204_28951.jpg!605x375.jpg,https://zj.lmjx.net/gaokongquliaopingtai/dingli/dyt237sw/
鼎力 MCWP2700S 导架爬升式高空作业平台（单桅）,https://img.lmjx.net/zjupload/201805/58/20180503160557_54419.jpg!605x375.jpg,https://zj.lmjx.net/daojiapashengshigaokongzuoyepingtai/dingli/mcwp2700s/
三一重工 SGDJ1412 剪叉式高空作业车,https://zj-static.lmjx.net/upload/202009/10/601w400h1599716900462536.jpg!605x375.jpg,https://zj.lmjx.net/gaokongzuoyeche/sany/sgdj1412/
中联重科 ZT16J 自行走直臂式高空作业平台,https://zj-static.lmjx.net/upload/202103/08/1200w800h1615170948604447.jpg!605x375.jpg,https://zj.lmjx.net/zhibishigaokongzuoyepingtai/zoomlion/zt16j/
星邦智能 AB22EJ PLUS 电动曲臂式高空作业平台,https://zj-static.lmjx.net/upload/202207/18/800w600h1658139655614308.jpg!605x375.jpg,https://zj.lmjx.net/qubishigaokongzuoyepingtai/xingbang/ab22ejplus/
星邦智能 6米剪叉车-0407SE 电驱剪叉高空作业平台,https://zj-static.lmjx.net/upload/202106/24/800w600h1624523839145689.jpg!605x375.jpg,https://zj.lmjx.net/jianchashigaokongzuoyepingtai/xingbang/gtjz0408m/
特雷克斯吉尼 GRC-12 桅柱式高空作业平台,https://zj-static.lmjx.net/upload/202003/22/1200w800h1584868471173602.jpg!605x375.jpg,https://zj.lmjx.net/weizhushigaokongzuoyepingtai/meiguojini/grc12/
临工重机 SL3218D 自行走式物料搬运平台,https://zj-static.lmjx.net/upload/202303/17/800w533h1679036769631685.jpg!605x375.jpg,https://zj.lmjx.net/gaokongquliaopingtai/lingongzhongji/sl3218d/
柳工 PTT160C 高空作业车,https://zj-static.lmjx.net/upload/202206/30/800w600h1656573512264226.jpg!605x375.jpg,https://zj.lmjx.net/gaokongzuoyeche/liugong/ptt160c/
徐工 XGS45ACK-Li 直臂式高空作业平台,https://zj-static.lmjx.net/upload/202309/14/1200w800h1694684189228612.jpg!605x375.jpg,https://zj.lmjx.net/zhibishigaokongzuoyepingtai/xcmg/xgs45ackli/
特雷克斯吉尼 Z-33/18 曲臂式高空作业平台,https://zj-static.lmjx.net/upload/202003/20/1200w800h1584672013373008.jpg!605x375.jpg,https://zj.lmjx.net/qubishigaokongzuoyepingtai/meiguojini/z33181/
徐工 XG0807HA-Li高空作业平台 剪叉式高空作业平台,https://zj-static.lmjx.net/upload/202309/14/1200w800h1694680298926599.jpg!605x375.jpg,https://zj.lmjx.net/jianchashigaokongzuoyepingtai/xcmg/xg0807hali/
鼎力 AMWP11.5-8100 自行走套筒式高空作业平台,https://img.lmjx.net/zjupload/201805/26/20180503152619_93958.jpg!605x375.jpg,https://zj.lmjx.net/weizhushigaokongzuoyepingtai/dingli/amwp1158100/
鼎力 DYT2-4.5S 自行走高空取料平台,https://img.lmjx.net/zjupload/201805/83/20180503160204_28951.jpg!605x375.jpg,https://zj.lmjx.net/gaokongquliaopingtai/dingli/dyt245s/
星邦智能 GKS22L 22米伸缩臂高空作业车,https://zj-static.lmjx.net/upload/202106/24/800w600h1624531438897906.jpg!605x375.jpg,https://zj.lmjx.net/gaokongzuoyeche/xingbang/gks22l/
临工重机 T20JE 电动直臂式升降工作平台,https://zj-static.lmjx.net/upload/202303/17/1000w667h1679033650014368.jpg!605x375.jpg,https://zj.lmjx.net/zhibishigaokongzuoyepingtai/lingongzhongji/t20je/
徐工 XGS22ACK-Li 曲臂式高空作业平台,https://zj-static.lmjx.net/upload/202309/12/1200w800h1694490363736257.jpg!605x375.jpg,https://zj.lmjx.net/qubishigaokongzuoyepingtai/xcmg/xgs22ackli/
临工重机 S0812 液驱剪叉式高空作业平台,https://zj-static.lmjx.net/upload/202303/16/1000w667h1678962105450635.jpg!605x375.jpg,https://zj.lmjx.net/jianchashigaokongzuoyepingtai/lingongzhongji/s0812/
