title,name,link
Geonoma pinnatifrons subsp. oxycarpa (Mart.) A.J.Hend.,Geonoma oxycarpa Mart.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110504-1
Geonoma maxima subsp. spixiana (Mart.) A.J.Hend.,Geonoma maxima var. spixiana (Mart.) A.J.Hend.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110496-1
Geonoma maxima subsp. spixiana (Mart.) A.J.Hend.,Geonoma spixiana Mart.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110496-1
Geonoma maxima subsp. spixiana (Mart.) A.J.Hend.,Geonoma grandisecta Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110496-1
Geonoma maxima subsp. maxima ,Geonoma capanemae Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma maxima subsp. maxima ,Geonoma discolor Spruce,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma maxima subsp. maxima ,Geonoma latisecta Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma maxima subsp. maxima ,Geonoma multiflora Mart.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma maxima subsp. maxima ,Geonoma multiflora var. discolor (Spruce) Trail,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma maxima subsp. maxima ,Geonoma paraensis Spruce,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma maxima subsp. maxima ,Geonoma uliginosa Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168496-1
Geonoma interrupta subsp. rivalis (Kalbreyer & Burret) A.J.Hend.,Geonoma rivalis Kalbreyer & Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110458-1
Rumex crispus subsp. robustus (Rech.) Pestova,Rumex crispus var. robustus Rech.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1008193-1
Gentianopsis yabei var. yabei ,Gentianopsis yabei f. albiflora T.Yamaz.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77230313-1
Gentianopsis yabei var. yabei ,Gentianopsis yabei f. violacea Toyok.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77230313-1
Gentianopsis detonsa subsp. yukonensis (J.M.Gillett) J.M.Gillett,Gentianella detonsa subsp. yukonensis J.M.Gillett,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:108757-2
Gentianopsis yabei var. akaisiensis T.Yamaz.,Gentianopsis furusei Hid.Takah.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:919194-1
Gentianopsis yabei var. akaisiensis T.Yamaz.,Gentianopsis yabei var. furusei (Hid.Takah.) Toyok.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:919194-1
Mussaenda microdonta subsp. odorata (Hutch.) Bridson,Mussaenda odorata Hutch.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:890420-1
Mussaenda microdonta subsp. odorata (Hutch.) Bridson,Mussaenda keniensis K.Krause,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:890420-1
Geonoma maxima subsp. camptoneura (Burret) A.J.Hend.,Geonoma camptoneura Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110480-1
Geonoma interrupta subsp. platybothros (Burret) Galeano & R.Bernal,Geonoma pinnatifrons subsp. platybothros (Burret) A.J.Hend.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77146565-1
Geonoma interrupta subsp. platybothros (Burret) Galeano & R.Bernal,Geonoma platybothros Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77146565-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma chelidonura Spruce,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma maxima var. chelidonura (Spruce) A.J.Hend.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma bijugata Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma brachyfoliata Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma densiflora Spruce,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma densiflora var. monticola Spruce,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma falcata Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma furcifolia Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma furcifrons Drude,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma huebneri Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma juruana Dammer,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma lakoi Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma longisecta Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma palustris Barb.Rodr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma parvisecta Burret,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
Geonoma maxima subsp. chelidonura (Spruce) A.J.Hend.,Geonoma personata Spruce,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110482-1
