title,name,link
title,name,link
"Haplanthus laxiflorus (Blume) Gnanasek., G.V.S.Murthy & Y.F.Deng",Haplanthus laxiflorus var. laxiflorus ,/taxon/urn:lsid:ipni.org:names:77232406-1
"Haplanthus laxiflorus (Blume) Gnanasek., G.V.S.Murthy & Y.F.Deng","Haplanthus laxiflorus var. parishii (T.Anderson) Gnanasek., G.V.S.Murthy & Y.F.Deng",/taxon/urn:lsid:ipni.org:names:77159834-1
"Haplanthus laxiflorus (Blume) Gnanasek., G.V.S.Murthy & Y.F.Deng","Haplanthus laxiflorus var. recedens (C.B.Clarke) Gnanasek., G.V.S.Murthy & Y.F.Deng",/taxon/urn:lsid:ipni.org:names:77159838-1
Barleria taitensis S.Moore,Barleria taitensis subsp. occidentalis (S.Moore) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77215736-1
Barleria taitensis S.Moore,Barleria taitensis subsp. rogersii (S.Moore) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77147159-1
Barleria taitensis S.Moore,Barleria taitensis subsp. taitensis ,/taxon/urn:lsid:ipni.org:names:77227985-1
Barleria spinulosa Klotzsch,Barleria spinulosa subsp. kirkii (T.Anderson) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77147139-1
Barleria spinulosa Klotzsch,Barleria spinulosa subsp. spinulosa ,/taxon/urn:lsid:ipni.org:names:77228649-1
Barleria trispinosa (Forssk.) Vahl,Barleria trispinosa subsp. glandulosissima I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77109696-1
Barleria trispinosa (Forssk.) Vahl,Barleria trispinosa subsp. trispinosa ,/taxon/urn:lsid:ipni.org:names:77228133-1
Barleria violascens S.Moore,Barleria violascens var. humpatana I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77215730-1
Barleria violascens S.Moore,Barleria violascens var. violascens ,/taxon/urn:lsid:ipni.org:names:3284427-4
Blepharis hildebrandtii Lindau,Blepharis hildebrandtii subsp. hildebrandtii ,/taxon/urn:lsid:ipni.org:names:77228585-1
Blepharis hildebrandtii Lindau,Blepharis hildebrandtii subsp. phillipsiae (Rendle) Vollesen,/taxon/urn:lsid:ipni.org:names:1017551-1
Blepharis integrifolia (L.f.) E.Mey. & Drège ex Schinz,Blepharis integrifolia var. clarkei (Schinz) Oberm.,/taxon/urn:lsid:ipni.org:names:77250092-1
Blepharis integrifolia (L.f.) E.Mey. & Drège ex Schinz,Blepharis integrifolia var. integrifolia ,/taxon/urn:lsid:ipni.org:names:77228747-1
Dicliptera acuminata (Ruiz & Pav.) Juss.,Dicliptera acuminata var. acuminata ,/taxon/urn:lsid:ipni.org:names:77229031-1
Dicliptera acuminata (Ruiz & Pav.) Juss.,Dicliptera acuminata var. spicata Nees,/taxon/urn:lsid:ipni.org:names:79678-2
Dicliptera carvalhoi Lindau,Dicliptera carvalhoi subsp. carvalhoi ,/taxon/urn:lsid:ipni.org:names:77229382-1
Dicliptera carvalhoi Lindau,Dicliptera carvalhoi subsp. erinacea I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77095621-1
Dicliptera carvalhoi Lindau,Dicliptera carvalhoi subsp. laxiflora I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77095620-1
Dicliptera carvalhoi Lindau,Dicliptera carvalhoi subsp. nemorum (Milne-Redh.) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77095619-1
Dicliptera carvalhoi Lindau,Dicliptera carvalhoi subsp. petraea I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77147184-1
Dicliptera foetida (Forssk.) Blatt.,Dicliptera foetida var. foetida ,/taxon/urn:lsid:ipni.org:names:77229009-1
Dicliptera foetida (Forssk.) Blatt.,Dicliptera foetida var. ghatica (Santapau) M.R.Almeida,/taxon/urn:lsid:ipni.org:names:77108243-1
Dicliptera foetida (Forssk.) Blatt.,Dicliptera foetida var. kanarana M.R.Almeida,/taxon/urn:lsid:ipni.org:names:77108244-1
Dicliptera maculata Nees,Dicliptera maculata subsp. hirta (K.Balkwill) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77147177-1
Dicliptera maculata Nees,Dicliptera maculata subsp. maculata ,/taxon/urn:lsid:ipni.org:names:77229342-1
Dicliptera maculata Nees,Dicliptera maculata subsp. pallidiflora I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77147176-1
Dicliptera maculata Nees,Dicliptera maculata subsp. usambarica (Lindau) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77095618-1
Dicliptera minor C.B.Clarke,Dicliptera minor subsp. divaricata (Compton) I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77147181-1
Dicliptera minor C.B.Clarke,Dicliptera minor subsp. minor ,/taxon/urn:lsid:ipni.org:names:77229580-1
Dicliptera namibiensis (K.Balkwill) J.C.Manning & Goldblatt,Dicliptera namibiensis subsp. brandbergensis (K.Balkwill) J.C.Manning & Goldblatt,/taxon/urn:lsid:ipni.org:names:77132030-1
Dicliptera namibiensis (K.Balkwill) J.C.Manning & Goldblatt,Dicliptera namibiensis subsp. namibiensis ,/taxon/urn:lsid:ipni.org:names:77231952-1
Gibbaeum nebrownii Tischler,Gibbaeum nebrownii subsp. johnstonii (van Jaarsv. & S.A.Hammer) Pavelka,/taxon/urn:lsid:ipni.org:names:3010857-1
Gibbaeum nebrownii Tischler,Gibbaeum nebrownii subsp. nebrownii ,/taxon/urn:lsid:ipni.org:names:77230718-1
