title,name,link
Nothoscordum gracile (Aiton) Stearn,Nothoscordum gracile var. gracile ,/taxon/urn:lsid:ipni.org:names:77169274-1
Nothoscordum gracile (Aiton) Stearn,Nothoscordum gracile var. macrostemon (Kunth) Guagl.,/taxon/urn:lsid:ipni.org:names:987162-1
Nothoscordum hirtellum (Kunth) Herter,Nothoscordum hirtellum subsp. hirtellum ,/taxon/urn:lsid:ipni.org:names:77173079-1
Nothoscordum hirtellum (Kunth) Herter,Nothoscordum hirtellum subsp. lorentzii (Herter) Ravenna,/taxon/urn:lsid:ipni.org:names:170524-2
Magydaris pastinacea (Lam.) Paol.,Magydaris pastinacea subsp. femeniesii O.Bolòs & Vigo,/taxon/urn:lsid:ipni.org:names:892123-1
Magydaris pastinacea (Lam.) Paol.,Magydaris pastinacea subsp. pastinacea ,/taxon/urn:lsid:ipni.org:names:77223885-1
Pastinaca armena Fisch. & C.A.Mey.,Pastinaca armena subsp. armena ,/taxon/urn:lsid:ipni.org:names:77223895-1
Pastinaca armena Fisch. & C.A.Mey.,Pastinaca armena subsp. dentata (Freyn & Sint.) D.F.Chamb.,/taxon/urn:lsid:ipni.org:names:892142-1
Pastinaca kochii Duby,Pastinaca kochii subsp. kochii ,/taxon/urn:lsid:ipni.org:names:77224444-1
Pastinaca kochii Duby,Pastinaca kochii subsp. latifolia (Duby) Reduron,/taxon/urn:lsid:ipni.org:names:77091445-1
Molopospermum peleponnesiacum (L.) W.D.J.Koch,Molopospermum peleponnesiacum subsp. bauhini I.Ullmann,/taxon/urn:lsid:ipni.org:names:949856-1
Molopospermum peleponnesiacum (L.) W.D.J.Koch,Molopospermum peleponnesiacum subsp. peleponnesiacum ,/taxon/urn:lsid:ipni.org:names:77223417-1
Pastinaca sativa L.,Pastinaca sativa subsp. sativa ,/taxon/urn:lsid:ipni.org:names:77224015-1
Pastinaca sativa L.,Pastinaca sativa subsp. urens (Req. ex Godr.) Čelak.,/taxon/urn:lsid:ipni.org:names:77251129-1
Musineon divaricatum (Pursh) Nutt.,Musineon divaricatum var. divaricatum ,/taxon/urn:lsid:ipni.org:names:77223151-1
Musineon divaricatum (Pursh) Nutt.,Musineon divaricatum var. hookeri Torr. & A.Gray,/taxon/urn:lsid:ipni.org:names:1194148-2
"Mutellina corsica (J.Gay) Reduron, Charpin & Pimenov",Mutellina corsica var. corsica ,/taxon/urn:lsid:ipni.org:names:77223394-1
"Mutellina corsica (J.Gay) Reduron, Charpin & Pimenov","Mutellina corsica var. mufraricciae (Gamisans) Reduron, Charpin & Pimenov",/taxon/urn:lsid:ipni.org:names:20002950-1
Seseli annuum L.,Seseli annuum subsp. annuum ,/taxon/urn:lsid:ipni.org:names:77225011-1
Seseli annuum L.,Seseli annuum subsp. carvifolium P.Fourn.,/taxon/urn:lsid:ipni.org:names:77251703-1
Asparagus aphyllus L.,Asparagus aphyllus subsp. aphyllus ,/taxon/urn:lsid:ipni.org:names:77168724-1
Asparagus aphyllus L.,Asparagus aphyllus subsp. orientalis (Baker) P.H.Davis,/taxon/urn:lsid:ipni.org:names:922987-1
Brodiaea californica Lindl.,Brodiaea californica subsp. californica ,/taxon/urn:lsid:ipni.org:names:77169654-1
Brodiaea californica Lindl.,Brodiaea californica subsp. leptandra (Greene) J.C.Pires,/taxon/urn:lsid:ipni.org:names:1019403-1
Brodiaea rosea (Greene) Baker,Brodiaea rosea subsp. rosea ,/taxon/urn:lsid:ipni.org:names:3287706-4
Brodiaea rosea (Greene) Baker,Brodiaea rosea subsp. vallicola R.E.Preston,/taxon/urn:lsid:ipni.org:names:77136232-1
"Hoya salmonea Kloppenb., Guevarra, G.Mend. & Ferreras","Hoya salmonea subsp. pallida Kloppenb., G.Mend. & Ferreras",/taxon/urn:lsid:ipni.org:names:77133975-1
"Hoya salmonea Kloppenb., Guevarra, G.Mend. & Ferreras",Hoya salmonea subsp. salmonea ,/taxon/urn:lsid:ipni.org:names:77173290-1
Hoya samarensis Kloppenb. & Siar,Hoya samarensis subsp. gutierrezii Kloppenb.,/taxon/urn:lsid:ipni.org:names:77144297-1
Hoya samarensis Kloppenb. & Siar,Hoya samarensis subsp. samarensis ,/taxon/urn:lsid:ipni.org:names:77172588-1
Hoya santiagoi Kloppenb. & Siar,Hoya santiagoi subsp. mendozae Kloppenb.,/taxon/urn:lsid:ipni.org:names:77134244-1
Hoya santiagoi Kloppenb. & Siar,Hoya santiagoi subsp. santiagoi ,/taxon/urn:lsid:ipni.org:names:77172891-1
Hoya savaiiensis Kloppenb.,Hoya savaiiensis subsp. falealupoensis Kloppenb.,/taxon/urn:lsid:ipni.org:names:77150049-1
Hoya savaiiensis Kloppenb.,Hoya savaiiensis subsp. savaiiensis ,/taxon/urn:lsid:ipni.org:names:77173524-1
Cousinia glaucopsis Bornm. & Rech.f.,Cousinia glaucopsis var. glaucopsis ,/taxon/urn:lsid:ipni.org:names:77232435-1
Cousinia glaucopsis Bornm. & Rech.f.,Cousinia glaucopsis var. spinellosissima Bornm. & Rech.f.,/taxon/urn:lsid:ipni.org:names:77181580-1
Berberis everestiana Ahrendt,Berberis everestiana var. everestiana ,/taxon/urn:lsid:ipni.org:names:77227988-1
Berberis everestiana Ahrendt,Berberis everestiana var. ventosa Ahrendt,/taxon/urn:lsid:ipni.org:names:77249636-1
Hieracium bocconei Griseb.,Hieracium bocconei subsp. bocconei ,/taxon/urn:lsid:ipni.org:names:77180118-1
Hieracium bocconei Griseb.,Hieracium bocconei subsp. cornense Zahn,/taxon/urn:lsid:ipni.org:names:77253899-1
Hieracium bocconei Griseb.,Hieracium bocconei subsp. devexicola Zahn,/taxon/urn:lsid:ipni.org:names:77253749-1
Hieracium bocconei Griseb.,Hieracium bocconei subsp. engadinense (Zahn) Zahn,/taxon/urn:lsid:ipni.org:names:3271499-4
Hieracium bocconei Griseb.,Hieracium bocconei subsp. imhofii Zahn,/taxon/urn:lsid:ipni.org:names:3271501-4
Hieracium bocconei Griseb.,Hieracium bocconei subsp. ramiparum Zahn,/taxon/urn:lsid:ipni.org:names:3271502-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. adenobupleuroides Fen. & Zahn,/taxon/urn:lsid:ipni.org:names:3271555-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. aprutiorum (Furrer & Zahn) Gottschl.,/taxon/urn:lsid:ipni.org:names:77096761-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. arcuatum Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271556-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. breviflorum Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:77253692-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. bupleuroides ,/taxon/urn:lsid:ipni.org:names:77180628-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. bupleuroidiforme (Murr & Zahn) Zahn,/taxon/urn:lsid:ipni.org:names:3271557-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. calathodes Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271560-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. calathodiiforme Zahn,/taxon/urn:lsid:ipni.org:names:3271562-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. cassianum Pamp. & Zahn,/taxon/urn:lsid:ipni.org:names:3271563-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. comophyllum Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:77253305-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. crinifolium Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:77253954-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. dolense Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271565-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. eriolepium Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271566-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. gamperdonense Murr & Zahn,/taxon/urn:lsid:ipni.org:names:3271567-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. glaberrimum (Spreng.) Fr.,/taxon/urn:lsid:ipni.org:names:77253599-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. inulifolium (Prantl) Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:77253144-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. laeviceps Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:77215724-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. maglandicum Zahn,/taxon/urn:lsid:ipni.org:names:3271568-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. malacosericeum Rech.f. & Zahn,/taxon/urn:lsid:ipni.org:names:3271569-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. mnoolepium Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:77253426-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. moenense Zahn,/taxon/urn:lsid:ipni.org:names:3271570-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. mortimontanum Zahn,/taxon/urn:lsid:ipni.org:names:3271571-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. pantotrichum Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271572-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. praetutiense Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271573-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. pseudophyllobracteum Zahn,/taxon/urn:lsid:ipni.org:names:3271574-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. pseudoschenkii Rohlena & Zahn,/taxon/urn:lsid:ipni.org:names:60433002-2
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. pseudotatrae Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271575-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. romanorum Korb & Zahn,/taxon/urn:lsid:ipni.org:names:3271576-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. scabriceps Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:60477484-2
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. schenkii (Griseb.) Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3240902-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. schmidelyanum Zahn,/taxon/urn:lsid:ipni.org:names:3271578-4
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. tririvicola Gottschl.,/taxon/urn:lsid:ipni.org:names:77161025-1
Hieracium bupleuroides C.C.Gmel.,Hieracium bupleuroides subsp. wahlenbergii Nägeli & Peter,/taxon/urn:lsid:ipni.org:names:3271579-4
Hieracium chlorocephalum R.Uechtr.,Hieracium chlorocephalum subsp. adustum Zahn & Benz,/taxon/urn:lsid:ipni.org:names:3271763-4
Hieracium chlorocephalum R.Uechtr.,Hieracium chlorocephalum subsp. chlorocephalum ,/taxon/urn:lsid:ipni.org:names:77180331-1
Hieracium chlorocephalum R.Uechtr.,Hieracium chlorocephalum subsp. stygium (R.Uechtr.) Zahn,/taxon/urn:lsid:ipni.org:names:77253206-1
Hieracium sauzei Arv.-Touv.,Hieracium sauzei subsp. ochrospermum Zahn,/taxon/urn:lsid:ipni.org:names:77253480-1
Hieracium sauzei Arv.-Touv.,Hieracium sauzei subsp. sauzei ,/taxon/urn:lsid:ipni.org:names:77233219-1
Hieracium sauzei Arv.-Touv.,Hieracium sauzei subsp. subsauzei Zahn,/taxon/urn:lsid:ipni.org:names:77253286-1
