title,name,link
Alisma plantago-aquatica L.,Alisma plantago-aquatica subsp. orientale (Sam.) Sam.,/taxon/urn:lsid:ipni.org:names:60444562-2
Alisma plantago-aquatica L.,Alisma plantago-aquatica subsp. plantago-aquatica ,/taxon/urn:lsid:ipni.org:names:8498-2
Narcissus × koshinomurae Fern.Casas,Narcissus × koshinomurae nothosubsp. koshinomurae ,/taxon/urn:lsid:ipni.org:names:551243-4
Narcissus × koshinomurae Fern.Casas,Narcissus × koshinomurae nothosubsp. sanchezii (J.López-Tirado) J.López-Tirado,/taxon/urn:lsid:ipni.org:names:77216488-1
Narcissus jonquilla L.,"Narcissus jonquilla subsp. cerrolazae (Ureña) Barra, Díez Domínguez & Ureña",/taxon/urn:lsid:ipni.org:names:60477008-2
Narcissus jonquilla L.,Narcissus jonquilla subsp. jonquilla ,/taxon/urn:lsid:ipni.org:names:77196528-1
Narcissus leonensis Pugsley,Narcissus leonensis subsp. leonensis ,/taxon/urn:lsid:ipni.org:names:551244-4
Narcissus leonensis Pugsley,"Narcissus leonensis subsp. occidentalis Nava, Fern.Casado & Fern.Prieto",/taxon/urn:lsid:ipni.org:names:77219041-1
Narcissus leonensis Pugsley,"Narcissus leonensis subsp. primigenius (Fern.Suárez ex M.Laínz) Nava, Fern.Casado & Fern.Prieto",/taxon/urn:lsid:ipni.org:names:77219040-1
Stylidium coroniforme F.L.Erickson & J.H.Willis,Stylidium coroniforme subsp. amblyphyllum Wege,/taxon/urn:lsid:ipni.org:names:77090774-1
Stylidium coroniforme F.L.Erickson & J.H.Willis,Stylidium coroniforme subsp. coroniforme ,/taxon/urn:lsid:ipni.org:names:77227230-1
Stylidium corymbosum R.Br.,Stylidium corymbosum var. corymbosum ,/taxon/urn:lsid:ipni.org:names:125536-3
Stylidium corymbosum R.Br.,Stylidium corymbosum var. proliferum Benth.,/taxon/urn:lsid:ipni.org:names:125560-3
Narcissus nevadensis Pugsley,"Narcissus nevadensis subsp. herrerae Algarra, Blanca, Cueto & J.Fuentes",/taxon/urn:lsid:ipni.org:names:77190699-1
Narcissus nevadensis Pugsley,"Narcissus nevadensis subsp. longispathus (Degen & Hervier ex Pugsley) Algarra, Blanca, Cueto & J.Fuentes",/taxon/urn:lsid:ipni.org:names:77190700-1
Narcissus nevadensis Pugsley,Narcissus nevadensis subsp. nevadensis ,/taxon/urn:lsid:ipni.org:names:77196494-1
Brodiaea elegans Hoover,Brodiaea elegans subsp. elegans ,/taxon/urn:lsid:ipni.org:names:77172031-1
Brodiaea elegans Hoover,Brodiaea elegans subsp. hooveri Niehaus,/taxon/urn:lsid:ipni.org:names:36733-2
Athrixia heterophylla (Thunb.) Less.,Athrixia heterophylla subsp. heterophylla ,/taxon/urn:lsid:ipni.org:names:77179874-1
Athrixia heterophylla (Thunb.) Less.,Athrixia heterophylla subsp. sessilifolia (DC.) Kroner,/taxon/urn:lsid:ipni.org:names:919409-1
