title,name,detail,link
Aristeguietia chimborazensis (Hieron.) R.M.King & H.Rob.,Native to:,Ecuador,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19101-2
Milligania stylosa (F.Muell. ex Hook.f.) F.Muell. ex Benth.,Native to:,Tasmania,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:538381-1
Hyssopus ambiguus (Trautv.) Iljin ex Prochorov. & Lebel,Native to:,"Altay, 
          
          Kazakhstan, 
          
          Mongolia, 
          
          West Siberia",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448479-1
Calceolaria ternata Molau,Native to:,"Ecuador, 
          
          Peru",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:41679-2
Dactylorhiza × formosa Soó,Native to:,"Great Britain, 
          
          Ireland, 
          
          Norway",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:626605-1
Didymochlaena deltoidea Li Bing Zhang & H.Shang,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211762-1
Didymochlaena bipinnatipartita (Bonap.) Li Bing Zhang & H.Shang,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211761-1
Didymochlaena dimidiata Kunze,Native to:,"KwaZulu-Natal, 
          
          Northern Provinces",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17084740-1
Didymochlaena fijiensis Li Bing Zhang & H.Shang,Native to:,Fiji,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215565-1
Didymochlaena madagascariensis Li Bing Zhang & H.Shang,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211763-1
Didymochlaena attenuata (Bonap.) Li Bing Zhang & H.Shang,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211760-1
Didymochlaena microphylla (Bonap.) C.Chr.,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17320140-1
Didymochlaena oceanica Li Bing Zhang & H.Shang,Native to:,"Bismarck Archipelago, 
          
          New Guinea",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215566-1
Didymochlaena punctata Li Bing Zhang & H.Shang,Native to:,"Borneo, 
          
          Malaya, 
          
          Thailand",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215569-1
Didymochlaena solomonensis Li Bing Zhang & H.Shang,Native to:,"Solomon Is., 
          
          Vanuatu",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215568-1
Didymochlaena spinulosa (Brause) Li Bing Zhang & H.Shang,Native to:,"Angola, 
          
          Burundi, 
          
          Ethiopia, 
          
          Kenya, 
          
          Madagascar, 
          
          Malawi, 
          
          Mozambique, 
          
          Rwanda, 
          
          Tanzania, 
          
          Uganda, 
          
          Zaïre, 
          
          Zimbabwe",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211764-1
Didymochlaena sinuosa Desv.,Native to:,"Assam, 
          
          Myanmar, 
          
          Thailand, 
          
          Vietnam",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17084770-1
