title,name,link
Ziziphus rugosa Lam.,Ziziphus rugosa var. glabrescens Prain,/taxon/urn:lsid:ipni.org:names:3287153-4
Ziziphus rugosa Lam.,Ziziphus rugosa var. harmandii Pierre,/taxon/urn:lsid:ipni.org:names:77252184-1
Ziziphus rugosa Lam.,Ziziphus rugosa var. indoglabrescens Karthik. & V.S.Kumar,/taxon/urn:lsid:ipni.org:names:77214669-1
Ziziphus rugosa Lam.,Ziziphus rugosa var. rugosa ,/taxon/urn:lsid:ipni.org:names:77225762-1
Ziziphus rugosa Lam.,Ziziphus rugosa var. siamensis Craib,/taxon/urn:lsid:ipni.org:names:77253515-1
Grindelia inuloides Willd.,Grindelia inuloides var. glandulosa Steyerm.,/taxon/urn:lsid:ipni.org:names:113541-2
Grindelia inuloides Willd.,Grindelia inuloides var. inuloides ,/taxon/urn:lsid:ipni.org:names:77232846-1
Grindelia inuloides Willd.,Grindelia inuloides var. latamplexa G.L.Nesom,/taxon/urn:lsid:ipni.org:names:277770-2
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. asperulum (Boiss.) Murb.,/taxon/urn:lsid:ipni.org:names:77251419-1
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. cataonicum (Hand.-Mazz.) Murb.,/taxon/urn:lsid:ipni.org:names:77253108-1
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. cheiranthifolium ,/taxon/urn:lsid:ipni.org:names:77225443-1
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. heldreichii Boiss.,/taxon/urn:lsid:ipni.org:names:77252320-1
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. obtusiusculum Hub.-Mor.,/taxon/urn:lsid:ipni.org:names:77253001-1
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. pisidicum (Boiss. & Heldr.) Murb.,/taxon/urn:lsid:ipni.org:names:77252483-1
Verbascum cheiranthifolium Boiss.,Verbascum cheiranthifolium var. transcasoicum Murb.,/taxon/urn:lsid:ipni.org:names:77252537-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum subsp. crenatum ,/taxon/urn:lsid:ipni.org:names:77059509-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum subsp. loyalii Fraser-Jenk. & Khullar,/taxon/urn:lsid:ipni.org:names:17547610-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum subsp. mehrae Fraser-Jenk.,/taxon/urn:lsid:ipni.org:names:77100222-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum nothosubsp. tiwanae Fraser-Jenk.,/taxon/urn:lsid:ipni.org:names:17570000-1
Grindelia inuloides Willd.,Grindelia inuloides var. glandulosa Steyerm.,/taxon/urn:lsid:ipni.org:names:113541-2
Grindelia inuloides Willd.,Grindelia inuloides var. inuloides ,/taxon/urn:lsid:ipni.org:names:77232846-1
Grindelia inuloides Willd.,Grindelia inuloides var. latamplexa G.L.Nesom,/taxon/urn:lsid:ipni.org:names:277770-2
Ziziphus rugosa Lam.,Ziziphus rugosa var. glabrescens Prain,/taxon/urn:lsid:ipni.org:names:3287153-4
Ziziphus rugosa Lam.,Ziziphus rugosa var. harmandii Pierre,/taxon/urn:lsid:ipni.org:names:77252184-1
Ziziphus rugosa Lam.,Ziziphus rugosa var. indoglabrescens Karthik. & V.S.Kumar,/taxon/urn:lsid:ipni.org:names:77214669-1
Ziziphus rugosa Lam.,Ziziphus rugosa var. rugosa ,/taxon/urn:lsid:ipni.org:names:77225762-1
Ziziphus rugosa Lam.,Ziziphus rugosa var. siamensis Craib,/taxon/urn:lsid:ipni.org:names:77253515-1
