title,name,link
Calycadenia oppositifolia Greene,Hemizonia oppositifolia Greene,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42909-2
Armatocereus godingianus (Britton & Rose) Backeb.,Lemaireocereus godingianus Britton & Rose,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19744-2
Armatocereus procerus Rauh & Backeb.,Armatocereus procerus var. armatus F.Ritter,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19749-2
Armatocereus ghiesbreghtii (K.Schum.) F.Ritter,Cereus ghiesbreghtii K.Schum.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50916306-1
Calycadenia spicata Greene,Hemizonia spicata Greene,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42913-2
Calycadenia truncata DC.,Calycadenia scabrella Greene,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Calycadenia truncata subsp. microcephala H.M.Hall ex D.D.Keck,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Calycadenia truncata var. scabrella (Drew) Jeps.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Calycadenia truncata subsp. scabrella (Drew) D.D.Keck,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Hemizonia scabrella Drew,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Hemizonia truncata A.Gray,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Hemizonia truncata subsp. scabrella (Drew) D.D.Keck,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calycadenia truncata DC.,Lagophylla scabrella M.E.Jones,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Camptacra barbata N.T.Burb.,Camptacra brachycomoides f. arachnoidea N.T.Burb.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:899406-1
Camptacra barbata N.T.Burb.,Camptacra gracilis f. arachnoidea (N.T.Burb.) Lander,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:899406-1
