title,name,link
Armatocereus godingianus (Britton & Rose) Backeb.,Armatocereus godingianus subsp. brevispinus (Madsen) D.R.Hunt,/taxon/urn:lsid:ipni.org:names:1160479-2
Armatocereus godingianus (Britton & Rose) Backeb.,Armatocereus godingianus subsp. godingianus ,/taxon/urn:lsid:ipni.org:names:77228292-1
Armatocereus rauhii Backeb.,Armatocereus rauhii subsp. balsasensis (F.Ritter) Ostolaza,/taxon/urn:lsid:ipni.org:names:1005779-1
Armatocereus rauhii Backeb.,Armatocereus rauhii subsp. rauhii ,/taxon/urn:lsid:ipni.org:names:77228111-1
Caputia scaposa (DC.) B.Nord. & Pelser,Caputia scaposa var. addoensis (Compton) B.Nord. & Pelser,/taxon/urn:lsid:ipni.org:names:77123774-1
Caputia scaposa (DC.) B.Nord. & Pelser,Caputia scaposa var. caulescens (Harv.) B.Nord. & Pelser,/taxon/urn:lsid:ipni.org:names:77123773-1
Caputia scaposa (DC.) B.Nord. & Pelser,Caputia scaposa var. scaposa ,/taxon/urn:lsid:ipni.org:names:77232844-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum subsp. crenatum ,/taxon/urn:lsid:ipni.org:names:77059509-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum subsp. loyalii Fraser-Jenk. & Khullar,/taxon/urn:lsid:ipni.org:names:17547610-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum subsp. mehrae Fraser-Jenk.,/taxon/urn:lsid:ipni.org:names:77100222-1
Hypodematium crenatum (Forssk.) Kuhn,Hypodematium crenatum nothosubsp. tiwanae Fraser-Jenk.,/taxon/urn:lsid:ipni.org:names:17570000-1
Toechima erythrocarpum (F.Muell.) Radlk.,Toechima erythrocarpum subsp. erythrocarpum ,/taxon/urn:lsid:ipni.org:names:77226673-1
Toechima erythrocarpum (F.Muell.) Radlk.,Toechima erythrocarpum subsp. papuanum Leenh.,/taxon/urn:lsid:ipni.org:names:951763-1
