title,name,detail,link
Calycadenia oppositifolia Greene,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42909-2
Calycadenia hooveri G.D.Carr,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42902-2
Armatocereus godingianus (Britton & Rose) Backeb.,Native to:,Ecuador,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19744-2
Armatocereus procerus Rauh & Backeb.,Native to:,Peru,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19749-2
Armatocereus ghiesbreghtii (K.Schum.) F.Ritter,Native to:,Peru,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50916306-1
Calycoseris parryi A.Gray,Native to:,"Arizona, 
          
          California, 
          
          Mexico Northwest, 
          
          Nevada, 
          
          Utah",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188147-1
Calycadenia spicata Greene,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42913-2
Calycadenia truncata DC.,Native to:,"California, 
          
          Oregon",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calotesta alba P.O.Karis,Native to:,Cape Provinces,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:939049-1
Camptacra barbata N.T.Burb.,Native to:,"New South Wales, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:899406-1
Calycadenia pauciflora A.Gray,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188134-1
Armatocereus cartwrightianus Backeb.,Native to:,"Ecuador, 
          
          Peru",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:128877-1
Calorezia nutans (Less.) Panero,Native to:,"Argentina South, 
          
          Chile Central",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77084937-1
Armatocereus rauhii Backeb.,Native to:,Peru,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19750-2
Camptacra robusta A.R.Bean,Native to:,"New Guinea, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211797-1
Campuloclinium alternifolium Gardner,Native to:,Brazil West-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188180-1
Calycadenia multiglandulosa DC.,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188132-1
Campovassouria barbosae H.Rob.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60445123-2
Camptacra gracilis (Benth.) Lander,Native to:,"Northern Territory, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:944817-1
Armatocereus laetus (Kunth) Backeb.,Native to:,Peru,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19746-2
Camptacra perdita A.R.Bean,Native to:,"New South Wales, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211796-1
Calycoseris wrightii A.Gray,Native to:,"Arizona, 
          
          California, 
          
          Mexico Northwest, 
          
          Nevada, 
          
          New Mexico, 
          
          Texas, 
          
          Utah",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328776-2
Armatocereus matucanensis Backeb.,Native to:,"Ecuador, 
          
          Peru",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19747-2
Calycadenia mollis A.Gray,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188131-1
× Pseudinium aschersonianum (Brügger & Killias) P.F.Hunt,Native to:,Switzerland,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:655100-1
Campuloclinium arenarium Gardner,Native to:,Brazil Northeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188181-1
Calycadenia fremontii A.Gray,Native to:,"California, 
          
          Oregon",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188127-1
Calycadenia villosa DC.,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188141-1
Campuloclinium hatschbachii H.Rob.,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60445124-2
Campuloclinium burchellii (Baker) R.M.King & H.Rob.,Native to:,"Argentina Northeast, 
          
          Brazil South, 
          
          Brazil Southeast, 
          
          Brazil West-Central, 
          
          Paraguay",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44162-2
Calorezia prenanthoides (Less.) Panero,Native to:,"Argentina South, 
          
          Chile Central, 
          
          Chile South",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77084938-1
Campuloclinium eiteniorum R.M.King & H.Rob.,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44166-2
Campuloclinium chlorolepis (Baker) R.M.King & H.Rob.,Native to:,"Brazil South, 
          
          Brazil Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44164-2
Campovassouria cruciata (Vell.) R.M.King & H.Rob.,Native to:,"Argentina Northeast, 
          
          Argentina Northwest, 
          
          Bolivia, 
          
          Brazil Northeast, 
          
          Brazil South, 
          
          Brazil Southeast, 
          
          Brazil West-Central, 
          
          Paraguay, 
          
          Uruguay",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44112-2
Calycadenia micrantha R.L.Carr & G.D.Carr,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60436352-2
Campuloclinium irwinii R.M.King & H.Rob.,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:293922-2
Campuloclinium parvulum (Glaz. ex B.L.Rob.) R.M.King & H.Rob.,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44171-2
Campuloclinium campuloclinioides (Baker) R.M.King & H.Rob.,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44163-2
