title,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,原始链接
Calycadenia oppositifolia Greene,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia oppositifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42909-2
Calycadenia hooveri G.D.Carr,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia hooveri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42902-2
Armatocereus godingianus (Britton & Rose) Backeb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus godingianus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19744-2
Armatocereus procerus Rauh & Backeb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus procerus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19749-2
Armatocereus ghiesbreghtii (K.Schum.) F.Ritter,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus ghiesbreghtii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:50916306-1
Calycoseris parryi A.Gray,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycoseris,"Calycoseris parryi


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188147-1
Calycadenia spicata Greene,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia spicata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:42913-2
Calycadenia truncata DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia truncata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188140-1
Calotesta alba P.O.Karis,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calotesta,"Calotesta alba







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:939049-1
Camptacra barbata N.T.Burb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Camptacra,"Camptacra barbata







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:899406-1
