title,name,link
Euphorbia stenoclada Baill.,Euphorbia stenoclada subsp. ambatofinandranae (Leandri) Cremers,/taxon/urn:lsid:ipni.org:names:880615-1
Euphorbia stenoclada Baill.,Euphorbia stenoclada subsp. stenoclada ,/taxon/urn:lsid:ipni.org:names:77172796-1
Grevea madagascariensis Baill.,Grevea madagascariensis subsp. leandrii Bosser,/taxon/urn:lsid:ipni.org:names:964997-1
Grevea madagascariensis Baill.,Grevea madagascariensis subsp. madagascariensis ,/taxon/urn:lsid:ipni.org:names:77230773-1
Otiophora pauciflora Baker,Otiophora pauciflora subsp. burttii (Milne-Redh.) Verdc.,/taxon/urn:lsid:ipni.org:names:890439-1
Otiophora pauciflora Baker,Otiophora pauciflora subsp. pauciflora ,/taxon/urn:lsid:ipni.org:names:77170099-1
Barleria glandulostamina I.Darbysh.,Barleria glandulostamina subsp. glandulostamina ,/taxon/urn:lsid:ipni.org:names:77232141-1
Barleria glandulostamina I.Darbysh.,Barleria glandulostamina subsp. pseudohumilis I.Darbysh.,/taxon/urn:lsid:ipni.org:names:77137447-1
Necepsia castaneifolia (Baill.) Bouchat & J.Léonard,Necepsia castaneifolia subsp. capuronii Bouchat & J.Léonard,/taxon/urn:lsid:ipni.org:names:949191-1
Necepsia castaneifolia (Baill.) Bouchat & J.Léonard,Necepsia castaneifolia subsp. castaneifolia ,/taxon/urn:lsid:ipni.org:names:77169014-1
Necepsia castaneifolia (Baill.) Bouchat & J.Léonard,Necepsia castaneifolia subsp. chirindica (Radcl.-Sm.) Bouchat & J.Léonard,/taxon/urn:lsid:ipni.org:names:952603-1
Necepsia castaneifolia (Baill.) Bouchat & J.Léonard,Necepsia castaneifolia subsp. kimbozensis (Radcl.-Sm.) Bouchat & J.Léonard,/taxon/urn:lsid:ipni.org:names:952602-1
Catharanthus roseus (L.) G.Don,Catharanthus roseus var. angustus (Steenis) Bakh.,/taxon/urn:lsid:ipni.org:names:77188316-1
Catharanthus roseus (L.) G.Don,Catharanthus roseus var. roseus ,/taxon/urn:lsid:ipni.org:names:77167841-1
Rinorea ilicifolia (Welw. ex Oliv.) Kuntze,Rinorea ilicifolia subsp. amplexicaulis (Grey-Wilson) Wahlert,/taxon/urn:lsid:ipni.org:names:77205199-1
Rinorea ilicifolia (Welw. ex Oliv.) Kuntze,Rinorea ilicifolia subsp. ilicifolia ,/taxon/urn:lsid:ipni.org:names:77226555-1
Rinorea ilicifolia (Welw. ex Oliv.) Kuntze,Rinorea ilicifolia subsp. spinosa (Boivin ex Tul.) Grey-Wilson,/taxon/urn:lsid:ipni.org:names:920275-1
Indigofera fulgens Baker,Indigofera fulgens subsp. brachybotrys (Baker) J.B.Gillett,/taxon/urn:lsid:ipni.org:names:77250985-1
Indigofera fulgens Baker,Indigofera fulgens subsp. fulgens ,/taxon/urn:lsid:ipni.org:names:77173020-1
Phyllanthus betsileanus Leandri,Phyllanthus betsileanus subsp. betsileanus ,/taxon/urn:lsid:ipni.org:names:77170030-1
Phyllanthus betsileanus Leandri,Phyllanthus betsileanus subsp. isalensis (Leandri) Ralim. & Petra Hoffm.,/taxon/urn:lsid:ipni.org:names:77114313-1
Salacia madagascariensis (Lam.) DC.,Salacia madagascariensis subsp. dentata (Baker) H.Perrier,/taxon/urn:lsid:ipni.org:names:77251313-1
Salacia madagascariensis (Lam.) DC.,Salacia madagascariensis subsp. madagascariensis ,/taxon/urn:lsid:ipni.org:names:77225342-1
Salacia madagascariensis (Lam.) DC.,Salacia madagascariensis subsp. sambiranensis H.Perrier,/taxon/urn:lsid:ipni.org:names:77251888-1
Actiniopteris dimorpha Pic.Serm.,Actiniopteris dimorpha subsp. dimorpha ,/taxon/urn:lsid:ipni.org:names:77186178-1
Actiniopteris dimorpha Pic.Serm.,Actiniopteris dimorpha subsp. diversiformis Kornaś,/taxon/urn:lsid:ipni.org:names:17519530-1
Angraecum sesquipedale Thouars,Angraecum sesquipedale var. angustifolium Bosser & Morat,/taxon/urn:lsid:ipni.org:names:887238-1
Angraecum sesquipedale Thouars,Angraecum sesquipedale var. sesquipedale ,/taxon/urn:lsid:ipni.org:names:77167471-1
Cynanchum gerrardi (Harv.) Liede,Cynanchum gerrardi subsp. bekinolense (Choux) Liede & Meve,/taxon/urn:lsid:ipni.org:names:20003337-1
Cynanchum gerrardi (Harv.) Liede,Cynanchum gerrardi subsp. gerrardi ,/taxon/urn:lsid:ipni.org:names:77172715-1
Cynanchum gerrardi (Harv.) Liede,"Cynanchum gerrardi subsp. ingae Meve, L.E.Newton & Liede",/taxon/urn:lsid:ipni.org:names:77177809-1
Cynanchum gerrardi (Harv.) Liede,Cynanchum gerrardi subsp. lenewtonii (Liede) Goyder,/taxon/urn:lsid:ipni.org:names:77095640-1
Ceropegia racemosa N.E.Br.,Ceropegia racemosa subsp. glabra H.Huber,/taxon/urn:lsid:ipni.org:names:77201714-1
Ceropegia racemosa N.E.Br.,Ceropegia racemosa subsp. racemosa ,/taxon/urn:lsid:ipni.org:names:77173087-1
Ceropegia racemosa N.E.Br.,Ceropegia racemosa subsp. secamonoides (S.Moore) H.Huber,/taxon/urn:lsid:ipni.org:names:77254143-1
Ceropegia racemosa N.E.Br.,Ceropegia racemosa subsp. setifera (Schltr.) H.Huber,/taxon/urn:lsid:ipni.org:names:77254122-1
Ceropegia racemosa N.E.Br.,Ceropegia racemosa var. tanganyikensis Masinde,/taxon/urn:lsid:ipni.org:names:77120690-1
Ceropegia racemosa N.E.Br.,Ceropegia racemosa var. voiensis Masinde,/taxon/urn:lsid:ipni.org:names:77120691-1
Phyllanthus tenellus Roxb.,Phyllanthus tenellus var. arabicus Müll.Arg.,/taxon/urn:lsid:ipni.org:names:77189964-1
Phyllanthus tenellus Roxb.,Phyllanthus tenellus var. tenellus ,/taxon/urn:lsid:ipni.org:names:77171817-1
Dichrocephala integrifolia (L.f.) Kuntze,Dichrocephala integrifolia subsp. gracilis (DC.) Fayed,/taxon/urn:lsid:ipni.org:names:877160-1
Dichrocephala integrifolia (L.f.) Kuntze,Dichrocephala integrifolia subsp. integrifolia ,/taxon/urn:lsid:ipni.org:names:77179884-1
Agathisanthemum bojeri Klotzsch,Agathisanthemum bojeri subsp. angolense (Bremek.) Verdc.,/taxon/urn:lsid:ipni.org:names:955218-1
Agathisanthemum bojeri Klotzsch,Agathisanthemum bojeri subsp. bojeri ,/taxon/urn:lsid:ipni.org:names:77167442-1
Agathisanthemum bojeri Klotzsch,Agathisanthemum bojeri var. linearifolia Verdc.,/taxon/urn:lsid:ipni.org:names:950930-1
Scleria tessellata Willd.,Scleria tessellata var. sphaerocarpa E.A.Rob.,/taxon/urn:lsid:ipni.org:names:77189198-1
Scleria tessellata Willd.,Scleria tessellata var. tessellata ,/taxon/urn:lsid:ipni.org:names:77172549-1
Floscopa glomerata (Willd. ex Schult. & Schult.f.) Hassk.,Floscopa glomerata subsp. glomerata ,/taxon/urn:lsid:ipni.org:names:77170808-1
Floscopa glomerata (Willd. ex Schult. & Schult.f.) Hassk.,Floscopa glomerata subsp. lelyi (Hutch.) Brenan,/taxon/urn:lsid:ipni.org:names:77189188-1
Floscopa glomerata (Willd. ex Schult. & Schult.f.) Hassk.,Floscopa glomerata subsp. pauciflora (C.B.Clarke) J.K.Morton,/taxon/urn:lsid:ipni.org:names:77189038-1
Helichrysum globosum Sch.Bip.,Helichrysum globosum var. foliosum Deflers,/taxon/urn:lsid:ipni.org:names:77181754-1
Helichrysum globosum Sch.Bip.,Helichrysum globosum var. globosum ,/taxon/urn:lsid:ipni.org:names:77231957-1
Lobelia fervens Thunb.,Lobelia fervens subsp. fervens ,/taxon/urn:lsid:ipni.org:names:77172200-1
Lobelia fervens Thunb.,Lobelia fervens subsp. recurvata (E.Wimm.) Thulin,/taxon/urn:lsid:ipni.org:names:922333-1
