title,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,原始链接
Mimulopsis lyalliana var. lyalliana ,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,"Mimulopsis







View in Tree of Life
opens in a new tab","Mimulopsis lyalliana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77230974-1
Oeonia rosea Ridl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Oeonia,"Oeonia rosea







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:614966-1
Breonia boivinii Havil.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Breonia







View in Tree of Life
opens in a new tab","Breonia boivinii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:745137-1
Elaeodendron pauciflorum Tul.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Celastrales







View Order Tree
opens in a new tab",Celastraceae,"Elaeodendron







View in Tree of Life
opens in a new tab","Elaeodendron pauciflorum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160716-1
Coffea sambavensis J.-F.Leroy ex A.P.Davis & Rakotonas.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Coffea







View in Tree of Life
opens in a new tab","Coffea sambavensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20003334-1
Aloe deltoideodonta subsp. amboahangyensis Rebmann,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe deltoideodonta


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110996-1
Bulbophyllum bicoloratum Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Bulbophyllum,"Bulbophyllum bicoloratum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:618420-1
Canavalia madagascariensis J.D.Sauer,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Canavalia,"Canavalia madagascariensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483673-1
Angraecum teretifolium Ridl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Angraecum,"Angraecum teretifolium


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:616453-1
Hygrophila perrieri Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,Hygrophila,"Hygrophila perrieri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49746-1
Aloe massawana Reynolds,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Asphodelaceae,Aloe,"Aloe massawana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529644-1
Hygrophila anisocalyx Benoist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Acanthaceae,Hygrophila,"Hygrophila anisocalyx


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49642-1
Kalanchoe bergeri Raym.-Hamet & H.Perrier,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Crassulaceae,"Kalanchoe







View in Tree of Life
opens in a new tab","Kalanchoe bergeri


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:274274-1
Tephrosia pungens (R.Vig.) Du Puy & Labat,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Tephrosia,"Tephrosia pungens


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20004705-1
Trichomanes cuspidatum Willd.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Hymenophyllales







View Order Tree
opens in a new tab",Hymenophyllaceae,Trichomanes,"Trichomanes cuspidatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17228690-1
Asplenium warneckei Hieron.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Aspleniaceae,Asplenium,"Asplenium warneckei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17241230-1
