Part_Number,Make,Model,Year,details
19470,,,,
,Acura,,,
,,ILX,,
,,,2015,
,,,,4 Cylinders 2.0L MFI SOHC 122 CID
,,,2014,
,,,,4 Cylinders 2.0L MFI SOHC 122 CID
,,,2013,
,,,,4 Cylinders 2.0L MFI SOHC 122 CID
,Honda,,,
,,Civic DX,,
,,,2012,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2011,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2010,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2009,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2008,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2007,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2006,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic DX (Can),,
,,,2013,
,,,,4 Cylinders 1.8L MFI SOHC (Can) 110 CID
,,Civic EX,,
,,,2015,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2014,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2013,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2012,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2011,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2010,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2009,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2008,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2007,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2006,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic EX-L,,
,,,2015,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2014,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2013,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2012,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2011,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2010,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic GX,,
,,,2012,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2011,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2010,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2009,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2008,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2007,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2006,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,Civic HF,,
,,,2015,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2014,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2013,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2012,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic LX,,
,,,2015,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2014,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2013,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2012,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2011,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2010,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2009,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2008,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2007,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2006,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic LX-S,,
,,,2011,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2010,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2009,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic Natural Gas,,
,,,2015,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2014,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,,2013,
,,,,4 Cylinders 1.8L MFI CNG SOHC 110 CID
,,Civic SE,,
,,,2015,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,Civic Touring (Can),,
,,,2013,
,,,,4 Cylinders 1.8L MFI SOHC (Can) 110 CID
,,HR-V EX 2WD,,
,,,2022,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2021,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2020,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2019,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2018,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2017,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2016,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,HR-V EX AWD,,
,,,2022,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2021,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2020,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2019,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2018,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2017,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2016,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,HR-V EX-L 2WD,,
,,,2022,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2021,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2020,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2019,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2018,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2017,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2016,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,HR-V EX-L AWD,,
,,,2022,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2021,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2020,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2019,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2018,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2017,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2016,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,HR-V LX 2WD,,
,,,2022,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2021,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2020,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2019,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2018,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2017,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,,2016,
,,,,4 Cylinders 1.8L FI SOHC 110 CID
,,HR-V LX AWD,,
,,,2022,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2021,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2020,
,,,,4 Cylinders 1.8L SOHC VTEC 110 CID
,,,2019,
