Part_Number,Make,Model,Year,details,link
12627135,Cadillac,ATS,2015,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS&vehicleYear=2015&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS,2014,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS&vehicleYear=2014&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS,2013,4 Cylinders X 2.0L FI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS&vehicleYear=2013&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS Luxury,2015,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS+Luxury&vehicleYear=2015&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS Luxury,2014,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS+Luxury&vehicleYear=2014&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS Performance,2015,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS+Performance&vehicleYear=2015&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS Performance,2014,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS+Performance&vehicleYear=2014&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS Premium,2015,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS+Premium&vehicleYear=2015&preview=false&lineCode=WWD&partNumber=12627135
12627135,Cadillac,ATS Premium,2014,4 Cylinders X 2.0L DI Turbo DOHC 122 CID,https://www.autozone.com/external/product-discovery/product/v1/products/1183299/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Cadillac&vehicleModel=ATS+Premium&vehicleYear=2014&preview=false&lineCode=WWD&partNumber=12627135
12609317,Buick,LaCrosse,2016,4 Cylinders R 2.4L DI Hybrid DOHC 145 CID,https://www.autozone.com/external/product-discovery/product/v1/products/82777/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Buick&vehicleModel=LaCrosse&vehicleYear=2016&preview=false&lineCode=WWD&partNumber=12609317
12609317,Buick,LaCrosse,2015,4 Cylinders R 2.4L DI Hybrid DOHC 145 CID,https://www.autozone.com/external/product-discovery/product/v1/products/82777/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Buick&vehicleModel=LaCrosse&vehicleYear=2015&preview=false&lineCode=WWD&partNumber=12609317
12609317,Buick,LaCrosse,2010,4 Cylinders C 2.4L MFI DOHC 145 CID,https://www.autozone.com/external/product-discovery/product/v1/products/82777/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Buick&vehicleModel=LaCrosse&vehicleYear=2010&preview=false&lineCode=WWD&partNumber=12609317
12609317,Buick,LaCrosse CX,2011,4 Cylinders C 2.4L MFI DOHC 145 CID,https://www.autozone.com/external/product-discovery/product/v1/products/82777/fitments?country=USA&customerType=B2C&salesChannel=ECOMM&vehicleMake=Buick&vehicleModel=LaCrosse+CX&vehicleYear=2011&preview=false&lineCode=WWD&partNumber=12609317
