part,information,link
R612268A,"Warranty: 

Limited Lifetime Warranty",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"UPC: 

                                                            #
                                                            
                                                                190037043344",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Mounting Shims Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"New Or Remanufactured:
                                                        

                                                            Remanufactured",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Nose Cone Type:
                                                        

                                                            Open",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Solenoid Attached:
                                                        

                                                            Yes",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"kW Rating (kW):
                                                        

                                                            0.4kW",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Voltage (V):
                                                        

                                                            6 Volt",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
