城市,项目,得分,平均分,排名
武汉,,,,
,信息基础设施,70.0,58.0,38
,平台基础设施,80.0,52.0,15
,运营基础设施,80.0,65.3,69
,数字技术创新,77.0,58.6,23
,数字产业化,70.0,55.0,47
,产业数字化,85.0,65.1,13
,公共服务,75.0,50.4,14
,智慧城市与数字乡村,77.0,54.4,8
,数字生活,74.0,48.9,11
,数据开放共享,80.0,57.9,13
,政务信息化,81.3,51.2,11
,服务效能,85.0,52.2,11
,数据要素市场,74.0,49.6,5
,数据政策环境,70.0,48.6,15
,网络安全保护,62.5,42.0,19
城市,项目,得分,平均分,排名
黄石,,,,
,信息基础设施,50.0,58.0,177
,平台基础设施,46.0,52.0,132
,运营基础设施,60.0,65.3,145
,数字技术创新,48.0,58.6,173
,数字产业化,44.0,55.0,179
,产业数字化,59.0,65.1,164
,公共服务,40.0,50.4,171
,智慧城市与数字乡村,47.0,54.4,154
,数字生活,40.0,48.9,169
,数据开放共享,56.0,57.9,138
,政务信息化,43.8,51.2,152
,服务效能,45.0,52.2,152
,数据要素市场,51.0,49.6,114
,数据政策环境,37.0,48.6,179
,网络安全保护,35.0,42.0,152
城市,项目,得分,平均分,排名
十堰,,,,
,信息基础设施,54.0,58.0,134
,平台基础设施,43.0,52.0,149
,运营基础设施,50.0,65.3,168
,数字技术创新,44.0,58.6,194
,数字产业化,50.0,55.0,119
,产业数字化,59.0,65.1,161
,公共服务,42.5,50.4,147
,智慧城市与数字乡村,40.0,54.4,191
,数字生活,42.0,48.9,158
,数据开放共享,56.0,57.9,130
,政务信息化,45.0,51.2,143
,服务效能,45.0,52.2,145
,数据要素市场,45.0,49.6,151
,数据政策环境,40.0,48.6,164
,网络安全保护,35.0,42.0,145
城市,项目,得分,平均分,排名
宜昌,,,,
,信息基础设施,62.0,58.0,78
,平台基础设施,60.0,52.0,72
,运营基础设施,90.0,65.3,15
,数字技术创新,67.0,58.6,70
,数字产业化,73.0,55.0,41
,产业数字化,74.0,65.1,43
,公共服务,57.5,50.4,81
,智慧城市与数字乡村,66.0,54.4,59
,数字生活,58.0,48.9,60
,数据开放共享,70.0,57.9,37
,政务信息化,56.3,51.2,75
,服务效能,54.0,52.2,69
,数据要素市场,61.0,49.6,48
,数据政策环境,60.0,48.6,62
,网络安全保护,47.5,42.0,75
城市,项目,得分,平均分,排名
襄阳,,,,
,信息基础设施,56.0,58.0,121
,平台基础设施,49.0,52.0,118
,运营基础设施,80.0,65.3,67
,数字技术创新,67.0,58.6,72
,数字产业化,56.0,55.0,85
,产业数字化,76.0,65.1,37
,公共服务,62.5,50.4,53
,智慧城市与数字乡村,67.0,54.4,48
,数字生活,60.0,48.9,49
,数据开放共享,70.0,57.9,38
,政务信息化,53.8,51.2,89
,服务效能,51.0,52.2,88
,数据要素市场,61.0,49.6,49
,数据政策环境,61.0,48.6,52
,网络安全保护,47.5,42.0,76
城市,项目,得分,平均分,排名
鄂州,,,,
,信息基础设施,54.0,58.0,141
,平台基础设施,40.0,52.0,176
,运营基础设施,55.0,65.3,156
,数字技术创新,48.0,58.6,175
,数字产业化,41.0,55.0,203
,产业数字化,56.0,65.1,208
,公共服务,40.0,50.4,173
,智慧城市与数字乡村,43.0,54.4,183
,数字生活,38.0,48.9,177
,数据开放共享,50.0,57.9,173
,政务信息化,36.3,51.2,221
,服务效能,45.0,52.2,156
,数据要素市场,37.0,49.6,197
,数据政策环境,38.0,48.6,171
,网络安全保护,30.0,42.0,196
城市,项目,得分,平均分,排名
荆门,,,,
,信息基础设施,52.0,58.0,151
